category,nationality,HasSpouse,sample_children,valid_entry_age_n,mean_entry_age_child_weighted,mean_current_age_parent_weighted,relationship4_n,not_never_married_n,linked_to_head_n
EB-1,China,0,5,5,9.593877551020409,13.816399286987522,0,1,5
EB-1,China,1,192,186,5.870237955691009,8.527698672827897,2,2,190
EB-1,India,0,9,9,7.770128354725788,12.890845070422536,0,0,9
EB-1,India,1,1216,1180,5.3730737105067545,8.030741691960463,0,2,1216
EB-1,ROW,0,47,47,9.993527508090615,13.682756145702495,0,0,47
EB-1,ROW,1,2872,2814,6.556563603295175,8.953310155972623,1,9,2871
EB-2,China,0,10,10,9.566552901023892,12.878070175438596,0,1,10
EB-2,China,1,391,381,5.875045773358497,8.420499906234094,3,5,388
EB-2,India,0,14,13,8.462852897473997,12.669676448457487,0,0,14
EB-2,India,1,3728,3603,4.7839940107299785,7.408073101684355,0,4,3728
EB-2,ROW,0,113,113,9.35748655533541,12.976525462608961,0,0,113
EB-2,ROW,1,5914,5784,6.396718742380753,8.843636274099426,1,14,5913
EB-3,China,0,4,4,10.373287671232877,12.889140271493213,0,0,4
EB-3,China,1,172,168,5.925814934866369,8.53336970358247,1,3,171
EB-3,India,0,7,7,7.878991596638656,9.297346752058555,0,0,7
EB-3,India,1,2259,2162,4.19633252116967,6.63526940447432,0,3,2259
EB-3,ROW,0,97,96,7.370391610683271,11.037272489767483,0,0,97
EB-3,ROW,1,2982,2911,6.264172196545225,8.827501057830153,1,7,2981
EB-5,China,0,9,9,10.11742892459827,13.989834815756035,0,2,9
EB-5,China,1,131,130,6.959270887842316,9.410477453580901,0,1,131
EB-5,India,0,3,3,4.8949416342412455,8.458333333333334,0,0,3
EB-5,India,1,560,552,6.324077889042151,9.307053941908714,0,3,560
EB-5,ROW,0,48,48,10.925342364894714,15.320700636942675,0,0,48
EB-5,ROW,1,2880,2833,6.9450026534583404,9.482365608522395,2,8,2878
Other_EB4,China,1,14,14,4.304290429042904,8.970263381478334,0,0,14
Other_EB4,India,1,28,28,5.4443558037495015,8.98962578732864,0,0,28
Other_EB4,ROW,0,2,2,6.078947368421052,10.5,0,0,2
Other_EB4,ROW,1,255,247,8.421007685738685,11.124270256200498,0,0,255
