category,nationality,HasSpouse,child_group,sample_children,parent_weight_sum,child_weight_sum
EB-1,China,0,original,5,561.0,490.0
EB-1,China,0,us_born,3,461.0,396.0
EB-1,China,0,foreign_citizen,0,0.0,0.0
EB-1,China,1,original,192,18611.0,17687.0
EB-1,China,1,us_born,235,20810.0,19808.0
EB-1,China,1,foreign_citizen,7,567.0,639.0
EB-1,India,0,original,9,852.0,857.0
EB-1,India,0,us_born,4,410.0,406.0
EB-1,India,0,foreign_citizen,0,0.0,0.0
EB-1,India,1,original,1216,141339.0,134209.0
EB-1,India,1,us_born,1008,110114.0,104522.0
EB-1,India,1,foreign_citizen,15,2789.0,2227.0
EB-1,ROW,0,original,47,5573.0,5871.0
EB-1,ROW,0,us_born,45,4189.0,4818.0
EB-1,ROW,0,foreign_citizen,7,726.0,762.0
EB-1,ROW,1,original,2872,284473.0,286215.0
EB-1,ROW,1,us_born,1104,111399.0,115003.0
EB-1,ROW,1,foreign_citizen,81,8475.0,8546.0
EB-2,China,0,original,10,1140.0,879.0
EB-2,China,0,us_born,7,1115.0,835.0
EB-2,China,0,foreign_citizen,0,0.0,0.0
EB-2,China,1,original,391,37327.0,36348.0
EB-2,China,1,us_born,428,39943.0,38749.0
EB-2,China,1,foreign_citizen,16,1177.0,1352.0
EB-2,India,0,original,14,1329.0,1389.0
EB-2,India,0,us_born,13,1227.0,1210.0
EB-2,India,0,foreign_citizen,0,0.0,0.0
EB-2,India,1,original,3728,457445.0,430178.0
EB-2,India,1,us_born,2881,334091.0,314559.0
EB-2,India,1,foreign_citizen,42,6202.0,5409.0
EB-2,ROW,0,original,113,13078.0,14132.0
EB-2,ROW,0,us_born,106,11743.0,13253.0
EB-2,ROW,0,foreign_citizen,10,934.0,1013.0
EB-2,ROW,1,original,5914,609195.0,607830.0
EB-2,ROW,1,us_born,2454,260509.0,268063.0
EB-2,ROW,1,foreign_citizen,218,24515.0,23710.0
EB-3,China,0,original,4,442.0,292.0
EB-3,China,0,us_born,2,489.0,271.0
EB-3,China,0,foreign_citizen,0,0.0,0.0
EB-3,China,1,original,172,16497.0,16585.0
EB-3,China,1,us_born,116,10624.0,11085.0
EB-3,China,1,foreign_citizen,8,864.0,924.0
EB-3,India,0,original,7,1093.0,1190.0
EB-3,India,0,us_born,9,1227.0,1249.0
EB-3,India,0,foreign_citizen,0,0.0,0.0
EB-3,India,1,original,2259,285630.0,269068.0
EB-3,India,1,us_born,1675,200984.0,189983.0
EB-3,India,1,foreign_citizen,19,2051.0,1910.0
EB-3,ROW,0,original,97,11483.0,12368.0
EB-3,ROW,0,us_born,72,9913.0,11144.0
EB-3,ROW,0,foreign_citizen,4,405.0,398.0
EB-3,ROW,1,original,2982,316686.0,316776.0
EB-3,ROW,1,us_born,1372,155572.0,162538.0
EB-3,ROW,1,foreign_citizen,139,18184.0,17360.0
EB-5,China,0,original,9,787.0,809.0
EB-5,China,0,us_born,1,63.0,68.0
EB-5,China,0,foreign_citizen,0,0.0,0.0
EB-5,China,1,original,131,12064.0,11576.0
EB-5,China,1,us_born,92,8156.0,7884.0
EB-5,China,1,foreign_citizen,6,393.0,557.0
EB-5,India,0,original,3,240.0,257.0
EB-5,India,0,us_born,3,345.0,408.0
EB-5,India,0,foreign_citizen,0,0.0,0.0
EB-5,India,1,original,560,59045.0,56319.0
EB-5,India,1,us_born,405,42375.0,40786.0
EB-5,India,1,foreign_citizen,13,1779.0,1370.0
EB-5,ROW,0,original,48,6280.0,6791.0
EB-5,ROW,0,us_born,47,5394.0,5897.0
EB-5,ROW,0,foreign_citizen,7,878.0,972.0
EB-5,ROW,1,original,2880,288839.0,287254.0
EB-5,ROW,1,us_born,842,87223.0,91822.0
EB-5,ROW,1,foreign_citizen,80,6665.0,6818.0
Other_EB4,China,1,original,14,1177.0,1515.0
Other_EB4,China,1,us_born,14,1235.0,1202.0
Other_EB4,China,1,foreign_citizen,0,0.0,0.0
Other_EB4,India,1,original,28,5398.0,5014.0
Other_EB4,India,1,us_born,16,1864.0,1872.0
Other_EB4,India,1,foreign_citizen,0,0.0,0.0
Other_EB4,ROW,0,original,2,146.0,266.0
Other_EB4,ROW,0,us_born,2,300.0,218.0
Other_EB4,ROW,0,foreign_citizen,0,0.0,0.0
Other_EB4,ROW,1,original,255,26893.0,27464.0
Other_EB4,ROW,1,us_born,86,8810.0,8857.0
Other_EB4,ROW,1,foreign_citizen,27,2190.0,2537.0
