category,nationality,marital_group,children,sample_principals,weight
EB-1,All,Married,0,2983,323785.0
EB-1,All,Married,1,1339,143066.0
EB-1,All,Married,2,1114,115267.0
EB-1,All,Married,3,190,18491.0
EB-1,All,Married,4,32,3545.0
EB-1,All,Married,5,3,234.0
EB-1,All,Unmarried,0,1238,155235.0
EB-1,All,Unmarried,1,31,3531.0
EB-1,All,Unmarried,2,12,1471.0
EB-1,All,Unmarried,3,2,171.0
EB-1,India,Married,0,1126,131486.0
EB-1,India,Married,1,555,64300.0
EB-1,India,Married,2,314,36809.0
EB-1,India,Married,3,8,883.0
EB-1,India,Married,4,1,88.0
EB-1,India,Married,5,1,84.0
EB-1,India,Unmarried,0,220,31306.0
EB-1,India,Unmarried,1,7,752.0
EB-1,India,Unmarried,2,1,50.0
EB-1,China,Married,0,313,31168.0
EB-1,China,Married,1,135,13212.0
EB-1,China,Married,2,25,2353.0
EB-1,China,Married,3,1,119.0
EB-1,China,Married,4,1,84.0
EB-1,China,Unmarried,0,115,14202.0
EB-1,China,Unmarried,1,5,561.0
EB-1,ROW,Married,0,1544,161131.0
EB-1,ROW,Married,1,649,65554.0
EB-1,ROW,Married,2,775,76105.0
EB-1,ROW,Married,3,181,17489.0
EB-1,ROW,Married,4,30,3373.0
EB-1,ROW,Married,5,2,150.0
EB-1,ROW,Unmarried,0,903,109727.0
EB-1,ROW,Unmarried,1,19,2218.0
EB-1,ROW,Unmarried,2,11,1421.0
EB-1,ROW,Unmarried,3,2,171.0
EB-2,All,Married,0,8166,941370.0
EB-2,All,Married,1,3589,404959.0
EB-2,All,Married,2,2498,276767.0
EB-2,All,Married,3,401,39471.0
EB-2,All,Married,4,51,5768.0
EB-2,All,Married,5,7,625.0
EB-2,All,Married,6,1,144.0
EB-2,All,Unmarried,0,4614,583763.0
EB-2,All,Unmarried,1,68,8118.0
EB-2,All,Unmarried,2,25,2559.0
EB-2,All,Unmarried,3,5,665.0
EB-2,All,Unmarried,4,1,79.0
EB-2,India,Married,0,3675,452366.0
EB-2,India,Married,1,1952,240360.0
EB-2,India,Married,2,852,105212.0
EB-2,India,Married,3,21,1963.0
EB-2,India,Married,4,1,88.0
EB-2,India,Married,5,1,84.0
EB-2,India,Unmarried,0,1225,168793.0
EB-2,India,Unmarried,1,10,1131.0
EB-2,India,Unmarried,2,2,99.0
EB-2,China,Married,0,662,70026.0
EB-2,China,Married,1,257,24155.0
EB-2,China,Married,2,60,5861.0
EB-2,China,Married,3,2,222.0
EB-2,China,Married,4,2,196.0
EB-2,China,Unmarried,0,637,76702.0
EB-2,China,Unmarried,1,8,916.0
EB-2,China,Unmarried,2,1,112.0
EB-2,ROW,Married,0,3829,418978.0
EB-2,ROW,Married,1,1380,140444.0
EB-2,ROW,Married,2,1586,165694.0
EB-2,ROW,Married,3,378,37286.0
EB-2,ROW,Married,4,48,5484.0
EB-2,ROW,Married,5,6,541.0
EB-2,ROW,Married,6,1,144.0
EB-2,ROW,Unmarried,0,2752,338268.0
EB-2,ROW,Unmarried,1,50,6071.0
EB-2,ROW,Unmarried,2,22,2348.0
EB-2,ROW,Unmarried,3,5,665.0
EB-2,ROW,Unmarried,4,1,79.0
EB-3,All,Married,0,4890,591894.0
EB-3,All,Married,1,2201,263084.0
EB-3,All,Married,2,1248,142950.0
EB-3,All,Married,3,194,18604.0
EB-3,All,Married,4,27,2936.0
EB-3,All,Married,5,4,391.0
EB-3,All,Married,6,1,53.0
EB-3,All,Unmarried,0,2580,334949.0
EB-3,All,Unmarried,1,53,6676.0
EB-3,All,Unmarried,2,16,1820.0
