category,nationality,MARST,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
EB-1,All,1,5265,2638,4229,557323.0,439376.0,49.65666229457604,78.83686838691388,3620.0925578268984,1817.3942093930168
EB-1,All,2,396,40,51,47065.0,5047.0,8.190799957505577,10.723467544884734,254.82555760491974,31.74720415291441
EB-1,All,3,58,8,13,8011.0,1680.0,12.308076394956935,20.971164648608163,29.144164706726496,6.00180264717503
EB-1,All,4,192,25,34,24002.0,4191.0,13.119740021664862,17.461044912923924,125.37944990228127,16.650185287485247
EB-1,All,5,7,2,4,503.0,154.0,15.308151093439363,30.616302186878727,6.011285609066502,1.9836065573770492
EB-1,All,6,1026,10,10,127892.0,961.0,0.7514152566227754,0.7514152566227754,666.2099234722825,5.898115328364596
EB-1,India,1,1902,875,1211,220136.0,140913.0,46.25140822037286,64.01179270996111,1289.6595692247686,591.7610820293542
EB-1,India,2,103,4,5,13514.0,426.0,2.575107296137339,3.152286517685363,65.82685955596438,3.5797812592373632
EB-1,India,3,16,3,4,1778.0,308.0,14.51068616422947,17.322834645669293,12.357647684273072,2.490794791198922
EB-1,India,4,35,5,5,4361.0,544.0,12.474203164411833,12.474203164411833,23.868943913070215,2.939372268573699
EB-1,India,5,1,0,0,77.0,0.0,0.0,0.0,1.0,0.0
EB-1,India,6,176,0,0,25892.0,0.0,0.0,0.0,114.47817899284507,0.0
EB-1,China,1,420,154,184,41304.0,17953.0,36.5824133255859,43.465523920201434,296.3960025587738,120.47826756894813
EB-1,China,2,55,8,8,5632.0,658.0,11.683238636363637,11.683238636363637,40.203994615710265,7.0437300709312165
EB-1,China,3,3,0,0,411.0,0.0,0.0,0.0,2.8591425331324793,0.0
EB-1,China,4,17,5,5,1998.0,561.0,28.07807807807808,28.07807807807808,14.047943132631875,4.105038673744897
EB-1,China,6,100,0,0,12354.0,0.0,0.0,0.0,65.99218581772615,0.0
EB-1,ROW,1,2943,1609,2834,295883.0,280510.0,54.01526954911232,94.8043652389627,2061.3884659961996,1123.7918461591662
EB-1,ROW,2,238,28,38,27919.0,3963.0,10.204520219205559,14.19463447831226,151.96327808575575,21.772126059864757
EB-1,ROW,3,39,5,9,5822.0,1372.0,12.504294057025078,23.565784953624185,17.961537279439742,3.9182611267189116
EB-1,ROW,4,140,15,24,17643.0,3086.0,11.585331292864025,17.49135634529275,88.584818899054,9.989947730109465
EB-1,ROW,5,6,2,4,426.0,154.0,18.07511737089202,36.15023474178404,5.0186946902654865,1.9836065573770492
EB-1,ROW,6,750,10,10,89646.0,961.0,1.0719942886464537,1.0719942886464537,490.5467278960513,5.898115328364596
EB-2,All,1,13635,6468,9929,1531246.0,1090998.0,46.879730624602445,71.24903509952026,9068.8235556835,4323.946331041393
EB-2,All,2,1078,79,104,137858.0,12969.0,7.174048658764816,9.407506274572386,706.692858875674,51.495067509157934
EB-2,All,3,129,20,32,16840.0,3939.0,14.25771971496437,23.390736342042754,71.66808611726768,11.79211813389681
EB-2,All,4,425,51,66,52067.0,7816.0,11.773292104403941,15.011427583690246,268.04992334643606,35.752112193636776
