category,nationality,definition,weighted_children_kept,weighted_children_omitted,omitted_share_pct,increase_over_kept_pct
EB-1,All,original,444423.0,6986.0,1.5475987408314855,1.5719258454220417
EB-1,All,own_unmarried,443135.0,6874.0,1.5275250050554545,1.5512202827580759
EB-1,India,original,141339.0,852.0,0.5991940418169927,0.60280601956997
EB-1,India,own_unmarried,141143.0,852.0,0.6000211275044895,0.6036431137215448
EB-1,China,original,18611.0,561.0,2.9261422908408097,3.0143463543065927
EB-1,China,own_unmarried,18373.0,449.0,2.385506322388694,2.44380340717357
EB-1,ROW,original,284473.0,5573.0,1.9214193610668653,1.959061141127629
EB-1,ROW,own_unmarried,283619.0,5573.0,1.9270934189050872,1.964960034412363
EB-2,All,original,1103967.0,15547.0,1.3887276085872977,1.408284849094221
EB-2,All,own_unmarried,1101651.0,15435.0,1.3817199391989516,1.4010789260845766
EB-2,India,original,457445.0,1329.0,0.28968511729086655,0.29052672998939766
EB-2,India,own_unmarried,456960.0,1329.0,0.28999168646858203,0.29083508403361347
EB-2,China,original,37327.0,1140.0,2.9635791717576105,3.0540895330457847
EB-2,China,own_unmarried,36815.0,1028.0,2.716486536479666,2.7923400787722397
EB-2,ROW,original,609195.0,13078.0,2.101649918926259,2.1467674554124705
EB-2,ROW,own_unmarried,607876.0,13078.0,2.1061141404999404,2.1514256196987542
EB-3,All,original,618813.0,13018.0,2.0603610775666277,2.1037049965013663
EB-3,All,own_unmarried,616996.0,13018.0,2.066303288498351,2.109900226257545
EB-3,India,original,285630.0,1093.0,0.38120415871764735,0.3826628855512376
EB-3,India,own_unmarried,285337.0,1093.0,0.3815941067625598,0.38305582521719933
EB-3,China,original,16497.0,442.0,2.609363008442057,2.6792750197005515
EB-3,China,own_unmarried,16089.0,442.0,2.6737644425624585,2.7472185965566536
EB-3,ROW,original,316686.0,11483.0,3.499111738159302,3.625989150136097
EB-3,ROW,own_unmarried,315570.0,11483.0,3.5110517255613005,3.638812307887315
EB-5,All,original,359948.0,7307.0,1.989625736885815,2.030015446675631
EB-5,All,own_unmarried,359004.0,7109.0,1.9417502246574145,1.9802007777072121
EB-5,India,original,59045.0,240.0,0.4048241545078856,0.40646964179862816
EB-5,India,own_unmarried,58782.0,240.0,0.40662803700315137,0.4082882515055629
EB-5,China,original,12064.0,787.0,6.124037039919073,6.5235411140583555
EB-5,China,own_unmarried,11917.0,589.0,4.70973932512394,4.942519090375094
EB-5,ROW,original,288839.0,6280.0,2.127955163849159,2.1742216251960436
EB-5,ROW,own_unmarried,288305.0,6280.0,2.1318125498582754,2.1782487296439537
Other_EB4,All,original,33468.0,146.0,0.43434283334324986,0.43623760009561374
Other_EB4,All,own_unmarried,33468.0,146.0,0.43434283334324986,0.43623760009561374
Other_EB4,India,original,5398.0,0.0,0.0,0.0
Other_EB4,India,own_unmarried,5398.0,0.0,0.0,0.0
Other_EB4,China,original,1177.0,0.0,0.0,0.0
Other_EB4,China,own_unmarried,1177.0,0.0,0.0,0.0
Other_EB4,ROW,original,26893.0,146.0,0.5399607973667665,0.5428922024318595
Other_EB4,ROW,own_unmarried,26893.0,146.0,0.5399607973667665,0.5428922024318595
Unique proxy union (not EB mix),All,original,1348964.0,25804.0,1.8769712416931439,1.912875362129753
Unique proxy union (not EB mix),All,own_unmarried,1345452.0,25606.0,1.8676088101305708,1.903152249206958
Unique proxy union (not EB mix),India,original,541723.0,2043.0,0.3757130824656194,0.37713000924826895
Unique proxy union (not EB mix),India,own_unmarried,541045.0,2043.0,0.376182128863094,0.37760260237133697
Unique proxy union (not EB mix),China,original,41446.0,1563.0,3.6341230905159385,3.7711721275877044
Unique proxy union (not EB mix),China,own_unmarried,40741.0,1365.0,3.2418182681803067,3.350433224515844
Unique proxy union (not EB mix),ROW,original,765795.0,22198.0,2.8170301005211975,2.89868698542038
Unique proxy union (not EB mix),ROW,own_unmarried,763666.0,22198.0,2.824661773538424,2.906768142093533
