Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,ROW,Overall,39
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,40
2012,Uncapped,China,Overall,39
2012,Uncapped,ROW,Overall,81
2012,Uncapped,India,Overall,46
2012,Uncapped,Overall,EB-3,163
2012,Uncapped,Overall,EB-2,1
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,India,Overall,146
2013,Uncapped,China,Overall,56
2013,Uncapped,ROW,Overall,69
2013,Uncapped,Overall,EB-3,255
2013,Uncapped,Overall,EB-2,6
2013,Uncapped,Overall,EB-4,10
2014,Uncapped,India,Overall,212
2014,Uncapped,China,Overall,63
2014,Uncapped,ROW,Overall,51
2014,Uncapped,Overall,EB-3,256
2014,Uncapped,Overall,EB-2,30
2014,Uncapped,Overall,EB-4,40
2015,Uncapped,China,Overall,97
2015,Uncapped,India,Overall,185
2015,Uncapped,ROW,Overall,106
2015,Uncapped,Overall,EB-3,214
2015,Uncapped,Overall,EB-2,66
2015,Uncapped,Overall,EB-4,108
2016,Uncapped,China,Overall,274
2016,Uncapped,India,Overall,322
2016,Uncapped,ROW,Overall,212
2016,Uncapped,Overall,EB-3,480
2016,Uncapped,Overall,EB-2,104
2016,Uncapped,Overall,EB-4,224
2017,Uncapped,China,Overall,173
2017,Uncapped,India,Overall,585
2017,Uncapped,ROW,Overall,319
2017,Uncapped,Overall,EB-3,567
2017,Uncapped,Overall,EB-2,168
2017,Uncapped,Overall,EB-4,342
2018,Uncapped,India,Overall,807
2018,Uncapped,China,Overall,45
2018,Uncapped,ROW,Overall,474
2018,Uncapped,Overall,EB-3,552
2018,Uncapped,Overall,EB-2,270
2018,Uncapped,Overall,EB-4,504
2019,Uncapped,India,Overall,1271
2019,Uncapped,China,Overall,177
2019,Uncapped,ROW,Overall,651
2019,Uncapped,Overall,EB-3,967
2019,Uncapped,Overall,EB-2,448
2019,Uncapped,Overall,EB-4,684
2020,Uncapped,India,Overall,1511
2020,Uncapped,China,Overall,172
2020,Uncapped,ROW,Overall,799
2020,Uncapped,Overall,EB-3,933
2020,Uncapped,Overall,EB-2,710
2020,Uncapped,Overall,EB-4,839
2021,Uncapped,China,Overall,230
2021,Uncapped,India,Overall,1772
2021,Uncapped,ROW,Overall,897
2021,Uncapped,Overall,EB-3,1099
2021,Uncapped,Overall,EB-2,861
2021,Uncapped,Overall,EB-4,939
2022,Uncapped,India,Overall,1805
2022,Uncapped,China,Overall,182
2022,Uncapped,ROW,Overall,926
2022,Uncapped,Overall,EB-3,1134
2022,Uncapped,Overall,EB-2,811
2022,Uncapped,Overall,EB-4,961
2022,Uncapped,Overall,EB-5,7
2023,Uncapped,India,Overall,2511
2023,Uncapped,China,Overall,197
2023,Uncapped,ROW,Overall,1042
2023,Uncapped,Overall,EB-3,1450
2023,Uncapped,Overall,EB-2,1161
2023,Uncapped,Overall,EB-4,1093
2023,Uncapped,Overall,EB-5,46
2024,Uncapped,India,Overall,3065
2024,Uncapped,China,Overall,403
2024,Uncapped,ROW,Overall,1341
2024,Uncapped,Overall,EB-3,1567
2024,Uncapped,Overall,EB-2,1720
2024,Uncapped,Overall,EB-4,1376
2024,Uncapped,Overall,EB-5,146
2025,Uncapped,India,Overall,2648
2025,Uncapped,China,Overall,483
2025,Uncapped,ROW,Overall,1513
2025,Uncapped,Overall,EB-3,1121
2025,Uncapped,Overall,EB-2,1890
2025,Uncapped,Overall,EB-4,1515
2025,Uncapped,Overall,EB-5,118
2026,Uncapped,India,Overall,2356
2026,Uncapped,China,Overall,441
2026,Uncapped,ROW,Overall,1819
2026,Uncapped,Overall,EB-2,2145
2026,Uncapped,Overall,EB-3,765
2026,Uncapped,Overall,EB-4,1691
2026,Uncapped,Overall,EB-5,9
2026,Uncapped,Overall,EB-1,6
2027,Uncapped,India,Overall,2373
2027,Uncapped,China,Overall,468
2027,Uncapped,ROW,Overall,2295
2027,Uncapped,Overall,EB-2,2531
2027,Uncapped,Overall,EB-3,637
2027,Uncapped,Overall,EB-4,1956
2027,Uncapped,Overall,EB-5,9
2027,Uncapped,Overall,EB-1,3
2028,Uncapped,India,Overall,2546
2028,Uncapped,China,Overall,548
2028,Uncapped,ROW,Overall,2890
2028,Uncapped,Overall,EB-2,2894
2028,Uncapped,Overall,EB-4,2151
2028,Uncapped,Overall,EB-3,928
2028,Uncapped,Overall,EB-5,6
2028,Uncapped,Overall,EB-1,5
2029,Uncapped,India,Overall,2737
2029,Uncapped,China,Overall,533
2029,Uncapped,ROW,Overall,3453
