Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,ROW,Overall,31
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,32
2012,Uncapped,China,Overall,38
2012,Uncapped,ROW,Overall,79
2012,Uncapped,India,Overall,45
2012,Uncapped,Overall,EB-3,159
2012,Uncapped,Overall,EB-2,1
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,China,Overall,57
2013,Uncapped,India,Overall,135
2013,Uncapped,ROW,Overall,74
2013,Uncapped,Overall,EB-3,253
2013,Uncapped,Overall,EB-2,3
2013,Uncapped,Overall,EB-4,10
2014,Uncapped,India,Overall,186
2014,Uncapped,China,Overall,59
2014,Uncapped,ROW,Overall,40
2014,Uncapped,Overall,EB-3,223
2014,Uncapped,Overall,EB-2,30
2014,Uncapped,Overall,EB-4,32
2015,Uncapped,India,Overall,172
2015,Uncapped,China,Overall,86
2015,Uncapped,ROW,Overall,100
2015,Uncapped,Overall,EB-3,190
2015,Uncapped,Overall,EB-2,66
2015,Uncapped,Overall,EB-4,102
2016,Uncapped,China,Overall,260
2016,Uncapped,India,Overall,285
2016,Uncapped,ROW,Overall,200
2016,Uncapped,Overall,EB-3,443
2016,Uncapped,Overall,EB-2,92
2016,Uncapped,Overall,EB-4,210
2017,Uncapped,India,Overall,544
2017,Uncapped,China,Overall,188
2017,Uncapped,ROW,Overall,323
2017,Uncapped,Overall,EB-3,545
2017,Uncapped,Overall,EB-2,165
2017,Uncapped,Overall,EB-4,345
2018,Uncapped,India,Overall,783
2018,Uncapped,China,Overall,45
2018,Uncapped,ROW,Overall,470
2018,Uncapped,Overall,EB-3,530
2018,Uncapped,Overall,EB-2,267
2018,Uncapped,Overall,EB-4,501
2019,Uncapped,India,Overall,1167
2019,Uncapped,China,Overall,163
2019,Uncapped,ROW,Overall,669
2019,Uncapped,Overall,EB-3,864
2019,Uncapped,Overall,EB-2,437
2019,Uncapped,Overall,EB-4,698
2020,Uncapped,India,Overall,1361
2020,Uncapped,China,Overall,159
2020,Uncapped,ROW,Overall,808
2020,Uncapped,Overall,EB-3,833
2020,Uncapped,Overall,EB-2,646
2020,Uncapped,Overall,EB-4,847
2020,Uncapped,Overall,EB-1,2
2021,Uncapped,India,Overall,1599
2021,Uncapped,China,Overall,204
2021,Uncapped,ROW,Overall,884
2021,Uncapped,Overall,EB-3,963
2021,Uncapped,Overall,EB-2,804
2021,Uncapped,Overall,EB-4,920
2022,Uncapped,India,Overall,1519
2022,Uncapped,China,Overall,198
2022,Uncapped,ROW,Overall,914
2022,Uncapped,Overall,EB-3,985
2022,Uncapped,Overall,EB-2,706
2022,Uncapped,Overall,EB-4,938
2022,Uncapped,Overall,EB-5,2
2023,Uncapped,India,Overall,2129
2023,Uncapped,China,Overall,210
2023,Uncapped,ROW,Overall,1010
2023,Uncapped,Overall,EB-3,1177
2023,Uncapped,Overall,EB-2,1077
2023,Uncapped,Overall,EB-4,1045
2023,Uncapped,Overall,EB-5,50
2024,Uncapped,India,Overall,2662
2024,Uncapped,China,Overall,405
2024,Uncapped,ROW,Overall,1305
2024,Uncapped,Overall,EB-3,1334
2024,Uncapped,Overall,EB-2,1556
2024,Uncapped,Overall,EB-4,1334
2024,Uncapped,Overall,EB-5,148
2025,Uncapped,India,Overall,2413
2025,Uncapped,China,Overall,512
2025,Uncapped,ROW,Overall,1547
2025,Uncapped,Overall,EB-3,969
2025,Uncapped,Overall,EB-2,1794
2025,Uncapped,Overall,EB-4,1550
2025,Uncapped,Overall,EB-5,159
2026,Uncapped,India,Overall,2197
2026,Uncapped,China,Overall,478
2026,Uncapped,ROW,Overall,1878
2026,Uncapped,Overall,EB-2,2011
2026,Uncapped,Overall,EB-3,752
2026,Uncapped,Overall,EB-4,1744
2026,Uncapped,Overall,EB-5,35
2026,Uncapped,Overall,EB-1,11
2027,Uncapped,India,Overall,2343
2027,Uncapped,China,Overall,476
2027,Uncapped,ROW,Overall,2317
2027,Uncapped,Overall,EB-2,2472
2027,Uncapped,Overall,EB-4,1975
2027,Uncapped,Overall,EB-3,662
2027,Uncapped,Overall,EB-5,15
2027,Uncapped,Overall,EB-1,12
2028,Uncapped,India,Overall,2519
2028,Uncapped,China,Overall,569
2028,Uncapped,ROW,Overall,2999
2028,Uncapped,Overall,EB-2,2893
2028,Uncapped,Overall,EB-4,2235
2028,Uncapped,Overall,EB-3,937
2028,Uncapped,Overall,EB-5,8
2028,Uncapped,Overall,EB-1,14
2029,Uncapped,India,Overall,2820
2029,Uncapped,China,Overall,581
2029,Uncapped,ROW,Overall,3515
2029,Uncapped,Overall,EB-2,3424
2029,Uncapped,Overall,EB-4,2307
2029,Uncapped,Overall,EB-3,1156
2029,Uncapped,Overall,EB-5,10
2029,Uncapped,Overall,EB-1,19
2030,Uncapped,India,Overall,3045
2030,Uncapped,China,Overall,627
2030,Uncapped,ROW,Overall,4561
2030,Uncapped,Overall,EB-2,4047
2030,Uncapped,Overall,EB-4,2577
2030,Uncapped,Overall,EB-3,1573
2030,Uncapped,Overall,EB-5,17
2030,Uncapped,Overall,EB-1,19
2031,Uncapped,India,Overall,3232
2031,Uncapped,China,Overall,765
2031,Uncapped,ROW,Overall,5398
2031,Uncapped,Overall,EB-2,4660
2031,Uncapped,Overall,EB-4,2766
2031,Uncapped,Overall,EB-3,1934
2031,Uncapped,Overall,EB-5,12
2031,Uncapped,Overall,EB-1,23
2032,Uncapped,India,Overall,3514
2032,Uncapped,China,Overall,844
2032,Uncapped,ROW,Overall,6368
2032,Uncapped,Overall,EB-2,5399
2032,Uncapped,Overall,EB-4,3108
2032,Uncapped,Overall,EB-3,2183
2032,Uncapped,Overall,EB-5,17
2032,Uncapped,Overall,EB-1,19
2033,Uncapped,India,Overall,3731
2033,Uncapped,China,Overall,905
2033,Uncapped,ROW,Overall,7111
2033,Uncapped,Overall,EB-2,6017
2033,Uncapped,Overall,EB-4,3345
2033,Uncapped,Overall,EB-3,2321
2033,Uncapped,Overall,EB-5,26
2033,Uncapped,Overall,EB-1,38
2034,Uncapped,India,Overall,4124
2034,Uncapped,China,Overall,1007
2034,Uncapped,ROW,Overall,8116
2034,Uncapped,Overall,EB-2,6907
2034,Uncapped,Overall,EB-4,3636
2034,Uncapped,Overall,EB-3,2642
2034,Uncapped,Overall,EB-5,23
2034,Uncapped,Overall,EB-1,39
2035,Uncapped,India,Overall,4437
2035,Uncapped,China,Overall,1030
2035,Uncapped,ROW,Overall,8868
2035,Uncapped,Overall,EB-2,7684
2035,Uncapped,Overall,EB-4,3707
2035,Uncapped,Overall,EB-3,2872
2035,Uncapped,Overall,EB-5,27
2035,Uncapped,Overall,EB-1,45
2036,Uncapped,India,Overall,4984
2036,Uncapped,China,Overall,1092
2036,Uncapped,ROW,Overall,9627
2036,Uncapped,Overall,EB-2,8674
2036,Uncapped,Overall,EB-4,3763
2036,Uncapped,Overall,EB-3,3186
2036,Uncapped,Overall,EB-5,30
2036,Uncapped,Overall,EB-1,50
2037,Uncapped,India,Overall,5161
2037,Uncapped,China,Overall,1157
2037,Uncapped,ROW,Overall,10427
2037,Uncapped,Overall,EB-2,9470
2037,Uncapped,Overall,EB-4,3873
2037,Uncapped,Overall,EB-3,3312
2037,Uncapped,Overall,EB-1,53
2037,Uncapped,Overall,EB-5,37
2038,Uncapped,India,Overall,5525
2038,Uncapped,ROW,Overall,11138
2038,Uncapped,China,Overall,1272
2038,Uncapped,Overall,EB-2,10211
2038,Uncapped,Overall,EB-4,4012
2038,Uncapped,Overall,EB-3,3590
2038,Uncapped,Overall,EB-1,90
2038,Uncapped,Overall,EB-5,32
2039,Uncapped,ROW,Overall,11860
2039,Uncapped,India,Overall,6056
2039,Uncapped,China,Overall,1368
2039,Uncapped,Overall,EB-2,11134
2039,Uncapped,Overall,EB-4,4130
2039,Uncapped,Overall,EB-3,3863
2039,Uncapped,Overall,EB-1,125
2039,Uncapped,Overall,EB-5,32
2040,Uncapped,ROW,Overall,12667
2040,Uncapped,India,Overall,6658
2040,Uncapped,China,Overall,1438
2040,Uncapped,Overall,EB-4,4432
2040,Uncapped,Overall,EB-2,11994
2040,Uncapped,Overall,EB-3,4114
2040,Uncapped,Overall,EB-1,169
2040,Uncapped,Overall,EB-5,54
2011,Capped,ROW,Overall,31
2011,Capped,India,Overall,1
2011,Capped,Overall,EB-3,32
2012,Capped,China,Overall,38
2012,Capped,ROW,Overall,79
2012,Capped,India,Overall,45
2012,Capped,Overall,EB-3,159
2012,Capped,Overall,EB-2,1
2012,Capped,Overall,EB-4,2
2013,Capped,China,Overall,57
2013,Capped,India,Overall,135
2013,Capped,ROW,Overall,74
2013,Capped,Overall,EB-3,253
2013,Capped,Overall,EB-2,3
2013,Capped,Overall,EB-4,10
2014,Capped,India,Overall,186
2014,Capped,China,Overall,59
2014,Capped,ROW,Overall,40
2014,Capped,Overall,EB-3,223
2014,Capped,Overall,EB-2,30
2014,Capped,Overall,EB-4,32
2015,Capped,India,Overall,172
2015,Capped,China,Overall,86
2015,Capped,ROW,Overall,100
2015,Capped,Overall,EB-3,190
2015,Capped,Overall,EB-2,66
2015,Capped,Overall,EB-4,102
2016,Capped,China,Overall,260
2016,Capped,India,Overall,285
2016,Capped,ROW,Overall,200
2016,Capped,Overall,EB-3,443
2016,Capped,Overall,EB-2,92
2016,Capped,Overall,EB-4,210
2017,Capped,India,Overall,544
2017,Capped,China,Overall,188
2017,Capped,ROW,Overall,323
2017,Capped,Overall,EB-3,545
2017,Capped,Overall,EB-2,165
2017,Capped,Overall,EB-4,345
2018,Capped,India,Overall,783
2018,Capped,China,Overall,45
2018,Capped,ROW,Overall,470
2018,Capped,Overall,EB-3,530
2018,Capped,Overall,EB-2,267
2018,Capped,Overall,EB-4,501
2019,Capped,India,Overall,1167
2019,Capped,China,Overall,163
2019,Capped,ROW,Overall,669
2019,Capped,Overall,EB-3,864
2019,Capped,Overall,EB-2,437
2019,Capped,Overall,EB-4,698
2020,Capped,India,Overall,1361
2020,Capped,China,Overall,159
2020,Capped,ROW,Overall,808
2020,Capped,Overall,EB-3,833
2020,Capped,Overall,EB-2,646
2020,Capped,Overall,EB-4,847
2020,Capped,Overall,EB-1,2
2021,Capped,India,Overall,1599
2021,Capped,China,Overall,204
2021,Capped,ROW,Overall,884
2021,Capped,Overall,EB-3,963
2021,Capped,Overall,EB-2,804
2021,Capped,Overall,EB-4,920
2022,Capped,India,Overall,1519
2022,Capped,China,Overall,198
2022,Capped,ROW,Overall,914
2022,Capped,Overall,EB-3,985
2022,Capped,Overall,EB-2,706
2022,Capped,Overall,EB-4,938
2022,Capped,Overall,EB-5,2
2023,Capped,India,Overall,2129
2023,Capped,China,Overall,210
2023,Capped,ROW,Overall,1010
2023,Capped,Overall,EB-3,1177
2023,Capped,Overall,EB-2,1077
2023,Capped,Overall,EB-4,1045
2023,Capped,Overall,EB-5,50
2024,Capped,India,Overall,2662
2024,Capped,China,Overall,405
2024,Capped,ROW,Overall,1305
2024,Capped,Overall,EB-3,1334
2024,Capped,Overall,EB-2,1556
2024,Capped,Overall,EB-4,1334
2024,Capped,Overall,EB-5,148
2025,Capped,India,Overall,3623
2025,Capped,China,Overall,540
2025,Capped,ROW,Overall,1539
2025,Capped,Overall,EB-3,1758
2025,Capped,Overall,EB-2,2161
2025,Capped,Overall,EB-4,1561
2025,Capped,Overall,EB-5,222
2026,Capped,India,Overall,4122
2026,Capped,China,Overall,553
2026,Capped,ROW,Overall,1673
2026,Capped,Overall,EB-3,1770
2026,Capped,Overall,EB-2,2684
2026,Capped,Overall,EB-4,1720
2026,Capped,Overall,EB-5,166
2026,Capped,Overall,EB-1,8
2027,Capped,India,Overall,5130
2027,Capped,China,Overall,547
2027,Capped,ROW,Overall,2005
2027,Capped,Overall,EB-3,2105
2027,Capped,Overall,EB-2,3454
