Year,Scenario,Nationality,EB_Category,Count
2010,Uncapped,China,Overall,140
2010,Uncapped,India,Overall,219
2010,Uncapped,ROW,Overall,406
2010,Uncapped,Overall,EB-2,32
2010,Uncapped,Overall,EB-3,733
2011,Uncapped,China,Overall,99
2011,Uncapped,India,Overall,246
2011,Uncapped,ROW,Overall,461
2011,Uncapped,Overall,EB-2,62
2011,Uncapped,Overall,EB-3,744
2012,Uncapped,China,Overall,140
2012,Uncapped,ROW,Overall,382
2012,Uncapped,India,Overall,232
2012,Uncapped,Overall,EB-3,598
2012,Uncapped,Overall,EB-2,103
2012,Uncapped,Overall,EB-4,53
2013,Uncapped,China,Overall,398
2013,Uncapped,India,Overall,379
2013,Uncapped,ROW,Overall,429
2013,Uncapped,Overall,EB-3,829
2013,Uncapped,Overall,EB-2,131
2013,Uncapped,Overall,EB-4,246
2014,Uncapped,India,Overall,671
2014,Uncapped,China,Overall,261
2014,Uncapped,ROW,Overall,725
2014,Uncapped,Overall,EB-3,795
2014,Uncapped,Overall,EB-2,218
2014,Uncapped,Overall,EB-4,644
2015,Uncapped,India,Overall,404
2015,Uncapped,China,Overall,77
2015,Uncapped,ROW,Overall,783
2015,Uncapped,Overall,EB-2,319
2015,Uncapped,Overall,EB-3,117
2015,Uncapped,Overall,EB-4,828
2016,Uncapped,India,Overall,1113
2016,Uncapped,China,Overall,87
2016,Uncapped,ROW,Overall,1078
2016,Uncapped,Overall,EB-3,596
2016,Uncapped,Overall,EB-2,526
2016,Uncapped,Overall,EB-4,1156
2017,Uncapped,India,Overall,1473
2017,Uncapped,China,Overall,273
2017,Uncapped,ROW,Overall,1312
2017,Uncapped,Overall,EB-3,1046
2017,Uncapped,Overall,EB-2,619
2017,Uncapped,Overall,EB-4,1391
2017,Uncapped,Overall,EB-1,2
2018,Uncapped,India,Overall,1788
2018,Uncapped,China,Overall,366
2018,Uncapped,ROW,Overall,1457
2018,Uncapped,Overall,EB-3,1118
2018,Uncapped,Overall,EB-2,869
2018,Uncapped,Overall,EB-4,1540
2018,Uncapped,Overall,EB-5,45
2018,Uncapped,Overall,EB-1,39
2019,Uncapped,India,Overall,2245
2019,Uncapped,China,Overall,480
2019,Uncapped,ROW,Overall,1548
2019,Uncapped,Overall,EB-3,1340
2019,Uncapped,Overall,EB-2,1200
2019,Uncapped,Overall,EB-4,1596
2019,Uncapped,Overall,EB-5,87
2019,Uncapped,Overall,EB-1,50
2020,Uncapped,India,Overall,3113
2020,Uncapped,China,Overall,666
2020,Uncapped,ROW,Overall,1885
2020,Uncapped,Overall,EB-3,1734
2020,Uncapped,Overall,EB-2,1749
2020,Uncapped,Overall,EB-4,1878
2020,Uncapped,Overall,EB-5,255
2020,Uncapped,Overall,EB-1,48
2021,Uncapped,India,Overall,2187
2021,Uncapped,China,Overall,875
2021,Uncapped,ROW,Overall,1821
2021,Uncapped,Overall,EB-3,690
2021,Uncapped,Overall,EB-2,1975
2021,Uncapped,Overall,EB-4,1677
2021,Uncapped,Overall,EB-5,514
2021,Uncapped,Overall,EB-1,27
2022,Uncapped,China,Overall,987
2022,Uncapped,India,Overall,3217
2022,Uncapped,ROW,Overall,1806
2022,Uncapped,Overall,EB-3,1804
2022,Uncapped,Overall,EB-2,1910
2022,Uncapped,Overall,EB-4,1709
