Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,India,Overall,3
2011,Uncapped,ROW,Overall,39
2011,Uncapped,Overall,EB-2,1
2011,Uncapped,Overall,EB-3,41
2012,Uncapped,India,Overall,43
2012,Uncapped,China,Overall,46
2012,Uncapped,ROW,Overall,118
2012,Uncapped,Overall,EB-2,4
2012,Uncapped,Overall,EB-3,202
2012,Uncapped,Overall,EB-4,1
2013,Uncapped,India,Overall,155
2013,Uncapped,China,Overall,68
2013,Uncapped,ROW,Overall,106
2013,Uncapped,Overall,EB-3,305
2013,Uncapped,Overall,EB-2,10
2013,Uncapped,Overall,EB-4,14
2014,Uncapped,India,Overall,205
2014,Uncapped,China,Overall,69
2014,Uncapped,ROW,Overall,92
2014,Uncapped,Overall,EB-3,267
2014,Uncapped,Overall,EB-2,51
2014,Uncapped,Overall,EB-4,48
2015,Uncapped,India,Overall,258
2015,Uncapped,China,Overall,123
2015,Uncapped,ROW,Overall,142
2015,Uncapped,Overall,EB-3,257
2015,Uncapped,Overall,EB-2,125
2015,Uncapped,Overall,EB-4,141
2016,Uncapped,India,Overall,421
2016,Uncapped,China,Overall,320
2016,Uncapped,ROW,Overall,252
2016,Uncapped,Overall,EB-3,545
2016,Uncapped,Overall,EB-2,180
2016,Uncapped,Overall,EB-4,268
2017,Uncapped,India,Overall,743
2017,Uncapped,China,Overall,229
2017,Uncapped,ROW,Overall,442
2017,Uncapped,Overall,EB-3,671
2017,Uncapped,Overall,EB-2,272
2017,Uncapped,Overall,EB-4,471
2018,Uncapped,India,Overall,1063
2018,Uncapped,China,Overall,64
2018,Uncapped,ROW,Overall,665
2018,Uncapped,Overall,EB-3,627
2018,Uncapped,Overall,EB-2,467
2018,Uncapped,Overall,EB-4,698
2019,Uncapped,India,Overall,1689
2019,Uncapped,China,Overall,234
2019,Uncapped,ROW,Overall,891
2019,Uncapped,Overall,EB-3,1213
2019,Uncapped,Overall,EB-2,665
2019,Uncapped,Overall,EB-4,933
2019,Uncapped,Overall,EB-1,3
2020,Uncapped,India,Overall,1957
2020,Uncapped,China,Overall,233
2020,Uncapped,ROW,Overall,1037
2020,Uncapped,Overall,EB-3,1121
2020,Uncapped,Overall,EB-2,1021
2020,Uncapped,Overall,EB-4,1077
2020,Uncapped,Overall,EB-1,8
2021,Uncapped,India,Overall,2328
2021,Uncapped,China,Overall,317
2021,Uncapped,ROW,Overall,1209
2021,Uncapped,Overall,EB-3,1358
2021,Uncapped,Overall,EB-2,1229
2021,Uncapped,Overall,EB-4,1251
2021,Uncapped,Overall,EB-5,11
2021,Uncapped,Overall,EB-1,5
2022,Uncapped,India,Overall,2464
2022,Uncapped,China,Overall,330
2022,Uncapped,ROW,Overall,1234
2022,Uncapped,Overall,EB-3,1489
2022,Uncapped,Overall,EB-2,1234
2022,Uncapped,Overall,EB-4,1249
2022,Uncapped,Overall,EB-5,55
2022,Uncapped,Overall,EB-1,1
2023,Uncapped,India,Overall,3453
2023,Uncapped,China,Overall,442
2023,Uncapped,ROW,Overall,1412
2023,Uncapped,Overall,EB-3,1862
2023,Uncapped,Overall,EB-2,1837
2023,Uncapped,Overall,EB-4,1460
2023,Uncapped,Overall,EB-5,146
2023,Uncapped,Overall,EB-1,2
2024,Uncapped,India,Overall,4159
2024,Uncapped,China,Overall,735
2024,Uncapped,ROW,Overall,1812
2024,Uncapped,Overall,EB-3,2084
2024,Uncapped,Overall,EB-2,2486
2024,Uncapped,Overall,EB-4,1840
2024,Uncapped,Overall,EB-5,288
2024,Uncapped,Overall,EB-1,8
2025,Uncapped,India,Overall,4037
2025,Uncapped,China,Overall,791
2025,Uncapped,ROW,Overall,2113
2025,Uncapped,Overall,EB-3,1835
2025,Uncapped,Overall,EB-2,2767
2025,Uncapped,Overall,EB-4,2007
2025,Uncapped,Overall,EB-5,327
2025,Uncapped,Overall,EB-1,5
2026,Uncapped,India,Overall,3671
2026,Uncapped,China,Overall,782
2026,Uncapped,ROW,Overall,2580
2026,Uncapped,Overall,EB-3,1350
2026,Uncapped,Overall,EB-2,3207
2026,Uncapped,Overall,EB-4,2249
2026,Uncapped,Overall,EB-5,202
2026,Uncapped,Overall,EB-1,25
2027,Uncapped,India,Overall,3965
2027,Uncapped,China,Overall,812
2027,Uncapped,ROW,Overall,3408
2027,Uncapped,Overall,EB-2,4103
2027,Uncapped,Overall,EB-3,1360
2027,Uncapped,Overall,EB-4,2579
2027,Uncapped,Overall,EB-5,111
2027,Uncapped,Overall,EB-1,32
2028,Uncapped,India,Overall,4211
2028,Uncapped,China,Overall,801
2028,Uncapped,ROW,Overall,4171
2028,Uncapped,Overall,EB-2,4756
2028,Uncapped,Overall,EB-4,2781
2028,Uncapped,Overall,EB-3,1584
2028,Uncapped,Overall,EB-5,27
2028,Uncapped,Overall,EB-1,35
2029,Uncapped,India,Overall,4446
2029,Uncapped,China,Overall,830
2029,Uncapped,ROW,Overall,5030
2029,Uncapped,Overall,EB-2,5384
2029,Uncapped,Overall,EB-4,2947
2029,Uncapped,Overall,EB-3,1896
2029,Uncapped,Overall,EB-5,41
2029,Uncapped,Overall,EB-1,38
2030,Uncapped,India,Overall,5094
2030,Uncapped,China,Overall,784
2030,Uncapped,ROW,Overall,6296
2030,Uncapped,Overall,EB-2,6488
2030,Uncapped,Overall,EB-4,3123
2030,Uncapped,Overall,EB-3,2471
2030,Uncapped,Overall,EB-5,41
2030,Uncapped,Overall,EB-1,51
2031,Uncapped,India,Overall,5467
2031,Uncapped,China,Overall,1021
2031,Uncapped,ROW,Overall,7559
2031,Uncapped,Overall,EB-2,7343
2031,Uncapped,Overall,EB-4,3542
2031,Uncapped,Overall,EB-3,3056
2031,Uncapped,Overall,EB-5,47
2031,Uncapped,Overall,EB-1,59
2032,Uncapped,India,Overall,5947
2032,Uncapped,China,Overall,1142
2032,Uncapped,ROW,Overall,8878
2032,Uncapped,Overall,EB-2,8475
