Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,ROW,Overall,37
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,38
2012,Uncapped,China,Overall,34
2012,Uncapped,ROW,Overall,79
2012,Uncapped,India,Overall,46
2012,Uncapped,Overall,EB-3,157
2012,Uncapped,Overall,EB-2,1
2012,Uncapped,Overall,EB-4,1
2013,Uncapped,China,Overall,61
2013,Uncapped,India,Overall,140
2013,Uncapped,ROW,Overall,69
2013,Uncapped,Overall,EB-3,256
2013,Uncapped,Overall,EB-2,1
2013,Uncapped,Overall,EB-4,13
2014,Uncapped,India,Overall,221
2014,Uncapped,China,Overall,59
2014,Uncapped,ROW,Overall,45
2014,Uncapped,Overall,EB-3,255
2014,Uncapped,Overall,EB-2,34
2014,Uncapped,Overall,EB-4,36
2015,Uncapped,India,Overall,198
2015,Uncapped,China,Overall,94
2015,Uncapped,ROW,Overall,107
2015,Uncapped,Overall,EB-3,221
2015,Uncapped,Overall,EB-2,69
2015,Uncapped,Overall,EB-4,109
2016,Uncapped,China,Overall,271
2016,Uncapped,India,Overall,345
2016,Uncapped,ROW,Overall,190
2016,Uncapped,Overall,EB-3,499
2016,Uncapped,Overall,EB-2,110
2016,Uncapped,Overall,EB-4,197
2017,Uncapped,India,Overall,636
2017,Uncapped,China,Overall,178
2017,Uncapped,ROW,Overall,336
2017,Uncapped,Overall,EB-3,606
2017,Uncapped,Overall,EB-2,184
2017,Uncapped,Overall,EB-4,360
2018,Uncapped,India,Overall,902
2018,Uncapped,China,Overall,37
2018,Uncapped,ROW,Overall,484
2018,Uncapped,Overall,EB-3,631
2018,Uncapped,Overall,EB-2,274
2018,Uncapped,Overall,EB-4,518
2019,Uncapped,India,Overall,1392
2019,Uncapped,China,Overall,173
2019,Uncapped,ROW,Overall,659
2019,Uncapped,Overall,EB-3,1034
2019,Uncapped,Overall,EB-2,492
2019,Uncapped,Overall,EB-4,698
2020,Uncapped,India,Overall,1685
2020,Uncapped,China,Overall,165
2020,Uncapped,ROW,Overall,794
2020,Uncapped,Overall,EB-3,1032
2020,Uncapped,Overall,EB-2,761
2020,Uncapped,Overall,EB-4,848
2020,Uncapped,Overall,EB-1,3
2021,Uncapped,China,Overall,220
2021,Uncapped,India,Overall,1951
2021,Uncapped,ROW,Overall,905
2021,Uncapped,Overall,EB-3,1210
2021,Uncapped,Overall,EB-2,920
2021,Uncapped,Overall,EB-4,946
2022,Uncapped,India,Overall,2032
2022,Uncapped,China,Overall,188
2022,Uncapped,ROW,Overall,918
2022,Uncapped,Overall,EB-3,1279
2022,Uncapped,Overall,EB-2,890
2022,Uncapped,Overall,EB-4,961
2022,Uncapped,Overall,EB-5,8
2023,Uncapped,India,Overall,2833
2023,Uncapped,China,Overall,196
2023,Uncapped,ROW,Overall,999
2023,Uncapped,Overall,EB-3,1634
2023,Uncapped,Overall,EB-2,1310
2023,Uncapped,Overall,EB-4,1045
2023,Uncapped,Overall,EB-5,39
2024,Uncapped,India,Overall,3543
2024,Uncapped,China,Overall,392
2024,Uncapped,ROW,Overall,1332
2024,Uncapped,Overall,EB-3,1876
2024,Uncapped,Overall,EB-2,1853
2024,Uncapped,Overall,EB-4,1383
2024,Uncapped,Overall,EB-5,155
2025,Uncapped,India,Overall,3492
2025,Uncapped,China,Overall,505
2025,Uncapped,ROW,Overall,1543
2025,Uncapped,Overall,EB-3,1621
2025,Uncapped,Overall,EB-2,2200
2025,Uncapped,Overall,EB-4,1573
2025,Uncapped,Overall,EB-5,146
2026,Uncapped,India,Overall,3095
2026,Uncapped,China,Overall,483
2026,Uncapped,ROW,Overall,1852
2026,Uncapped,Overall,EB-3,1175
2026,Uncapped,Overall,EB-2,2464
2026,Uncapped,Overall,EB-4,1740
2026,Uncapped,Overall,EB-5,39
2026,Uncapped,Overall,EB-1,12
2027,Uncapped,India,Overall,3156
2027,Uncapped,China,Overall,541
2027,Uncapped,ROW,Overall,2350
2027,Uncapped,Overall,EB-2,3024
2027,Uncapped,Overall,EB-3,955
2027,Uncapped,Overall,EB-4,2042
2027,Uncapped,Overall,EB-5,16
2027,Uncapped,Overall,EB-1,10
2028,Uncapped,India,Overall,3356
2028,Uncapped,China,Overall,601
2028,Uncapped,ROW,Overall,3016
2028,Uncapped,Overall,EB-2,3531
2028,Uncapped,Overall,EB-3,1137
2028,Uncapped,Overall,EB-4,2285
2028,Uncapped,Overall,EB-5,7
2028,Uncapped,Overall,EB-1,13
2029,Uncapped,India,Overall,3701
2029,Uncapped,China,Overall,649
2029,Uncapped,ROW,Overall,3524
2029,Uncapped,Overall,EB-2,4135
2029,Uncapped,Overall,EB-4,2358
2029,Uncapped,Overall,EB-3,1350
2029,Uncapped,Overall,EB-5,11
2029,Uncapped,Overall,EB-1,20
2030,Uncapped,India,Overall,4088
2030,Uncapped,China,Overall,671
2030,Uncapped,ROW,Overall,4529
2030,Uncapped,Overall,EB-2,4890
2030,Uncapped,Overall,EB-4,2597
2030,Uncapped,Overall,EB-3,1768
2030,Uncapped,Overall,EB-5,11
2030,Uncapped,Overall,EB-1,22
2031,Uncapped,India,Overall,4471
2031,Uncapped,China,Overall,845
2031,Uncapped,ROW,Overall,5482
2031,Uncapped,Overall,EB-2,5581
2031,Uncapped,Overall,EB-4,2840
2031,Uncapped,Overall,EB-3,2340
2031,Uncapped,Overall,EB-5,15
2031,Uncapped,Overall,EB-1,22
2032,Uncapped,India,Overall,4830
2032,Uncapped,China,Overall,906
2032,Uncapped,ROW,Overall,6690
2032,Uncapped,Overall,EB-2,6473
2032,Uncapped,Overall,EB-4,3235
2032,Uncapped,Overall,EB-3,2684
2032,Uncapped,Overall,EB-5,14
2032,Uncapped,Overall,EB-1,20
2033,Uncapped,India,Overall,5228
2033,Uncapped,China,Overall,937
2033,Uncapped,ROW,Overall,7707
2033,Uncapped,Overall,EB-2,7341
2033,Uncapped,Overall,EB-4,3447
2033,Uncapped,Overall,EB-3,3011
2033,Uncapped,Overall,EB-5,30
2033,Uncapped,Overall,EB-1,43
2034,Uncapped,India,Overall,5701
2034,Uncapped,China,Overall,1162
2034,Uncapped,ROW,Overall,8588
2034,Uncapped,Overall,EB-2,8371
2034,Uncapped,Overall,EB-4,3663
2034,Uncapped,Overall,EB-3,3347
2034,Uncapped,Overall,EB-5,25
2034,Uncapped,Overall,EB-1,45
2035,Uncapped,India,Overall,6210
2035,Uncapped,China,Overall,1185
2035,Uncapped,ROW,Overall,9335
2035,Uncapped,Overall,EB-2,9318
2035,Uncapped,Overall,EB-4,3761
2035,Uncapped,Overall,EB-3,3583
2035,Uncapped,Overall,EB-5,25
2035,Uncapped,Overall,EB-1,43
2036,Uncapped,India,Overall,6805
2036,Uncapped,China,Overall,1227
2036,Uncapped,ROW,Overall,10176
2036,Uncapped,Overall,EB-2,10315
2036,Uncapped,Overall,EB-4,3907
2036,Uncapped,Overall,EB-3,3897
2036,Uncapped,Overall,EB-5,40
2036,Uncapped,Overall,EB-1,49
2037,Uncapped,India,Overall,7129
2037,Uncapped,China,Overall,1323
2037,Uncapped,ROW,Overall,11084
2037,Uncapped,Overall,EB-2,11318
2037,Uncapped,Overall,EB-4,4035
2037,Uncapped,Overall,EB-3,4085
2037,Uncapped,Overall,EB-1,62
2037,Uncapped,Overall,EB-5,36
2038,Uncapped,India,Overall,7745
2038,Uncapped,China,Overall,1410
2038,Uncapped,ROW,Overall,11769
2038,Uncapped,Overall,EB-2,12317
2038,Uncapped,Overall,EB-4,4094
2038,Uncapped,Overall,EB-3,4374
2038,Uncapped,Overall,EB-1,101
2038,Uncapped,Overall,EB-5,38
2039,Uncapped,India,Overall,8289
2039,Uncapped,China,Overall,1566
2039,Uncapped,ROW,Overall,12817
2039,Uncapped,Overall,EB-2,13555
2039,Uncapped,Overall,EB-4,4319
2039,Uncapped,Overall,EB-3,4630
2039,Uncapped,Overall,EB-1,134
2039,Uncapped,Overall,EB-5,34
2040,Uncapped,India,Overall,9012
2040,Uncapped,ROW,Overall,13825
2040,Uncapped,China,Overall,1638
2040,Uncapped,Overall,EB-2,14639
2040,Uncapped,Overall,EB-4,4596
2040,Uncapped,Overall,EB-3,5003
2040,Uncapped,Overall,EB-5,59
2040,Uncapped,Overall,EB-1,178
2011,Capped,ROW,Overall,37
2011,Capped,India,Overall,1
2011,Capped,Overall,EB-3,38
2012,Capped,China,Overall,34
2012,Capped,ROW,Overall,79
2012,Capped,India,Overall,46
2012,Capped,Overall,EB-3,157
2012,Capped,Overall,EB-2,1
2012,Capped,Overall,EB-4,1
2013,Capped,China,Overall,61
2013,Capped,India,Overall,140
2013,Capped,ROW,Overall,69
2013,Capped,Overall,EB-3,256
2013,Capped,Overall,EB-2,1
2013,Capped,Overall,EB-4,13
2014,Capped,India,Overall,221
2014,Capped,China,Overall,59
2014,Capped,ROW,Overall,45
2014,Capped,Overall,EB-3,255
2014,Capped,Overall,EB-2,34
2014,Capped,Overall,EB-4,36
2015,Capped,India,Overall,198
2015,Capped,China,Overall,94
2015,Capped,ROW,Overall,107
2015,Capped,Overall,EB-3,221
2015,Capped,Overall,EB-2,69
2015,Capped,Overall,EB-4,109
2016,Capped,China,Overall,271
2016,Capped,India,Overall,345
2016,Capped,ROW,Overall,190
2016,Capped,Overall,EB-3,499
2016,Capped,Overall,EB-2,110
2016,Capped,Overall,EB-4,197
2017,Capped,India,Overall,636
2017,Capped,China,Overall,178
2017,Capped,ROW,Overall,336
2017,Capped,Overall,EB-3,606
2017,Capped,Overall,EB-2,184
2017,Capped,Overall,EB-4,360
2018,Capped,India,Overall,902
2018,Capped,China,Overall,37
2018,Capped,ROW,Overall,484
2018,Capped,Overall,EB-3,631
2018,Capped,Overall,EB-2,274
2018,Capped,Overall,EB-4,518
2019,Capped,India,Overall,1392
2019,Capped,China,Overall,173
2019,Capped,ROW,Overall,659
2019,Capped,Overall,EB-3,1034
2019,Capped,Overall,EB-2,492
2019,Capped,Overall,EB-4,698
2020,Capped,India,Overall,1685
2020,Capped,China,Overall,165
2020,Capped,ROW,Overall,794
2020,Capped,Overall,EB-3,1032
2020,Capped,Overall,EB-2,761
2020,Capped,Overall,EB-4,848
2020,Capped,Overall,EB-1,3
2021,Capped,China,Overall,220
2021,Capped,India,Overall,1951
2021,Capped,ROW,Overall,905
2021,Capped,Overall,EB-3,1210
2021,Capped,Overall,EB-2,920
2021,Capped,Overall,EB-4,946
2022,Capped,India,Overall,2032
2022,Capped,China,Overall,188
2022,Capped,ROW,Overall,918
2022,Capped,Overall,EB-3,1279
2022,Capped,Overall,EB-2,890
2022,Capped,Overall,EB-4,961
2022,Capped,Overall,EB-5,8
2023,Capped,India,Overall,2833
2023,Capped,China,Overall,196
2023,Capped,ROW,Overall,999
2023,Capped,Overall,EB-3,1634
2023,Capped,Overall,EB-2,1310
2023,Capped,Overall,EB-4,1045
2023,Capped,Overall,EB-5,39
