Year,Scenario,Nationality,EB_Category,Count
2015,Uncapped,India,Overall,1
2015,Uncapped,Overall,EB-3,1
2016,Uncapped,India,Overall,161
2016,Uncapped,China,Overall,67
2016,Uncapped,Overall,EB-3,228
2017,Uncapped,India,Overall,152
2017,Uncapped,China,Overall,34
2017,Uncapped,Overall,EB-3,185
2017,Uncapped,Overall,EB-2,1
2018,Uncapped,China,Overall,57
2018,Uncapped,India,Overall,167
2018,Uncapped,Overall,EB-3,168
2018,Uncapped,Overall,EB-2,56
2019,Uncapped,China,Overall,147
2019,Uncapped,India,Overall,289
2019,Uncapped,ROW,Overall,10
2019,Uncapped,Overall,EB-3,348
2019,Uncapped,Overall,EB-2,88
2019,Uncapped,Overall,EB-4,10
2020,Uncapped,India,Overall,931
2020,Uncapped,China,Overall,88
2020,Uncapped,ROW,Overall,35
2020,Uncapped,Overall,EB-3,870
2020,Uncapped,Overall,EB-2,147
2020,Uncapped,Overall,EB-4,37
2021,Uncapped,India,Overall,831
2021,Uncapped,China,Overall,97
2021,Uncapped,ROW,Overall,64
2021,Uncapped,Overall,EB-3,757
2021,Uncapped,Overall,EB-2,164
2021,Uncapped,Overall,EB-4,71
2022,Uncapped,India,Overall,764
2022,Uncapped,China,Overall,40
2022,Uncapped,ROW,Overall,194
2022,Uncapped,Overall,EB-3,638
2022,Uncapped,Overall,EB-2,158
2022,Uncapped,Overall,EB-4,202
2023,Uncapped,India,Overall,1041
2023,Uncapped,China,Overall,31
2023,Uncapped,ROW,Overall,385
2023,Uncapped,Overall,EB-3,761
2023,Uncapped,Overall,EB-2,304
2023,Uncapped,Overall,EB-4,392
2024,Uncapped,India,Overall,2375
2024,Uncapped,China,Overall,60
2024,Uncapped,ROW,Overall,424
2024,Uncapped,Overall,EB-3,1824
2024,Uncapped,Overall,EB-2,598
2024,Uncapped,Overall,EB-4,437
2025,Uncapped,India,Overall,1356
2025,Uncapped,China,Overall,95
2025,Uncapped,ROW,Overall,469
2025,Uncapped,Overall,EB-3,828
2025,Uncapped,Overall,EB-2,603
2025,Uncapped,Overall,EB-4,489
2026,Uncapped,India,Overall,1028
2026,Uncapped,China,Overall,145
2026,Uncapped,ROW,Overall,594
2026,Uncapped,Overall,EB-3,316
2026,Uncapped,Overall,EB-2,821
2026,Uncapped,Overall,EB-4,630
2027,Uncapped,India,Overall,1105
2027,Uncapped,China,Overall,188
2027,Uncapped,ROW,Overall,661
2027,Uncapped,Overall,EB-2,1087
2027,Uncapped,Overall,EB-3,168
2027,Uncapped,Overall,EB-4,699
2028,Uncapped,India,Overall,1451
2028,Uncapped,China,Overall,253
2028,Uncapped,ROW,Overall,895
2028,Uncapped,Overall,EB-2,1467
2028,Uncapped,Overall,EB-4,934
2028,Uncapped,Overall,EB-3,198
2029,Uncapped,India,Overall,1657
2029,Uncapped,China,Overall,286
2029,Uncapped,ROW,Overall,1094
2029,Uncapped,Overall,EB-2,1737
2029,Uncapped,Overall,EB-4,1104
2029,Uncapped,Overall,EB-3,196
2030,Uncapped,India,Overall,1894
2030,Uncapped,China,Overall,353
2030,Uncapped,ROW,Overall,1741
2030,Uncapped,Overall,EB-2,2168
2030,Uncapped,Overall,EB-4,1434
2030,Uncapped,Overall,EB-3,386
2031,Uncapped,India,Overall,2089
2031,Uncapped,China,Overall,380
2031,Uncapped,ROW,Overall,2408
2031,Uncapped,Overall,EB-2,2560
2031,Uncapped,Overall,EB-4,1751
2031,Uncapped,Overall,EB-3,566
2032,Uncapped,India,Overall,2357
2032,Uncapped,China,Overall,423
2032,Uncapped,ROW,Overall,3075
2032,Uncapped,Overall,EB-2,3064
2032,Uncapped,Overall,EB-4,2024
2032,Uncapped,Overall,EB-3,767
2033,Uncapped,India,Overall,2706
2033,Uncapped,China,Overall,542
2033,Uncapped,ROW,Overall,3878
2033,Uncapped,Overall,EB-2,3740
2033,Uncapped,Overall,EB-4,2422
2033,Uncapped,Overall,EB-3,964
2034,Uncapped,India,Overall,3033
2034,Uncapped,China,Overall,662
2034,Uncapped,ROW,Overall,4512
2034,Uncapped,Overall,EB-2,4689
2034,Uncapped,Overall,EB-4,2382
2034,Uncapped,Overall,EB-3,1136
2035,Uncapped,India,Overall,3372
2035,Uncapped,China,Overall,734
2035,Uncapped,ROW,Overall,5431
2035,Uncapped,Overall,EB-2,5587
2035,Uncapped,Overall,EB-4,2561
2035,Uncapped,Overall,EB-3,1389
2036,Uncapped,India,Overall,4136
2036,Uncapped,China,Overall,881
2036,Uncapped,ROW,Overall,6424
2036,Uncapped,Overall,EB-2,6744
2036,Uncapped,Overall,EB-4,2897
2036,Uncapped,Overall,EB-3,1800
2037,Uncapped,India,Overall,4879
2037,Uncapped,China,Overall,916
2037,Uncapped,ROW,Overall,7473
2037,Uncapped,Overall,EB-2,8014
2037,Uncapped,Overall,EB-4,3071
2037,Uncapped,Overall,EB-3,2183
2038,Uncapped,India,Overall,5268
2038,Uncapped,China,Overall,1031
2038,Uncapped,ROW,Overall,8720
2038,Uncapped,Overall,EB-2,9296
2038,Uncapped,Overall,EB-4,3278
2038,Uncapped,Overall,EB-3,2445
2039,Uncapped,India,Overall,5653
2039,Uncapped,ROW,Overall,9435
2039,Uncapped,China,Overall,1098
2039,Uncapped,Overall,EB-2,10117
2039,Uncapped,Overall,EB-4,3422
2039,Uncapped,Overall,EB-3,2647
2040,Uncapped,ROW,Overall,10047
2040,Uncapped,India,Overall,6200
2040,Uncapped,China,Overall,1196
2040,Uncapped,Overall,EB-2,10936
2040,Uncapped,Overall,EB-4,3706
2040,Uncapped,Overall,EB-3,2801
2015,Capped,India,Overall,1
2015,Capped,Overall,EB-3,1
2016,Capped,India,Overall,161
2016,Capped,China,Overall,67
2016,Capped,Overall,EB-3,228
2017,Capped,India,Overall,152
2017,Capped,China,Overall,34
2017,Capped,Overall,EB-3,185
2017,Capped,Overall,EB-2,1
2018,Capped,China,Overall,57
2018,Capped,India,Overall,167
2018,Capped,Overall,EB-3,168
2018,Capped,Overall,EB-2,56
2019,Capped,China,Overall,147
2019,Capped,India,Overall,289
2019,Capped,ROW,Overall,10
2019,Capped,Overall,EB-3,348
2019,Capped,Overall,EB-2,88
2019,Capped,Overall,EB-4,10
2020,Capped,India,Overall,931
2020,Capped,China,Overall,88
2020,Capped,ROW,Overall,35
2020,Capped,Overall,EB-3,870
2020,Capped,Overall,EB-2,147
2020,Capped,Overall,EB-4,37
2021,Capped,India,Overall,831
2021,Capped,China,Overall,97
2021,Capped,ROW,Overall,64
2021,Capped,Overall,EB-3,757
2021,Capped,Overall,EB-2,164
2021,Capped,Overall,EB-4,71
2022,Capped,India,Overall,764
2022,Capped,China,Overall,40
2022,Capped,ROW,Overall,194
2022,Capped,Overall,EB-3,638
2022,Capped,Overall,EB-2,158
2022,Capped,Overall,EB-4,202
2023,Capped,India,Overall,1041
2023,Capped,China,Overall,31
2023,Capped,ROW,Overall,385
2023,Capped,Overall,EB-3,761
2023,Capped,Overall,EB-2,304
2023,Capped,Overall,EB-4,392
2024,Capped,India,Overall,2375
2024,Capped,China,Overall,60
2024,Capped,ROW,Overall,424
2024,Capped,Overall,EB-3,1824
2024,Capped,Overall,EB-2,598
2024,Capped,Overall,EB-4,437
2025,Capped,India,Overall,2242
2025,Capped,China,Overall,63
2025,Capped,ROW,Overall,465
2025,Capped,Overall,EB-3,1387
2025,Capped,Overall,EB-2,905
2025,Capped,Overall,EB-4,478
2026,Capped,India,Overall,3094
2026,Capped,China,Overall,83
2026,Capped,ROW,Overall,607
2026,Capped,Overall,EB-3,1705
2026,Capped,Overall,EB-2,1449
2026,Capped,Overall,EB-4,630
2027,Capped,India,Overall,3663
2027,Capped,China,Overall,131
2027,Capped,ROW,Overall,705
2027,Capped,Overall,EB-3,1654
2027,Capped,Overall,EB-2,2118
2027,Capped,Overall,EB-4,727
2028,Capped,India,Overall,5928
2028,Capped,China,Overall,203
2028,Capped,ROW,Overall,881
2028,Capped,Overall,EB-3,3387
2028,Capped,Overall,EB-2,2712
2028,Capped,Overall,EB-4,913
2029,Capped,India,Overall,6481
2029,Capped,China,Overall,265
2029,Capped,ROW,Overall,1064
2029,Capped,Overall,EB-3,2620
2029,Capped,Overall,EB-2,4064
2029,Capped,Overall,EB-4,1126
2030,Capped,India,Overall,7610
2030,Capped,China,Overall,400
2030,Capped,ROW,Overall,1373
2030,Capped,Overall,EB-3,2929
2030,Capped,Overall,EB-2,5012
2030,Capped,Overall,EB-4,1442
2031,Capped,India,Overall,8281
2031,Capped,China,Overall,498
2031,Capped,ROW,Overall,1690
2031,Capped,Overall,EB-3,2256
2031,Capped,Overall,EB-2,6444
2031,Capped,Overall,EB-4,1769
2032,Capped,India,Overall,9468
2032,Capped,China,Overall,554
2032,Capped,ROW,Overall,1830
2032,Capped,Overall,EB-3,2573
2032,Capped,Overall,EB-2,7347
2032,Capped,Overall,EB-4,1932
2033,Capped,India,Overall,11272
2033,Capped,China,Overall,660
2033,Capped,ROW,Overall,2263
2033,Capped,Overall,EB-3,2636
2033,Capped,Overall,EB-2,9182
2033,Capped,Overall,EB-4,2375
2033,Capped,Overall,EB-1,2
2034,Capped,India,Overall,13294
2034,Capped,China,Overall,791
2034,Capped,ROW,Overall,2318
2034,Capped,Overall,EB-3,2779
2034,Capped,Overall,EB-2,11142
2034,Capped,Overall,EB-4,2480
2034,Capped,Overall,EB-1,2
2035,Capped,India,Overall,14958
2035,Capped,China,Overall,989
2035,Capped,ROW,Overall,2497
2035,Capped,Overall,EB-2,12572
2035,Capped,Overall,EB-3,3213
2035,Capped,Overall,EB-4,2658
2035,Capped,Overall,EB-1,1
2036,Capped,India,Overall,17167
2036,Capped,China,Overall,1165
2036,Capped,ROW,Overall,2790
2036,Capped,Overall,EB-2,13683
2036,Capped,Overall,EB-3,4442
2036,Capped,Overall,EB-4,2978
2036,Capped,Overall,EB-1,19
2037,Capped,India,Overall,17201
2037,Capped,China,Overall,1215
2037,Capped,ROW,Overall,2995
2037,Capped,Overall,EB-2,13972
2037,Capped,Overall,EB-3,4269
2037,Capped,Overall,EB-4,3131
2037,Capped,Overall,EB-1,39
2038,Capped,India,Overall,17165
2038,Capped,China,Overall,1430
2038,Capped,ROW,Overall,3161
2038,Capped,Overall,EB-2,13797
2038,Capped,Overall,EB-3,4617
2038,Capped,Overall,EB-4,3286
2038,Capped,Overall,EB-1,56
2039,Capped,India,Overall,16911
2039,Capped,China,Overall,1575
2039,Capped,ROW,Overall,3265
2039,Capped,Overall,EB-2,13573
2039,Capped,Overall,EB-3,4775
2039,Capped,Overall,EB-4,3340
2039,Capped,Overall,EB-1,63
2040,Capped,India,Overall,18821
2040,Capped,China,Overall,1795
2040,Capped,ROW,Overall,3530
2040,Capped,Overall,EB-2,13833
2040,Capped,Overall,EB-3,6679
2040,Capped,Overall,EB-4,3540
2040,Capped,Overall,EB-1,89
2040,Capped,Overall,EB-5,5
