Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,ROW,Overall,31
2011,Uncapped,Overall,EB-3,31
2012,Uncapped,ROW,Overall,40
2012,Uncapped,India,Overall,34
2012,Uncapped,China,Overall,34
2012,Uncapped,Overall,EB-3,108
2013,Uncapped,India,Overall,117
2013,Uncapped,China,Overall,47
2013,Uncapped,ROW,Overall,23
2013,Uncapped,Overall,EB-3,177
2013,Uncapped,Overall,EB-4,10
2014,Uncapped,India,Overall,143
2014,Uncapped,China,Overall,35
2014,Uncapped,ROW,Overall,21
2014,Uncapped,Overall,EB-3,174
2014,Uncapped,Overall,EB-2,1
2014,Uncapped,Overall,EB-4,24
2015,Uncapped,India,Overall,105
2015,Uncapped,China,Overall,57
2015,Uncapped,ROW,Overall,67
2015,Uncapped,Overall,EB-3,149
2015,Uncapped,Overall,EB-2,12
2015,Uncapped,Overall,EB-4,68
2016,Uncapped,India,Overall,216
2016,Uncapped,China,Overall,188
2016,Uncapped,ROW,Overall,160
2016,Uncapped,Overall,EB-3,361
2016,Uncapped,Overall,EB-2,38
2016,Uncapped,Overall,EB-4,165
2017,Uncapped,India,Overall,374
2017,Uncapped,China,Overall,121
2017,Uncapped,ROW,Overall,211
2017,Uncapped,Overall,EB-3,412
2017,Uncapped,Overall,EB-2,71
2017,Uncapped,Overall,EB-4,223
2018,Uncapped,India,Overall,509
2018,Uncapped,China,Overall,35
2018,Uncapped,ROW,Overall,341
2018,Uncapped,Overall,EB-3,432
2018,Uncapped,Overall,EB-2,98
2018,Uncapped,Overall,EB-4,355
2019,Uncapped,India,Overall,885
2019,Uncapped,China,Overall,123
2019,Uncapped,ROW,Overall,456
2019,Uncapped,Overall,EB-3,746
2019,Uncapped,Overall,EB-2,239
2019,Uncapped,Overall,EB-4,479
2020,Uncapped,India,Overall,1004
2020,Uncapped,China,Overall,99
2020,Uncapped,ROW,Overall,624
2020,Uncapped,Overall,EB-3,713
2020,Uncapped,Overall,EB-2,353
2020,Uncapped,Overall,EB-4,661
2021,Uncapped,India,Overall,999
2021,Uncapped,China,Overall,124
2021,Uncapped,ROW,Overall,662
2021,Uncapped,Overall,EB-3,667
2021,Uncapped,Overall,EB-2,423
2021,Uncapped,Overall,EB-4,695
2022,Uncapped,India,Overall,1178
2022,Uncapped,China,Overall,104
2022,Uncapped,ROW,Overall,660
2022,Uncapped,Overall,EB-3,794
2022,Uncapped,Overall,EB-2,458
2022,Uncapped,Overall,EB-4,690
2023,Uncapped,India,Overall,1500
2023,Uncapped,China,Overall,100
2023,Uncapped,ROW,Overall,748
2023,Uncapped,Overall,EB-3,935
2023,Uncapped,Overall,EB-2,627
2023,Uncapped,Overall,EB-4,786
2024,Uncapped,India,Overall,1878
2024,Uncapped,China,Overall,223
2024,Uncapped,ROW,Overall,950
2024,Uncapped,Overall,EB-3,1097
2024,Uncapped,Overall,EB-2,927
2024,Uncapped,Overall,EB-4,984
2024,Uncapped,Overall,EB-5,43
2025,Uncapped,India,Overall,1631
2025,Uncapped,China,Overall,226
2025,Uncapped,ROW,Overall,1061
2025,Uncapped,Overall,EB-3,721
2025,Uncapped,Overall,EB-2,1101
2025,Uncapped,Overall,EB-4,1094
2025,Uncapped,Overall,EB-5,2
2026,Uncapped,India,Overall,1532
2026,Uncapped,China,Overall,278
2026,Uncapped,ROW,Overall,1266
2026,Uncapped,Overall,EB-2,1342
2026,Uncapped,Overall,EB-3,482
2026,Uncapped,Overall,EB-4,1251
2026,Uncapped,Overall,EB-5,1
2027,Uncapped,India,Overall,1479
2027,Uncapped,China,Overall,352
2027,Uncapped,ROW,Overall,1652
2027,Uncapped,Overall,EB-2,1511
2027,Uncapped,Overall,EB-3,473
2027,Uncapped,Overall,EB-4,1498
2027,Uncapped,Overall,EB-5,1
2028,Uncapped,India,Overall,1686
2028,Uncapped,China,Overall,425
2028,Uncapped,ROW,Overall,1924
2028,Uncapped,Overall,EB-2,1815
2028,Uncapped,Overall,EB-4,1576
2028,Uncapped,Overall,EB-3,642
2028,Uncapped,Overall,EB-1,1
2028,Uncapped,Overall,EB-5,1
2029,Uncapped,India,Overall,1937
2029,Uncapped,China,Overall,425
2029,Uncapped,ROW,Overall,2471
2029,Uncapped,Overall,EB-2,2228
2029,Uncapped,Overall,EB-4,1799
2029,Uncapped,Overall,EB-3,802
2029,Uncapped,Overall,EB-5,2
2029,Uncapped,Overall,EB-1,2
2030,Uncapped,India,Overall,2036
2030,Uncapped,China,Overall,453
2030,Uncapped,ROW,Overall,3163
2030,Uncapped,Overall,EB-2,2570
2030,Uncapped,Overall,EB-4,2064
2030,Uncapped,Overall,EB-3,1013
2030,Uncapped,Overall,EB-1,4
2030,Uncapped,Overall,EB-5,1
2031,Uncapped,India,Overall,2240
2031,Uncapped,China,Overall,551
2031,Uncapped,ROW,Overall,3887
2031,Uncapped,Overall,EB-2,3102
2031,Uncapped,Overall,EB-4,2262
2031,Uncapped,Overall,EB-3,1308
2031,Uncapped,Overall,EB-5,1
2031,Uncapped,Overall,EB-1,5
2032,Uncapped,India,Overall,2364
2032,Uncapped,China,Overall,589
2032,Uncapped,ROW,Overall,4330
2032,Uncapped,Overall,EB-2,3493
2032,Uncapped,Overall,EB-4,2346
2032,Uncapped,Overall,EB-3,1439
2032,Uncapped,Overall,EB-1,4
2032,Uncapped,Overall,EB-5,1
2033,Uncapped,India,Overall,2761
2033,Uncapped,China,Overall,612
2033,Uncapped,ROW,Overall,5113
2033,Uncapped,Overall,EB-2,4249
2033,Uncapped,Overall,EB-4,2493
2033,Uncapped,Overall,EB-3,1734
2033,Uncapped,Overall,EB-5,4
2033,Uncapped,Overall,EB-1,6
2034,Uncapped,China,Overall,643
2034,Uncapped,India,Overall,2952
2034,Uncapped,ROW,Overall,5605
2034,Uncapped,Overall,EB-2,4730
2034,Uncapped,Overall,EB-4,2770
2034,Uncapped,Overall,EB-3,1687
2034,Uncapped,Overall,EB-5,2
2034,Uncapped,Overall,EB-1,11
2035,Uncapped,India,Overall,3222
2035,Uncapped,China,Overall,717
2035,Uncapped,ROW,Overall,6224
2035,Uncapped,Overall,EB-2,5343
2035,Uncapped,Overall,EB-4,2924
2035,Uncapped,Overall,EB-3,1877
2035,Uncapped,Overall,EB-5,2
2035,Uncapped,Overall,EB-1,17
2036,Uncapped,India,Overall,3465
2036,Uncapped,China,Overall,752
2036,Uncapped,ROW,Overall,6829
2036,Uncapped,Overall,EB-2,5966
2036,Uncapped,Overall,EB-4,3008
2036,Uncapped,Overall,EB-3,2059
2036,Uncapped,Overall,EB-1,12
2036,Uncapped,Overall,EB-5,1
2037,Uncapped,India,Overall,3741
2037,Uncapped,China,Overall,788
2037,Uncapped,ROW,Overall,7491
2037,Uncapped,Overall,EB-2,6655
2037,Uncapped,Overall,EB-4,3054
2037,Uncapped,Overall,EB-3,2300
2037,Uncapped,Overall,EB-1,8
2037,Uncapped,Overall,EB-5,3
2038,Uncapped,ROW,Overall,8109
2038,Uncapped,India,Overall,3997
2038,Uncapped,China,Overall,809
2038,Uncapped,Overall,EB-4,3141
2038,Uncapped,Overall,EB-2,7318
2038,Uncapped,Overall,EB-3,2445
2038,Uncapped,Overall,EB-1,7
2038,Uncapped,Overall,EB-5,4
2039,Uncapped,ROW,Overall,8518
2039,Uncapped,India,Overall,4425
2039,Uncapped,China,Overall,960
2039,Uncapped,Overall,EB-4,3432
2039,Uncapped,Overall,EB-2,7899
2039,Uncapped,Overall,EB-3,2559
2039,Uncapped,Overall,EB-1,11
2039,Uncapped,Overall,EB-5,2
2040,Uncapped,ROW,Overall,9183
2040,Uncapped,India,Overall,4848
2040,Uncapped,China,Overall,1046
2040,Uncapped,Overall,EB-4,3566
2040,Uncapped,Overall,EB-2,8700
2040,Uncapped,Overall,EB-3,2788
2040,Uncapped,Overall,EB-1,20
2040,Uncapped,Overall,EB-5,3
2011,Capped,ROW,Overall,31
2011,Capped,Overall,EB-3,31
2012,Capped,ROW,Overall,40
2012,Capped,India,Overall,34
2012,Capped,China,Overall,34
2012,Capped,Overall,EB-3,108
2013,Capped,India,Overall,117
