Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,ROW,Overall,32
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,33
2012,Uncapped,China,Overall,35
2012,Uncapped,ROW,Overall,67
2012,Uncapped,India,Overall,48
2012,Uncapped,Overall,EB-3,147
2012,Uncapped,Overall,EB-2,1
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,India,Overall,142
2013,Uncapped,China,Overall,43
2013,Uncapped,ROW,Overall,63
2013,Uncapped,Overall,EB-3,231
2013,Uncapped,Overall,EB-2,5
2013,Uncapped,Overall,EB-4,12
2014,Uncapped,India,Overall,188
2014,Uncapped,China,Overall,53
2014,Uncapped,ROW,Overall,31
2014,Uncapped,Overall,EB-3,214
2014,Uncapped,Overall,EB-2,24
2014,Uncapped,Overall,EB-4,34
2015,Uncapped,China,Overall,87
2015,Uncapped,India,Overall,166
2015,Uncapped,ROW,Overall,103
2015,Uncapped,Overall,EB-3,197
2015,Uncapped,Overall,EB-2,55
2015,Uncapped,Overall,EB-4,104
2016,Uncapped,China,Overall,237
2016,Uncapped,India,Overall,297
2016,Uncapped,ROW,Overall,202
2016,Uncapped,Overall,EB-3,427
2016,Uncapped,Overall,EB-2,96
2016,Uncapped,Overall,EB-4,213
2017,Uncapped,India,Overall,523
2017,Uncapped,China,Overall,166
2017,Uncapped,ROW,Overall,316
2017,Uncapped,Overall,EB-3,519
2017,Uncapped,Overall,EB-2,148
2017,Uncapped,Overall,EB-4,338
2018,Uncapped,India,Overall,773
2018,Uncapped,China,Overall,45
2018,Uncapped,ROW,Overall,468
2018,Uncapped,Overall,EB-3,549
2018,Uncapped,Overall,EB-2,238
2018,Uncapped,Overall,EB-4,499
2019,Uncapped,India,Overall,1170
2019,Uncapped,China,Overall,135
2019,Uncapped,ROW,Overall,677
2019,Uncapped,Overall,EB-3,878
2019,Uncapped,Overall,EB-2,390
2019,Uncapped,Overall,EB-4,714
2020,Uncapped,India,Overall,1350
2020,Uncapped,China,Overall,105
2020,Uncapped,ROW,Overall,809
2020,Uncapped,Overall,EB-3,802
2020,Uncapped,Overall,EB-2,604
2020,Uncapped,Overall,EB-4,858
2021,Uncapped,India,Overall,1526
2021,Uncapped,China,Overall,153
2021,Uncapped,ROW,Overall,897
2021,Uncapped,Overall,EB-3,951
2021,Uncapped,Overall,EB-2,688
2021,Uncapped,Overall,EB-4,937
2022,Uncapped,India,Overall,1437
2022,Uncapped,China,Overall,125
2022,Uncapped,ROW,Overall,886
2022,Uncapped,Overall,EB-3,929
2022,Uncapped,Overall,EB-2,597
2022,Uncapped,Overall,EB-4,918
2022,Uncapped,Overall,EB-5,4
2023,Uncapped,India,Overall,2111
2023,Uncapped,China,Overall,131
2023,Uncapped,ROW,Overall,996
2023,Uncapped,Overall,EB-3,1252
2023,Uncapped,Overall,EB-2,943
2023,Uncapped,Overall,EB-4,1043
2024,Uncapped,India,Overall,2520
2024,Uncapped,China,Overall,258
2024,Uncapped,ROW,Overall,1309
2024,Uncapped,Overall,EB-3,1365
2024,Uncapped,Overall,EB-2,1322
2024,Uncapped,Overall,EB-4,1342
2024,Uncapped,Overall,EB-5,58
2025,Uncapped,India,Overall,2260
2025,Uncapped,China,Overall,262
2025,Uncapped,ROW,Overall,1563
2025,Uncapped,Overall,EB-3,1001
2025,Uncapped,Overall,EB-2,1485
2025,Uncapped,Overall,EB-4,1595
2025,Uncapped,Overall,EB-5,4
2026,Uncapped,India,Overall,1974
2026,Uncapped,China,Overall,359
2026,Uncapped,ROW,Overall,1828
2026,Uncapped,Overall,EB-3,687
2026,Uncapped,Overall,EB-2,1716
2026,Uncapped,Overall,EB-4,1752
2026,Uncapped,Overall,EB-1,4
2026,Uncapped,Overall,EB-5,2
2027,Uncapped,India,Overall,2055
2027,Uncapped,China,Overall,368
2027,Uncapped,ROW,Overall,2315
2027,Uncapped,Overall,EB-2,2051
2027,Uncapped,Overall,EB-4,2054
2027,Uncapped,Overall,EB-3,614
2027,Uncapped,Overall,EB-5,8
2027,Uncapped,Overall,EB-1,11
2028,Uncapped,India,Overall,2193
2028,Uncapped,China,Overall,486
2028,Uncapped,ROW,Overall,2843
2028,Uncapped,Overall,EB-2,2389
2028,Uncapped,Overall,EB-4,2208
2028,Uncapped,Overall,EB-3,913
2028,Uncapped,Overall,EB-1,10
2028,Uncapped,Overall,EB-5,2
2029,Uncapped,India,Overall,2324
2029,Uncapped,China,Overall,463
2029,Uncapped,ROW,Overall,3337
2029,Uncapped,Overall,EB-2,2727
2029,Uncapped,Overall,EB-4,2348
2029,Uncapped,Overall,EB-3,1033
2029,Uncapped,Overall,EB-1,13
2029,Uncapped,Overall,EB-5,3
2030,Uncapped,India,Overall,2483
2030,Uncapped,China,Overall,505
2030,Uncapped,ROW,Overall,4196
2030,Uncapped,Overall,EB-2,3158
2030,Uncapped,Overall,EB-4,2594
2030,Uncapped,Overall,EB-3,1411
2030,Uncapped,Overall,EB-1,17
2030,Uncapped,Overall,EB-5,4
2031,Uncapped,India,Overall,2671
2031,Uncapped,China,Overall,592
2031,Uncapped,ROW,Overall,5031
2031,Uncapped,Overall,EB-2,3724
2031,Uncapped,Overall,EB-4,2810
2031,Uncapped,Overall,EB-3,1743
2031,Uncapped,Overall,EB-1,14
2031,Uncapped,Overall,EB-5,3
2032,Uncapped,India,Overall,2867
2032,Uncapped,China,Overall,673
2032,Uncapped,ROW,Overall,5895
2032,Uncapped,Overall,EB-2,4281
2032,Uncapped,Overall,EB-4,3167
2032,Uncapped,Overall,EB-3,1971
2032,Uncapped,Overall,EB-1,11
2032,Uncapped,Overall,EB-5,5
2033,Uncapped,China,Overall,711
2033,Uncapped,India,Overall,3053
2033,Uncapped,ROW,Overall,6565
2033,Uncapped,Overall,EB-2,4802
2033,Uncapped,Overall,EB-4,3412
2033,Uncapped,Overall,EB-3,2084
2033,Uncapped,Overall,EB-1,24
2033,Uncapped,Overall,EB-5,7
2034,Uncapped,India,Overall,3315
2034,Uncapped,China,Overall,789
2034,Uncapped,ROW,Overall,7214
2034,Uncapped,Overall,EB-2,5419
2034,Uncapped,Overall,EB-4,3534
2034,Uncapped,Overall,EB-3,2338
2034,Uncapped,Overall,EB-1,22
2034,Uncapped,Overall,EB-5,5
2035,Uncapped,ROW,Overall,7866
2035,Uncapped,India,Overall,3464
2035,Uncapped,China,Overall,786
2035,Uncapped,Overall,EB-4,3695
2035,Uncapped,Overall,EB-2,5875
2035,Uncapped,Overall,EB-3,2520
2035,Uncapped,Overall,EB-1,24
2035,Uncapped,Overall,EB-5,2
2036,Uncapped,India,Overall,3831
2036,Uncapped,China,Overall,810
2036,Uncapped,ROW,Overall,8642
2036,Uncapped,Overall,EB-2,6635
2036,Uncapped,Overall,EB-4,3905
2036,Uncapped,Overall,EB-3,2717
2036,Uncapped,Overall,EB-1,21
2036,Uncapped,Overall,EB-5,5
2037,Uncapped,India,Overall,4053
2037,Uncapped,ROW,Overall,8932
2037,Uncapped,China,Overall,868
2037,Uncapped,Overall,EB-4,3863
2037,Uncapped,Overall,EB-2,7137
2037,Uncapped,Overall,EB-3,2822
2037,Uncapped,Overall,EB-1,27
2037,Uncapped,Overall,EB-5,4
2038,Uncapped,ROW,Overall,9464
2038,Uncapped,India,Overall,4471
2038,Uncapped,China,Overall,972
2038,Uncapped,Overall,EB-4,4076
2038,Uncapped,Overall,EB-2,7724
2038,Uncapped,Overall,EB-3,3074
2038,Uncapped,Overall,EB-1,31
2038,Uncapped,Overall,EB-5,2
2039,Uncapped,ROW,Overall,10037
2039,Uncapped,India,Overall,4860
2039,Uncapped,China,Overall,1016
2039,Uncapped,Overall,EB-4,4193
2039,Uncapped,Overall,EB-2,8382
2039,Uncapped,Overall,EB-3,3298
2039,Uncapped,Overall,EB-1,39
2039,Uncapped,Overall,EB-5,1
2040,Uncapped,ROW,Overall,10568
2040,Uncapped,India,Overall,5275
2040,Uncapped,China,Overall,1091
2040,Uncapped,Overall,EB-4,4481
2040,Uncapped,Overall,EB-2,8971
2040,Uncapped,Overall,EB-3,3430
2040,Uncapped,Overall,EB-1,46
2040,Uncapped,Overall,EB-5,6
2011,Capped,ROW,Overall,32
2011,Capped,India,Overall,1
2011,Capped,Overall,EB-3,33
2012,Capped,China,Overall,35
2012,Capped,ROW,Overall,67
2012,Capped,India,Overall,48
2012,Capped,Overall,EB-3,147
2012,Capped,Overall,EB-2,1
2012,Capped,Overall,EB-4,2
2013,Capped,India,Overall,142
2013,Capped,China,Overall,43
2013,Capped,ROW,Overall,63
2013,Capped,Overall,EB-3,231
2013,Capped,Overall,EB-2,5
2013,Capped,Overall,EB-4,12
2014,Capped,India,Overall,188
2014,Capped,China,Overall,53
2014,Capped,ROW,Overall,31
2014,Capped,Overall,EB-3,214
2014,Capped,Overall,EB-2,24
2014,Capped,Overall,EB-4,34
2015,Capped,China,Overall,87
2015,Capped,India,Overall,166
2015,Capped,ROW,Overall,103
2015,Capped,Overall,EB-3,197
2015,Capped,Overall,EB-2,55
2015,Capped,Overall,EB-4,104
2016,Capped,China,Overall,237
2016,Capped,India,Overall,297
2016,Capped,ROW,Overall,202
2016,Capped,Overall,EB-3,427
2016,Capped,Overall,EB-2,96
2016,Capped,Overall,EB-4,213
2017,Capped,India,Overall,523
2017,Capped,China,Overall,166
2017,Capped,ROW,Overall,316
2017,Capped,Overall,EB-3,519
2017,Capped,Overall,EB-2,148
2017,Capped,Overall,EB-4,338
2018,Capped,India,Overall,773
2018,Capped,China,Overall,45
2018,Capped,ROW,Overall,468
2018,Capped,Overall,EB-3,549
2018,Capped,Overall,EB-2,238
2018,Capped,Overall,EB-4,499
2019,Capped,India,Overall,1170
2019,Capped,China,Overall,135
2019,Capped,ROW,Overall,677
2019,Capped,Overall,EB-3,878
2019,Capped,Overall,EB-2,390
2019,Capped,Overall,EB-4,714
2020,Capped,India,Overall,1350
2020,Capped,China,Overall,105
2020,Capped,ROW,Overall,809
2020,Capped,Overall,EB-3,802
2020,Capped,Overall,EB-2,604
2020,Capped,Overall,EB-4,858
2021,Capped,India,Overall,1526
2021,Capped,China,Overall,153
2021,Capped,ROW,Overall,897
2021,Capped,Overall,EB-3,951
2021,Capped,Overall,EB-2,688
2021,Capped,Overall,EB-4,937
2022,Capped,India,Overall,1437
2022,Capped,China,Overall,125
2022,Capped,ROW,Overall,886
2022,Capped,Overall,EB-3,929
2022,Capped,Overall,EB-2,597
2022,Capped,Overall,EB-4,918
