scenario,category,nationality,backlog_size,family_adjusted_backlog
Capped,TOTAL,ALL,2397806,4197020
Capped,ALL_CATEGORIES,India,851375,1897496
Capped,ALL_CATEGORIES,China,296992,551661
Capped,ALL_CATEGORIES,ROW,1249439,1747863
Capped,EB-1,ALL,115667,261442
Capped,EB-2,ALL,842893,1788061
Capped,EB-3,ALL,457588,968811
Capped,EB-4,ALL,964521,1136476
Capped,EB-5,ALL,17137,42230
Capped,EB-1,India,68552,164792
Capped,EB-1,China,47115,96650
Capped,EB-1,ROW,0,0
Capped,EB-2,India,599847,1325374
Capped,EB-2,China,163129,283766
Capped,EB-2,ROW,79917,178921
Capped,EB-3,India,164788,368956
Capped,EB-3,China,74185,140931
Capped,EB-3,ROW,218615,458924
Capped,EB-4,India,13614,26458
Capped,EB-4,China,0,0
Capped,EB-4,ROW,950907,1110018
Capped,EB-5,India,4574,11916
Capped,EB-5,China,12563,30314
Capped,EB-5,ROW,0,0
