scenario,category,nationality,backlog_size,family_adjusted_backlog
Uncapped,TOTAL,ALL,2466033,4373086
Uncapped,ALL_CATEGORIES,India,648406,1472415
Uncapped,ALL_CATEGORIES,China,246060,453258
Uncapped,ALL_CATEGORIES,ROW,1571567,2447413
Uncapped,EB-1,ALL,106814,248123
Uncapped,EB-2,ALL,898017,1930780
Uncapped,EB-3,ALL,483515,1017521
Uncapped,EB-4,ALL,961446,1135671
Uncapped,EB-5,ALL,16241,40991
Uncapped,EB-1,India,34907,84261
Uncapped,EB-1,China,24501,50575
Uncapped,EB-1,ROW,47406,113287
Uncapped,EB-2,India,494766,1119018
Uncapped,EB-2,China,148091,258885
Uncapped,EB-2,ROW,255160,552877
Uncapped,EB-3,India,99389,230253
Uncapped,EB-3,China,62495,119574
Uncapped,EB-3,ROW,321631,667694
Uncapped,EB-4,India,16166,30509
Uncapped,EB-4,China,2126,2843
Uncapped,EB-4,ROW,943154,1102319
Uncapped,EB-5,India,3178,8374
Uncapped,EB-5,China,8847,21381
Uncapped,EB-5,ROW,4216,11236
