Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,India,Overall,2
2011,Uncapped,ROW,Overall,35
2011,Uncapped,Overall,EB-2,1
2011,Uncapped,Overall,EB-3,36
2012,Uncapped,China,Overall,31
2012,Uncapped,ROW,Overall,80
2012,Uncapped,India,Overall,38
2012,Uncapped,Overall,EB-3,147
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,India,Overall,147
2013,Uncapped,China,Overall,48
2013,Uncapped,ROW,Overall,50
2013,Uncapped,Overall,EB-3,228
2013,Uncapped,Overall,EB-2,7
2013,Uncapped,Overall,EB-4,10
2014,Uncapped,China,Overall,47
2014,Uncapped,India,Overall,188
2014,Uncapped,ROW,Overall,26
2014,Uncapped,Overall,EB-3,208
2014,Uncapped,Overall,EB-2,25
2014,Uncapped,Overall,EB-4,28
2015,Uncapped,India,Overall,147
2015,Uncapped,China,Overall,84
2015,Uncapped,ROW,Overall,82
2015,Uncapped,Overall,EB-3,176
2015,Uncapped,Overall,EB-2,53
2015,Uncapped,Overall,EB-4,84
2016,Uncapped,China,Overall,223
2016,Uncapped,India,Overall,322
2016,Uncapped,ROW,Overall,157
2016,Uncapped,Overall,EB-3,419
2016,Uncapped,Overall,EB-2,117
2016,Uncapped,Overall,EB-4,166
2017,Uncapped,India,Overall,538
2017,Uncapped,China,Overall,148
2017,Uncapped,ROW,Overall,261
2017,Uncapped,Overall,EB-3,503
2017,Uncapped,Overall,EB-2,160
2017,Uncapped,Overall,EB-4,284
2018,Uncapped,India,Overall,786
2018,Uncapped,China,Overall,46
2018,Uncapped,ROW,Overall,385
2018,Uncapped,Overall,EB-3,549
2018,Uncapped,Overall,EB-2,254
2018,Uncapped,Overall,EB-4,414
2019,Uncapped,India,Overall,1213
2019,Uncapped,China,Overall,112
2019,Uncapped,ROW,Overall,525
2019,Uncapped,Overall,EB-3,868
2019,Uncapped,Overall,EB-2,430
2019,Uncapped,Overall,EB-4,552
2020,Uncapped,India,Overall,1356
2020,Uncapped,China,Overall,121
2020,Uncapped,ROW,Overall,617
2020,Uncapped,Overall,EB-3,835
2020,Uncapped,Overall,EB-2,610
2020,Uncapped,Overall,EB-4,648
2020,Uncapped,Overall,EB-1,1
2021,Uncapped,India,Overall,1579
2021,Uncapped,China,Overall,171
2021,Uncapped,ROW,Overall,664
2021,Uncapped,Overall,EB-3,952
2021,Uncapped,Overall,EB-2,771
2021,Uncapped,Overall,EB-4,691
2022,Uncapped,India,Overall,1588
2022,Uncapped,China,Overall,127
2022,Uncapped,ROW,Overall,627
2022,Uncapped,Overall,EB-3,933
2022,Uncapped,Overall,EB-2,750
2022,Uncapped,Overall,EB-4,655
2022,Uncapped,Overall,EB-5,4
2023,Uncapped,India,Overall,2158
2023,Uncapped,China,Overall,166
2023,Uncapped,ROW,Overall,735
2023,Uncapped,Overall,EB-3,1166
2023,Uncapped,Overall,EB-2,1121
2023,Uncapped,Overall,EB-4,760
2023,Uncapped,Overall,EB-5,12
2024,Uncapped,India,Overall,2493
2024,Uncapped,China,Overall,273
2024,Uncapped,ROW,Overall,927
2024,Uncapped,Overall,EB-3,1193
2024,Uncapped,Overall,EB-2,1464
2024,Uncapped,Overall,EB-4,955
2024,Uncapped,Overall,EB-5,81
2025,Uncapped,India,Overall,2183
2025,Uncapped,China,Overall,337
2025,Uncapped,ROW,Overall,1069
2025,Uncapped,Overall,EB-3,823
2025,Uncapped,Overall,EB-2,1684
2025,Uncapped,Overall,EB-4,1052
2025,Uncapped,Overall,EB-5,30
2026,Uncapped,India,Overall,2108
2026,Uncapped,China,Overall,353
2026,Uncapped,ROW,Overall,1377
2026,Uncapped,Overall,EB-2,1961
2026,Uncapped,Overall,EB-3,653
2026,Uncapped,Overall,EB-4,1216
2026,Uncapped,Overall,EB-1,8
2027,Uncapped,India,Overall,2191
2027,Uncapped,China,Overall,366
2027,Uncapped,ROW,Overall,1728
2027,Uncapped,Overall,EB-2,2282
2027,Uncapped,Overall,EB-3,574
2027,Uncapped,Overall,EB-4,1418
2027,Uncapped,Overall,EB-5,3
2027,Uncapped,Overall,EB-1,8
2028,Uncapped,India,Overall,2391
2028,Uncapped,China,Overall,532
2028,Uncapped,ROW,Overall,2319
2028,Uncapped,Overall,EB-2,2747
2028,Uncapped,Overall,EB-4,1604
2028,Uncapped,Overall,EB-3,874
2028,Uncapped,Overall,EB-5,1
2028,Uncapped,Overall,EB-1,16
2029,Uncapped,India,Overall,2587
2029,Uncapped,China,Overall,522
2029,Uncapped,ROW,Overall,2787
2029,Uncapped,Overall,EB-2,3102
2029,Uncapped,Overall,EB-4,1711
2029,Uncapped,Overall,EB-3,1067
2029,Uncapped,Overall,EB-1,13
2029,Uncapped,Overall,EB-5,3
2030,Uncapped,India,Overall,2748
2030,Uncapped,China,Overall,580
2030,Uncapped,ROW,Overall,3656
2030,Uncapped,Overall,EB-2,3621
2030,Uncapped,Overall,EB-4,1890
2030,Uncapped,Overall,EB-3,1448
2030,Uncapped,Overall,EB-1,18
2030,Uncapped,Overall,EB-5,7
2031,Uncapped,India,Overall,2792
2031,Uncapped,China,Overall,662
2031,Uncapped,ROW,Overall,4458
2031,Uncapped,Overall,EB-2,4047
2031,Uncapped,Overall,EB-4,2064
2031,Uncapped,Overall,EB-3,1774
2031,Uncapped,Overall,EB-1,22
2031,Uncapped,Overall,EB-5,5
2032,Uncapped,India,Overall,3089
2032,Uncapped,China,Overall,688
2032,Uncapped,ROW,Overall,5069
2032,Uncapped,Overall,EB-2,4625
2032,Uncapped,Overall,EB-4,2270
2032,Uncapped,Overall,EB-3,1933
2032,Uncapped,Overall,EB-1,14
2032,Uncapped,Overall,EB-5,4
2033,Uncapped,China,Overall,789
2033,Uncapped,India,Overall,3290
2033,Uncapped,ROW,Overall,5545
2033,Uncapped,Overall,EB-2,5181
2033,Uncapped,Overall,EB-4,2399
2033,Uncapped,Overall,EB-3,2012
2033,Uncapped,Overall,EB-5,5
2033,Uncapped,Overall,EB-1,27
2034,Uncapped,India,Overall,3477
2034,Uncapped,China,Overall,826
2034,Uncapped,ROW,Overall,6153
2034,Uncapped,Overall,EB-2,5759
2034,Uncapped,Overall,EB-4,2421
2034,Uncapped,Overall,EB-3,2235
2034,Uncapped,Overall,EB-1,37
2034,Uncapped,Overall,EB-5,4
2035,Uncapped,India,Overall,3685
2035,Uncapped,China,Overall,881
2035,Uncapped,ROW,Overall,6750
2035,Uncapped,Overall,EB-2,6371
2035,Uncapped,Overall,EB-4,2509
2035,Uncapped,Overall,EB-3,2394
2035,Uncapped,Overall,EB-1,39
2035,Uncapped,Overall,EB-5,3
2036,Uncapped,India,Overall,4193
2036,Uncapped,China,Overall,905
2036,Uncapped,ROW,Overall,7450
2036,Uncapped,Overall,EB-2,7193
2036,Uncapped,Overall,EB-4,2693
2036,Uncapped,Overall,EB-3,2608
2036,Uncapped,Overall,EB-1,51
2036,Uncapped,Overall,EB-5,3
2037,Uncapped,ROW,Overall,7829
2037,Uncapped,India,Overall,4130
2037,Uncapped,China,Overall,1016
2037,Uncapped,Overall,EB-2,7537
2037,Uncapped,Overall,EB-4,2651
2037,Uncapped,Overall,EB-3,2743
2037,Uncapped,Overall,EB-1,39
2037,Uncapped,Overall,EB-5,5
2038,Uncapped,India,Overall,4475
2038,Uncapped,ROW,Overall,8171
2038,Uncapped,China,Overall,1021
2038,Uncapped,Overall,EB-2,7923
2038,Uncapped,Overall,EB-4,2817
2038,Uncapped,Overall,EB-3,2868
2038,Uncapped,Overall,EB-1,54
2038,Uncapped,Overall,EB-5,5
2039,Uncapped,ROW,Overall,8749
2039,Uncapped,India,Overall,4813
2039,Uncapped,China,Overall,1073
2039,Uncapped,Overall,EB-4,2869
2039,Uncapped,Overall,EB-2,8456
2039,Uncapped,Overall,EB-3,3244
2039,Uncapped,Overall,EB-1,59
2039,Uncapped,Overall,EB-5,7
2040,Uncapped,ROW,Overall,9020
2040,Uncapped,India,Overall,5009
2040,Uncapped,China,Overall,1128
2040,Uncapped,Overall,EB-4,3105
2040,Uncapped,Overall,EB-2,8715
2040,Uncapped,Overall,EB-3,3257
2040,Uncapped,Overall,EB-1,71
2040,Uncapped,Overall,EB-5,9
2011,Capped,India,Overall,2
2011,Capped,ROW,Overall,35
2011,Capped,Overall,EB-2,1
2011,Capped,Overall,EB-3,36
2012,Capped,China,Overall,31
2012,Capped,ROW,Overall,80
2012,Capped,India,Overall,38
2012,Capped,Overall,EB-3,147
2012,Capped,Overall,EB-4,2
2013,Capped,India,Overall,147
2013,Capped,China,Overall,48
2013,Capped,ROW,Overall,50
2013,Capped,Overall,EB-3,228
2013,Capped,Overall,EB-2,7
2013,Capped,Overall,EB-4,10
2014,Capped,China,Overall,47
2014,Capped,India,Overall,188
2014,Capped,ROW,Overall,26
2014,Capped,Overall,EB-3,208
2014,Capped,Overall,EB-2,25
2014,Capped,Overall,EB-4,28
2015,Capped,India,Overall,147
2015,Capped,China,Overall,84
2015,Capped,ROW,Overall,82
2015,Capped,Overall,EB-3,176
2015,Capped,Overall,EB-2,53
2015,Capped,Overall,EB-4,84
2016,Capped,China,Overall,223
2016,Capped,India,Overall,322
2016,Capped,ROW,Overall,157
2016,Capped,Overall,EB-3,419
2016,Capped,Overall,EB-2,117
2016,Capped,Overall,EB-4,166
2017,Capped,India,Overall,538
2017,Capped,China,Overall,148
2017,Capped,ROW,Overall,261
2017,Capped,Overall,EB-3,503
2017,Capped,Overall,EB-2,160
2017,Capped,Overall,EB-4,284
2018,Capped,India,Overall,786
2018,Capped,China,Overall,46
2018,Capped,ROW,Overall,385
2018,Capped,Overall,EB-3,549
2018,Capped,Overall,EB-2,254
2018,Capped,Overall,EB-4,414
2019,Capped,India,Overall,1213
2019,Capped,China,Overall,112
2019,Capped,ROW,Overall,525
2019,Capped,Overall,EB-3,868
2019,Capped,Overall,EB-2,430
2019,Capped,Overall,EB-4,552
2020,Capped,India,Overall,1356
2020,Capped,China,Overall,121
2020,Capped,ROW,Overall,617
2020,Capped,Overall,EB-3,835
2020,Capped,Overall,EB-2,610
2020,Capped,Overall,EB-4,648
2020,Capped,Overall,EB-1,1
2021,Capped,India,Overall,1579
2021,Capped,China,Overall,171
2021,Capped,ROW,Overall,664
2021,Capped,Overall,EB-3,952
2021,Capped,Overall,EB-2,771
2021,Capped,Overall,EB-4,691
2022,Capped,India,Overall,1588
2022,Capped,China,Overall,127
2022,Capped,ROW,Overall,627
2022,Capped,Overall,EB-3,933
2022,Capped,Overall,EB-2,750
2022,Capped,Overall,EB-4,655
2022,Capped,Overall,EB-5,4
2023,Capped,India,Overall,2158
2023,Capped,China,Overall,166
2023,Capped,ROW,Overall,735
2023,Capped,Overall,EB-3,1166
2023,Capped,Overall,EB-2,1121
