year,unc_mean,unc_lo,unc_hi,cap_mean,cap_lo,cap_hi,diff
2025,3641.6,3546.7,3757.8,4778.3,4674.1,4911.1,1136.7
2026,3867.9,3742.4,3945.9,5468.1,5302.8,5587.2,1600.2
2027,4328.1,4222.6,4456.9,6393.0,6257.7,6524.1,2064.9
2028,5079.2,4880.9,5216.6,7386.9,7192.0,7578.7,2307.7
2029,5929.4,5761.7,6091.8,8415.6,8223.0,8622.7,2486.2
2030,6937.2,6784.6,7094.1,9517.0,9336.7,9666.4,2579.8
2031,7957.1,7791.8,8143.0,10585.9,10435.2,10733.3,2628.8
2032,8805.5,8624.3,8959.0,11603.8,11393.9,11799.6,2798.3
2033,9644.3,9474.8,9866.2,12711.9,12486.5,12899.2,3067.6
2034,10563.0,10394.4,10779.8,13803.9,13627.2,14072.9,3240.9
2035,11357.8,11166.9,11563.6,14890.2,14666.7,15120.8,3532.4
2036,12270.9,12076.4,12481.9,15705.9,15459.9,15969.0,3435.0
2037,13093.6,12886.8,13293.7,16484.3,16269.2,16755.3,3390.7
2038,13920.0,13680.2,14220.9,16627.7,16336.3,16873.8,2707.7
2039,14663.3,14392.2,14851.3,17136.1,16938.5,17352.3,2472.8
2040,15357.6,15105.8,15568.4,17493.8,17267.8,17782.8,2136.2
