run_index,seed,final_cumul_aged_out_unc,final_cumul_exited_unc,final_cumul_visas_unc,final_cumul_conversions_unc,final_backlog_total_unc,final_aged_out_India_unc,final_exited_India_unc,final_backlog_India_unc,final_ageout_pct_India_unc,final_aged_out_China_unc,final_exited_China_unc,final_backlog_China_unc,final_ageout_pct_China_unc,final_aged_out_Other_unc,final_exited_Other_unc,final_backlog_Other_unc,final_ageout_pct_Other_unc,final_aged_out_EB1_unc,final_exited_EB1_unc,final_aged_out_EB2_unc,final_exited_EB2_unc,final_aged_out_EB3_unc,final_exited_EB3_unc,final_aged_out_EB4_unc,final_exited_EB4_unc,final_aged_out_EB5_unc,final_exited_EB5_unc,final_cumul_aged_out_cap,final_cumul_exited_cap,final_cumul_visas_cap,final_cumul_conversions_cap,final_backlog_total_cap,final_aged_out_India_cap,final_exited_India_cap,final_backlog_India_cap,final_ageout_pct_India_cap,final_aged_out_China_cap,final_exited_China_cap,final_backlog_China_cap,final_ageout_pct_China_cap,final_aged_out_Other_cap,final_exited_Other_cap,final_backlog_Other_cap,final_ageout_pct_Other_cap,final_aged_out_EB1_cap,final_exited_EB1_cap,final_aged_out_EB2_cap,final_exited_EB2_cap,final_aged_out_EB3_cap,final_exited_EB3_cap,final_aged_out_EB4_cap,final_exited_EB4_cap,final_aged_out_EB5_cap,final_exited_EB5_cap,diff_aged_out_India,diff_exited_India,diff_backlog_India,diff_ageout_pct_India,diff_aged_out_China,diff_exited_China,diff_backlog_China,diff_ageout_pct_China,diff_aged_out_Other,diff_exited_Other,diff_backlog_Other,diff_ageout_pct_Other,diff_aged_out_EB1,diff_exited_EB1,diff_aged_out_EB2,diff_exited_EB2,diff_aged_out_EB3,diff_exited_EB3,diff_aged_out_EB4,diff_exited_EB4,diff_aged_out_EB5,diff_exited_EB5,diff_backlog_total,diff_cumul_aged_out
0,0,166456.0,1626965.0,5249356.0,2440948.0,2465509.0,66021.0,22132.0,648374.0,39.662733695390976,13363.0,9374.0,246251.0,8.02794732541933,87072.0,76491.0,1570884.0,52.3093189791897,464.0,3092.0,87587.0,37122.0,38612.0,23827.0,39558.0,43341.0,235.0,615.0,207664.0,1697469.0,5249356.0,2438140.0,2397813.0,148428.0,47565.0,849981.0,71.47507512134987,16393.0,11802.0,298214.0,7.89400184914092,42843.0,58313.0,1249618.0,20.63092302950921,1834.0,2763.0,113902.0,44371.0,52154.0,26317.0,39370.0,43645.0,404.0,584.0,82407.0,25433.0,201607.0,31.8123414259589,3030.0,2428.0,51963.0,-0.13394547627841025,-44229.0,-18178.0,-321266.0,-31.67839594968049,1370.0,-329.0,26315.0,7249.0,13542.0,2490.0,-188.0,304.0,169.0,-31.0,-67696.0,41208.0
1,1,167723.0,1627034.0,5249356.0,2439424.0,2466964.0,66478.0,22283.0,649744.0,39.63558963290664,13271.0,9282.0,245965.0,7.91245088628274,87974.0,76429.0,1571255.0,52.45195948081062,517.0,3024.0,87697.0,37233.0,39283.0,23386.0,39997.0,43757.0,229.0,594.0,209694.0,1697811.0,5249356.0,2436432.0,2399179.0,149876.0,47663.0,852286.0,71.47367115892682,16380.0,11947.0,296568.0,7.8113822999227445,43438.0,57651.0,1250325.0,20.71494654115044,1920.0,2843.0,114473.0,44774.0,53183.0,26221.0,39699.0,42843.0,419.0,580.0,83398.0,25380.0,202542.0,31.838081526020183,3109.0,2665.0,50603.0,-0.10106858635999583,-44536.0,-18778.0,-320930.0,-31.737012939660183,1403.0,-181.0,26776.0,7541.0,13900.0,2835.0,-298.0,-914.0,190.0,-14.0,-67785.0,41971.0
2,2,166471.0,1626238.0,5249356.0,2439194.0,2467990.0,65806.0,21983.0,650550.0,39.530008229661625,13332.0,9298.0,246309.0,8.008602098864067,87333.0,76240.0,1571131.0,52.46138967147431,495.0,3032.0,87601.0,36864.0,38409.0,23590.0,39720.0,43446.0,246.0,589.0,207769.0,1696824.0,5249356.0,2437005.0,2399593.0,148422.0,47559.0,851138.0,71.43606601562313,16522.0,11739.0,297621.0,7.952100650241374,42825.0,58055.0,1250834.0,20.611833334135508,1875.0,2849.0,114033.0,44532.0,52217.0,26168.0,39236.0,43262.0,408.0,542.0,82616.0,25576.0,200588.0,31.9060577859615,3190.0,2441.0,51312.0,-0.056501448622692685,-44508.0,-18185.0,-320297.0,-31.8495563373388,1380.0,-183.0,26432.0,7668.0,13808.0,2578.0,-484.0,-184.0,162.0,-47.0,-68397.0,41298.0
3,3,166336.0,1627012.0,5249356.0,2438891.0,2467519.0,66239.0,21932.0,648595.0,39.82240765679107,13321.0,9454.0,246874.0,8.008488841862254,86776.0,75908.0,1572050.0,52.16910350134667,439.0,3026.0,87287.0,37006.0,38652.0,23601.0,39714.0,43072.0,244.0,589.0,208520.0,1697920.0,5249356.0,2436773.0,2398729.0,148880.0,47034.0,850825.0,71.39842700939958,16493.0,12102.0,297860.0,7.909553040475734,43147.0,57783.0,1250044.0,20.69201995012469,1888.0,2849.0,113713.0,44229.0,53040.0,25990.0,39431.0,43254.0,448.0,597.0,82641.0,25102.0,202230.0,31.576019352608512,3172.0,2648.0,50986.0,-0.0989358013865207,-43629.0,-18125.0,-322006.0,-31.47708355122198,1449.0,-177.0,26426.0,7223.0,14388.0,2389.0,-283.0,182.0,204.0,8.0,-68790.0,42184.0
4,4,167143.0,1626006.0,5249356.0,2439545.0,2467871.0,66315.0,22169.0,650593.0,39.67560711486571,13225.0,9310.0,245705.0,7.912386399669744,87603.0,76229.0,1571573.0,52.412006485464545,453.0,2979.0,87489.0,37072.0,38971.0,23876.0,40002.0,43197.0,228.0,584.0,208685.0,1696734.0,5249356.0,2437098.0,2399590.0,149104.0,47662.0,852777.0,71.44931355871289,16231.0,11739.0,296851.0,7.77775115604859,43350.0,58007.0,1249962.0,20.772935285238518,1877.0,2900.0,113824.0,44275.0,52802.0,26024.0,39772.0,43644.0,410.0,565.0,82789.0,25493.0,202184.0,31.773706443847175,3006.0,2429.0,51146.0,-0.13463524362115376,-44253.0,-18222.0,-321611.0,-31.639071200226027,1424.0,-79.0,26335.0,7203.0,13831.0,2148.0,-230.0,447.0,182.0,-19.0,-68281.0,41542.0
5,5,166692.0,1625260.0,5249356.0,2440204.0,2467958.0,66454.0,21957.0,648957.0,39.86634031627192,13215.0,9474.0,247357.0,7.927794975163775,87023.0,75941.0,1571644.0,52.2058647085643,484.0,3081.0,87559.0,36953.0,39099.0,23482.0,39323.0,43255.0,227.0,601.0,208482.0,1697053.0,5249356.0,2436735.0,2399634.0,149416.0,47572.0,850632.0,71.66853733176005,16293.0,11678.0,298717.0,7.81506317092123,42773.0,58091.0,1250285.0,20.516399497318712,1819.0,2830.0,113960.0,44626.0,53021.0,25757.0,39213.0,43583.0,469.0,545.0,82962.0,25615.0,201675.0,31.802197015488126,3078.0,2204.0,51360.0,-0.1127318042425447,-44250.0,-17850.0,-321359.0,-31.689465211245587,1335.0,-251.0,26401.0,7673.0,13922.0,2275.0,-110.0,328.0,242.0,-56.0,-68324.0,41790.0
6,6,166241.0,1625641.0,5249356.0,2439665.0,2468116.0,66067.0,22030.0,650869.0,39.741700302572774,13188.0,9609.0,246513.0,7.933061037890773,86986.0,76443.0,1570734.0,52.32523865953645,440.0,3017.0,87479.0,37309.0,38652.0,23686.0,39462.0,43460.0,208.0,610.0,208378.0,1697041.0,5249356.0,2437217.0,2399164.0,148964.0,47191.0,852197.0,71.48739310291873,16313.0,11935.0,297327.0,7.828561556402307,43101.0,57961.0,1249640.0,20.68404534067896,1876.0,2779.0,114064.0,44118.0,52332.0,26296.0,39683.0,43349.0,423.0,545.0,82897.0,25161.0,201328.0,31.745692800345957,3125.0,2326.0,50814.0,-0.10449948148846566,-43885.0,-18482.0,-321094.0,-31.641193318857493,1436.0,-238.0,26585.0,6809.0,13680.0,2610.0,221.0,-111.0,215.0,-65.0,-68952.0,42137.0
7,7,167297.0,1626062.0,5249356.0,2440572.0,2466788.0,65912.0,21846.0,649417.0,39.39819602264237,13442.0,9312.0,245995.0,8.034812339731136,87943.0,76355.0,1571376.0,52.566991637626494,471.0,2938.0,87296.0,36952.0,39317.0,23495.0,39991.0,43536.0,222.0,592.0,208928.0,1697871.0,5249356.0,2437180.0,2398371.0,148895.0,47302.0,850837.0,71.26617782202482,16377.0,11887.0,296864.0,7.8385855414305405,43656.0,57692.0,1250670.0,20.89523663654465,1860.0,2743.0,114055.0,44223.0,52731.0,26207.0,39869.0,43089.0,413.0,619.0,82983.0,25456.0,201420.0,31.86798179938245,2935.0,2575.0,50869.0,-0.19622679830059564,-44287.0,-18663.0,-320706.0,-31.671755001081845,1389.0,-195.0,26759.0,7271.0,13414.0,2712.0,-122.0,-447.0,191.0,27.0,-68417.0,41631.0
8,8,167016.0,1626824.0,5249356.0,2439633.0,2466965.0,66391.0,22305.0,650691.0,39.75128131436509,13325.0,9353.0,246196.0,7.9782775302964986,87300.0,76504.0,1570078.0,52.27044115533841,465.0,3066.0,88084.0,37100.0,38682.0,23755.0,39534.0,43629.0,251.0,612.0,208598.0,1698630.0,5249356.0,2436366.0,2398426.0,149001.0,47501.0,851680.0,71.42973566381269,16222.0,11783.0,296744.0,7.776680505086338,43375.0,58064.0,1250002.0,20.79358383110097,1868.0,2736.0,114348.0,44448.0,52385.0,26135.0,39587.0,43443.0,410.0,586.0,82610.0,25196.0,200989.0,31.678454349447605,2897.0,2430.0,50548.0,-0.20159702521016065,-43925.0,-18440.0,-320076.0,-31.47685732423744,1403.0,-330.0,26264.0,7348.0,13703.0,2380.0,53.0,-186.0,159.0,-26.0,-68539.0,41582.0
9,9,166604.0,1625486.0,5249356.0,2441000.0,2466936.0,65599.0,22362.0,649988.0,39.37420470096757,13356.0,9396.0,245908.0,8.016614246956856,87649.0,76011.0,1571040.0,52.60918105207558,486.0,3014.0,87228.0,37248.0,38641.0,23514.0,40016.0,43435.0,233.0,558.0,207868.0,1696053.0,5249356.0,2437981.0,2399388.0,148067.0,47711.0,851960.0,71.23126214713183,16386.0,12129.0,297071.0,7.8828872168876405,43415.0,57510.0,1250357.0,20.885850635980525,1868.0,2857.0,113523.0,44579.0,52337.0,26121.0,39691.0,43218.0,449.0,575.0,82468.0,25349.0,201972.0,31.857057446164262,3030.0,2733.0,51163.0,-0.13372703006921505,-44234.0,-18501.0,-320683.0,-31.723330416095052,1382.0,-157.0,26295.0,7331.0,13696.0,2607.0,-325.0,-217.0,216.0,17.0,-67548.0,41264.0
