run_index,year,annual_aged_out_China_cap,annual_aged_out_China_unc,annual_aged_out_EB1_cap,annual_aged_out_EB1_unc,annual_aged_out_EB2_cap,annual_aged_out_EB2_unc,annual_aged_out_EB3_cap,annual_aged_out_EB3_unc,annual_aged_out_EB4_cap,annual_aged_out_EB4_unc,annual_aged_out_EB5_cap,annual_aged_out_EB5_unc,annual_aged_out_India_cap,annual_aged_out_India_unc,annual_aged_out_Other_cap,annual_aged_out_Other_unc,annual_aged_out_cap,annual_aged_out_unc,annual_backlog_China_cap,annual_backlog_China_unc,annual_backlog_India_cap,annual_backlog_India_unc,annual_backlog_Other_cap,annual_backlog_Other_unc,annual_backlog_total_cap,annual_backlog_total_unc,annual_conversions_cap,annual_conversions_unc,annual_exited_China_cap,annual_exited_China_unc,annual_exited_EB1_cap,annual_exited_EB1_unc,annual_exited_EB2_cap,annual_exited_EB2_unc,annual_exited_EB3_cap,annual_exited_EB3_unc,annual_exited_EB4_cap,annual_exited_EB4_unc,annual_exited_EB5_cap,annual_exited_EB5_unc,annual_exited_India_cap,annual_exited_India_unc,annual_exited_Other_cap,annual_exited_Other_unc,annual_exited_cap,annual_exited_unc,annual_visas_consumed_cap,annual_visas_consumed_unc,cumul_aged_out_cap,cumul_aged_out_unc
0,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38451.0,38451.0,93221.0,93221.0,73924.0,73924.0,205596.0,205596.0,63686.0,63686.0,1670.0,1670.0,0.0,0.0,544.0,544.0,7581.0,7581.0,3.0,3.0,0.0,0.0,2485.0,2485.0,3973.0,3973.0,8128.0,8128.0,140986.0,140986.0,0.0,0.0
0,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36001.0,36001.0,106356.0,106356.0,67380.0,67380.0,209737.0,209737.0,68112.0,68112.0,35.0,35.0,0.0,0.0,304.0,304.0,-98.0,-98.0,89.0,89.0,0.0,0.0,537.0,537.0,-277.0,-277.0,8423.0,8423.0,150263.0,150263.0,0.0,0.0
0,2011,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,31.0,32.0,32.0,32721.0,32721.0,124796.0,124796.0,64055.0,64055.0,221572.0,221572.0,63494.0,63494.0,-96.0,-96.0,0.0,0.0,351.0,351.0,-462.0,-462.0,289.0,289.0,0.0,0.0,421.0,421.0,-147.0,-147.0,8601.0,8601.0,139300.0,139300.0,32.0,32.0
0,2012,35.0,35.0,0.0,0.0,0.0,0.0,151.0,151.0,2.0,2.0,0.0,0.0,46.0,46.0,72.0,72.0,153.0,153.0,31944.0,31944.0,140937.0,140937.0,56234.0,56234.0,229115.0,229115.0,65499.0,65499.0,9.0,9.0,0.0,0.0,376.0,376.0,-750.0,-750.0,454.0,454.0,0.0,0.0,330.0,330.0,-259.0,-259.0,8681.0,8681.0,144647.0,144647.0,185.0,185.0
0,2013,55.0,55.0,0.0,0.0,4.0,4.0,227.0,227.0,10.0,10.0,0.0,0.0,132.0,132.0,54.0,54.0,241.0,241.0,30735.0,30735.0,153338.0,153338.0,50143.0,50143.0,234216.0,234216.0,72458.0,72458.0,-81.0,-81.0,0.0,0.0,235.0,235.0,-1034.0,-1034.0,1134.0,1134.0,0.0,0.0,382.0,382.0,34.0,34.0,9016.0,9016.0,161269.0,161269.0,426.0,426.0
0,2014,56.0,56.0,0.0,0.0,26.0,26.0,223.0,223.0,33.0,33.0,0.0,0.0,192.0,192.0,34.0,34.0,282.0,282.0,34661.0,34661.0,176009.0,176009.0,47625.0,47625.0,258295.0,258295.0,68199.0,68199.0,-79.0,-79.0,2.0,2.0,515.0,515.0,-1169.0,-1169.0,664.0,664.0,13.0,13.0,96.0,96.0,8.0,8.0,9041.0,9041.0,151359.0,151359.0,708.0,708.0
0,2015,79.0,79.0,0.0,0.0,76.0,76.0,187.0,187.0,81.0,81.0,0.0,0.0,186.0,186.0,79.0,79.0,344.0,344.0,42689.0,42689.0,209579.0,209579.0,59214.0,59214.0,311482.0,311482.0,64642.0,64642.0,179.0,179.0,78.0,78.0,880.0,880.0,-356.0,-356.0,1465.0,1465.0,123.0,123.0,996.0,996.0,1015.0,1015.0,11231.0,11231.0,143952.0,143952.0,1052.0,1052.0
0,2016,231.0,231.0,0.0,0.0,114.0,114.0,450.0,450.0,177.0,177.0,0.0,0.0,344.0,344.0,166.0,166.0,741.0,741.0,54037.0,54037.0,262853.0,262853.0,89893.0,89893.0,406783.0,406783.0,62971.0,62971.0,469.0,469.0,184.0,184.0,1480.0,1480.0,428.0,428.0,1500.0,1500.0,127.0,127.0,1261.0,1261.0,1989.0,1989.0,14950.0,14950.0,140350.0,140350.0,1793.0,1793.0
0,2017,153.0,153.0,0.0,0.0,176.0,176.0,525.0,525.0,260.0,260.0,0.0,0.0,567.0,567.0,241.0,241.0,961.0,961.0,68252.0,68252.0,306700.0,306700.0,110137.0,110137.0,485089.0,485089.0,62564.0,62564.0,394.0,394.0,206.0,206.0,840.0,840.0,634.0,634.0,872.0,872.0,146.0,146.0,1159.0,1159.0,1145.0,1145.0,17648.0,17648.0,139605.0,139605.0,2754.0,2754.0
0,2018,46.0,46.0,0.0,0.0,261.0,261.0,520.0,520.0,394.0,394.0,0.0,0.0,760.0,760.0,369.0,369.0,1175.0,1175.0,84732.0,84732.0,346394.0,346394.0,121980.0,121980.0,553106.0,553106.0,62672.0,62672.0,631.0,631.0,139.0,139.0,1015.0,1015.0,619.0,619.0,98.0,98.0,342.0,342.0,1062.0,1062.0,520.0,520.0,19861.0,19861.0,139482.0,139482.0,3929.0,3929.0
