metric,mean,lo_p025,hi_p975
Final_Backlog_FY2040_Uncapped,2467856.0,2466034.8,2469463.6
Final_Backlog_FY2040_Capped,2399230.4,2397591.9,2401416.0
Final_Backlog_FY2040_Cap_minus_Unc,-68625.6,-70026.4,-67270.6
Cumulative_Visas_Consumed_2009_2040_Uncapped,5249356.0,5249356.0,5249356.0
Cumulative_Visas_Consumed_2009_2040_Capped,5249356.0,5249356.0,5249356.0
Total_Queue_Exits_2009_2040_Uncapped,1625614.4,1623777.7,1627174.3
Total_Queue_Exits_2025_2040_Uncapped,1316479.9,1314808.4,1317926.4
Total_Queue_Exits_2009_2040_Capped,1697010.7,1695191.0,1698777.2
Total_Queue_Exits_2025_2040_Capped,1387876.2,1386155.2,1389757.7
Total_Queue_Exits_2009_2040_Cap_minus_Unc,71396.3,70254.1,72644.2
Total_Queue_Exits_2025_2040_Cap_minus_Unc,71396.3,70254.1,72644.2
Exits_India_2009_2040_Uncapped,22055.2,21775.5,22449.7
Exits_India_2025_2040_Uncapped,5645.0,5221.2,6131.3
Exits_India_2009_2040_Capped,47463.1,46981.4,47839.8
Exits_India_2025_2040_Capped,31052.9,30411.1,31436.2
Exits_India_2009_2040_Cap_minus_Unc,25407.9,24827.0,25844.0
Exits_India_2025_2040_Cap_minus_Unc,25407.9,24827.0,25844.0
Exits_China_2009_2040_Uncapped,9420.0,9260.3,9607.3
Exits_China_2025_2040_Uncapped,4329.6,4139.9,4515.9
Exits_China_2009_2040_Capped,11857.4,11663.9,12085.4
Exits_China_2025_2040_Capped,6767.0,6514.4,6972.6
Exits_China_2009_2040_Cap_minus_Unc,2437.4,2182.9,2711.0
Exits_China_2025_2040_Cap_minus_Unc,2437.4,2182.9,2711.0
Exits_Other_2009_2040_Uncapped,76034.4,75565.1,76480.4
Exits_Other_2025_2040_Uncapped,53673.6,53199.4,54206.9
Exits_Other_2009_2040_Capped,57861.1,57469.7,58289.1
Exits_Other_2025_2040_Capped,35500.4,35052.8,35901.1
Exits_Other_2009_2040_Cap_minus_Unc,-18173.2,-18662.6,-17660.8
Exits_Other_2025_2040_Cap_minus_Unc,-18173.2,-18662.6,-17660.8
Exits_EB1_2009_2040_Uncapped,3049.0,2924.8,3167.4
Exits_EB1_2025_2040_Uncapped,2470.6,2354.0,2570.6
Exits_EB1_2009_2040_Capped,2806.9,2711.4,2920.9
Exits_EB1_2025_2040_Capped,2228.5,2133.7,2349.3
Exits_EB1_2009_2040_Cap_minus_Unc,-242.1,-378.1,-80.8
Exits_EB1_2025_2040_Cap_minus_Unc,-242.1,-378.1,-80.8
Exits_EB2_2009_2040_Uncapped,37002.0,36663.5,37384.6
Exits_EB2_2025_2040_Uncapped,23412.3,23007.8,23809.1
Exits_EB2_2009_2040_Capped,44465.1,44053.7,44917.6
Exits_EB2_2025_2040_Capped,30875.4,30394.2,31339.5
Exits_EB2_2009_2040_Cap_minus_Unc,7463.1,6868.2,8013.9
Exits_EB2_2025_2040_Cap_minus_Unc,7463.1,6868.2,8013.9
Exits_EB3_2009_2040_Uncapped,23578.3,23384.4,23838.6
Exits_EB3_2025_2040_Uncapped,11872.7,11606.4,12250.2
Exits_EB3_2009_2040_Capped,26059.2,25794.1,26316.1
Exits_EB3_2025_2040_Capped,14353.7,14013.9,14678.5
Exits_EB3_2009_2040_Cap_minus_Unc,2480.9,2049.8,2872.1
