Year,annual_aged_out_unc_mean,annual_aged_out_unc_lo,annual_aged_out_unc_hi,annual_aged_out_cap_mean,annual_aged_out_cap_lo,annual_aged_out_cap_hi,cumul_aged_out_unc_mean,cumul_aged_out_unc_lo,cumul_aged_out_unc_hi,cumul_aged_out_cap_mean,cumul_aged_out_cap_lo,cumul_aged_out_cap_hi,annual_backlog_total_unc_mean,annual_backlog_total_unc_lo,annual_backlog_total_unc_hi,annual_backlog_total_cap_mean,annual_backlog_total_cap_lo,annual_backlog_total_cap_hi,annual_conversions_unc_mean,annual_conversions_unc_lo,annual_conversions_unc_hi,annual_conversions_cap_mean,annual_conversions_cap_lo,annual_conversions_cap_hi,annual_visas_consumed_unc_mean,annual_visas_consumed_unc_lo,annual_visas_consumed_unc_hi,annual_visas_consumed_cap_mean,annual_visas_consumed_cap_lo,annual_visas_consumed_cap_hi,annual_exited_unc_mean,annual_exited_unc_lo,annual_exited_unc_hi,annual_exited_cap_mean,annual_exited_cap_lo,annual_exited_cap_hi,annual_aged_out_India_unc_mean,annual_aged_out_India_unc_lo,annual_aged_out_India_unc_hi,annual_aged_out_India_cap_mean,annual_aged_out_India_cap_lo,annual_aged_out_India_cap_hi,annual_backlog_India_unc_mean,annual_backlog_India_unc_lo,annual_backlog_India_unc_hi,annual_backlog_India_cap_mean,annual_backlog_India_cap_lo,annual_backlog_India_cap_hi,annual_exited_India_unc_mean,annual_exited_India_unc_lo,annual_exited_India_unc_hi,annual_exited_India_cap_mean,annual_exited_India_cap_lo,annual_exited_India_cap_hi,annual_aged_out_China_unc_mean,annual_aged_out_China_unc_lo,annual_aged_out_China_unc_hi,annual_aged_out_China_cap_mean,annual_aged_out_China_cap_lo,annual_aged_out_China_cap_hi,annual_backlog_China_unc_mean,annual_backlog_China_unc_lo,annual_backlog_China_unc_hi,annual_backlog_China_cap_mean,annual_backlog_China_cap_lo,annual_backlog_China_cap_hi,annual_exited_China_unc_mean,annual_exited_China_unc_lo,annual_exited_China_unc_hi,annual_exited_China_cap_mean,annual_exited_China_cap_lo,annual_exited_China_cap_hi,annual_aged_out_Other_unc_mean,annual_aged_out_Other_unc_lo,annual_aged_out_Other_unc_hi,annual_aged_out_Other_cap_mean,annual_aged_out_Other_cap_lo,annual_aged_out_Other_cap_hi,annual_backlog_Other_unc_mean,annual_backlog_Other_unc_lo,annual_backlog_Other_unc_hi,annual_backlog_Other_cap_mean,annual_backlog_Other_cap_lo,annual_backlog_Other_cap_hi,annual_exited_Other_unc_mean,annual_exited_Other_unc_lo,annual_exited_Other_unc_hi,annual_exited_Other_cap_mean,annual_exited_Other_cap_lo,annual_exited_Other_cap_hi,annual_aged_out_EB1_unc_mean,annual_aged_out_EB1_unc_lo,annual_aged_out_EB1_unc_hi,annual_aged_out_EB1_cap_mean,annual_aged_out_EB1_cap_lo,annual_aged_out_EB1_cap_hi,annual_exited_EB1_unc_mean,annual_exited_EB1_unc_lo,annual_exited_EB1_unc_hi,annual_exited_EB1_cap_mean,annual_exited_EB1_cap_lo,annual_exited_EB1_cap_hi,annual_aged_out_EB2_unc_mean,annual_aged_out_EB2_unc_lo,annual_aged_out_EB2_unc_hi,annual_aged_out_EB2_cap_mean,annual_aged_out_EB2_cap_lo,annual_aged_out_EB2_cap_hi,annual_exited_EB2_unc_mean,annual_exited_EB2_unc_lo,annual_exited_EB2_unc_hi,annual_exited_EB2_cap_mean,annual_exited_EB2_cap_lo,annual_exited_EB2_cap_hi,annual_aged_out_EB3_unc_mean,annual_aged_out_EB3_unc_lo,annual_aged_out_EB3_unc_hi,annual_aged_out_EB3_cap_mean,annual_aged_out_EB3_cap_lo,annual_aged_out_EB3_cap_hi,annual_exited_EB3_unc_mean,annual_exited_EB3_unc_lo,annual_exited_EB3_unc_hi,annual_exited_EB3_cap_mean,annual_exited_EB3_cap_lo,annual_exited_EB3_cap_hi,annual_aged_out_EB4_unc_mean,annual_aged_out_EB4_unc_lo,annual_aged_out_EB4_unc_hi,annual_aged_out_EB4_cap_mean,annual_aged_out_EB4_cap_lo,annual_aged_out_EB4_cap_hi,annual_exited_EB4_unc_mean,annual_exited_EB4_unc_lo,annual_exited_EB4_unc_hi,annual_exited_EB4_cap_mean,annual_exited_EB4_cap_lo,annual_exited_EB4_cap_hi,annual_aged_out_EB5_unc_mean,annual_aged_out_EB5_unc_lo,annual_aged_out_EB5_unc_hi,annual_aged_out_EB5_cap_mean,annual_aged_out_EB5_cap_lo,annual_aged_out_EB5_cap_hi,annual_exited_EB5_unc_mean,annual_exited_EB5_unc_lo,annual_exited_EB5_unc_hi,annual_exited_EB5_cap_mean,annual_exited_EB5_cap_lo,annual_exited_EB5_cap_hi
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205326.76,205022.925,205593.525,205326.76,205022.925,205593.525,63848.84,63612.9,64044.325,63848.84,63612.9,64044.325,140986.0,140986.0,140986.0,140986.0,140986.0,140986.0,8234.4,8075.125,8412.45,8234.4,8075.125,8412.45,0.0,0.0,0.0,0.0,0.0,0.0,93362.44,92941.825,93803.025,93362.44,92941.825,93803.025,2598.22,2485.675,2706.3,2598.22,2485.675,2706.3,0.0,0.0,0.0,0.0,0.0,0.0,38413.36,38162.575,38633.65,38413.36,38162.575,38633.65,1677.18,1623.025,1756.2,1677.18,1623.025,1756.2,0.0,0.0,0.0,0.0,0.0,0.0,73550.96,73107.925,73927.875,73550.96,73107.925,73927.875,3959.0,3835.125,4076.425,3959.0,3835.125,4076.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.76,500.25,581.55,538.76,500.25,581.55,0.0,0.0,0.0,0.0,0.0,0.0,7693.54,7548.275,7856.35,7693.54,7548.275,7856.35,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,7.0,2.1,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209512.84,209184.325,209953.875,209512.84,209184.325,209953.875,68189.02,67949.825,68450.275,68189.02,67949.825,68450.275,150263.0,150263.0,150263.0,150263.0,150263.0,150263.0,8300.9,8134.9,8460.85,8300.9,8134.9,8460.85,0.0,0.0,0.0,0.0,0.0,0.0,106658.56,106146.3,107281.75,106658.56,106146.3,107281.75,347.68,198.275,533.625,347.68,198.275,533.625,0.0,0.0,0.0,0.0,0.0,0.0,36024.26,35781.125,36302.95,36024.26,35781.125,36302.95,-1.66,-121.775,87.95,-1.66,-121.775,87.95,0.0,0.0,0.0,0.0,0.0,0.0,66830.02,66334.875,67327.85,66830.02,66334.875,67327.85,-279.52,-422.2,-149.65,-279.52,-422.2,-149.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.2,184.825,308.325,251.2,184.825,308.325,0.0,0.0,0.0,0.0,0.0,0.0,-268.26,-499.85,-29.425,-268.26,-499.85,-29.425,0.0,0.0,0.0,0.0,0.0,0.0,83.56,69.225,100.775,83.56,69.225,100.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,31.28,22.0,40.0,31.28,22.0,40.0,31.28,22.0,40.0,31.28,22.0,40.0,221364.54,220940.0,221909.525,221364.54,220940.0,221909.525,63525.28,63233.275,63788.275,63525.28,63233.275,63788.275,139300.0,139300.0,139300.0,139300.0,139300.0,139300.0,8553.02,8367.95,8706.6,8553.02,8367.95,8706.6,1.74,0.0,6.0,1.74,0.0,6.0,125343.78,124858.675,125919.525,125343.78,124858.675,125919.525,450.56,306.8,589.65,450.56,306.8,589.65,0.0,0.0,0.0,0.0,0.0,0.0,32736.74,32462.3,33018.7,32736.74,32462.3,33018.7,-68.62,-177.15,45.175,-68.62,-177.15,45.175,29.54,20.45,39.55,29.54,20.45,39.55,63284.02,62753.625,63829.275,63284.02,62753.625,63829.275,-129.82,-276.475,1.55,-129.82,-276.475,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,1.0,0.16,0.0,1.0,404.84,319.35,493.775,404.84,319.35,493.775,31.12,22.0,40.0,31.12,22.0,40.0,-445.22,-703.65,-221.675,-445.22,-703.65,-221.675,0.0,0.0,0.0,0.0,0.0,0.0,292.5,255.8,331.0,292.5,255.8,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,148.48,131.0,176.775,148.48,131.0,176.775,179.76,160.45,202.65,179.76,160.45,202.65,229238.24,228764.175,229925.4,229238.24,228764.175,229925.4,65192.28,64939.85,65394.9,65192.28,64939.85,65394.9,144647.0,144647.0,144647.0,144647.0,144647.0,144647.0,8657.02,8466.95,8844.625,8657.02,8466.95,8844.625,39.82,27.9,53.55,39.82,27.9,53.55,141444.7,140771.0,142017.125,141444.7,140771.0,142017.125,401.22,209.525,567.6,401.22,209.525,567.6,37.42,27.0,51.0,37.42,27.0,51.0,32091.58,31716.6,32401.65,32091.58,31716.6,32401.65,-14.16,-103.625,92.3,-14.16,-103.625,92.3,71.24,56.0,88.325,71.24,56.0,88.325,55701.96,55073.625,56230.625,55701.96,55073.625,56230.625,-283.06,-432.7,-150.75,-283.06,-432.7,-150.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,3.775,1.26,0.0,3.775,415.26,324.0,506.175,415.26,324.0,506.175,145.7,127.45,175.0,145.7,127.45,175.0,-788.24,-1053.35,-610.8,-788.24,-1053.35,-610.8,1.52,0.0,3.0,1.52,0.0,3.0,476.98,409.05,540.525,476.98,409.05,540.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,248.6,216.125,273.55,248.6,216.125,273.55,428.36,386.45,469.3,428.36,386.45,469.3,234243.62,233630.075,234838.975,234243.62,233630.075,234838.975,72612.0,72440.8,72898.5,72612.0,72440.8,72898.5,161269.0,161269.0,161269.0,161269.0,161269.0,161269.0,8957.62,8776.9,9138.475,8957.62,8776.9,9138.475,144.86,121.225,168.2,144.86,121.225,168.2,153827.64,153151.5,154351.7,153827.64,153151.5,154351.7,343.18,162.95,500.975,343.18,162.95,500.975,57.88,48.0,70.55,57.88,48.0,70.55,30833.5,30469.8,31154.275,30833.5,30469.8,31154.275,-66.7,-178.325,19.1,-66.7,-178.325,19.1,45.86,33.675,57.55,45.86,33.675,57.55,49582.48,49056.4,50011.325,49582.48,49056.4,50011.325,24.12,-172.5,197.65,24.12,-172.5,197.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1.0,8.775,4.9,1.0,8.775,164.6,77.35,250.75,164.6,77.35,250.75,235.48,202.225,259.775,235.48,202.225,259.775,-946.74,-1171.4,-765.925,-946.74,-1171.4,-765.925,8.22,3.45,13.775,8.22,3.45,13.775,1082.74,965.675,1185.375,1082.74,965.675,1185.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,269.36,238.225,296.775,269.36,238.225,296.775,697.72,639.15,731.775,697.72,639.15,731.775,258336.2,257633.95,259011.025,258336.2,257633.95,259011.025,68110.44,67849.225,68347.4,68110.44,67849.225,68347.4,151359.0,151359.0,151359.0,151359.0,151359.0,151359.0,9115.98,8980.45,9249.325,9115.98,8980.45,9249.325,183.5,158.225,204.55,183.5,158.225,204.55,176497.08,175804.25,177220.6,176497.08,175804.25,177220.6,98.62,-27.775,199.65,98.62,-27.775,199.65,51.56,40.0,62.0,51.56,40.0,62.0,34859.92,34460.65,35233.375,34859.92,34460.65,35233.375,-28.14,-108.425,54.325,-28.14,-108.425,54.325,34.3,24.225,45.55,34.3,24.225,45.55,46979.2,46330.725,47596.025,46979.2,46330.725,47596.025,87.88,-86.2,240.325,87.88,-86.2,240.325,0.0,0.0,0.0,0.0,0.0,0.0,4.02,1.0,10.0,4.02,1.0,10.0,20.8,11.225,30.55,20.8,11.225,30.55,552.86,460.675,638.975,552.86,460.675,638.975,215.52,188.9,235.55,215.52,188.9,235.55,-1230.12,-1398.825,-1038.925,-1230.12,-1398.825,-1038.925,33.04,25.0,44.0,33.04,25.0,44.0,811.62,670.075,926.55,811.62,670.075,926.55,0.0,0.0,0.0,0.0,0.0,0.0,19.98,11.225,28.775,19.98,11.225,28.775
2015,331.74,290.45,361.0,331.74,290.45,361.0,1029.46,965.8,1086.775,1029.46,965.8,1086.775,311589.86,310801.975,312281.35,311589.86,310801.975,312281.35,64622.46,64402.175,64801.325,64622.46,64402.175,64801.325,143952.0,143952.0,143952.0,143952.0,143952.0,143952.0,11183.88,11013.9,11335.25,11183.88,11013.9,11335.25,171.0,145.675,196.525,171.0,145.675,196.525,210270.9,209412.625,210922.075,210270.9,209412.625,210922.075,906.0,766.25,1086.15,906.0,766.25,1086.15,84.44,68.225,99.55,84.44,68.225,99.55,42703.7,42283.7,43063.075,42703.7,42283.7,43063.075,192.16,118.7,288.3,192.16,118.7,288.3,76.3,61.225,92.55,76.3,61.225,92.55,58615.26,57982.35,59423.25,58615.26,57982.35,59423.25,969.74,820.3,1131.1,969.74,820.3,1131.1,0.0,0.0,0.0,0.0,0.0,0.0,81.3,58.675,101.55,81.3,58.675,101.55,59.98,42.225,75.55,59.98,42.225,75.55,850.34,730.7,972.0,850.34,730.7,972.0,191.0,162.45,215.55,191.0,162.45,215.55,-305.98,-449.325,-77.775,-305.98,-449.325,-77.775,80.76,65.0,96.55,80.76,65.0,96.55,1326.62,1181.4,1494.85,1326.62,1181.4,1494.85,0.0,0.0,0.0,0.0,0.0,0.0,115.62,91.45,141.55,115.62,91.45,141.55
2016,709.7,660.8,748.775,709.7,660.8,748.775,1739.16,1654.675,1816.775,1739.16,1654.675,1816.775,407234.44,406531.825,408091.075,407234.44,406531.825,408091.075,62865.76,62660.65,63088.725,62865.76,62660.65,63088.725,140350.0,140350.0,140350.0,140350.0,140350.0,140350.0,14711.66,14495.225,14916.0,14711.66,14495.225,14916.0,326.04,297.9,351.775,326.04,297.9,351.775,263722.26,262863.575,264390.425,263722.26,262863.575,264390.425,1269.54,1084.575,1448.5,1269.54,1084.575,1448.5,224.08,199.675,253.425,224.08,199.675,253.425,53977.2,53597.825,54326.25,53977.2,53597.825,54326.25,375.28,275.675,481.65,375.28,275.675,481.65,159.58,136.225,183.325,159.58,136.225,183.325,89534.98,88654.35,90374.05,89534.98,88654.35,90374.05,1882.96,1680.8,2086.875,1882.96,1680.8,2086.875,0.0,0.0,0.0,0.0,0.0,0.0,175.98,143.225,207.0,175.98,143.225,207.0,103.34,87.0,125.55,103.34,87.0,125.55,1373.44,1223.475,1515.6,1373.44,1223.475,1515.6,438.26,407.225,466.1,438.26,407.225,466.1,394.9,236.25,587.075,394.9,236.25,587.075,168.1,143.675,191.1,168.1,143.675,191.1,1478.26,1285.375,1658.95,1478.26,1285.375,1658.95,0.0,0.0,0.0,0.0,0.0,0.0,105.2,70.35,143.55,105.2,70.35,143.55
2017,949.88,894.675,1031.1,949.88,894.675,1031.1,2689.04,2599.475,2812.05,2689.04,2599.475,2812.05,485678.12,484701.625,486718.25,485678.12,484701.625,486718.25,62548.26,62356.0,62779.1,62548.26,62356.0,62779.1,139605.0,139605.0,139605.0,139605.0,139605.0,139605.0,17526.06,17348.6,17696.3,17526.06,17348.6,17696.3,549.76,520.225,588.425,549.76,520.225,588.425,307871.52,307049.825,308720.05,307871.52,307049.825,308720.05,1164.7,1008.225,1304.65,1164.7,1008.225,1304.65,139.1,116.0,162.325,139.1,116.0,162.325,68079.78,67655.225,68601.25,68079.78,67655.225,68601.25,483.64,354.675,587.1,483.64,354.675,587.1,261.02,233.45,295.775,261.02,233.45,295.775,109726.82,108980.85,110594.1,109726.82,108980.85,110594.1,1166.06,932.425,1385.4,1166.06,932.425,1385.4,0.0,0.0,0.0,0.0,0.0,0.0,246.72,191.8,293.0,246.72,191.8,293.0,166.56,146.675,190.325,166.56,146.675,190.325,1045.66,862.825,1204.775,1045.66,862.825,1204.775,506.76,465.125,546.55,506.76,465.125,546.55,513.72,324.425,717.5,513.72,324.425,717.5,276.56,247.45,317.1,276.56,247.45,317.1,806.34,573.65,1031.425,806.34,573.65,1031.425,0.0,0.0,0.0,0.0,0.0,0.0,201.96,147.125,259.75,201.96,147.125,259.75
2018,1195.62,1142.9,1259.975,1195.62,1142.9,1259.975,3884.66,3775.0,4038.2,3884.66,3775.0,4038.2,553694.28,552817.05,554901.025,553694.28,552817.05,554901.025,62541.6,62320.35,62761.05,62541.6,62320.35,62761.05,139482.0,139482.0,139482.0,139482.0,139482.0,139482.0,19992.24,19787.5,20277.25,19992.24,19787.5,20277.25,775.28,733.9,843.7,775.28,733.9,843.7,347572.6,346465.775,348507.1,347572.6,346465.775,348507.1,1197.38,1028.8,1449.075,1197.38,1028.8,1449.075,42.44,29.675,54.325,42.44,29.675,54.325,84487.94,83946.9,85039.65,84487.94,83946.9,85039.65,590.32,454.35,720.825,590.32,454.35,720.825,377.9,349.9,410.775,377.9,349.9,410.775,121633.74,120638.225,122532.6,121633.74,120638.225,122532.6,678.48,521.35,855.75,678.48,521.35,855.75,0.0,0.0,0.0,0.0,0.0,0.0,136.36,86.45,200.825,136.36,86.45,200.825,267.68,243.125,286.325,267.68,243.125,286.325,1137.6,948.075,1357.225,1137.6,948.075,1357.225,525.88,481.225,586.8,525.88,481.225,586.8,687.2,511.375,820.55,687.2,511.375,820.55,402.06,364.125,436.325,402.06,364.125,436.325,217.0,82.8,371.975,217.0,82.8,371.975,0.0,0.0,0.0,0.0,0.0,0.0,288.02,237.675,347.875,288.02,237.675,347.875
