Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,Other,Overall,31
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,32
2012,Uncapped,China,Overall,35
2012,Uncapped,Other,Overall,72
2012,Uncapped,India,Overall,46
2012,Uncapped,Overall,EB-3,151
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,India,Overall,132
2013,Uncapped,China,Overall,55
2013,Uncapped,Other,Overall,54
2013,Uncapped,Overall,EB-3,227
2013,Uncapped,Overall,EB-2,4
2013,Uncapped,Overall,EB-4,10
2014,Uncapped,India,Overall,192
2014,Uncapped,China,Overall,56
2014,Uncapped,Other,Overall,34
2014,Uncapped,Overall,EB-3,223
2014,Uncapped,Overall,EB-2,26
2014,Uncapped,Overall,EB-4,33
2015,Uncapped,China,Overall,79
2015,Uncapped,India,Overall,186
2015,Uncapped,Other,Overall,79
2015,Uncapped,Overall,EB-3,187
2015,Uncapped,Overall,EB-2,76
2015,Uncapped,Overall,EB-4,81
2016,Uncapped,China,Overall,231
2016,Uncapped,India,Overall,344
2016,Uncapped,Other,Overall,166
2016,Uncapped,Overall,EB-3,450
2016,Uncapped,Overall,EB-2,114
2016,Uncapped,Overall,EB-4,177
2017,Uncapped,India,Overall,567
2017,Uncapped,China,Overall,153
2017,Uncapped,Other,Overall,241
2017,Uncapped,Overall,EB-3,525
2017,Uncapped,Overall,EB-2,176
2017,Uncapped,Overall,EB-4,260
2018,Uncapped,India,Overall,760
2018,Uncapped,China,Overall,46
2018,Uncapped,Other,Overall,369
2018,Uncapped,Overall,EB-3,520
2018,Uncapped,Overall,EB-2,261
2018,Uncapped,Overall,EB-4,394
2019,Uncapped,India,Overall,1184
2019,Uncapped,China,Overall,115
2019,Uncapped,Other,Overall,513
2019,Uncapped,Overall,EB-3,858
2019,Uncapped,Overall,EB-2,417
2019,Uncapped,Overall,EB-4,537
2020,Uncapped,India,Overall,1406
2020,Uncapped,China,Overall,124
2020,Uncapped,Other,Overall,601
2020,Uncapped,Overall,EB-3,837
2020,Uncapped,Overall,EB-2,659
2020,Uncapped,Overall,EB-4,633
2020,Uncapped,Overall,EB-1,2
2021,Uncapped,India,Overall,1563
2021,Uncapped,China,Overall,168
2021,Uncapped,Other,Overall,678
2021,Uncapped,Overall,EB-3,926
2021,Uncapped,Overall,EB-2,776
2021,Uncapped,Overall,EB-4,707
2022,Uncapped,India,Overall,1522
2022,Uncapped,China,Overall,111
2022,Uncapped,Other,Overall,658
2022,Uncapped,Overall,EB-3,897
2022,Uncapped,Overall,EB-2,709
2022,Uncapped,Overall,EB-4,684
2022,Uncapped,Overall,EB-5,1
2023,Uncapped,India,Overall,2137
2023,Uncapped,China,Overall,162
2023,Uncapped,Other,Overall,728
2023,Uncapped,Overall,EB-3,1177
2023,Uncapped,Overall,EB-2,1086
2023,Uncapped,Overall,EB-4,751
2023,Uncapped,Overall,EB-5,13
2024,Uncapped,India,Overall,2523
2024,Uncapped,China,Overall,320
2024,Uncapped,Other,Overall,936
2024,Uncapped,Overall,EB-3,1190
2024,Uncapped,Overall,EB-2,1540
2024,Uncapped,Overall,EB-4,957
2024,Uncapped,Overall,EB-5,92
2025,Uncapped,India,Overall,2305
2025,Uncapped,China,Overall,322
2025,Uncapped,Other,Overall,1110
2025,Uncapped,Overall,EB-3,832
2025,Uncapped,Overall,EB-2,1757
2025,Uncapped,Overall,EB-4,1104
2025,Uncapped,Overall,EB-5,44
2026,Uncapped,India,Overall,2134
2026,Uncapped,China,Overall,389
2026,Uncapped,Other,Overall,1405
2026,Uncapped,Overall,EB-2,2038
2026,Uncapped,Overall,EB-3,637
2026,Uncapped,Overall,EB-4,1245
2026,Uncapped,Overall,EB-5,3
2026,Uncapped,Overall,EB-1,5
2027,Uncapped,India,Overall,2200
2027,Uncapped,China,Overall,412
2027,Uncapped,Other,Overall,1704
2027,Uncapped,Overall,EB-2,2350
2027,Uncapped,Overall,EB-3,595
2027,Uncapped,Overall,EB-4,1361
2027,Uncapped,Overall,EB-5,1
2027,Uncapped,Overall,EB-1,9
2028,Uncapped,India,Overall,2341
2028,Uncapped,China,Overall,490
2028,Uncapped,Other,Overall,2219
2028,Uncapped,Overall,EB-2,2665
2028,Uncapped,Overall,EB-4,1532
2028,Uncapped,Overall,EB-3,836
2028,Uncapped,Overall,EB-5,3
2028,Uncapped,Overall,EB-1,14
2029,Uncapped,India,Overall,2578
2029,Uncapped,China,Overall,552
2029,Uncapped,Other,Overall,2715
2029,Uncapped,Overall,EB-2,3145
2029,Uncapped,Overall,EB-4,1637
2029,Uncapped,Overall,EB-3,1045
2029,Uncapped,Overall,EB-1,14
2029,Uncapped,Overall,EB-5,4
2030,Uncapped,India,Overall,2788
2030,Uncapped,China,Overall,541
2030,Uncapped,Other,Overall,3548
2030,Uncapped,Overall,EB-2,3596
2030,Uncapped,Overall,EB-4,1864
2030,Uncapped,Overall,EB-3,1390
2030,Uncapped,Overall,EB-5,9
2030,Uncapped,Overall,EB-1,18
2031,Uncapped,India,Overall,2879
2031,Uncapped,China,Overall,656
2031,Uncapped,Other,Overall,4291
2031,Uncapped,Overall,EB-2,4039
2031,Uncapped,Overall,EB-4,2042
2031,Uncapped,Overall,EB-3,1713
2031,Uncapped,Overall,EB-5,7
2031,Uncapped,Overall,EB-1,25
2032,Uncapped,India,Overall,3066
2032,Uncapped,China,Overall,733
2032,Uncapped,Other,Overall,5094
2032,Uncapped,Overall,EB-2,4610
2032,Uncapped,Overall,EB-4,2232
2032,Uncapped,Overall,EB-3,2013
2032,Uncapped,Overall,EB-5,12
2032,Uncapped,Overall,EB-1,26
2033,Uncapped,China,Overall,745
2033,Uncapped,India,Overall,3271
2033,Uncapped,Other,Overall,5598
2033,Uncapped,Overall,EB-2,5131
2033,Uncapped,Overall,EB-4,2343
2033,Uncapped,Overall,EB-3,2118
2033,Uncapped,Overall,EB-5,3
2033,Uncapped,Overall,EB-1,19
2034,Uncapped,India,Overall,3533
2034,Uncapped,China,Overall,801
2034,Uncapped,Other,Overall,6232
2034,Uncapped,Overall,EB-2,5973
2034,Uncapped,Overall,EB-4,2431
2034,Uncapped,Overall,EB-3,2136
2034,Uncapped,Overall,EB-1,20
