Scenario,Entry_Year,Nationality,EB_Category,Total_Created,Aged_Out,Saved,Exited,Still_Dependent,AgeOut_Pct,Save_Pct,Exit_Pct
Uncapped,2009,China,EB-1,648,0,648,0,0,0.00,100.00,0.00
Uncapped,2009,China,EB-2,2591,0,2492,99,0,0.00,96.18,3.82
Uncapped,2009,China,EB-3,10074,737,6266,3071,0,7.32,62.20,30.48
Uncapped,2009,China,EB-4,11,0,11,0,0,0.00,100.00,0.00
Uncapped,2009,China,EB-5,331,0,331,0,0,0.00,100.00,0.00
Uncapped,2009,India,EB-1,1255,0,1255,0,0,0.00,100.00,0.00
Uncapped,2009,India,EB-2,7579,0,7355,224,0,0.00,97.04,2.96
Uncapped,2009,India,EB-3,39037,5019,21019,12999,0,12.86,53.84,33.30
Uncapped,2009,India,EB-4,162,0,162,0,0,0.00,100.00,0.00
Uncapped,2009,India,EB-5,15,0,15,0,0,0.00,100.00,0.00
Uncapped,2009,Other,EB-1,8096,0,8096,0,0,0.00,100.00,0.00
Uncapped,2009,Other,EB-2,7945,0,7945,0,0,0.00,100.00,0.00
Uncapped,2009,Other,EB-3,43534,88,39040,4406,0,0.20,89.68,10.12
Uncapped,2009,Other,EB-4,2678,0,2675,3,0,0.00,99.89,0.11
Uncapped,2009,Other,EB-5,599,0,599,0,0,0.00,100.00,0.00
Uncapped,2010,China,EB-1,807,0,807,0,0,0.00,100.00,0.00
Uncapped,2010,China,EB-2,751,0,691,60,0,0.00,92.01,7.99
Uncapped,2010,China,EB-3,228,34,113,81,0,14.91,49.56,35.53
Uncapped,2010,China,EB-5,325,0,325,0,0,0.00,100.00,0.00
Uncapped,2010,India,EB-1,1381,0,1381,0,0,0.00,100.00,0.00
Uncapped,2010,India,EB-2,7160,4,6683,473,0,0.06,93.34,6.61
Uncapped,2010,India,EB-3,3029,628,1185,1216,0,20.73,39.12,40.15
Uncapped,2010,India,EB-4,198,0,198,0,0,0.00,100.00,0.00
Uncapped,2010,India,EB-5,34,0,34,0,0,0.00,100.00,0.00
Uncapped,2010,Other,EB-1,7527,0,7527,0,0,0.00,100.00,0.00
Uncapped,2010,Other,EB-2,9495,0,9484,11,0,0.00,99.88,0.12
Uncapped,2010,Other,EB-3,5995,47,4805,1143,0,0.78,80.15,19.07
Uncapped,2010,Other,EB-4,3422,0,3351,71,0,0.00,97.93,2.07
Uncapped,2010,Other,EB-5,636,0,636,0,0,0.00,100.00,0.00
Uncapped,2011,China,EB-1,687,0,687,0,0,0.00,100.00,0.00
Uncapped,2011,China,EB-2,778,2,701,75,0,0.26,90.10,9.64
Uncapped,2011,China,EB-3,179,29,66,84,0,16.20,36.87,46.93
Uncapped,2011,China,EB-4,11,0,10,1,0,0.00,90.91,9.09
Uncapped,2011,China,EB-5,578,0,578,0,0,0.00,100.00,0.00
Uncapped,2011,India,EB-1,1624,0,1624,0,0,0.00,100.00,0.00
Uncapped,2011,India,EB-2,10486,466,7972,2048,0,4.44,76.03,19.53
Uncapped,2011,India,EB-3,3107,513,1360,1234,0,16.51,43.77,39.72
Uncapped,2011,India,EB-4,198,0,182,16,0,0.00,91.92,8.08
Uncapped,2011,India,EB-5,17,0,17,0,0,0.00,100.00,0.00
Uncapped,2011,Other,EB-1,5540,0,5540,0,0,0.00,100.00,0.00
Uncapped,2011,Other,EB-2,9778,0,9720,58,0,0.00,99.41,0.59
Uncapped,2011,Other,EB-3,4333,11,3703,619,0,0.25,85.46,14.29
Uncapped,2011,Other,EB-4,4062,2,3736,324,0,0.05,91.97,7.98
Uncapped,2011,Other,EB-5,314,0,314,0,0,0.00,100.00,0.00
Uncapped,2012,China,EB-1,815,0,815,0,0,0.00,100.00,0.00
Uncapped,2012,China,EB-2,824,7,683,134,0,0.85,82.89,16.26
Uncapped,2012,China,EB-3,114,7,58,49,0,6.14,50.88,42.98
Uncapped,2012,China,EB-4,14,0,13,1,0,0.00,92.86,7.14
Uncapped,2012,China,EB-5,1558,0,1558,0,0,0.00,100.00,0.00
Uncapped,2012,India,EB-1,1891,0,1891,0,0,0.00,100.00,0.00
Uncapped,2012,India,EB-2,10501,656,7686,2159,0,6.25,73.19,20.56
Uncapped,2012,India,EB-3,1948,247,1003,698,0,12.68,51.49,35.83
Uncapped,2012,India,EB-4,396,1,337,58,0,0.25,85.10,14.65
Uncapped,2012,India,EB-5,27,0,27,0,0,0.00,100.00,0.00
Uncapped,2012,Other,EB-1,5571,0,5571,0,0,0.00,100.00,0.00
Uncapped,2012,Other,EB-2,8738,0,8664,74,0,0.00,99.15,0.85
Uncapped,2012,Other,EB-3,2390,3,2026,361,0,0.13,84.77,15.10
Uncapped,2012,Other,EB-4,5805,27,4831,947,0,0.47,83.22,16.31
Uncapped,2012,Other,EB-5,584,0,584,0,0,0.00,100.00,0.00
Uncapped,2013,China,EB-1,980,0,980,0,0,0.00,100.00,0.00
Uncapped,2013,China,EB-2,704,12,581,111,0,1.70,82.53,15.77
Uncapped,2013,China,EB-3,124,13,58,53,0,10.48,46.77,42.74
Uncapped,2013,China,EB-4,32,0,29,3,0,0.00,90.62,9.38
Uncapped,2013,China,EB-5,1649,0,1649,0,0,0.00,100.00,0.00
Uncapped,2013,India,EB-1,2490,0,2490,0,0,0.00,100.00,0.00
Uncapped,2013,India,EB-2,10020,657,7225,2138,0,6.56,72.11,21.34
Uncapped,2013,India,EB-3,1634,166,958,510,0,10.16,58.63,31.21
Uncapped,2013,India,EB-4,704,10,549,145,0,1.42,77.98,20.60
Uncapped,2013,India,EB-5,24,0,24,0,0,0.00,100.00,0.00
Uncapped,2013,Other,EB-1,6363,0,6363,0,0,0.00,100.00,0.00
Uncapped,2013,Other,EB-2,7657,0,7657,0,0,0.00,100.00,0.00
Uncapped,2013,Other,EB-3,2271,0,2049,222,0,0.00,90.22,9.78
Uncapped,2013,Other,EB-4,11069,224,7644,3201,0,2.02,69.06,28.92
Uncapped,2013,Other,EB-5,605,0,605,0,0,0.00,100.00,0.00
Uncapped,2014,China,EB-1,1117,0,1115,2,0,0.00,99.82,0.18
Uncapped,2014,China,EB-2,831,15,630,186,0,1.81,75.81,22.38
Uncapped,2014,China,EB-3,1355,135,746,474,0,9.96,55.06,34.98
Uncapped,2014,China,EB-4,31,0,28,3,0,0.00,90.32,9.68
Uncapped,2014,China,EB-5,2220,0,2216,4,0,0.00,99.82,0.18
Uncapped,2014,India,EB-1,3394,0,3393,1,0,0.00,99.97,0.03
Uncapped,2014,India,EB-2,11863,992,8100,2771,0,8.36,68.28,23.36
Uncapped,2014,India,EB-3,1846,133,1151,562,0,7.20,62.35,30.44
Uncapped,2014,India,EB-4,523,16,338,169,0,3.06,64.63,32.31
Uncapped,2014,India,EB-5,65,0,65,0,0,0.00,100.00,0.00
Uncapped,2014,Other,EB-1,6267,0,6267,0,0,0.00,100.00,0.00
Uncapped,2014,Other,EB-2,9099,0,9094,5,0,0.00,99.95,0.05
Uncapped,2014,Other,EB-3,2730,0,2586,144,0,0.00,94.73,5.27
Uncapped,2014,Other,EB-4,9337,422,5288,3627,0,4.52,56.63,38.85
Uncapped,2014,Other,EB-5,775,0,775,0,0,0.00,100.00,0.00
Uncapped,2015,China,EB-1,1304,0,1296,8,0,0.00,99.39,0.61
Uncapped,2015,China,EB-2,1030,19,801,210,0,1.84,77.77,20.39
Uncapped,2015,China,EB-3,447,42,241,164,0,9.40,53.91,36.69
Uncapped,2015,China,EB-4,61,0,61,0,0,0.00,100.00,0.00
Uncapped,2015,China,EB-5,3587,0,3388,199,0,0.00,94.45,5.55
Uncapped,2015,India,EB-1,3151,0,3127,24,0,0.00,99.24,0.76
Uncapped,2015,India,EB-2,14861,1312,9803,3746,0,8.83,65.96,25.21
Uncapped,2015,India,EB-3,2936,191,1917,828,0,6.51,65.29,28.20
Uncapped,2015,India,EB-4,1082,61,653,368,0,5.64,60.35,34.01
Uncapped,2015,India,EB-5,216,0,216,0,0,0.00,100.00,0.00
Uncapped,2015,Other,EB-1,7344,0,7344,0,0,0.00,100.00,0.00
Uncapped,2015,Other,EB-2,10144,0,10087,57,0,0.00,99.44,0.56
Uncapped,2015,Other,EB-3,4393,0,4228,165,0,0.00,96.24,3.76
Uncapped,2015,Other,EB-4,12848,838,6286,5724,0,6.52,48.93,44.55
Uncapped,2015,Other,EB-5,1599,0,1599,0,0,0.00,100.00,0.00
Uncapped,2016,China,EB-1,1411,0,1381,30,0,0.00,97.87,2.13
Uncapped,2016,China,EB-2,1590,58,1189,343,0,3.65,74.78,21.57
Uncapped,2016,China,EB-3,1094,126,532,436,0,11.52,48.63,39.85
Uncapped,2016,China,EB-4,69,0,69,0,0,0.00,100.00,0.00
Uncapped,2016,China,EB-5,2935,0,2448,487,0,0.00,83.41,16.59
Uncapped,2016,India,EB-1,3951,0,3883,68,0,0.00,98.28,1.72
Uncapped,2016,India,EB-2,22174,2130,14422,5622,0,9.61,65.04,25.35
Uncapped,2016,India,EB-3,4702,259,3176,1267,0,5.51,67.55,26.95
Uncapped,2016,India,EB-4,697,44,379,274,0,6.31,54.38,39.31
Uncapped,2016,India,EB-5,333,0,328,5,0,0.00,98.50,1.50
Uncapped,2016,Other,EB-1,8198,0,8160,38,0,0.00,99.54,0.46
Uncapped,2016,Other,EB-2,12423,0,12197,226,0,0.00,98.18,1.82
Uncapped,2016,Other,EB-3,8343,0,8174,169,0,0.00,97.97,2.03
Uncapped,2016,Other,EB-4,12195,1052,5269,5874,0,8.63,43.21,48.17
Uncapped,2016,Other,EB-5,1387,0,1387,0,0,0.00,100.00,0.00
Uncapped,2017,China,EB-1,1477,0,1428,49,0,0.00,96.68,3.32
Uncapped,2017,China,EB-2,1302,230,713,359,0,17.67,54.76,27.57
Uncapped,2017,China,EB-3,1535,119,811,605,0,7.75,52.83,39.41
Uncapped,2017,China,EB-4,26,0,26,0,0,0.00,100.00,0.00
Uncapped,2017,China,EB-5,4297,9,3454,834,0,0.21,80.38,19.41
Uncapped,2017,India,EB-1,4545,0,4418,127,0,0.00,97.21,2.79
Uncapped,2017,India,EB-2,19245,2194,11630,5421,0,11.40,60.43,28.17
Uncapped,2017,India,EB-3,3941,151,2858,932,0,3.83,72.52,23.65
Uncapped,2017,India,EB-4,493,22,264,207,0,4.46,53.55,41.99
Uncapped,2017,India,EB-5,564,0,538,26,0,0.00,95.39,4.61
Uncapped,2017,Other,EB-1,8779,0,8647,132,0,0.00,98.50,1.50
Uncapped,2017,Other,EB-2,10304,0,10006,298,0,0.00,97.11,2.89
