category,nationality,sample_n,weight,spouse_probability,principal_age,married_children,child_entry_age,child_sample_n
EB-1,All,6971,767529.0,0.790387073322311,38.82536034469056,0.7351235071582227,6.165841716765389,4192
EB-1,China,598,61975.0,0.7595320693828157,37.24540540540541,0.3953730455472468,5.870237955691009,186
EB-1,India,2247,267368.0,0.8793984321235152,37.520746686215254,0.6058913845093844,5.374156234542065,1187
EB-1,ROW,4126,438186.0,0.7404389916610754,39.84485811961131,0.8780674988441979,6.554213607166764,2819
EB-2,All,19517,2276100.0,0.7369122622028909,36.43734370194631,0.6609862599461273,5.734012873701275,9798
EB-2,China,1630,178248.0,0.5635967864997082,33.33899398590727,0.371560820226956,5.875045773358497,381
EB-2,India,7797,977847.0,0.824433679297477,35.23229912245985,0.5704863738417455,4.7858288248421434,3621
EB-2,ROW,10090,1120005.0,0.6880826424882032,37.98253668510409,0.7933851160569696,6.393682770689907,5796
EB-3,All,11236,1366237.0,0.747709218825138,35.57125227907017,0.6065373335369459,5.338162346330189,5245
EB-3,China,460,51428.0,0.6037761530683674,34.61250680563117,0.5312872371260184,5.925814934866369,168
EB-3,India,4834,617551.0,0.8680902467974305,34.519557089212064,0.532802327967319,4.19633252116967,2162
EB-3,ROW,5942,697258.0,0.6517056813977036,36.573437665828145,0.698668814520903,6.259571535310334,2915
Other_EB4,All,396,42214.0,0.7247121807931018,41.04837257781779,1.0939757460857058,7.78859601936525,289
Other_EB4,China,396,42214.0,0.7247121807931018,41.04837257781779,1.0939757460857058,7.78859601936525,289
Other_EB4,India,396,42214.0,0.7247121807931018,41.04837257781779,1.0939757460857058,7.78859601936525,289
Other_EB4,ROW,396,42214.0,0.7247121807931018,41.04837257781779,1.0939757460857058,7.78859601936525,289
EB-5,All,4172,441838.0,0.8358629180830983,42.61566003829458,0.9818827237379372,6.835383795490495,3541
EB-5,China,236,22614.0,0.8800300698682232,41.67400725214469,0.6062006934324908,6.959270887842316,130
EB-5,India,799,86169.0,0.941846835869048,40.79988162796365,0.7409620739791518,6.336286446089611,560
EB-5,ROW,3137,333055.0,0.8054435453603759,43.14938073291198,1.082640900330653,6.9304567742298575,2851
