category,nationality,kept,omitted,omitted_pct
EB-1,All,445959.0,6986.0,1.5423506165207697
EB-1,China,18611.0,561.0,2.9261422908408097
EB-1,India,142459.0,852.0,0.5945112377975172
EB-1,ROW,284889.0,5573.0,1.9186675021173165
EB-2,All,1108663.0,15547.0,1.3829266774001299
EB-2,China,37327.0,1140.0,2.9635791717576105
EB-2,India,459909.0,1329.0,0.2881375775629935
EB-2,ROW,611427.0,13078.0,2.0941385577377285
EB-3,All,619607.0,13018.0,2.0577751432523215
EB-3,China,16497.0,442.0,2.609363008442057
EB-3,India,285630.0,1093.0,0.38120415871764735
EB-3,ROW,317480.0,11483.0,3.490666123545809
Other_EB4,All,33468.0,146.0,0.43434283334324986
Other_EB4,China,1177.0,0.0,0.0
Other_EB4,India,5398.0,0.0,0.0
Other_EB4,ROW,26893.0,146.0,0.5399607973667665
EB-5,All,362625.0,7307.0,1.9752278797184348
EB-5,China,12064.0,787.0,6.124037039919073
EB-5,India,60135.0,240.0,0.39751552795031053
EB-5,ROW,290426.0,6280.0,2.116573308258006
