Year,Scenario,Nationality,EB_Category,Count
2009,Uncapped,India,Overall,2526
2009,Uncapped,China,Overall,1641
2009,Uncapped,ROW,Overall,3859
2009,Uncapped,Overall,EB-2,535
2009,Uncapped,Overall,EB-3,7486
2009,Uncapped,Overall,EB-4,5
2010,Uncapped,India,Overall,2921
2010,Uncapped,China,Overall,1774
2010,Uncapped,ROW,Overall,3744
2010,Uncapped,Overall,EB-2,836
2010,Uncapped,Overall,EB-3,7510
2010,Uncapped,Overall,EB-4,93
2011,Uncapped,India,Overall,3388
2011,Uncapped,China,Overall,1611
2011,Uncapped,ROW,Overall,3634
2011,Uncapped,Overall,EB-2,1221
2011,Uncapped,Overall,EB-3,7022
2011,Uncapped,Overall,EB-4,390
2012,Uncapped,China,Overall,1600
2012,Uncapped,India,Overall,3749
2012,Uncapped,ROW,Overall,3228
2012,Uncapped,Overall,EB-3,6201
2012,Uncapped,Overall,EB-2,1579
2012,Uncapped,Overall,EB-4,797
2013,Uncapped,India,Overall,4063
2013,Uncapped,China,Overall,1573
2013,Uncapped,ROW,Overall,3297
2013,Uncapped,Overall,EB-3,5243
2013,Uncapped,Overall,EB-2,1765
2013,Uncapped,Overall,EB-4,1925
2014,Uncapped,China,Overall,1524
2014,Uncapped,India,Overall,4357
2014,Uncapped,ROW,Overall,3368
2014,Uncapped,Overall,EB-3,4139
2014,Uncapped,Overall,EB-2,2339
2014,Uncapped,Overall,EB-4,2743
2014,Uncapped,Overall,EB-1,8
2014,Uncapped,Overall,EB-5,20
2015,Uncapped,India,Overall,5164
2015,Uncapped,China,Overall,1711
2015,Uncapped,ROW,Overall,4472
2015,Uncapped,Overall,EB-3,3731
2015,Uncapped,Overall,EB-2,3210
2015,Uncapped,Overall,EB-4,4162
2015,Uncapped,Overall,EB-1,82
2015,Uncapped,Overall,EB-5,162
2016,Uncapped,India,Overall,6489
2016,Uncapped,China,Overall,2149
2016,Uncapped,ROW,Overall,6218
2016,Uncapped,Overall,EB-3,4126
2016,Uncapped,Overall,EB-2,4681
2016,Uncapped,Overall,EB-4,5493
2016,Uncapped,Overall,EB-5,305
2016,Uncapped,Overall,EB-1,251
2017,Uncapped,India,Overall,7470
2017,Uncapped,China,Overall,2608
2017,Uncapped,ROW,Overall,7612
2017,Uncapped,Overall,EB-3,4654
2017,Uncapped,Overall,EB-2,5560
2017,Uncapped,Overall,EB-4,6500
2017,Uncapped,Overall,EB-5,502
2017,Uncapped,Overall,EB-1,474
2018,Uncapped,India,Overall,8684
2018,Uncapped,China,Overall,3171
2018,Uncapped,ROW,Overall,8182
2018,Uncapped,Overall,EB-3,5361
2018,Uncapped,Overall,EB-2,6582
2018,Uncapped,Overall,EB-4,6666
2018,Uncapped,Overall,EB-5,775
2018,Uncapped,Overall,EB-1,653
2019,Uncapped,India,Overall,9829
2019,Uncapped,China,Overall,3561
2019,Uncapped,ROW,Overall,9834
2019,Uncapped,Overall,EB-3,5829
2019,Uncapped,Overall,EB-2,8130
2019,Uncapped,Overall,EB-4,7759
2019,Uncapped,Overall,EB-5,834
2019,Uncapped,Overall,EB-1,672
2020,Uncapped,India,Overall,11194
2020,Uncapped,China,Overall,4055
2020,Uncapped,ROW,Overall,11721
2020,Uncapped,Overall,EB-3,6827
2020,Uncapped,Overall,EB-2,9225
2020,Uncapped,Overall,EB-4,9544
2020,Uncapped,Overall,EB-5,884
2020,Uncapped,Overall,EB-1,490
2021,Uncapped,India,Overall,12688
2021,Uncapped,China,Overall,4507
2021,Uncapped,ROW,Overall,13294
