seed,scenario,year,principals,spouses,children,visas
2014,Uncapped,2009,63752.0,44491.0,32744.0,140987.0
2014,Uncapped,2010,68248.0,47458.0,34556.0,150262.0
2014,Uncapped,2011,63639.0,44603.0,31060.0,139302.0
2014,Uncapped,2012,64981.0,46362.0,33304.0,144647.0
2014,Uncapped,2013,72712.0,51951.0,36606.0,161269.0
2014,Uncapped,2014,68125.0,48477.0,34757.0,151359.0
2014,Uncapped,2015,64619.0,45378.0,33955.0,143952.0
2014,Uncapped,2016,62680.0,44443.0,33227.0,140350.0
2014,Uncapped,2017,62654.0,44304.0,32646.0,139604.0
2014,Uncapped,2018,62248.0,44189.0,33046.0,139483.0
2014,Uncapped,2019,63103.0,44490.0,32993.0,140586.0
2014,Uncapped,2020,66690.0,46354.0,34109.0,147153.0
2014,Uncapped,2021,88524.0,64956.0,42027.0,195507.0
2014,Uncapped,2022,126041.0,90739.0,58470.0,275250.0
2014,Uncapped,2023,88452.0,61603.0,43873.0,193928.0
2014,Uncapped,2024,76898.0,52703.0,37793.0,167394.0
2014,Uncapped,2025,76546.0,61084.0,29764.0,167394.0
2014,Uncapped,2026,76375.0,60300.0,30719.0,167394.0
2014,Uncapped,2027,76147.0,58535.0,32712.0,167394.0
2014,Uncapped,2028,76043.0,58336.0,33015.0,167394.0
2014,Uncapped,2029,76624.0,57854.0,32916.0,167394.0
2014,Uncapped,2030,77652.0,57591.0,32151.0,167394.0
2014,Uncapped,2031,77964.0,57463.0,31967.0,167394.0
2014,Uncapped,2032,79301.0,56598.0,31495.0,167394.0
2014,Uncapped,2033,80883.0,55527.0,30984.0,167394.0
2014,Uncapped,2034,81267.0,55703.0,30424.0,167394.0
2014,Uncapped,2035,80427.0,56513.0,30454.0,167394.0
2014,Uncapped,2036,80230.0,56744.0,30420.0,167394.0
2014,Uncapped,2037,80309.0,57304.0,29781.0,167394.0
2014,Uncapped,2038,80591.0,57485.0,29318.0,167394.0
2014,Uncapped,2039,82974.0,56076.0,28344.0,167394.0
2014,Uncapped,2040,83760.0,55994.0,27640.0,167394.0
2014,Capped,2009,63752.0,44491.0,32744.0,140987.0
2014,Capped,2010,68248.0,47458.0,34556.0,150262.0
2014,Capped,2011,63639.0,44603.0,31060.0,139302.0
2014,Capped,2012,64981.0,46362.0,33304.0,144647.0
2014,Capped,2013,72712.0,51951.0,36606.0,161269.0
2014,Capped,2014,68125.0,48477.0,34757.0,151359.0
2014,Capped,2015,64619.0,45378.0,33955.0,143952.0
2014,Capped,2016,62680.0,44443.0,33227.0,140350.0
2014,Capped,2017,62654.0,44304.0,32646.0,139604.0
2014,Capped,2018,62248.0,44189.0,33046.0,139483.0
2014,Capped,2019,63103.0,44490.0,32993.0,140586.0
2014,Capped,2020,66690.0,46354.0,34109.0,147153.0
2014,Capped,2021,88524.0,64956.0,42027.0,195507.0
2014,Capped,2022,126041.0,90739.0,58470.0,275250.0
2014,Capped,2023,88452.0,61603.0,43873.0,193928.0
2014,Capped,2024,76898.0,52703.0,37793.0,167394.0
2014,Capped,2025,77117.0,52584.0,37693.0,167394.0
2014,Capped,2026,77272.0,52781.0,37341.0,167394.0
2014,Capped,2027,77604.0,52734.0,37056.0,167394.0
2014,Capped,2028,77390.0,52831.0,37173.0,167394.0
2014,Capped,2029,77400.0,52986.0,37008.0,167394.0
2014,Capped,2030,78867.0,52138.0,36389.0,167394.0
2014,Capped,2031,78934.0,52411.0,36049.0,167394.0
2014,Capped,2032,79747.0,52047.0,35600.0,167394.0
2014,Capped,2033,80198.0,52137.0,35059.0,167394.0
2014,Capped,2034,80590.0,52024.0,34780.0,167394.0
2014,Capped,2035,79746.0,52392.0,35256.0,167394.0
2014,Capped,2036,79080.0,53045.0,35269.0,167394.0
2014,Capped,2037,79002.0,53419.0,34973.0,167394.0
2014,Capped,2038,79109.0,53448.0,34837.0,167394.0
2014,Capped,2039,80099.0,53099.0,34196.0,167394.0
2014,Capped,2040,81216.0,52559.0,33619.0,167394.0
2015,Uncapped,2009,63846.0,44376.0,32765.0,140987.0
2015,Uncapped,2010,68209.0,47364.0,34689.0,150262.0
2015,Uncapped,2011,63448.0,44500.0,31354.0,139302.0
2015,Uncapped,2012,65093.0,46288.0,33266.0,144647.0
2015,Uncapped,2013,72553.0,51968.0,36748.0,161269.0
2015,Uncapped,2014,68216.0,48418.0,34725.0,151359.0
2015,Uncapped,2015,64724.0,45397.0,33831.0,143952.0
2015,Uncapped,2016,62702.0,44483.0,33165.0,140350.0
2015,Uncapped,2017,62485.0,44138.0,32981.0,139604.0
2015,Uncapped,2018,62347.0,44137.0,32999.0,139483.0
2015,Uncapped,2019,63165.0,44591.0,32830.0,140586.0
2015,Uncapped,2020,66435.0,46163.0,34555.0,147153.0
2015,Uncapped,2021,88483.0,65253.0,41771.0,195507.0
2015,Uncapped,2022,125812.0,90582.0,58856.0,275250.0
2015,Uncapped,2023,88466.0,61756.0,43706.0,193928.0
2015,Uncapped,2024,76698.0,52646.0,38050.0,167394.0
2015,Uncapped,2025,76433.0,61072.0,29889.0,167394.0
2015,Uncapped,2026,76546.0,60352.0,30496.0,167394.0
2015,Uncapped,2027,76118.0,58504.0,32772.0,167394.0
2015,Uncapped,2028,75868.0,58452.0,33074.0,167394.0
2015,Uncapped,2029,76582.0,57811.0,33001.0,167394.0
2015,Uncapped,2030,77641.0,57436.0,32317.0,167394.0
2015,Uncapped,2031,78118.0,57462.0,31814.0,167394.0
2015,Uncapped,2032,79336.0,56570.0,31488.0,167394.0
2015,Uncapped,2033,80953.0,55434.0,31007.0,167394.0
2015,Uncapped,2034,81251.0,55739.0,30404.0,167394.0
2015,Uncapped,2035,80292.0,56623.0,30479.0,167394.0
2015,Uncapped,2036,80025.0,56910.0,30459.0,167394.0
2015,Uncapped,2037,80176.0,57421.0,29797.0,167394.0
