seed,scenario,year,dimension,group,value
2014,Uncapped,2009,overall,All,0.0
2014,Uncapped,2010,overall,All,0.0
2014,Uncapped,2011,overall,All,40.0
2014,Uncapped,2012,overall,All,166.0
2014,Uncapped,2013,overall,All,271.0
2014,Uncapped,2014,overall,All,326.0
2014,Uncapped,2015,overall,All,388.0
2014,Uncapped,2016,overall,All,808.0
2014,Uncapped,2017,overall,All,1077.0
2014,Uncapped,2018,overall,All,1326.0
2014,Uncapped,2019,overall,All,2099.0
2014,Uncapped,2020,overall,All,2482.0
2014,Uncapped,2021,overall,All,2899.0
2014,Uncapped,2022,overall,All,2913.0
2014,Uncapped,2023,overall,All,3750.0
2014,Uncapped,2024,overall,All,4809.0
2014,Uncapped,2025,overall,All,4962.0
2014,Uncapped,2026,overall,All,4982.0
2014,Uncapped,2027,overall,All,5613.0
2014,Uncapped,2028,overall,All,6461.0
2014,Uncapped,2029,overall,All,7407.0
2014,Uncapped,2030,overall,All,8703.0
2014,Uncapped,2031,overall,All,9929.0
2014,Uncapped,2032,overall,All,11540.0
2014,Uncapped,2033,overall,All,12783.0
2014,Uncapped,2034,overall,All,14150.0
2014,Uncapped,2035,overall,All,15405.0
2014,Uncapped,2036,overall,All,16985.0
2014,Uncapped,2037,overall,All,18010.0
2014,Uncapped,2038,overall,All,19394.0
2014,Uncapped,2039,overall,All,20990.0
2014,Uncapped,2040,overall,All,22488.0
2014,Uncapped,2009,nationality,India,0.0
2014,Uncapped,2010,nationality,India,0.0
2014,Uncapped,2011,nationality,India,1.0
2014,Uncapped,2012,nationality,India,46.0
2014,Uncapped,2013,nationality,India,146.0
2014,Uncapped,2014,nationality,India,212.0
2014,Uncapped,2015,nationality,India,185.0
2014,Uncapped,2016,nationality,India,322.0
2014,Uncapped,2017,nationality,India,585.0
2014,Uncapped,2018,nationality,India,807.0
2014,Uncapped,2019,nationality,India,1271.0
2014,Uncapped,2020,nationality,India,1511.0
2014,Uncapped,2021,nationality,India,1772.0
2014,Uncapped,2022,nationality,India,1805.0
2014,Uncapped,2023,nationality,India,2511.0
2014,Uncapped,2024,nationality,India,3065.0
2014,Uncapped,2025,nationality,India,2912.0
2014,Uncapped,2026,nationality,India,2596.0
2014,Uncapped,2027,nationality,India,2691.0
2014,Uncapped,2028,nationality,India,2902.0
2014,Uncapped,2029,nationality,India,3220.0
2014,Uncapped,2030,nationality,India,3491.0
2014,Uncapped,2031,nationality,India,3750.0
2014,Uncapped,2032,nationality,India,4043.0
2014,Uncapped,2033,nationality,India,4407.0
2014,Uncapped,2034,nationality,India,4838.0
2014,Uncapped,2035,nationality,India,5288.0
2014,Uncapped,2036,nationality,India,5859.0
2014,Uncapped,2037,nationality,India,6106.0
2014,Uncapped,2038,nationality,India,6515.0
2014,Uncapped,2039,nationality,India,7088.0
2014,Uncapped,2040,nationality,India,7763.0
2014,Uncapped,2009,nationality,China,0.0
2014,Uncapped,2010,nationality,China,0.0
2014,Uncapped,2011,nationality,China,0.0
2014,Uncapped,2012,nationality,China,39.0
2014,Uncapped,2013,nationality,China,56.0
2014,Uncapped,2014,nationality,China,63.0
2014,Uncapped,2015,nationality,China,97.0
2014,Uncapped,2016,nationality,China,274.0
2014,Uncapped,2017,nationality,China,173.0
2014,Uncapped,2018,nationality,China,45.0
2014,Uncapped,2019,nationality,China,177.0
2014,Uncapped,2020,nationality,China,172.0
2014,Uncapped,2021,nationality,China,230.0
2014,Uncapped,2022,nationality,China,182.0
2014,Uncapped,2023,nationality,China,197.0
2014,Uncapped,2024,nationality,China,403.0
2014,Uncapped,2025,nationality,China,515.0
2014,Uncapped,2026,nationality,China,504.0
2014,Uncapped,2027,nationality,China,533.0
2014,Uncapped,2028,nationality,China,587.0
2014,Uncapped,2029,nationality,China,612.0
2014,Uncapped,2030,nationality,China,658.0
2014,Uncapped,2031,nationality,China,759.0
2014,Uncapped,2032,nationality,China,860.0
2014,Uncapped,2033,nationality,China,912.0
2014,Uncapped,2034,nationality,China,1083.0
2014,Uncapped,2035,nationality,China,1067.0
2014,Uncapped,2036,nationality,China,1135.0
2014,Uncapped,2037,nationality,China,1246.0
2014,Uncapped,2038,nationality,China,1331.0
2014,Uncapped,2039,nationality,China,1463.0
2014,Uncapped,2040,nationality,China,1530.0
2014,Uncapped,2009,nationality,ROW,0.0
2014,Uncapped,2010,nationality,ROW,0.0
2014,Uncapped,2011,nationality,ROW,39.0
2014,Uncapped,2012,nationality,ROW,81.0
2014,Uncapped,2013,nationality,ROW,69.0
2014,Uncapped,2014,nationality,ROW,51.0
2014,Uncapped,2015,nationality,ROW,106.0
2014,Uncapped,2016,nationality,ROW,212.0
2014,Uncapped,2017,nationality,ROW,319.0
2014,Uncapped,2018,nationality,ROW,474.0
2014,Uncapped,2019,nationality,ROW,651.0
2014,Uncapped,2020,nationality,ROW,799.0
2014,Uncapped,2021,nationality,ROW,897.0
2014,Uncapped,2022,nationality,ROW,926.0
2014,Uncapped,2023,nationality,ROW,1042.0
2014,Uncapped,2024,nationality,ROW,1341.0
2014,Uncapped,2025,nationality,ROW,1535.0
2014,Uncapped,2026,nationality,ROW,1882.0
2014,Uncapped,2027,nationality,ROW,2389.0
2014,Uncapped,2028,nationality,ROW,2972.0
2014,Uncapped,2029,nationality,ROW,3575.0
2014,Uncapped,2030,nationality,ROW,4554.0
2014,Uncapped,2031,nationality,ROW,5420.0
2014,Uncapped,2032,nationality,ROW,6637.0
2014,Uncapped,2033,nationality,ROW,7464.0
2014,Uncapped,2034,nationality,ROW,8229.0
2014,Uncapped,2035,nationality,ROW,9050.0
2014,Uncapped,2036,nationality,ROW,9991.0
2014,Uncapped,2037,nationality,ROW,10658.0
2014,Uncapped,2038,nationality,ROW,11548.0
2014,Uncapped,2039,nationality,ROW,12439.0
2014,Uncapped,2040,nationality,ROW,13195.0
2014,Uncapped,2009,category,EB-1,0.0
2014,Uncapped,2010,category,EB-1,0.0
2014,Uncapped,2011,category,EB-1,0.0
2014,Uncapped,2012,category,EB-1,0.0
2014,Uncapped,2013,category,EB-1,0.0
2014,Uncapped,2014,category,EB-1,0.0
2014,Uncapped,2015,category,EB-1,0.0
2014,Uncapped,2016,category,EB-1,0.0
2014,Uncapped,2017,category,EB-1,0.0
2014,Uncapped,2018,category,EB-1,0.0
2014,Uncapped,2019,category,EB-1,0.0
2014,Uncapped,2020,category,EB-1,0.0
2014,Uncapped,2021,category,EB-1,0.0
2014,Uncapped,2022,category,EB-1,0.0
2014,Uncapped,2023,category,EB-1,0.0
2014,Uncapped,2024,category,EB-1,0.0
2014,Uncapped,2025,category,EB-1,0.0
2014,Uncapped,2026,category,EB-1,9.0
2014,Uncapped,2027,category,EB-1,13.0
2014,Uncapped,2028,category,EB-1,13.0
