year,dimension,group,scenario,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,p025,p975
2009,overall,All,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,overall,All,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,overall,All,Uncapped,50,34.7,6.351120743134833,0.898184109121037,32.89503145592738,36.504968544072625,24.225,45.55
2012,overall,All,Uncapped,50,159.1,14.620714966185783,2.0676813396771223,154.94483878151064,163.25516121848935,136.675,186.0
2013,overall,All,Uncapped,50,264.88,19.102986196735134,2.701570216124886,259.45099139230956,270.30900860769043,232.45,303.775
2014,overall,All,Uncapped,50,296.58,20.126224135668956,2.8462779132023757,290.8601903876406,302.29980961235935,265.0,332.325
2015,overall,All,Uncapped,50,358.12,20.337599641640935,2.8761709239322806,352.3401181335146,363.89988186648543,309.825,388.775
2016,overall,All,Uncapped,50,792.7,30.440473862599312,4.304933098155166,784.0489130484493,801.3510869515508,728.45,849.2
2017,overall,All,Uncapped,50,1064.04,35.4049229829493,5.0070122257261795,1053.9780322191773,1074.1019677808226,996.575,1114.775
2018,overall,All,Uncapped,50,1331.44,46.29812884657303,6.547544172732059,1318.2822173664679,1344.5977826335322,1252.125,1418.2
2019,overall,All,Uncapped,50,2140.58,48.44693709911613,6.851431550100627,2126.8115328180315,2154.3484671819683,2057.125,2231.2
2020,overall,All,Uncapped,50,2522.1,51.11022502436099,7.2280773405392065,2507.574634764397,2536.6253652356027,2450.125,2611.625
2021,overall,All,Uncapped,50,2831.44,62.042171306363564,8.774088010053424,2813.807810006604,2849.072189993396,2703.225,2908.775
2022,overall,All,Uncapped,50,2908.92,55.18201422454196,7.803915291541228,2893.2374450774646,2924.6025549225355,2796.175,3012.175
2023,overall,All,Uncapped,50,3779.18,59.15862108754388,8.366292427329553,3762.3673059114567,3795.992694088543,3669.825,3881.0
2024,overall,All,Uncapped,50,4780.06,57.56288841301294,8.140621748305199,4763.700808119771,4796.41919188023,4671.45,4881.525
2025,overall,All,Uncapped,50,4929.18,82.56764450053875,11.676828266586218,4905.714535067258,4952.6454649327425,4784.675,5056.525
2026,overall,All,Uncapped,50,4978.2,74.61301522399644,10.551873805932598,4956.995215694285,4999.404784305714,4834.15,5104.525
2027,overall,All,Uncapped,50,5540.2,55.56316501174541,7.857818152798459,5524.409123222272,5555.990876777728,5438.35,5627.175
2028,overall,All,Uncapped,50,6402.64,87.79725252546578,12.416406526060918,6377.688296911098,6427.591703088902,6234.925,6545.075
2029,overall,All,Uncapped,50,7452.26,77.0003472030338,10.889493532196761,7430.376743452819,7474.143256547181,7308.825,7582.0
2030,overall,All,Uncapped,50,8717.88,111.3737300942284,15.750623959133833,8686.22793612239,8749.532063877608,8485.0,8908.95
2031,overall,All,Uncapped,50,9998.02,96.33773287507967,13.624212840021404,9970.641119251315,10025.398880748686,9805.625,10175.225
2032,overall,All,Uncapped,50,11349.44,130.82051265230635,18.50081432294927,11312.261221669876,11386.618778330125,11113.7,11585.275
2033,overall,All,Uncapped,50,12763.74,127.91527967959968,18.089952335763744,12727.386879745201,12800.093120254798,12552.05,12947.975
2034,overall,All,Uncapped,50,14283.68,135.5768386697133,19.173460399037765,14245.149488772016,14322.210511227984,14084.35,14570.275
2035,overall,All,Uncapped,50,15483.62,121.01693084449137,17.114378487704663,15449.227368792252,15518.01263120775,15241.325,15758.35
2036,overall,All,Uncapped,50,16840.98,129.7703607554986,18.352300417447534,16804.09967153674,16877.86032846326,16605.5,17029.875
2037,overall,All,Uncapped,50,18196.1,141.7033765962389,20.03988370164633,18155.82834595822,18236.371654041777,17934.0,18424.525
2038,overall,All,Uncapped,50,19525.2,143.6748028695075,20.318685478933837,19484.368072810517,19566.031927189484,19189.825,19742.975
2039,overall,All,Uncapped,50,21017.78,143.92320656431716,20.353815066348176,20976.877477261558,21058.68252273844,20780.55,21321.625
2040,overall,All,Uncapped,50,22347.42,132.99134389508367,18.807816221465163,22309.624278256862,22385.215721743134,22152.425,22584.225
2009,nationality,India,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,nationality,India,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,nationality,India,Uncapped,50,1.78,1.568698927943349,0.22184752991776185,1.3341806974589778,2.2258193025410224,0.0,5.0
2012,nationality,India,Uncapped,50,39.92,5.94477990873214,0.8407188372252082,38.230512243324135,41.60948775667587,30.225,50.775
2013,nationality,India,Uncapped,50,147.86,14.204066678387624,2.008758373742754,143.82324891475056,151.89675108524946,131.0,178.775
2014,nationality,India,Uncapped,50,191.16,16.8708902780947,2.385904184058992,186.36534603355202,195.95465396644798,161.45,222.975
2015,nationality,India,Uncapped,50,175.28,12.579607728869963,1.779025185950131,171.70491504008538,178.85508495991462,149.9,192.775
2016,nationality,India,Uncapped,50,337.8,22.563289671861384,3.1909310265699147,331.38758402561774,344.2124159743823,296.25,387.65
2017,nationality,India,Uncapped,50,575.2,23.493811603770666,3.322526700189087,568.5231326185993,581.8768673814008,528.825,618.2
2018,nationality,India,Uncapped,50,807.3,35.73556508920627,5.053772080822201,797.1440647722845,817.4559352277154,741.7,876.975
2019,nationality,India,Uncapped,50,1298.04,36.58981680573915,5.17458151714233,1287.6412891206442,1308.4387108793558,1235.35,1369.975
2020,nationality,India,Uncapped,50,1534.66,41.80792327991898,5.912533211711527,1522.7783196690405,1546.5416803309597,1463.8,1618.55
2021,nationality,India,Uncapped,50,1718.8,41.746562854971444,5.903855537196149,1706.9357581088623,1730.6642418911376,1639.375,1801.675
2022,nationality,India,Uncapped,50,1808.06,47.17159730003569,6.671071266051254,1794.653980378619,1821.4660196213808,1733.225,1898.425
2023,nationality,India,Uncapped,50,2503.02,53.02809805823201,7.499305546080209,2487.9495812789314,2518.0904187210685,2393.8,2580.1
2024,nationality,India,Uncapped,50,3082.72,55.09288631437801,7.791310701607246,3067.0627749492696,3098.37722505073,2988.8,3171.4
2025,nationality,India,Uncapped,50,2904.38,52.27435083386537,7.3927095913501715,2889.523793869935,2919.236206130065,2814.575,2992.75
2026,nationality,India,Uncapped,50,2610.22,52.5268794163949,7.428422525980182,2595.292026040857,2625.1479739591427,2521.275,2703.525
2027,nationality,India,Uncapped,50,2703.38,48.27340925205435,6.82689100662421,2689.6608488865077,2717.0991511134926,2608.125,2785.85
2028,nationality,India,Uncapped,50,2889.54,47.45662251370364,6.711379918330005,2876.0529771091574,2903.0270228908425,2802.7,2981.325
2029,nationality,India,Uncapped,50,3207.12,48.47075280569738,6.854799599625098,3193.34476446911,3220.8952355308897,3129.675,3302.5
2030,nationality,India,Uncapped,50,3481.62,56.28096064045322,7.95932978411153,3465.625127961704,3497.6148720382957,3374.0,3576.5
2031,nationality,India,Uncapped,50,3727.76,50.075681498617875,7.081770792042087,3713.5286487812873,3741.991351218713,3629.175,3809.325
2032,nationality,India,Uncapped,50,3998.28,66.72882680319363,9.436881186632172,3979.3158772516135,4017.244122748387,3875.95,4118.65
2033,nationality,India,Uncapped,50,4470.98,63.482438516490525,8.977772552253704,4452.938490594412,4489.0215094055875,4359.25,4596.525
2034,nationality,India,Uncapped,50,4872.0,77.15290939797039,10.911069084715235,4850.07338575675,4893.92661424325,4733.4,4997.1
2035,nationality,India,Uncapped,50,5320.14,65.2990014612531,9.234673347592468,5301.582229117701,5338.6977708823,5206.125,5432.375
2036,nationality,India,Uncapped,50,5750.76,84.4880283754776,11.94841155867633,5726.748768008655,5774.771231991345,5605.6,5908.85
2037,nationality,India,Uncapped,50,6152.52,90.96741735593115,12.86473553588115,6126.6673460348775,6178.372653965123,5962.625,6312.95
2038,nationality,India,Uncapped,50,6528.6,93.92941335852977,13.283625027738136,6501.905556084947,6555.294443915053,6315.775,6681.425
2039,nationality,India,Uncapped,50,7121.68,72.2954369520071,10.224118743521744,7101.13386415155,7142.22613584845,6994.8,7243.3
2040,nationality,India,Uncapped,50,7738.42,77.54079637223761,10.96592458668289,7716.383149498375,7760.456850501625,7598.35,7875.725
2009,nationality,China,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,nationality,China,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,nationality,China,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,nationality,China,Uncapped,50,38.36,6.681561591882728,0.944915502107172,36.461121205785886,40.25887879421411,25.45,51.55
2013,nationality,China,Uncapped,50,61.2,7.213932098830057,1.0202040612204073,59.14982318175279,63.25017681824722,46.45,74.0
2014,nationality,China,Uncapped,50,57.5,6.280029897238077,0.8881303452782602,55.71523525078577,59.28476474921423,44.225,68.775
2015,nationality,China,Uncapped,50,95.82,10.173374613195376,1.438732435308304,92.92875892514978,98.71124107485021,80.0,112.775
2016,nationality,China,Uncapped,50,262.12,16.411345005756207,2.320914668392439,257.4559473549085,266.7840526450915,238.225,291.55
2017,nationality,China,Uncapped,50,166.6,14.56722628480292,2.0601168978126125,162.46004009656426,170.73995990343573,139.45,194.325
