aged_out,ageout_pct,eb_category,entry_year,exit_pct,exited,nationality,save_pct,saved,scenario,still_dependent,total_created,seed,observation_end_year
0,0.0,EB-1,2009,0.0,0,China,100.0,623,Uncapped,0,623,2014,2061
0,0.0,EB-2,2009,3.024502297090352,79,China,96.97549770290965,2533,Uncapped,0,2612,2014,2061
977,9.725263786581724,EB-3,2009,23.780609197690623,2389,China,66.49412701572766,6680,Uncapped,0,10046,2014,2061
0,0.0,EB-4,2009,0.0,0,China,100.0,11,Uncapped,0,11,2014,2061
0,0.0,EB-5,2009,0.0,0,China,100.0,326,Uncapped,0,326,2014,2061
0,0.0,EB-1,2009,0.0,0,India,100.0,1235,Uncapped,0,1235,2014,2061
0,0.0,EB-2,2009,1.8592640413169788,144,India,98.14073595868302,7601,Uncapped,0,7745,2014,2061
6309,16.13720073664825,EB-3,2009,24.07663188049928,9413,India,59.78616738285246,23374,Uncapped,0,39096,2014,2061
0,0.0,EB-4,2009,0.0,0,India,100.0,162,Uncapped,0,162,2014,2061
0,0.0,EB-5,2009,0.0,0,India,100.0,19,Uncapped,0,19,2014,2061
0,0.0,EB-1,2009,0.0,0,ROW,100.0,8021,Uncapped,0,8021,2014,2061
0,0.0,EB-2,2009,0.0,0,ROW,100.0,8004,Uncapped,0,8004,2014,2061
109,0.25094969494647174,EB-3,2009,7.659721422815702,3327,ROW,92.08932888223784,39999,Uncapped,0,43435,2014,2061
0,0.0,EB-4,2009,0.11202389843166542,3,ROW,99.88797610156833,2675,Uncapped,0,2678,2014,2061
0,0.0,EB-5,2009,0.0,0,ROW,100.0,601,Uncapped,0,601,2014,2061
0,0.0,EB-1,2010,0.0,0,China,100.0,771,Uncapped,0,771,2014,2061
0,0.0,EB-2,2010,6.507304116865869,49,China,93.49269588313412,704,Uncapped,0,753,2014,2061
55,22.916666666666664,EB-3,2010,35.41666666666667,85,China,41.66666666666667,100,Uncapped,0,240,2014,2061
0,0.0,EB-5,2010,0.0,0,China,100.0,301,Uncapped,0,301,2014,2061
0,0.0,EB-1,2010,0.0,0,India,100.0,1477,Uncapped,0,1477,2014,2061
12,0.1685630004214075,EB-2,2010,5.239499929765416,373,India,94.59193706981318,6734,Uncapped,0,7119,2014,2061
715,23.427260812581913,EB-3,2010,26.146788990825687,798,India,50.425950196592396,1539,Uncapped,0,3052,2014,2061
0,0.0,EB-4,2010,0.0,0,India,100.0,198,Uncapped,0,198,2014,2061
0,0.0,EB-5,2010,0.0,0,India,100.0,28,Uncapped,0,28,2014,2061
0,0.0,EB-1,2010,0.0,0,ROW,100.0,7508,Uncapped,0,7508,2014,2061
0,0.0,EB-2,2010,0.02166377816291161,2,ROW,99.97833622183708,9230,Uncapped,0,9232,2014,2061
60,1.0240655401945724,EB-3,2010,12.834954770438642,752,ROW,86.14097968936679,5047,Uncapped,0,5859,2014,2061
0,0.0,EB-4,2010,1.2565751022793687,43,ROW,98.74342489772063,3379,Uncapped,0,3422,2014,2061
0,0.0,EB-5,2010,0.0,0,ROW,100.0,581,Uncapped,0,581,2014,2061
0,0.0,EB-1,2011,0.0,0,China,100.0,748,Uncapped,0,748,2014,2061
5,0.655307994757536,EB-2,2011,12.18872870249017,93,China,87.1559633027523,665,Uncapped,0,763,2014,2061
27,15.789473684210526,EB-3,2011,35.08771929824561,60,China,49.122807017543856,84,Uncapped,0,171,2014,2061
0,0.0,EB-4,2011,0.0,0,China,100.0,11,Uncapped,0,11,2014,2061
0,0.0,EB-5,2011,0.0,0,China,100.0,581,Uncapped,0,581,2014,2061
0,0.0,EB-1,2011,0.0,0,India,100.0,1629,Uncapped,0,1629,2014,2061
521,4.971374045801526,EB-2,2011,14.160305343511451,1484,India,80.86832061068702,8475,Uncapped,0,10480,2014,2061
567,18.32579185520362,EB-3,2011,27.020038784744667,836,India,54.65416936005171,1691,Uncapped,0,3094,2014,2061
0,0.0,EB-4,2011,0.5050505050505051,1,India,99.4949494949495,197,Uncapped,0,198,2014,2061
0,0.0,EB-5,2011,0.0,0,India,100.0,13,Uncapped,0,13,2014,2061
0,0.0,EB-1,2011,0.0,0,ROW,100.0,5443,Uncapped,0,5443,2014,2061
0,0.0,EB-2,2011,0.34775493505165184,34,ROW,99.65224506494835,9743,Uncapped,0,9777,2014,2061
24,0.5491990846681922,EB-3,2011,12.700228832951947,555,ROW,86.75057208237986,3791,Uncapped,0,4370,2014,2061
2,0.04923682914820286,EB-4,2011,4.972919743968488,202,ROW,94.97784342688331,3858,Uncapped,0,4062,2014,2061
0,0.0,EB-5,2011,0.0,0,ROW,100.0,376,Uncapped,0,376,2014,2061
0,0.0,EB-1,2012,0.0,0,China,100.0,771,Uncapped,0,771,2014,2061
5,0.657030223390276,EB-2,2012,13.797634691195796,105,China,85.54533508541394,651,Uncapped,0,761,2014,2061
