seed,scenario,nationality,category,period,nonempty_entry_cohorts,value
2014,Capped,China,EB-1,full,32,85.84684770565367
2014,Capped,China,EB-1,projection,16,73.20907821483328
2014,Capped,China,EB-2,full,32,29.71181439073401
2014,Capped,China,EB-2,projection,16,0.0
2014,Capped,China,EB-3,full,32,27.019526901830666
2014,Capped,China,EB-3,projection,16,5.953738625621412
2014,Capped,China,EB-4,full,31,99.13269287944105
2014,Capped,China,EB-4,projection,16,100.0
2014,Capped,China,EB-5,full,32,90.94987235470589
2014,Capped,China,EB-5,projection,16,89.35167586427572
2014,Capped,India,EB-1,full,32,89.6759245604613
2014,Capped,India,EB-1,projection,16,80.45135561208676
2014,Capped,India,EB-2,full,32,13.687630841278558
2014,Capped,India,EB-2,projection,16,0.0
2014,Capped,India,EB-3,full,32,1.289614027010436
2014,Capped,India,EB-3,projection,16,0.0
2014,Capped,India,EB-4,full,32,40.292408074574396
2014,Capped,India,EB-4,projection,16,11.890998420374281
2014,Capped,India,EB-5,full,32,94.07117626562493
2014,Capped,India,EB-5,projection,16,90.6103240879088
2014,Capped,ROW,EB-1,full,32,99.92356176324677
2014,Capped,ROW,EB-1,projection,16,100.0
2014,Capped,ROW,EB-2,full,32,93.85605368896594
2014,Capped,ROW,EB-2,projection,16,89.65751898495014
2014,Capped,ROW,EB-3,full,32,81.02289757972292
2014,Capped,ROW,EB-3,projection,16,69.14304800786235
2014,Capped,ROW,EB-4,full,32,25.341968396042923
2014,Capped,ROW,EB-4,projection,16,0.0
2014,Capped,ROW,EB-5,full,32,99.98380829015544
2014,Capped,ROW,EB-5,projection,16,100.0
2014,Uncapped,China,EB-1,full,32,96.74204052421639
2014,Uncapped,China,EB-1,projection,16,94.79440400470159
2014,Uncapped,China,EB-2,full,32,33.50408295608443
2014,Uncapped,China,EB-2,projection,16,3.5885864297639944
2014,Uncapped,China,EB-3,full,32,45.12387479890678
2014,Uncapped,China,EB-3,projection,16,35.4479311715284
2014,Uncapped,China,EB-4,full,31,47.51978965363461
2014,Uncapped,China,EB-4,projection,16,0.0
2014,Uncapped,China,EB-5,full,32,95.59580788948006
2014,Uncapped,China,EB-5,projection,16,95.91595494774103
2014,Uncapped,India,EB-1,full,32,97.60242958373358
2014,Uncapped,India,EB-1,projection,16,96.14121443019982
2014,Uncapped,India,EB-2,full,32,35.657509818404364
2014,Uncapped,India,EB-2,projection,16,4.752951043099786
2014,Uncapped,India,EB-3,full,32,61.932302554584176
2014,Uncapped,India,EB-3,projection,16,55.75476284193007
2014,Uncapped,India,EB-4,full,32,28.834072618178936
2014,Uncapped,India,EB-4,projection,16,0.04562043795620438
2014,Uncapped,India,EB-5,full,32,96.26502737414305
2014,Uncapped,India,EB-5,projection,16,95.21699367438481
2014,Uncapped,ROW,EB-1,full,32,96.84272301550803
2014,Uncapped,ROW,EB-1,projection,16,93.83832250452254
2014,Uncapped,ROW,EB-2,full,32,46.21043281530366
2014,Uncapped,ROW,EB-2,projection,16,2.3832153227304866
2014,Uncapped,ROW,EB-3,full,32,61.622550763639154
2014,Uncapped,ROW,EB-3,projection,16,34.55513003472036
2014,Uncapped,ROW,EB-4,full,32,25.86470594592538
2014,Uncapped,ROW,EB-4,projection,16,0.01919602529358627
2014,Uncapped,ROW,EB-5,full,32,96.48236049704207
2014,Uncapped,ROW,EB-5,projection,16,92.99710441377327
2015,Capped,China,EB-1,full,32,85.90675503621726
2015,Capped,China,EB-1,projection,16,73.41905087682083
2015,Capped,China,EB-2,full,32,29.9529379571646
2015,Capped,China,EB-2,projection,16,0.0
2015,Capped,China,EB-3,full,32,27.57841138688041
2015,Capped,China,EB-3,projection,16,5.796720778239613
2015,Capped,China,EB-4,full,32,98.97989107666527
2015,Capped,China,EB-4,projection,16,100.0
2015,Capped,China,EB-5,full,32,91.21900984923809
2015,Capped,China,EB-5,projection,16,89.18287226940349
2015,Capped,India,EB-1,full,32,89.77021314219562
2015,Capped,India,EB-1,projection,16,80.57327716173754
2015,Capped,India,EB-2,full,32,13.699321898913839
2015,Capped,India,EB-2,projection,16,0.0
2015,Capped,India,EB-3,full,32,1.2828930511427692
2015,Capped,India,EB-3,projection,16,0.0
2015,Capped,India,EB-4,full,32,39.85392572843905
2015,Capped,India,EB-4,projection,16,11.787411814329163
2015,Capped,India,EB-5,full,32,93.79995611264698
2015,Capped,India,EB-5,projection,16,90.31654718153037
2015,Capped,ROW,EB-1,full,32,99.9289142153372
2015,Capped,ROW,EB-1,projection,16,100.0
