dimension,group,n_runs,mean_observed,mean_model,bias,rmse,wape,correlation
overall,All,50,160689.5625,160689.5625,0.0,0.0,0.0,1.0
category,EB-1,50,43792.5625,43767.6575,-24.905000000000655,2958.4811867240255,5.06342258459984,0.9345973324692248
category,EB-2,50,53091.8125,51696.11875,-1395.69375,3439.8552749389028,4.0385252434167676,0.9822762849543596
category,EB-3,50,45114.625,46387.96125,1273.3362500000003,2050.996252806183,3.453339687518184,0.9888929716467106
category,EB-4,50,10720.9375,10548.123749999999,-172.81375000000003,571.0926523122146,2.142431573731309,0.9886788539795871
category,EB-5,50,7969.625,8289.70125,320.0762500000001,1405.4639524993163,10.622253242781184,0.9235663166780015
nationality,India,50,34074.4375,29298.15625,-4776.28125,7587.687508893931,17.6983882712664,0.969750215859002
nationality,China,50,20473.25,18729.2925,-1743.9575,3814.493523490373,14.420585398019364,0.8050801478140893
nationality,ROW,50,106141.875,112662.11374999999,6520.238749999999,9374.995984656473,7.258672649225387,0.9200686617806031
joint,EB-1/India,50,12567.75,12179.51125,-388.23875,2349.9522362539624,14.47406059159356,0.9298464860267707
joint,EB-1/China,50,6543.75,6389.275,-154.47500000000002,1010.4393593877862,12.382349570200573,0.8540078173967878
joint,EB-1/ROW,50,24681.0625,25198.871250000004,517.8087499999997,2731.159538204423,7.209064642172515,0.7850814212452064
joint,EB-2/India,50,14628.1875,11103.06875,-3525.11875,6550.28603687465,24.09897842777856,0.926530175478449
joint,EB-2/China,50,4822.5,4283.835,-538.665,1429.7974896991532,18.911715914981855,0.7663829589300396
joint,EB-2/ROW,50,33641.125,36309.215000000004,2668.09,5553.853817193067,9.943209390292388,0.6428753762639825
joint,EB-3/India,50,5759.5,4782.33625,-977.1637499999999,2672.5625496001026,33.302999392308365,0.8892010595750705
joint,EB-3/China,50,3692.125,3107.8125,-584.3125,966.7022227656249,17.813251176490503,0.8326106011770935
joint,EB-3/ROW,50,35663.0,38497.8125,2834.8125,3794.16944962926,7.948889605473459,0.9574114878922145
joint,EB-4/India,50,702.9375,662.10875,-40.82875,238.8720730328265,27.92975904685694,0.5861188842422036
joint,EB-4/China,50,128.6875,136.4425,7.755000000000003,128.21904538718107,82.57017969888295,0.06314962211944582
joint,EB-4/ROW,50,9889.3125,9749.5725,-139.74000000000018,692.1585984440271,4.245492292816108,0.9841305413908569
joint,EB-5/India,50,416.0625,571.1312499999999,155.06875,352.85085457598086,57.8545891542737,0.7247541892216627
joint,EB-5/China,50,5286.1875,4811.9275,-474.2600000000001,2525.0621492648456,37.54667234183427,0.658789175718855
joint,EB-5/ROW,50,2267.375,2906.6425,639.2674999999999,1945.5308525181501,62.592866199900755,0.43769550415263475
