year,category,nationality,observed,model
2009,EB-1,India,6672,5454.38
2009,EB-1,China,4999,4375.74
2009,EB-1,ROW,29305,29386.74
2009,EB-2,India,10106,9513.38
2009,EB-2,China,3045,5684.82
2009,EB-2,ROW,32865,33029.78
2009,EB-3,India,2304,2304.0
2009,EB-3,China,1077,1077.0
2009,EB-3,ROW,36397,36941.0
2009,EB-4,India,771,488.52
2009,EB-4,China,91,28.98
2009,EB-4,ROW,9137,9479.48
2009,EB-5,India,72,56.86
2009,EB-5,China,1979,1431.8
2009,EB-5,ROW,2167,1734.52
2010,EB-1,India,6741,6348.22
2010,EB-1,China,6741,5684.1
2010,EB-1,ROW,27544,27858.96
2010,EB-2,India,19961,10235.56
2010,EB-2,China,6505,6021.84
2010,EB-2,ROW,27406,36959.0
2010,EB-3,India,3036,3008.0
2010,EB-3,China,3676,3008.0
2010,EB-3,ROW,35719,36959.0
2010,EB-4,India,824,576.72
2010,EB-4,China,98,25.6
2010,EB-4,ROW,10126,10066.68
2010,EB-5,India,62,120.2
2010,EB-5,China,772,1347.76
2010,EB-5,ROW,1051,2042.36
2011,EB-1,India,4563,7331.84
2011,EB-1,China,3940,5007.44
2011,EB-1,ROW,16726,20348.82
2011,EB-2,India,23997,14013.82
2011,EB-2,China,8257,8204.82
2011,EB-2,ROW,34550,34262.0
2011,EB-3,India,4002,2789.0
2011,EB-3,China,2542,2789.0
2011,EB-3,ROW,30881,34262.0
2011,EB-4,India,444,157.34
2011,EB-4,China,78,7.22
2011,EB-4,ROW,5859,6216.44
2011,EB-5,India,37,45.52
2011,EB-5,China,2408,2630.88
2011,EB-5,ROW,1018,1235.86
2012,EB-1,India,9506,8726.36
2012,EB-1,China,6183,5569.2
2012,EB-1,ROW,23698,20817.22
2012,EB-2,India,19726,12732.6
2012,EB-2,China,5858,3312.88
2012,EB-2,ROW,25009,35577.0
2012,EB-3,India,2804,2896.0
2012,EB-3,China,2827,2896.0
2012,EB-3,ROW,33918,35577.0
2012,EB-4,India,600,309.02
2012,EB-4,China,117,14.24
2012,EB-4,ROW,6761,7154.74
2012,EB-5,India,76,98.62
2012,EB-5,China,6124,7105.56
2012,EB-5,ROW,1440,1860.56
2013,EB-1,India,9640,11176.06
2013,EB-1,China,6249,6700.18
2013,EB-1,ROW,23169,23221.64
2013,EB-2,India,17193,16520.74
2013,EB-2,China,3627,3229.0
2013,EB-2,ROW,42641,38740.66
2013,EB-3,India,7816,3229.0
2013,EB-3,China,3229,3229.0
2013,EB-3,ROW,32695,39665.0
2013,EB-4,India,562,284.54
2013,EB-4,China,78,11.92
2013,EB-4,ROW,5806,6149.54
2013,EB-5,India,87,99.8
2013,EB-5,China,6895,7176.92
2013,EB-5,ROW,1582,1835.0
2014,EB-1,India,12978,14981.18
2014,EB-1,China,6167,7695.48
2014,EB-1,ROW,21463,23069.34
2014,EB-2,India,23527,3030.0
2014,EB-2,China,3561,3030.0
2014,EB-2,ROW,21983,37229.0
2014,EB-3,India,3526,3030.0
2014,EB-3,China,3676,3030.0
2014,EB-3,ROW,35497,37229.0
2014,EB-4,India,732,411.6
2014,EB-4,China,109,15.78
2014,EB-4,ROW,7448,7861.62
2014,EB-5,India,96,351.12
2014,EB-5,China,9128,7757.28
2014,EB-5,ROW,1468,2637.6
2015,EB-1,India,12253,8741.28
2015,EB-1,China,6239,5231.62
2015,EB-1,ROW,23498,27197.1
2015,EB-2,India,7235,2882.0
2015,EB-2,China,4202,2882.0
2015,EB-2,ROW,33042,35406.0
2015,EB-3,India,7026,2882.0
2015,EB-3,China,3211,2882.0
2015,EB-3,ROW,27213,35406.0
2015,EB-4,India,709,715.0
2015,EB-4,China,81,402.3
2015,EB-4,ROW,9479,9103.7
2015,EB-5,India,111,714.98
2015,EB-5,China,8156,4844.4
2015,EB-5,ROW,1497,4661.62
2016,EB-1,India,10985,9005.82
2016,EB-1,China,6711,5107.18
2016,EB-1,ROW,26027,26027.0
2016,EB-2,India,3930,2810.0
2016,EB-2,China,2837,2810.0
2016,EB-2,ROW,32344,34520.0
2016,EB-3,India,4617,2810.0
2016,EB-3,China,2815,2810.0
2016,EB-3,ROW,30108,34520.0
2016,EB-4,India,720,698.0
2016,EB-4,China,107,243.74
2016,EB-4,ROW,9202,9023.26
2016,EB-5,India,149,698.0
2016,EB-5,China,7516,5011.56
2016,EB-5,ROW,2282,4255.44
2017,EB-1,India,13082,11622.46
2017,EB-1,China,6337,5895.54
2017,EB-1,ROW,22409,22409.0
2017,EB-2,India,2879,2795.0
2017,EB-2,China,2559,2795.0
2017,EB-2,ROW,34523,34337.0
2017,EB-3,India,6641,2795.0
2017,EB-3,China,2524,2795.0
2017,EB-3,ROW,28605,34336.0
2017,EB-4,India,790,694.0
2017,EB-4,China,116,162.84
2017,EB-4,ROW,9049,9055.16
2017,EB-5,India,174,694.0
2017,EB-5,China,7567,2682.48
2017,EB-5,ROW,2349,6535.52
2018,EB-1,India,10967,11962.96
2018,EB-1,China,6582,5957.04
2018,EB-1,ROW,21972,21972.0
2018,EB-2,India,4096,2792.0
2018,EB-2,China,2681,2792.0
2018,EB-2,ROW,33864,34308.0
2018,EB-3,India,6112,2792.0
2018,EB-3,China,4392,2792.0
2018,EB-3,ROW,29462,34308.0
2018,EB-4,India,764,693.0
2018,EB-4,China,158,115.34
2018,EB-4,ROW,8831,9095.66
2018,EB-5,India,585,693.0
2018,EB-5,China,4642,988.24
2018,EB-5,ROW,4375,8221.76
2019,EB-1,India,9008,9650.68
2019,EB-1,China,5284,4757.32
2019,EB-1,ROW,25800,25800.0
2019,EB-2,India,2908,2814.0
