seed,metric,period,dimension,group,scenario,value
2014,ageouts,historical,overall,All,Uncapped,23354.0
2014,ageouts,historical,overall,All,Capped,23354.0
2014,ageouts,historical,overall,All,Capped minus uncapped,0.0
2014,ageouts,projection,overall,All,Uncapped,199802.0
2014,ageouts,projection,overall,All,Capped,266481.0
2014,ageouts,projection,overall,All,Capped minus uncapped,66679.0
2014,ageouts,full,overall,All,Uncapped,223156.0
2014,ageouts,full,overall,All,Capped,289835.0
2014,ageouts,full,overall,All,Capped minus uncapped,66679.0
2014,ageouts,historical,nationality,India,Uncapped,14239.0
2014,ageouts,historical,nationality,India,Capped,14239.0
2014,ageouts,historical,nationality,India,Capped minus uncapped,0.0
2014,ageouts,projection,nationality,India,Uncapped,73469.0
2014,ageouts,projection,nationality,India,Capped,193548.0
2014,ageouts,projection,nationality,India,Capped minus uncapped,120079.0
2014,ageouts,full,nationality,India,Uncapped,87708.0
2014,ageouts,full,nationality,India,Capped,207787.0
2014,ageouts,full,nationality,India,Capped minus uncapped,120079.0
2014,ageouts,historical,nationality,China,Uncapped,2108.0
2014,ageouts,historical,nationality,China,Capped,2108.0
2014,ageouts,historical,nationality,China,Capped minus uncapped,0.0
2014,ageouts,projection,nationality,China,Uncapped,14795.0
2014,ageouts,projection,nationality,China,Capped,18844.0
2014,ageouts,projection,nationality,China,Capped minus uncapped,4049.0
2014,ageouts,full,nationality,China,Uncapped,16903.0
2014,ageouts,full,nationality,China,Capped,20952.0
2014,ageouts,full,nationality,China,Capped minus uncapped,4049.0
2014,ageouts,historical,nationality,ROW,Uncapped,7007.0
2014,ageouts,historical,nationality,ROW,Capped,7007.0
2014,ageouts,historical,nationality,ROW,Capped minus uncapped,0.0
2014,ageouts,projection,nationality,ROW,Uncapped,111538.0
2014,ageouts,projection,nationality,ROW,Capped,54089.0
2014,ageouts,projection,nationality,ROW,Capped minus uncapped,-57449.0
2014,ageouts,full,nationality,ROW,Uncapped,118545.0
2014,ageouts,full,nationality,ROW,Capped,61096.0
2014,ageouts,full,nationality,ROW,Capped minus uncapped,-57449.0
2014,ageouts,historical,category,EB-1,Uncapped,0.0
2014,ageouts,historical,category,EB-1,Capped,0.0
2014,ageouts,historical,category,EB-1,Capped minus uncapped,0.0
2014,ageouts,projection,category,EB-1,Uncapped,731.0
2014,ageouts,projection,category,EB-1,Capped,2559.0
2014,ageouts,projection,category,EB-1,Capped minus uncapped,1828.0
2014,ageouts,full,category,EB-1,Uncapped,731.0
2014,ageouts,full,category,EB-1,Capped,2559.0
2014,ageouts,full,category,EB-1,Capped minus uncapped,1828.0
2014,ageouts,historical,category,EB-2,Uncapped,6356.0
2014,ageouts,historical,category,EB-2,Capped,6356.0
2014,ageouts,historical,category,EB-2,Capped minus uncapped,0.0
2014,ageouts,projection,category,EB-2,Uncapped,108625.0
2014,ageouts,projection,category,EB-2,Capped,149764.0
2014,ageouts,projection,category,EB-2,Capped minus uncapped,41139.0
2014,ageouts,full,category,EB-2,Uncapped,114981.0
2014,ageouts,full,category,EB-2,Capped,156120.0
2014,ageouts,full,category,EB-2,Capped minus uncapped,41139.0
2014,ageouts,historical,category,EB-3,Uncapped,9677.0
2014,ageouts,historical,category,EB-3,Capped,9677.0
2014,ageouts,historical,category,EB-3,Capped minus uncapped,0.0
2014,ageouts,projection,category,EB-3,Uncapped,40151.0
2014,ageouts,projection,category,EB-3,Capped,63613.0
2014,ageouts,projection,category,EB-3,Capped minus uncapped,23462.0
2014,ageouts,full,category,EB-3,Uncapped,49828.0
2014,ageouts,full,category,EB-3,Capped,73290.0
2014,ageouts,full,category,EB-3,Capped minus uncapped,23462.0
2014,ageouts,historical,category,EB-4,Uncapped,7122.0
2014,ageouts,historical,category,EB-4,Capped,7122.0
2014,ageouts,historical,category,EB-4,Capped minus uncapped,0.0
2014,ageouts,projection,category,EB-4,Uncapped,49738.0
2014,ageouts,projection,category,EB-4,Capped,49489.0
2014,ageouts,projection,category,EB-4,Capped minus uncapped,-249.0
2014,ageouts,full,category,EB-4,Uncapped,56860.0
2014,ageouts,full,category,EB-4,Capped,56611.0
2014,ageouts,full,category,EB-4,Capped minus uncapped,-249.0
2014,ageouts,historical,category,EB-5,Uncapped,199.0
2014,ageouts,historical,category,EB-5,Capped,199.0
2014,ageouts,historical,category,EB-5,Capped minus uncapped,0.0
2014,ageouts,projection,category,EB-5,Uncapped,557.0
2014,ageouts,projection,category,EB-5,Capped,1056.0
2014,ageouts,projection,category,EB-5,Capped minus uncapped,499.0
2014,ageouts,full,category,EB-5,Uncapped,756.0
2014,ageouts,full,category,EB-5,Capped,1255.0
2014,ageouts,full,category,EB-5,Capped minus uncapped,499.0
2014,exits,historical,overall,All,Uncapped,239746.0
2014,exits,historical,overall,All,Capped,239746.0
2014,exits,historical,overall,All,Capped minus uncapped,0.0
2014,exits,projection,overall,All,Uncapped,1072592.0
2014,exits,projection,overall,All,Capped,1093292.0
2014,exits,projection,overall,All,Capped minus uncapped,20700.0
2014,exits,full,overall,All,Uncapped,1312338.0
2014,exits,full,overall,All,Capped,1333038.0
2014,exits,full,overall,All,Capped minus uncapped,20700.0
2014,exits,historical,nationality,India,Uncapped,96415.0
2014,exits,historical,nationality,India,Capped,96415.0
2014,exits,historical,nationality,India,Capped minus uncapped,0.0
2014,exits,projection,nationality,India,Uncapped,187246.0
2014,exits,projection,nationality,India,Capped,334367.0
2014,exits,projection,nationality,India,Capped minus uncapped,147121.0
2014,exits,full,nationality,India,Uncapped,283661.0
2014,exits,full,nationality,India,Capped,430782.0
2014,exits,full,nationality,India,Capped minus uncapped,147121.0
2014,exits,historical,nationality,China,Uncapped,32512.0
2014,exits,historical,nationality,China,Capped,32512.0
2014,exits,historical,nationality,China,Capped minus uncapped,0.0
2014,exits,projection,nationality,China,Uncapped,95429.0
2014,exits,projection,nationality,China,Capped,104784.0
2014,exits,projection,nationality,China,Capped minus uncapped,9355.0
2014,exits,full,nationality,China,Uncapped,127941.0
2014,exits,full,nationality,China,Capped,137296.0
2014,exits,full,nationality,China,Capped minus uncapped,9355.0
2014,exits,historical,nationality,ROW,Uncapped,110819.0
2014,exits,historical,nationality,ROW,Capped,110819.0
2014,exits,historical,nationality,ROW,Capped minus uncapped,0.0
2014,exits,projection,nationality,ROW,Uncapped,789917.0
2014,exits,projection,nationality,ROW,Capped,654141.0
2014,exits,projection,nationality,ROW,Capped minus uncapped,-135776.0
2014,exits,full,nationality,ROW,Uncapped,900736.0
2014,exits,full,nationality,ROW,Capped,764960.0
2014,exits,full,nationality,ROW,Capped minus uncapped,-135776.0
2014,exits,historical,category,EB-1,Uncapped,2318.0
2014,exits,historical,category,EB-1,Capped,2318.0
2014,exits,historical,category,EB-1,Capped minus uncapped,0.0
2014,exits,projection,category,EB-1,Uncapped,16473.0
2014,exits,projection,category,EB-1,Capped,15797.0
