seed,metric,period,dimension,group,scenario,value
2014,ageouts,historical,overall,All,Uncapped,100.0
2014,ageouts,projection,overall,All,Uncapped,100.0
2014,ageouts,full,overall,All,Uncapped,100.0
2014,ageouts,historical,nationality,India,Uncapped,60.970283463218294
2014,ageouts,projection,nationality,India,Uncapped,36.77090319416222
2014,ageouts,full,nationality,India,Uncapped,39.30344691605872
2014,ageouts,historical,nationality,China,Uncapped,9.026290999400532
2014,ageouts,projection,nationality,China,Uncapped,7.40483078247465
2014,ageouts,full,nationality,China,Uncapped,7.57452185914786
2014,ageouts,historical,nationality,ROW,Uncapped,30.003425537381176
2014,ageouts,projection,nationality,ROW,Uncapped,55.82426602336313
2014,ageouts,full,nationality,ROW,Uncapped,53.12203122479342
2014,ageouts,historical,category,EB-1,Uncapped,0.0
2014,ageouts,projection,category,EB-1,Uncapped,0.36586220358154575
2014,ageouts,full,category,EB-1,Uncapped,0.3275735360017208
2014,ageouts,historical,category,EB-2,Uncapped,27.21589449344866
2014,ageouts,projection,category,EB-2,Uncapped,54.36632265943284
2014,ageouts,full,category,EB-2,Uncapped,51.524942192905414
2014,ageouts,historical,category,EB-3,Uncapped,41.43615654705832
2014,ageouts,projection,category,EB-3,Uncapped,20.09539444049609
2014,ageouts,full,category,EB-3,Uncapped,22.32877448959472
2014,ageouts,historical,category,EB-4,Uncapped,30.495846535925324
2014,ageouts,projection,category,EB-4,Uncapped,24.893644708261178
2014,ageouts,full,category,EB-4,Uncapped,25.479933320188568
2014,ageouts,historical,category,EB-5,Uncapped,0.8521024235676972
2014,ageouts,projection,category,EB-5,Uncapped,0.27877598822834604
2014,ageouts,full,category,EB-5,Uncapped,0.33877646130957717
2014,exits,historical,overall,All,Uncapped,100.0
2014,exits,projection,overall,All,Uncapped,100.0
2014,exits,full,overall,All,Uncapped,100.0
2014,exits,historical,nationality,India,Uncapped,40.21547804760038
2014,exits,projection,nationality,India,Uncapped,17.457336993003864
2014,exits,full,nationality,India,Uncapped,21.614934567161814
2014,exits,historical,nationality,China,Uncapped,13.561018744838288
2014,exits,projection,nationality,China,Uncapped,8.897045661351195
2014,exits,full,nationality,China,Uncapped,9.749089030417469
2014,exits,historical,nationality,ROW,Uncapped,46.223503207561336
2014,exits,projection,nationality,ROW,Uncapped,73.64561734564494
2014,exits,full,nationality,ROW,Uncapped,68.63597640242072
2014,exits,historical,category,EB-1,Uncapped,0.9668565898909679
2014,exits,projection,category,EB-1,Uncapped,1.5358123126034877
2014,exits,full,category,EB-1,Uncapped,1.4318719720072115
2014,exits,historical,category,EB-2,Uncapped,28.7233155089136
2014,exits,projection,category,EB-2,Uncapped,26.34086400047735
2014,exits,full,category,EB-2,Uncapped,26.77610493638072
2014,exits,historical,category,EB-3,Uncapped,35.48714055708959
2014,exits,projection,category,EB-3,Uncapped,23.284809135253667
2014,exits,full,category,EB-3,Uncapped,25.514006300206198
2014,exits,historical,category,EB-4,Uncapped,33.974289456341296
2014,exits,projection,category,EB-4,Uncapped,48.52488178170264
2014,exits,full,category,EB-4,Uncapped,45.86668983143062
2014,exits,historical,category,EB-5,Uncapped,0.8483978877645508
2014,exits,projection,category,EB-5,Uncapped,0.31363276996285633
2014,exits,full,category,EB-5,Uncapped,0.41132695997525026
2014,ageouts,historical,overall,All,Capped,100.0
2014,ageouts,projection,overall,All,Capped,100.0
2014,ageouts,full,overall,All,Capped,100.0
2014,ageouts,historical,nationality,India,Capped,60.970283463218294
2014,ageouts,projection,nationality,India,Capped,72.63106938205726
2014,ageouts,full,nationality,India,Capped,71.69147963496472
2014,ageouts,historical,nationality,China,Capped,9.026290999400532
2014,ageouts,projection,nationality,China,Capped,7.071423478596973
2014,ageouts,full,nationality,China,Capped,7.228940604136836
2014,ageouts,historical,nationality,ROW,Capped,30.003425537381176
2014,ageouts,projection,nationality,ROW,Capped,20.297507139345768
2014,ageouts,full,nationality,ROW,Capped,21.079579760898444
2014,ageouts,historical,category,EB-1,Capped,0.0
2014,ageouts,projection,category,EB-1,Capped,0.9602936044220789
2014,ageouts,full,category,EB-1,Capped,0.8829161419428295
2014,ageouts,historical,category,EB-2,Capped,27.21589449344866
2014,ageouts,projection,category,EB-2,Capped,56.20062968842056
2014,ageouts,full,category,EB-2,Capped,53.8651301602636
2014,ageouts,historical,category,EB-3,Capped,41.43615654705832
2014,ageouts,projection,category,EB-3,Capped,23.8714955287619
2014,ageouts,full,category,EB-3,Capped,25.286801110976935
2014,ageouts,historical,category,EB-4,Capped,30.495846535925324
2014,ageouts,projection,category,EB-4,Capped,18.571305271295138
2014,ageouts,full,category,EB-4,Capped,19.532147601221386
2014,ageouts,historical,category,EB-5,Capped,0.8521024235676972
2014,ageouts,projection,category,EB-5,Capped,0.39627590710031857
2014,ageouts,full,category,EB-5,Capped,0.43300498559525247
2014,exits,historical,overall,All,Capped,100.0
2014,exits,projection,overall,All,Capped,100.0
2014,exits,full,overall,All,Capped,100.0
2014,exits,historical,nationality,India,Capped,40.21547804760038
2014,exits,projection,nationality,India,Capped,30.583503766605812
2014,exits,full,nationality,India,Capped,32.315807951461245
2014,exits,historical,nationality,China,Capped,13.561018744838288
2014,exits,projection,nationality,China,Capped,9.584264770985245
2014,exits,full,nationality,China,Capped,10.299481335115727
2014,exits,historical,nationality,ROW,Capped,46.223503207561336
2014,exits,projection,nationality,ROW,Capped,59.83223146240894
2014,exits,full,nationality,ROW,Capped,57.384710713423026
2014,exits,historical,category,EB-1,Capped,0.9668565898909679
2014,exits,projection,category,EB-1,Capped,1.4449021853265185
2014,exits,full,category,EB-1,Capped,1.3589260021094673
2014,exits,historical,category,EB-2,Capped,28.7233155089136
2014,exits,projection,category,EB-2,Capped,28.327473355700032
2014,exits,full,category,EB-2,Capped,28.39866530436492
2014,exits,historical,category,EB-3,Capped,35.48714055708959
2014,exits,projection,category,EB-3,Capped,22.35880258887836
2014,exits,full,category,EB-3,Capped,24.719925463490164
2014,exits,historical,category,EB-4,Capped,33.974289456341296
2014,exits,projection,category,EB-4,Capped,47.529296839270756
2014,exits,full,category,EB-4,Capped,45.091437753462394
2014,exits,historical,category,EB-5,Capped,0.8483978877645508
2014,exits,projection,category,EB-5,Capped,0.33952503082433605
2014,exits,full,category,EB-5,Capped,0.4310454765730609
2015,ageouts,historical,overall,All,Uncapped,100.0
2015,ageouts,projection,overall,All,Uncapped,100.0
2015,ageouts,full,overall,All,Uncapped,100.0
2015,ageouts,historical,nationality,India,Uncapped,61.44640998959417
2015,ageouts,projection,nationality,India,Uncapped,36.82211795509851
2015,ageouts,full,nationality,India,Uncapped,39.36673073735052
2015,ageouts,historical,nationality,China,Uncapped,8.901318071453348
2015,ageouts,projection,nationality,China,Uncapped,7.201926776496925
2015,ageouts,full,nationality,China,Uncapped,7.3775376247250115
2015,ageouts,historical,nationality,ROW,Uncapped,29.65227193895248
2015,ageouts,projection,nationality,ROW,Uncapped,55.97595526840456
2015,ageouts,full,nationality,ROW,Uncapped,53.25573163792447
2015,ageouts,historical,category,EB-1,Uncapped,0.008671522719389525
2015,ageouts,projection,category,EB-1,Uncapped,0.39374996876983115
2015,ageouts,full,category,EB-1,Uncapped,0.35395692478639373
2015,ageouts,historical,category,EB-2,Uncapped,27.47571973638571
2015,ageouts,projection,category,EB-2,Uncapped,54.11014006106122
2015,ageouts,full,category,EB-2,Uncapped,51.35780564628502
2015,ageouts,historical,category,EB-3,Uncapped,41.111689212625734
2015,ageouts,projection,category,EB-3,Uncapped,20.258136083586923
2015,ageouts,full,category,EB-3,Uncapped,22.413090133562733
2015,ageouts,historical,category,EB-4,Uncapped,30.549774540409295
2015,ageouts,projection,category,EB-4,Uncapped,24.9311687078705
2015,ageouts,full,category,EB-4,Uncapped,25.511781389034503
2015,ageouts,historical,category,EB-5,Uncapped,0.8541449878598681
2015,ageouts,projection,category,EB-5,Uncapped,0.3068051787115182
2015,ageouts,full,category,EB-5,Uncapped,0.36336590633134846
2015,exits,historical,overall,All,Uncapped,100.0
2015,exits,projection,overall,All,Uncapped,100.0
2015,exits,full,overall,All,Uncapped,100.0
2015,exits,historical,nationality,India,Uncapped,40.252818813183886
2015,exits,projection,nationality,India,Uncapped,17.45018070334441
2015,exits,full,nationality,India,Uncapped,21.62232373035269
2015,exits,historical,nationality,China,Uncapped,13.450360574921307
2015,exits,projection,nationality,China,Uncapped,8.85101391546291
2015,exits,full,nationality,China,Uncapped,9.69254514538551
2015,exits,historical,nationality,ROW,Uncapped,46.29682061189481
2015,exits,projection,nationality,ROW,Uncapped,73.69880538119268
2015,exits,full,nationality,ROW,Uncapped,68.6851311242618
2015,exits,historical,category,EB-1,Uncapped,0.966390753293473
2015,exits,projection,category,EB-1,Uncapped,1.550057996635822
2015,exits,full,category,EB-1,Uncapped,1.4432658260249511
2015,exits,historical,category,EB-2,Uncapped,28.547041287077594
2015,exits,projection,category,EB-2,Uncapped,26.375322151731133
2015,exits,full,category,EB-2,Uncapped,26.77267630012006
2015,exits,historical,category,EB-3,Uncapped,35.3654880668854
2015,exits,projection,category,EB-3,Uncapped,23.300195062640096
2015,exits,full,category,EB-3,Uncapped,25.50775226869656
2015,exits,historical,category,EB-4,Uncapped,34.326232866445714
2015,exits,projection,category,EB-4,Uncapped,48.45861352608357
2015,exits,full,category,EB-4,Uncapped,45.87284633808911
2015,exits,historical,category,EB-5,Uncapped,0.7948470262978199
2015,exits,projection,category,EB-5,Uncapped,0.3158112629093798
2015,exits,full,category,EB-5,Uncapped,0.40345926706931334
2015,ageouts,historical,overall,All,Capped,100.0
2015,ageouts,projection,overall,All,Capped,100.0
2015,ageouts,full,overall,All,Capped,100.0
2015,ageouts,historical,nationality,India,Capped,61.44640998959417
2015,ageouts,projection,nationality,India,Capped,72.61968498335811
2015,ageouts,full,nationality,India,Capped,71.73155592929443
2015,ageouts,historical,nationality,China,Capped,8.901318071453348
2015,ageouts,projection,nationality,China,Capped,6.954402333234742
2015,ageouts,full,nationality,China,Capped,7.109156640623654
2015,ageouts,historical,nationality,ROW,Capped,29.65227193895248
2015,ageouts,projection,nationality,ROW,Capped,20.42591268340715
2015,ageouts,full,nationality,ROW,Capped,21.15928743008192
2015,ageouts,historical,category,EB-1,Capped,0.008671522719389525
2015,ageouts,projection,category,EB-1,Capped,0.9389847134187206
2015,ageouts,full,category,EB-1,Capped,0.8650369967018311
2015,ageouts,historical,category,EB-2,Capped,27.47571973638571
2015,ageouts,projection,category,EB-2,Capped,56.191945248355466
2015,ageouts,full,category,EB-2,Capped,53.90938134346104
2015,ageouts,historical,category,EB-3,Capped,41.111689212625734
2015,ageouts,projection,category,EB-3,Capped,23.83703298801559
2015,ageouts,full,category,EB-3,Capped,25.210141955672885
2015,ageouts,historical,category,EB-4,Capped,30.549774540409295
2015,ageouts,projection,category,EB-4,Capped,18.610092962481794
2015,ageouts,full,category,EB-4,Capped,19.559141304310366
2015,ageouts,historical,category,EB-5,Capped,0.8541449878598681
2015,ageouts,projection,category,EB-5,Capped,0.42194408772842823
2015,ageouts,full,category,EB-5,Capped,0.4562983998538742
2015,exits,historical,overall,All,Capped,100.0
