metric,period,dimension,group,scenario,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,p025,p975
ageouts,historical,overall,All,Uncapped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
ageouts,projection,overall,All,Uncapped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
ageouts,full,overall,All,Uncapped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
ageouts,historical,nationality,India,Uncapped,50,61.13219303747916,0.37493202607574694,0.05302339562443442,61.02563853464379,61.238747540314534,60.533647814461695,61.957289422139866
ageouts,projection,nationality,India,Uncapped,50,36.77068047729673,0.14929822763140405,0.021113957835459714,36.728250390472795,36.81311056412066,36.450399506569326,37.03201957038665
ageouts,full,nationality,India,Uncapped,50,39.311065805959544,0.13563825624416284,0.019182146155713224,39.27251784005003,39.34961377186906,39.001657871878244,39.568464722259876
ageouts,historical,nationality,China,Uncapped,50,8.944494264539195,0.23950716899993993,0.03387142866853,8.876427080240727,9.012561448837662,8.512252701960065,9.37161887463554
ageouts,projection,nationality,China,Uncapped,50,7.345967750809584,0.0662261858092845,0.009365797015573073,7.32714647705111,7.364789024568059,7.208499618298922,7.46167987930674
ageouts,full,nationality,China,Uncapped,50,7.512631363367977,0.06331204073210128,0.008953674666485546,7.494638280476897,7.530624446259058,7.386492719982321,7.6125204844909575
ageouts,historical,nationality,ROW,Uncapped,50,29.923312697981647,0.3439960622769366,0.04864838966749835,29.82555009877963,30.021075297183664,29.333732219118367,30.458289738652354
ageouts,projection,nationality,ROW,Uncapped,50,55.883351771893686,0.15255075785070804,0.02157393507027652,55.83999732620902,55.92670621757835,55.633934416580246,56.175639155714485
ageouts,full,nationality,ROW,Uncapped,50,53.17630283067248,0.13857183275057838,0.019597016523876416,53.13692115154449,53.215684509800475,52.961317016788975,53.480911694062144
ageouts,historical,category,EB-1,Uncapped,50,0.009029210861306395,0.005850514713506776,0.0008273877254704624,0.007366512976696269,0.010691908745916521,0.0,0.020521123116827262
ageouts,projection,category,EB-1,Uncapped,50,0.3752870526398327,0.01589414835577783,0.0022477720167111037,0.370769985656338,0.3798041196233274,0.3475606625481839,0.4037896803735294
ageouts,full,category,EB-1,Uncapped,50,0.337095408956057,0.014200674221258458,0.00200827860785457,0.33305962199645606,0.34113119591565794,0.3128580265270222,0.3623451534899352
ageouts,historical,category,EB-2,Uncapped,50,27.077734080274155,0.3169363590935298,0.04482156974392192,26.987661763627507,27.167806396920803,26.465021484714534,27.610317643566102
ageouts,projection,category,EB-2,Uncapped,50,54.2873216967906,0.1335996210316966,0.01889383959909311,54.24935310459797,54.325290288983226,54.03050815182535,54.527919719699824
ageouts,full,category,EB-2,Uncapped,50,51.449898666124064,0.1220648641222909,0.01726257863309728,51.415208215574,51.48458911667413,51.21896047954348,51.65901038992107
ageouts,historical,category,EB-3,Uncapped,50,41.308093194028935,0.32240249224496786,0.045594597707572015,41.216467419528925,41.399718968528944,40.81429232769937,41.85332009451902
ageouts,projection,category,EB-3,Uncapped,50,20.123322548941463,0.0887592841222824,0.012552458339225869,20.09809743949786,20.148547658385066,19.979514129914545,20.26526110134109
ageouts,full,category,EB-3,Uncapped,50,22.332416655133702,0.0862142393731653,0.012192534659121085,22.30791483940489,22.356918470862514,22.195165101754437,22.489990058713865
ageouts,historical,category,EB-4,Uncapped,50,30.693035288843934,0.33634963729875034,0.047567021876716416,30.5974457795765,30.788624798111368,30.087356761612543,31.267049305860912
ageouts,projection,category,EB-4,Uncapped,50,24.92545098435393,0.11082000630358523,0.01567231558968021,24.893956287036435,24.956945681671424,24.774750395135438,25.12046943198463
ageouts,full,category,EB-4,Uncapped,50,25.526957685095386,0.10844402403708271,0.015336300955155629,25.496138234466745,25.557777135724027,25.369593261380334,25.716622420092946
ageouts,historical,category,EB-5,Uncapped,50,0.9121082259916722,0.06345319978887277,0.008973637571739348,0.8940750261405322,0.9301414258428121,0.7908304390877167,1.0277550330148921
ageouts,projection,category,EB-5,Uncapped,50,0.2886177172741711,0.013705103016299389,0.0019381942559371008,0.2847227700926938,0.29251266445564844,0.262981373064927,0.3065382611028194
ageouts,full,category,EB-5,Uncapped,50,0.3536315846907808,0.01349847285062317,0.00190897233766763,0.34979536115263926,0.3574678082289224,0.32733650343810555,0.37405049449588135
exits,historical,overall,All,Uncapped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
exits,projection,overall,All,Uncapped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
exits,full,overall,All,Uncapped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
exits,historical,nationality,India,Uncapped,50,40.236756491518214,0.10307891396583736,0.014577559812517663,40.20746178830121,40.26605119473522,40.078857945215326,40.43481573659964
exits,projection,nationality,India,Uncapped,50,17.45684881591951,0.03229319494823191,0.004566947426814788,17.447671191461314,17.466026440377707,17.406685289932156,17.523033065189725
exits,full,nationality,India,Uncapped,50,21.61613354119191,0.03519792014992761,0.004977737604335287,21.606130402965313,21.626136679418508,21.555385974179284,21.687885863284492
exits,historical,nationality,China,Uncapped,50,13.528646123682059,0.06987713484562937,0.009882119179846263,13.50878726168788,13.548504985676237,13.423680731981795,13.649398092188331
exits,projection,nationality,China,Uncapped,50,8.896308917481859,0.030676659161846816,0.004338334743498063,8.887590707410947,8.90502712755277,8.836876742938022,8.957942653778796
exits,full,nationality,China,Uncapped,50,9.742112304525739,0.02693200784157887,0.0038087610751499383,9.734458312584975,9.749766296466502,9.694379864827782,9.793730466700081
exits,historical,nationality,ROW,Uncapped,50,46.23459738479973,0.09688627462069531,0.01370178835763915,46.20706261021183,46.262132159387626,46.026159722450785,46.3795096647127
exits,projection,nationality,ROW,Uncapped,50,73.64684226659864,0.03744537123283495,0.005295575184557053,73.6362004098414,73.65748412335589,73.57592360972458,73.71865162068968
exits,full,nationality,ROW,Uncapped,50,68.64175415428235,0.036445344615907926,0.0051541500641178245,68.63139650194505,68.65211180661966,68.57576693235474,68.70638711185073
exits,historical,category,EB-1,Uncapped,50,0.9803384979722607,0.021556059876673524,0.0030484872228918204,0.9742123335384324,0.986464662406089,0.940147112096535,1.0126378648976797
exits,projection,category,EB-1,Uncapped,50,1.5424654155338562,0.012522888684148841,0.0017710039017211853,1.538906449948098,1.5460243811196144,1.5145405395752327,1.5624932588065035
exits,full,category,EB-1,Uncapped,50,1.439829262022392,0.01175671171097273,0.001662650115056823,1.4364880415231638,1.4431704825216203,1.416938115659419,1.4621495580719033
exits,historical,category,EB-2,Uncapped,50,28.620260792387306,0.0821997647586651,0.011624802214558217,28.596899877720404,28.64362170705421,28.491379194915748,28.784221494772837
exits,projection,category,EB-2,Uncapped,50,26.369785951769938,0.0320790383212998,0.004536661106186842,26.360669189951697,26.37890271358818,26.302596574512805,26.42039500479025
exits,full,category,EB-2,Uncapped,50,26.78069470616085,0.025631043812289957,0.0036247769777119454,26.773410444106325,26.787978968215377,26.735426712611112,26.836273634435774
exits,historical,category,EB-3,Uncapped,50,35.3970114632107,0.09239404574547053,0.013066491257576458,35.37075336594331,35.4232695604781,35.2002020158869,35.56167857903827
exits,projection,category,EB-3,Uncapped,50,23.31057884714018,0.0294962160697011,0.004171394880445853,23.30219611528415,23.318961578996213,23.25647124819003,23.365515171514954
exits,full,category,EB-3,Uncapped,50,25.517389047161277,0.0265076780873937,0.0037487517858212274,25.509855648402347,25.524922445920208,25.474376298500058,25.564628701758107
exits,historical,category,EB-4,Uncapped,50,34.1931904053407,0.09240642540927736,0.013068242006421782,34.166928789811784,34.21945202086962,34.03765200265779,34.36489843293549
exits,projection,category,EB-4,Uncapped,50,48.461212971357206,0.03736143265509191,0.005283704477052001,48.45059496967981,48.4718309730346,48.39166897585903,48.524746599764676
exits,full,category,EB-4,Uncapped,50,45.85607103686929,0.03272175883568186,0.004627555513012294,45.8467716159019,45.865370457836676,45.7934716208766,45.911724777391704
exits,historical,category,EB-5,Uncapped,50,0.8091988410890152,0.017137824358015,0.0024236543636672794,0.8043283252964292,0.8140693568816012,0.7784233611552017,0.838976229749929
exits,projection,category,EB-5,Uncapped,50,0.3159568141988203,0.0044234035874720105,0.0006255637345252721,0.31469969680867227,0.3172139315889684,0.3077520711990168,0.3252614385160325
exits,full,category,EB-5,Uncapped,50,0.4060159477861916,0.00452146688779417,0.0006394319794539384,0.40473096111445245,0.40730093445793075,0.39694530712359954,0.41354244179903776
ageouts,historical,overall,All,Capped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
ageouts,projection,overall,All,Capped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
ageouts,full,overall,All,Capped,50,100.0,0.0,0.0,100.0,100.0,100.0,100.0
ageouts,historical,nationality,India,Capped,50,61.13219303747916,0.37493202607574694,0.05302339562443442,61.02563853464379,61.238747540314534,60.533647814461695,61.957289422139866
ageouts,projection,nationality,India,Capped,50,72.55810482387538,0.1158010797258695,0.01637674574857727,72.52519452115428,72.59101512659649,72.39069208913696,72.79070975230157
ageouts,full,nationality,India,Capped,50,71.64134249788466,0.11122937828600685,0.015730209530639833,71.60973145833704,71.67295353743229,71.46734885417293,71.85079475271782
ageouts,historical,nationality,China,Capped,50,8.944494264539195,0.23950716899993993,0.03387142866853,8.876427080240727,9.012561448837662,8.512252701960065,9.37161887463554
ageouts,projection,nationality,China,Capped,50,7.027824536571315,0.06258592204910736,0.008850985977547295,7.010037814326658,7.045611258815972,6.937464779478766,7.1663471888695796
ageouts,full,nationality,China,Capped,50,7.181589893806869,0.06233921310012347,0.008816096063386113,7.163873285469736,7.199306502144003,7.082520957348238,7.3117126803114605
ageouts,historical,nationality,ROW,Capped,50,29.923312697981647,0.3439960622769366,0.04864838966749835,29.82555009877963,30.021075297183664,29.333732219118367,30.458289738652354
ageouts,projection,nationality,ROW,Capped,50,20.414070639553305,0.10149297320065641,0.014353273918593736,20.385226655714767,20.442914623391843,20.23917016101795,20.63963908612792
ageouts,full,nationality,ROW,Capped,50,21.177067608308466,0.09981529533689894,0.014116014439771842,21.14870041524334,21.205434801373592,20.99697166465018,21.40286384502178
ageouts,historical,category,EB-1,Capped,50,0.009029210861306395,0.005850514713506776,0.0008273877254704624,0.007366512976696269,0.010691908745916521,0.0,0.020521123116827262
ageouts,projection,category,EB-1,Capped,50,0.9426418967495426,0.02399374570463549,0.00339322805876267,0.935822949668721,0.9494608438303641,0.8936666842957686,0.980971222424712
