Scenario,Entry_Year,Nationality,EB_Category,Total_Created,Aged_Out,Saved,Exited,Still_Dependent,AgeOut_Pct,Save_Pct,Exit_Pct
Uncapped,2009,China,EB-1,660,0,660,0,0,0.00,100.00,0.00
Uncapped,2009,China,EB-2,2642,0,2529,113,0,0.00,95.72,4.28
Uncapped,2009,China,EB-3,10057,730,6264,3063,0,7.26,62.28,30.46
Uncapped,2009,China,EB-4,11,0,11,0,0,0.00,100.00,0.00
Uncapped,2009,China,EB-5,330,0,330,0,0,0.00,100.00,0.00
Uncapped,2009,India,EB-1,1291,0,1291,0,0,0.00,100.00,0.00
Uncapped,2009,India,EB-2,7621,1,7440,180,0,0.01,97.62,2.36
Uncapped,2009,India,EB-3,39120,4995,21149,12976,0,12.77,54.06,33.17
Uncapped,2009,India,EB-4,162,0,162,0,0,0.00,100.00,0.00
Uncapped,2009,India,EB-5,13,0,13,0,0,0.00,100.00,0.00
Uncapped,2009,ROW,EB-1,7992,0,7992,0,0,0.00,100.00,0.00
Uncapped,2009,ROW,EB-2,8109,0,8109,0,0,0.00,100.00,0.00
Uncapped,2009,ROW,EB-3,43378,98,38917,4363,0,0.23,89.72,10.06
Uncapped,2009,ROW,EB-4,2678,0,2675,3,0,0.00,99.89,0.11
Uncapped,2009,ROW,EB-5,600,0,600,0,0,0.00,100.00,0.00
Uncapped,2010,China,EB-1,784,0,784,0,0,0.00,100.00,0.00
Uncapped,2010,China,EB-2,731,0,661,70,0,0.00,90.42,9.58
Uncapped,2010,China,EB-3,228,30,93,105,0,13.16,40.79,46.05
Uncapped,2010,China,EB-5,301,0,301,0,0,0.00,100.00,0.00
Uncapped,2010,India,EB-1,1470,0,1470,0,0,0.00,100.00,0.00
Uncapped,2010,India,EB-2,7157,7,6710,440,0,0.10,93.75,6.15
Uncapped,2010,India,EB-3,3029,615,1150,1264,0,20.30,37.97,41.73
Uncapped,2010,India,EB-4,198,0,198,0,0,0.00,100.00,0.00
Uncapped,2010,India,EB-5,27,0,27,0,0,0.00,100.00,0.00
Uncapped,2010,ROW,EB-1,7549,0,7549,0,0,0.00,100.00,0.00
Uncapped,2010,ROW,EB-2,9104,0,9092,12,0,0.00,99.87,0.13
Uncapped,2010,ROW,EB-3,5995,47,4819,1129,0,0.78,80.38,18.83
Uncapped,2010,ROW,EB-4,3422,0,3370,52,0,0.00,98.48,1.52
Uncapped,2010,ROW,EB-5,581,0,581,0,0,0.00,100.00,0.00
Uncapped,2011,China,EB-1,735,0,735,0,0,0.00,100.00,0.00
Uncapped,2011,China,EB-2,850,3,740,107,0,0.35,87.06,12.59
Uncapped,2011,China,EB-3,170,27,83,60,0,15.88,48.82,35.29
Uncapped,2011,China,EB-4,11,0,10,1,0,0.00,90.91,9.09
