Year,Scenario,EB_Category,Pass2_Allocations
2009,Uncapped,EB-1,4481
2009,Uncapped,EB-2,9305
2009,Uncapped,EB-3,2265
2009,Uncapped,EB-4,876
2009,Uncapped,EB-5,781
2010,Uncapped,EB-1,6203
2010,Uncapped,EB-2,10384
2010,Uncapped,EB-3,0
2010,Uncapped,EB-4,887
2010,Uncapped,EB-5,652
2011,Uncapped,EB-1,6684
2011,Uncapped,EB-2,16595
2011,Uncapped,EB-3,0
2011,Uncapped,EB-4,0
2011,Uncapped,EB-5,1970
2012,Uncapped,EB-1,8496
2012,Uncapped,EB-2,10421
2012,Uncapped,EB-3,0
2012,Uncapped,EB-4,0
2012,Uncapped,EB-5,6334
2013,Uncapped,EB-1,11302
2013,Uncapped,EB-2,13591
2013,Uncapped,EB-3,0
2013,Uncapped,EB-4,0
2013,Uncapped,EB-5,6391
2014,Uncapped,EB-1,16757
2014,Uncapped,EB-2,0
2014,Uncapped,EB-3,0
2014,Uncapped,EB-4,0
2014,Uncapped,EB-5,7288
2015,Uncapped,EB-1,8179
2015,Uncapped,EB-2,0
2015,Uncapped,EB-3,0
2015,Uncapped,EB-4,320
2015,Uncapped,EB-5,4080
2016,Uncapped,EB-1,8493
2016,Uncapped,EB-2,0
2016,Uncapped,EB-3,0
2016,Uncapped,EB-4,451
2016,Uncapped,EB-5,4172
2017,Uncapped,EB-1,11928
2017,Uncapped,EB-2,0
2017,Uncapped,EB-3,0
2017,Uncapped,EB-4,561
2017,Uncapped,EB-5,1909
2018,Uncapped,EB-1,12336
2018,Uncapped,EB-2,0
2018,Uncapped,EB-3,0
2018,Uncapped,EB-4,574
2018,Uncapped,EB-5,329
2019,Uncapped,EB-1,8778
2019,Uncapped,EB-2,0
2019,Uncapped,EB-3,0
2019,Uncapped,EB-4,480
2019,Uncapped,EB-5,6202
2020,Uncapped,EB-1,10816
2020,Uncapped,EB-2,347
2020,Uncapped,EB-3,0
2020,Uncapped,EB-4,569
2020,Uncapped,EB-5,549
2021,Uncapped,EB-1,32115
2021,Uncapped,EB-2,26509
2021,Uncapped,EB-3,17347
2021,Uncapped,EB-4,905
2021,Uncapped,EB-5,0
2022,Uncapped,EB-1,20502
2022,Uncapped,EB-2,56933
2022,Uncapped,EB-3,8409
2022,Uncapped,EB-4,1187
2022,Uncapped,EB-5,7084
2023,Uncapped,EB-1,16848
2023,Uncapped,EB-2,0
2023,Uncapped,EB-3,0
2023,Uncapped,EB-4,779
2023,Uncapped,EB-5,10244
2024,Uncapped,EB-1,11599
2024,Uncapped,EB-2,0
2024,Uncapped,EB-3,0
2024,Uncapped,EB-4,524
2024,Uncapped,EB-5,6399
2025,Uncapped,EB-1,0
2025,Uncapped,EB-2,0
2025,Uncapped,EB-3,0
2025,Uncapped,EB-4,0
2025,Uncapped,EB-5,0
2026,Uncapped,EB-1,0
2026,Uncapped,EB-2,0
2026,Uncapped,EB-3,0
2026,Uncapped,EB-4,0
2026,Uncapped,EB-5,0
2027,Uncapped,EB-1,0
2027,Uncapped,EB-2,0
2027,Uncapped,EB-3,0
2027,Uncapped,EB-4,0
2027,Uncapped,EB-5,0
2028,Uncapped,EB-1,0
2028,Uncapped,EB-2,0
2028,Uncapped,EB-3,0
2028,Uncapped,EB-4,0
2028,Uncapped,EB-5,0
2029,Uncapped,EB-1,0
2029,Uncapped,EB-2,0
2029,Uncapped,EB-3,0
2029,Uncapped,EB-4,0
2029,Uncapped,EB-5,0
2030,Uncapped,EB-1,0
2030,Uncapped,EB-2,0
2030,Uncapped,EB-3,0
2030,Uncapped,EB-4,0
2030,Uncapped,EB-5,0
2031,Uncapped,EB-1,0
2031,Uncapped,EB-2,0
2031,Uncapped,EB-3,0
2031,Uncapped,EB-4,0
2031,Uncapped,EB-5,0
2032,Uncapped,EB-1,0
2032,Uncapped,EB-2,0
2032,Uncapped,EB-3,0
2032,Uncapped,EB-4,0
2032,Uncapped,EB-5,0
2033,Uncapped,EB-1,0
2033,Uncapped,EB-2,0
2033,Uncapped,EB-3,0
2033,Uncapped,EB-4,0
2033,Uncapped,EB-5,0
2034,Uncapped,EB-1,0
2034,Uncapped,EB-2,0
2034,Uncapped,EB-3,0
2034,Uncapped,EB-4,0
2034,Uncapped,EB-5,0
2035,Uncapped,EB-1,0
2035,Uncapped,EB-2,0
2035,Uncapped,EB-3,0
2035,Uncapped,EB-4,0
2035,Uncapped,EB-5,0
2036,Uncapped,EB-1,0
2036,Uncapped,EB-2,0
2036,Uncapped,EB-3,0
2036,Uncapped,EB-4,0
2036,Uncapped,EB-5,0
2037,Uncapped,EB-1,0
2037,Uncapped,EB-2,0
2037,Uncapped,EB-3,0
2037,Uncapped,EB-4,0
2037,Uncapped,EB-5,0
2038,Uncapped,EB-1,0
2038,Uncapped,EB-2,0
2038,Uncapped,EB-3,0
2038,Uncapped,EB-4,0
2038,Uncapped,EB-5,0
2039,Uncapped,EB-1,0
2039,Uncapped,EB-2,0
2039,Uncapped,EB-3,0
2039,Uncapped,EB-4,0
2039,Uncapped,EB-5,0
2040,Uncapped,EB-1,0
2040,Uncapped,EB-2,0
2040,Uncapped,EB-3,0
2040,Uncapped,EB-4,0
2040,Uncapped,EB-5,0
2009,Capped,EB-1,4481
2009,Capped,EB-2,9305
2009,Capped,EB-3,2265
2009,Capped,EB-4,876
2009,Capped,EB-5,781
2010,Capped,EB-1,6203
2010,Capped,EB-2,10384
2010,Capped,EB-3,0
2010,Capped,EB-4,887
2010,Capped,EB-5,652
2011,Capped,EB-1,6684
2011,Capped,EB-2,16595
2011,Capped,EB-3,0
2011,Capped,EB-4,0
2011,Capped,EB-5,1970
2012,Capped,EB-1,8496
2012,Capped,EB-2,10421
2012,Capped,EB-3,0
2012,Capped,EB-4,0
2012,Capped,EB-5,6334
2013,Capped,EB-1,11302
2013,Capped,EB-2,13591
2013,Capped,EB-3,0
2013,Capped,EB-4,0
2013,Capped,EB-5,6391
2014,Capped,EB-1,16757
2014,Capped,EB-2,0
2014,Capped,EB-3,0
2014,Capped,EB-4,0
2014,Capped,EB-5,7288
2015,Capped,EB-1,8179
2015,Capped,EB-2,0
2015,Capped,EB-3,0
2015,Capped,EB-4,320
2015,Capped,EB-5,4080
2016,Capped,EB-1,8493
2016,Capped,EB-2,0
2016,Capped,EB-3,0
2016,Capped,EB-4,451
2016,Capped,EB-5,4172
2017,Capped,EB-1,11928
2017,Capped,EB-2,0
2017,Capped,EB-3,0
2017,Capped,EB-4,561
2017,Capped,EB-5,1909
2018,Capped,EB-1,12336
2018,Capped,EB-2,0
2018,Capped,EB-3,0
2018,Capped,EB-4,574
2018,Capped,EB-5,329
2019,Capped,EB-1,8778
2019,Capped,EB-2,0
2019,Capped,EB-3,0
2019,Capped,EB-4,480
2019,Capped,EB-5,6202
2020,Capped,EB-1,10816
2020,Capped,EB-2,347
2020,Capped,EB-3,0
2020,Capped,EB-4,569
2020,Capped,EB-5,549
2021,Capped,EB-1,32115
2021,Capped,EB-2,26509
2021,Capped,EB-3,17347
2021,Capped,EB-4,905
2021,Capped,EB-5,0
2022,Capped,EB-1,20502
2022,Capped,EB-2,56933
2022,Capped,EB-3,8409
2022,Capped,EB-4,1187
2022,Capped,EB-5,7084
2023,Capped,EB-1,16848
2023,Capped,EB-2,0
2023,Capped,EB-3,0
2023,Capped,EB-4,779
2023,Capped,EB-5,10244
2024,Capped,EB-1,11599
2024,Capped,EB-2,0
2024,Capped,EB-3,0
2024,Capped,EB-4,524
2024,Capped,EB-5,6399
2025,Capped,EB-1,11830
2025,Capped,EB-2,0
2025,Capped,EB-3,0
2025,Capped,EB-4,554
2025,Capped,EB-5,6448
2026,Capped,EB-1,10940
2026,Capped,EB-2,0
2026,Capped,EB-3,0
2026,Capped,EB-4,531
2026,Capped,EB-5,6208
2027,Capped,EB-1,10961
2027,Capped,EB-2,0
2027,Capped,EB-3,0
2027,Capped,EB-4,494
2027,Capped,EB-5,6231
2028,Capped,EB-1,11378
2028,Capped,EB-2,0
2028,Capped,EB-3,0
2028,Capped,EB-4,529
2028,Capped,EB-5,6266
2029,Capped,EB-1,10868
2029,Capped,EB-2,0
2029,Capped,EB-3,0
2029,Capped,EB-4,512
2029,Capped,EB-5,6457
2030,Capped,EB-1,10922
2030,Capped,EB-2,0
2030,Capped,EB-3,0
2030,Capped,EB-4,506
2030,Capped,EB-5,6359
2031,Capped,EB-1,11403
2031,Capped,EB-2,0
2031,Capped,EB-3,0
2031,Capped,EB-4,542
2031,Capped,EB-5,6338
2032,Capped,EB-1,11329
2032,Capped,EB-2,0
2032,Capped,EB-3,0
2032,Capped,EB-4,527
2032,Capped,EB-5,6272
2033,Capped,EB-1,11060
2033,Capped,EB-2,0
2033,Capped,EB-3,0
2033,Capped,EB-4,501
2033,Capped,EB-5,6139
2034,Capped,EB-1,11199
2034,Capped,EB-2,0
2034,Capped,EB-3,0
2034,Capped,EB-4,499
2034,Capped,EB-5,6567
2035,Capped,EB-1,11118
2035,Capped,EB-2,0
2035,Capped,EB-3,0
2035,Capped,EB-4,584
2035,Capped,EB-5,6300
2036,Capped,EB-1,11474
2036,Capped,EB-2,0
2036,Capped,EB-3,0
2036,Capped,EB-4,513
2036,Capped,EB-5,6304
2037,Capped,EB-1,11315
2037,Capped,EB-2,0
2037,Capped,EB-3,0
2037,Capped,EB-4,538
2037,Capped,EB-5,6450
2038,Capped,EB-1,11261
2038,Capped,EB-2,0
2038,Capped,EB-3,0
2038,Capped,EB-4,520
2038,Capped,EB-5,6299
2039,Capped,EB-1,11185
2039,Capped,EB-2,0
2039,Capped,EB-3,0
2039,Capped,EB-4,512
2039,Capped,EB-5,6460
2040,Capped,EB-1,11221
2040,Capped,EB-2,0
2040,Capped,EB-3,0
2040,Capped,EB-4,520
2040,Capped,EB-5,6402
