dimension,group,quantity,policy,value,case,role,seed
overall,All,age21_events_2025_2040,Capped,266481.0,catchall_60_65,primary,2014
overall,All,age21_events_2025_2040,Uncapped,199802.0,catchall_60_65,primary,2014
overall,All,age21_events_2025_2040,Capped minus uncapped,66679.0,catchall_60_65,primary,2014
nationality,India,age21_events_2025_2040,Capped,193548.0,catchall_60_65,primary,2014
nationality,India,age21_events_2025_2040,Uncapped,73469.0,catchall_60_65,primary,2014
nationality,India,age21_events_2025_2040,Capped minus uncapped,120079.0,catchall_60_65,primary,2014
nationality,China,age21_events_2025_2040,Capped,18844.0,catchall_60_65,primary,2014
nationality,China,age21_events_2025_2040,Uncapped,14795.0,catchall_60_65,primary,2014
nationality,China,age21_events_2025_2040,Capped minus uncapped,4049.0,catchall_60_65,primary,2014
nationality,ROW,age21_events_2025_2040,Capped,54089.0,catchall_60_65,primary,2014
nationality,ROW,age21_events_2025_2040,Uncapped,111538.0,catchall_60_65,primary,2014
nationality,ROW,age21_events_2025_2040,Capped minus uncapped,-57449.0,catchall_60_65,primary,2014
category,EB-1,age21_events_2025_2040,Capped,2559.0,catchall_60_65,primary,2014
category,EB-1,age21_events_2025_2040,Uncapped,731.0,catchall_60_65,primary,2014
category,EB-1,age21_events_2025_2040,Capped minus uncapped,1828.0,catchall_60_65,primary,2014
category,EB-2,age21_events_2025_2040,Capped,149764.0,catchall_60_65,primary,2014
category,EB-2,age21_events_2025_2040,Uncapped,108625.0,catchall_60_65,primary,2014
category,EB-2,age21_events_2025_2040,Capped minus uncapped,41139.0,catchall_60_65,primary,2014
category,EB-3,age21_events_2025_2040,Capped,63613.0,catchall_60_65,primary,2014
category,EB-3,age21_events_2025_2040,Uncapped,40151.0,catchall_60_65,primary,2014
category,EB-3,age21_events_2025_2040,Capped minus uncapped,23462.0,catchall_60_65,primary,2014
category,EB-4,age21_events_2025_2040,Capped,49489.0,catchall_60_65,primary,2014
category,EB-4,age21_events_2025_2040,Uncapped,49738.0,catchall_60_65,primary,2014
category,EB-4,age21_events_2025_2040,Capped minus uncapped,-249.0,catchall_60_65,primary,2014
category,EB-5,age21_events_2025_2040,Capped,1056.0,catchall_60_65,primary,2014
category,EB-5,age21_events_2025_2040,Uncapped,557.0,catchall_60_65,primary,2014
category,EB-5,age21_events_2025_2040,Capped minus uncapped,499.0,catchall_60_65,primary,2014
joint,EB-1 / India,age21_events_2025_2040,Capped minus uncapped,1458.0,catchall_60_65,primary,2014
joint,EB-1 / China,age21_events_2025_2040,Capped minus uncapped,927.0,catchall_60_65,primary,2014
joint,EB-1 / ROW,age21_events_2025_2040,Capped minus uncapped,-557.0,catchall_60_65,primary,2014
joint,EB-2 / India,age21_events_2025_2040,Capped minus uncapped,75311.0,catchall_60_65,primary,2014
joint,EB-2 / China,age21_events_2025_2040,Capped minus uncapped,514.0,catchall_60_65,primary,2014
joint,EB-2 / ROW,age21_events_2025_2040,Capped minus uncapped,-34686.0,catchall_60_65,primary,2014
joint,EB-3 / India,age21_events_2025_2040,Capped minus uncapped,43847.0,catchall_60_65,primary,2014
joint,EB-3 / China,age21_events_2025_2040,Capped minus uncapped,2160.0,catchall_60_65,primary,2014
joint,EB-3 / ROW,age21_events_2025_2040,Capped minus uncapped,-22545.0,catchall_60_65,primary,2014
joint,EB-4 / India,age21_events_2025_2040,Capped minus uncapped,-710.0,catchall_60_65,primary,2014
joint,EB-4 / China,age21_events_2025_2040,Capped minus uncapped,-116.0,catchall_60_65,primary,2014
joint,EB-4 / ROW,age21_events_2025_2040,Capped minus uncapped,577.0,catchall_60_65,primary,2014
joint,EB-5 / India,age21_events_2025_2040,Capped minus uncapped,173.0,catchall_60_65,primary,2014
joint,EB-5 / China,age21_events_2025_2040,Capped minus uncapped,564.0,catchall_60_65,primary,2014
joint,EB-5 / ROW,age21_events_2025_2040,Capped minus uncapped,-238.0,catchall_60_65,primary,2014
overall,All,age21_events_2025_2040,Capped,213441.0,catchall_55_60,sensitivity,2014
overall,All,age21_events_2025_2040,Uncapped,163257.0,catchall_55_60,sensitivity,2014
overall,All,age21_events_2025_2040,Capped minus uncapped,50184.0,catchall_55_60,sensitivity,2014
nationality,India,age21_events_2025_2040,Capped,155073.0,catchall_55_60,sensitivity,2014
nationality,India,age21_events_2025_2040,Uncapped,59910.0,catchall_55_60,sensitivity,2014
nationality,India,age21_events_2025_2040,Capped minus uncapped,95163.0,catchall_55_60,sensitivity,2014
nationality,China,age21_events_2025_2040,Capped,16042.0,catchall_55_60,sensitivity,2014
nationality,China,age21_events_2025_2040,Uncapped,12673.0,catchall_55_60,sensitivity,2014
nationality,China,age21_events_2025_2040,Capped minus uncapped,3369.0,catchall_55_60,sensitivity,2014
nationality,ROW,age21_events_2025_2040,Capped,42326.0,catchall_55_60,sensitivity,2014
nationality,ROW,age21_events_2025_2040,Uncapped,90674.0,catchall_55_60,sensitivity,2014
nationality,ROW,age21_events_2025_2040,Capped minus uncapped,-48348.0,catchall_55_60,sensitivity,2014
category,EB-1,age21_events_2025_2040,Capped,2102.0,catchall_55_60,sensitivity,2014
category,EB-1,age21_events_2025_2040,Uncapped,544.0,catchall_55_60,sensitivity,2014
category,EB-1,age21_events_2025_2040,Capped minus uncapped,1558.0,catchall_55_60,sensitivity,2014
category,EB-2,age21_events_2025_2040,Capped,121748.0,catchall_55_60,sensitivity,2014
category,EB-2,age21_events_2025_2040,Uncapped,90568.0,catchall_55_60,sensitivity,2014
