scenario,year,outcome,dimension,group,threshold_age,denominator,count_at_or_above,share_pct,maximum_age,case,role,seed
Uncapped,2024,converted,overall,All EB,60,76898,293,0.38102421389372937,65,catchall_60_65,primary,2014
Uncapped,2024,converted,overall,All EB,65,76898,1,0.0013004239382038544,65,catchall_60_65,primary,2014
Uncapped,2024,converted,overall,All EB,70,76898,0,0.0,65,catchall_60_65,primary,2014
Uncapped,2024,converted,overall,All EB,75,76898,0,0.0,65,catchall_60_65,primary,2014
Uncapped,2024,converted,overall,All EB,80,76898,0,0.0,65,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-1,60,20353,0,0.0,57,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-1,65,20353,0,0.0,57,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-1,70,20353,0,0.0,57,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-1,75,20353,0,0.0,57,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-1,80,20353,0,0.0,57,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-2,60,21901,20,0.09132003104881056,63,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-2,65,21901,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-2,70,21901,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-2,75,21901,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-2,80,21901,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-3,60,22970,68,0.29603831084022636,65,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-3,65,22970,1,0.0043535045711798,65,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-3,70,22970,0,0.0,65,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-3,75,22970,0,0.0,65,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-3,80,22970,0,0.0,65,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-4,60,6886,149,2.1638106302643045,63,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-4,65,6886,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-4,70,6886,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-4,75,6886,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-4,80,6886,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-5,60,4788,56,1.1695906432748537,62,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-5,65,4788,0,0.0,62,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-5,70,4788,0,0.0,62,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-5,75,4788,0,0.0,62,catchall_60_65,primary,2014
Uncapped,2024,converted,category,EB-5,80,4788,0,0.0,62,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,India,60,8834,42,0.4754358161648177,65,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,India,65,8834,1,0.011319900384876612,65,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,India,70,8834,0,0.0,65,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,India,75,8834,0,0.0,65,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,India,80,8834,0,0.0,65,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,China,60,9649,118,1.222924655404705,63,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,China,65,9649,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,China,70,9649,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,China,75,9649,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,China,80,9649,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,ROW,60,58415,133,0.22768124625524266,63,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,ROW,65,58415,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,ROW,70,58415,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,ROW,75,58415,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2024,converted,nationality,ROW,80,58415,0,0.0,63,catchall_60_65,primary,2014
Uncapped,2040,converted,overall,All EB,60,83760,1871,2.2337631327602674,71,catchall_60_65,primary,2014
Uncapped,2040,converted,overall,All EB,65,83760,97,0.11580706781279847,71,catchall_60_65,primary,2014
Uncapped,2040,converted,overall,All EB,70,83760,1,0.0011938872970391596,71,catchall_60_65,primary,2014
Uncapped,2040,converted,overall,All EB,75,83760,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,converted,overall,All EB,80,83760,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-1,60,20620,45,0.21823472356935014,60,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-1,65,20620,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-1,70,20620,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-1,75,20620,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-1,80,20620,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-2,60,24268,998,4.112411405966705,71,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-2,65,24268,46,0.18955002472391627,71,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-2,70,24268,1,0.0041206527113894845,71,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-2,75,24268,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-2,80,24268,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-3,60,23724,609,2.5670207384926655,68,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-3,65,23724,27,0.11380880121396054,68,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-3,70,23724,0,0.0,68,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-3,75,23724,0,0.0,68,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-3,80,23724,0,0.0,68,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-4,60,10423,199,1.9092391825769932,68,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-4,65,10423,24,0.23026000191883336,68,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-4,70,10423,0,0.0,68,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-4,75,10423,0,0.0,68,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-4,80,10423,0,0.0,68,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-5,60,4725,20,0.42328042328042326,60,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-5,65,4725,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-5,70,4725,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-5,75,4725,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,converted,category,EB-5,80,4725,0,0.0,60,catchall_60_65,primary,2014
Uncapped,2040,converted,nationality,India,60,26891,558,2.075043694916515,67,catchall_60_65,primary,2014
Uncapped,2040,converted,nationality,India,65,26891,13,0.04834331188873601,67,catchall_60_65,primary,2014
Uncapped,2040,converted,nationality,India,70,26891,0,0.0,67,catchall_60_65,primary,2014
Uncapped,2040,converted,nationality,India,75,26891,0,0.0,67,catchall_60_65,primary,2014
Uncapped,2040,converted,nationality,India,80,26891,0,0.0,67,catchall_60_65,primary,2014
Uncapped,2040,converted,nationality,China,60,14311,218,1.5233037523583257,68,catchall_60_65,primary,2014
Uncapped,2040,converted,nationality,China,65,14311,10,0.06987631891551953,68,catchall_60_65,primary,2014
Uncapped,2040,converted,nationality,China,70,14311,0,0.0,68,catchall_60_65,primary,2014
