case,role,scenario,year,outcome,dimension,group,threshold_age,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_60_65,primary,Uncapped,2024,converted,overall,All EB,60,denominator,50,76766.28,139.78789179996082,19.768993243904735,76726.55272071407,76806.00727928593,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,overall,All EB,65,denominator,50,76766.28,139.78789179996082,19.768993243904735,76726.55272071407,76806.00727928593,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,overall,All EB,70,denominator,50,76766.28,139.78789179996082,19.768993243904735,76726.55272071407,76806.00727928593,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,overall,All EB,75,denominator,50,76766.28,139.78789179996082,19.768993243904735,76726.55272071407,76806.00727928593,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,overall,All EB,80,denominator,50,76766.28,139.78789179996082,19.768993243904735,76726.55272071407,76806.00727928593,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-1,60,denominator,50,20358.92,59.468338343240454,8.41009306168026,20342.019285241295,20375.8207147587,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-1,65,denominator,50,20358.92,59.468338343240454,8.41009306168026,20342.019285241295,20375.8207147587,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-1,70,denominator,50,20358.92,59.468338343240454,8.41009306168026,20342.019285241295,20375.8207147587,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-1,75,denominator,50,20358.92,59.468338343240454,8.41009306168026,20342.019285241295,20375.8207147587,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-1,80,denominator,50,20358.92,59.468338343240454,8.41009306168026,20342.019285241295,20375.8207147587,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-2,60,denominator,50,21842.96,74.80422338835352,10.578914723859622,21821.700874935228,21864.21912506477,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-2,65,denominator,50,21842.96,74.80422338835352,10.578914723859622,21821.700874935228,21864.21912506477,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-2,70,denominator,50,21842.96,74.80422338835352,10.578914723859622,21821.700874935228,21864.21912506477,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-2,75,denominator,50,21842.96,74.80422338835352,10.578914723859622,21821.700874935228,21864.21912506477,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-2,80,denominator,50,21842.96,74.80422338835352,10.578914723859622,21821.700874935228,21864.21912506477,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-3,60,denominator,50,22850.36,88.53841781154341,12.521223126014029,22825.19766006739,22875.52233993261,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-3,65,denominator,50,22850.36,88.53841781154341,12.521223126014029,22825.19766006739,22875.52233993261,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-3,70,denominator,50,22850.36,88.53841781154341,12.521223126014029,22825.19766006739,22875.52233993261,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-3,75,denominator,50,22850.36,88.53841781154341,12.521223126014029,22825.19766006739,22875.52233993261,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-3,80,denominator,50,22850.36,88.53841781154341,12.521223126014029,22825.19766006739,22875.52233993261,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-4,60,denominator,50,6962.74,48.19213671146286,6.81539733370891,6949.043946286982,6976.436053713018,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-4,65,denominator,50,6962.74,48.19213671146286,6.81539733370891,6949.043946286982,6976.436053713018,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-4,70,denominator,50,6962.74,48.19213671146286,6.81539733370891,6949.043946286982,6976.436053713018,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-4,75,denominator,50,6962.74,48.19213671146286,6.81539733370891,6949.043946286982,6976.436053713018,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-4,80,denominator,50,6962.74,48.19213671146286,6.81539733370891,6949.043946286982,6976.436053713018,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-5,60,denominator,50,4751.3,29.407933123771976,4.1589097864999305,4742.942357879596,4759.6576421204045,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-5,65,denominator,50,4751.3,29.407933123771976,4.1589097864999305,4742.942357879596,4759.6576421204045,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-5,70,denominator,50,4751.3,29.407933123771976,4.1589097864999305,4742.942357879596,4759.6576421204045,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-5,75,denominator,50,4751.3,29.407933123771976,4.1589097864999305,4742.942357879596,4759.6576421204045,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,category,EB-5,80,denominator,50,4751.3,29.407933123771976,4.1589097864999305,4742.942357879596,4759.6576421204045,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,nationality,India,60,denominator,50,8785.92,78.43854737490818,11.092885751043967,8763.628011486398,8808.211988513602,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,nationality,India,65,denominator,50,8785.92,78.43854737490818,11.092885751043967,8763.628011486398,8808.211988513602,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,nationality,India,70,denominator,50,8785.92,78.43854737490818,11.092885751043967,8763.628011486398,8808.211988513602,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,nationality,India,75,denominator,50,8785.92,78.43854737490818,11.092885751043967,8763.628011486398,8808.211988513602,50,0,0
catchall_60_65,primary,Uncapped,2024,converted,nationality,India,80,denominator,50,8785.92,78.43854737490818,11.092885751043967,8763.628011486398,8808.211988513602,50,0,0
