scenario,year,visas_consumed,visas_available,unused_visas,passed,case,role,seed
Uncapped,2009,140987,140987,0,True,catchall_60_65,primary,2014
Uncapped,2010,150262,150262,0,True,catchall_60_65,primary,2014
Uncapped,2011,139302,139302,0,True,catchall_60_65,primary,2014
Uncapped,2012,144647,144647,0,True,catchall_60_65,primary,2014
Uncapped,2013,161269,161269,0,True,catchall_60_65,primary,2014
Uncapped,2014,151359,151359,0,True,catchall_60_65,primary,2014
Uncapped,2015,143952,143952,0,True,catchall_60_65,primary,2014
Uncapped,2016,140350,140350,0,True,catchall_60_65,primary,2014
Uncapped,2017,139604,139604,0,True,catchall_60_65,primary,2014
Uncapped,2018,139483,139483,0,True,catchall_60_65,primary,2014
Uncapped,2019,140586,140586,0,True,catchall_60_65,primary,2014
Uncapped,2020,147153,147153,0,True,catchall_60_65,primary,2014
Uncapped,2021,195507,195507,0,True,catchall_60_65,primary,2014
Uncapped,2022,275250,275250,0,True,catchall_60_65,primary,2014
Uncapped,2023,193928,193928,0,True,catchall_60_65,primary,2014
Uncapped,2024,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2025,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2026,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2027,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2028,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2029,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2030,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2031,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2032,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2033,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2034,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2035,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2036,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2037,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2038,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2039,167394,167394,0,True,catchall_60_65,primary,2014
Uncapped,2040,167394,167394,0,True,catchall_60_65,primary,2014
Capped,2009,140987,140987,0,True,catchall_60_65,primary,2014
Capped,2010,150262,150262,0,True,catchall_60_65,primary,2014
Capped,2011,139302,139302,0,True,catchall_60_65,primary,2014
Capped,2012,144647,144647,0,True,catchall_60_65,primary,2014
Capped,2013,161269,161269,0,True,catchall_60_65,primary,2014
Capped,2014,151359,151359,0,True,catchall_60_65,primary,2014
Capped,2015,143952,143952,0,True,catchall_60_65,primary,2014
Capped,2016,140350,140350,0,True,catchall_60_65,primary,2014
Capped,2017,139604,139604,0,True,catchall_60_65,primary,2014
Capped,2018,139483,139483,0,True,catchall_60_65,primary,2014
Capped,2019,140586,140586,0,True,catchall_60_65,primary,2014
Capped,2020,147153,147153,0,True,catchall_60_65,primary,2014
Capped,2021,195507,195507,0,True,catchall_60_65,primary,2014
Capped,2022,275250,275250,0,True,catchall_60_65,primary,2014
Capped,2023,193928,193928,0,True,catchall_60_65,primary,2014
Capped,2024,167394,167394,0,True,catchall_60_65,primary,2014
