scenario,entry_cohort_window,dimension,group,outcome_observation_end_year,total_created,aged_out,saved,exited,still_dependent,aged_out_fraction_pct,saved_fraction_pct,exited_fraction_pct,still_dependent_fraction_pct,case,role,seed
Uncapped,all_entries_2009_2040,overall,All,2040,2550818,223156,1077270,420549,829843,8.74840933379018,42.23233488237891,16.486828930954697,32.53242685287621,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,nationality,India,2040,895647,87708,353864,130624,323451,9.792697346164282,39.50931561206591,14.584317258920088,36.11366978284972,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,nationality,China,2040,233264,16903,115285,33343,67733,7.246296042252555,49.42254269840181,14.29410453391865,29.037056725426986,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,nationality,ROW,2040,1421907,118545,608121,256582,438659,8.337043139952192,42.76798693585445,18.044921362648893,30.85004856154446,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,category,EB-1,2040,417039,731,339935,9812,66561,0.1752833667834423,81.51156126885016,2.352777557974194,15.960377806392207,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,category,EB-2,2040,981227,114981,303703,146801,415742,11.718083583105642,30.951349687686946,14.960962142297348,42.369604586910064,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,category,EB-3,2040,708142,49828,287718,142540,228056,7.0364418435850435,40.62998664109741,20.128731243168744,32.20484027214881,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,category,EB-4,2040,342192,56860,64627,118073,102632,16.6164024874924,18.886180857530274,34.50489783513349,29.99251881984383,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,category,EB-5,2040,102218,756,81287,3323,16852,0.7395957659120703,79.5231759572678,3.2508951456690602,16.48633313115107,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,joint,EB-1 / India,2040,128120,148,103851,2725,21396,0.11551670309085232,81.0576022478926,2.126912269747112,16.699968779269437,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,joint,EB-1 / China,2040,48938,26,39002,1475,8435,0.053128448240631,79.69675916465732,3.014017736728105,17.236094650373943,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,joint,EB-1 / ROW,2040,239981,557,197082,5612,36730,0.23210170805188743,82.12400148345077,2.3385184660452287,15.30537834245211,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,joint,EB-2 / India,2040,537456,68931,145637,82118,240770,12.82542198803251,27.097474025780716,15.27901818939597,44.79808579679081,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,joint,EB-2 / China,2040,66923,10301,13646,12860,30116,15.392316542892578,20.390598150112815,19.21611404151039,45.00097126548421,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,joint,EB-2 / ROW,2040,376848,35749,144420,51823,144856,9.486318091113658,38.32314354859253,13.7516982974568,38.43884006283701,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,joint,EB-3 / India,2040,190670,14003,88882,38402,49383,7.34410237583259,46.61561860806629,20.140556983269523,25.899722032831594,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,joint,EB-3 / China,2040,64245,6098,20010,16754,21383,9.491789244299166,31.146392715386412,26.078294030663866,33.283524009650556,catchall_60_65,primary,2014
Uncapped,all_entries_2009_2040,joint,EB-3 / ROW,2040,453227,29727,178826,87384,157290,6.558964933686651,39.45616655671441,19.28040474199463,34.70446376760432,catchall_60_65,primary,2014
