case,year,category,nationality,modeled_visas,n_runs,visas_issued,residual_model_minus_observed
catchall_55_60,2009,EB-1,China,4375.0,1,4999,-624.0
catchall_55_60,2009,EB-1,India,5634.0,1,6672,-1038.0
catchall_55_60,2009,EB-1,ROW,29334.0,1,29305,29.0
catchall_55_60,2009,EB-2,China,5497.0,1,3045,2452.0
catchall_55_60,2009,EB-2,India,9638.0,1,10106,-468.0
catchall_55_60,2009,EB-2,ROW,32902.0,1,32865,37.0
catchall_55_60,2009,EB-3,China,1077.0,1,1077,0.0
catchall_55_60,2009,EB-3,India,2304.0,1,2304,0.0
catchall_55_60,2009,EB-3,ROW,36941.0,1,36397,544.0
catchall_55_60,2009,EB-4,China,40.0,1,91,-51.0
catchall_55_60,2009,EB-4,India,486.0,1,771,-285.0
catchall_55_60,2009,EB-4,ROW,9484.0,1,9137,347.0
catchall_55_60,2009,EB-5,China,1476.0,1,1979,-503.0
catchall_55_60,2009,EB-5,India,62.0,1,72,-10.0
catchall_55_60,2009,EB-5,ROW,1737.0,1,2167,-430.0
catchall_55_60,2010,EB-1,China,5616.0,1,6741,-1125.0
catchall_55_60,2010,EB-1,India,6579.0,1,6741,-162.0
catchall_55_60,2010,EB-1,ROW,27602.0,1,27544,58.0
catchall_55_60,2010,EB-2,China,6121.0,1,6505,-384.0
catchall_55_60,2010,EB-2,India,10336.0,1,19961,-9625.0
catchall_55_60,2010,EB-2,ROW,36959.0,1,27406,9553.0
catchall_55_60,2010,EB-3,China,3008.0,1,3676,-668.0
catchall_55_60,2010,EB-3,India,3008.0,1,3036,-28.0
catchall_55_60,2010,EB-3,ROW,36959.0,1,35719,1240.0
catchall_55_60,2010,EB-4,China,11.0,1,98,-87.0
catchall_55_60,2010,EB-4,India,596.0,1,824,-228.0
catchall_55_60,2010,EB-4,ROW,10062.0,1,10126,-64.0
catchall_55_60,2010,EB-5,China,1399.0,1,772,627.0
catchall_55_60,2010,EB-5,India,118.0,1,62,56.0
catchall_55_60,2010,EB-5,ROW,1888.0,1,1051,837.0
catchall_55_60,2011,EB-1,China,5014.0,1,3940,1074.0
catchall_55_60,2011,EB-1,India,7323.0,1,4563,2760.0
catchall_55_60,2011,EB-1,ROW,20304.0,1,16726,3578.0
catchall_55_60,2011,EB-2,China,8197.0,1,8257,-60.0
catchall_55_60,2011,EB-2,India,14090.0,1,23997,-9907.0
catchall_55_60,2011,EB-2,ROW,34262.0,1,34550,-288.0
catchall_55_60,2011,EB-3,China,2789.0,1,2542,247.0
catchall_55_60,2011,EB-3,India,2789.0,1,4002,-1213.0
catchall_55_60,2011,EB-3,ROW,34262.0,1,30881,3381.0
catchall_55_60,2011,EB-4,China,3.0,1,78,-75.0
catchall_55_60,2011,EB-4,India,133.0,1,444,-311.0
catchall_55_60,2011,EB-4,ROW,6245.0,1,5859,386.0
catchall_55_60,2011,EB-5,China,2656.0,1,2408,248.0
catchall_55_60,2011,EB-5,India,54.0,1,37,17.0
catchall_55_60,2011,EB-5,ROW,1181.0,1,1018,163.0
catchall_55_60,2012,EB-1,China,5557.0,1,6183,-626.0
catchall_55_60,2012,EB-1,India,8479.0,1,9506,-1027.0
catchall_55_60,2012,EB-1,ROW,20952.0,1,23698,-2746.0
catchall_55_60,2012,EB-2,China,3309.0,1,5858,-2549.0
catchall_55_60,2012,EB-2,India,12934.0,1,19726,-6792.0
catchall_55_60,2012,EB-2,ROW,35577.0,1,25009,10568.0
catchall_55_60,2012,EB-3,China,2896.0,1,2827,69.0
catchall_55_60,2012,EB-3,India,2896.0,1,2804,92.0
catchall_55_60,2012,EB-3,ROW,35577.0,1,33918,1659.0
catchall_55_60,2012,EB-4,China,27.0,1,117,-90.0
catchall_55_60,2012,EB-4,India,357.0,1,600,-243.0
catchall_55_60,2012,EB-4,ROW,7094.0,1,6761,333.0
catchall_55_60,2012,EB-5,China,7045.0,1,6124,921.0
catchall_55_60,2012,EB-5,India,98.0,1,76,22.0
catchall_55_60,2012,EB-5,ROW,1849.0,1,1440,409.0
catchall_55_60,2013,EB-1,China,6792.0,1,6249,543.0
catchall_55_60,2013,EB-1,India,11129.0,1,9640,1489.0
catchall_55_60,2013,EB-1,ROW,23213.0,1,23169,44.0
catchall_55_60,2013,EB-2,China,3229.0,1,3627,-398.0
catchall_55_60,2013,EB-2,India,16620.0,1,17193,-573.0
catchall_55_60,2013,EB-2,ROW,38603.0,1,42641,-4038.0
