category,model_entry_year,nationality,principal_and_active_derivative_backlog,principal_backlog,scenario,year,case,role,seed
EB-1,2022,China,4819,2338,Uncapped,2023,catchall_60_65,primary,2014
EB-1,2023,China,14321,6988,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2016,China,4020,2285,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2017,China,9286,5220,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2018,China,12229,6916,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2019,China,15880,9035,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2020,China,16916,9517,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2021,China,15526,8791,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2022,China,17051,9557,Uncapped,2023,catchall_60_65,primary,2014
EB-2,2023,China,21598,12093,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2013,China,213,121,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2014,China,5126,2686,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2015,China,1788,918,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2016,China,4717,2503,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2017,China,6797,3543,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2018,China,6504,3418,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2019,China,6126,3241,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2020,China,7575,3932,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2021,China,17492,9109,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2022,China,7051,3698,Uncapped,2023,catchall_60_65,primary,2014
EB-3,2023,China,6223,3236,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2017,China,5831,2457,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2018,China,20921,8675,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2019,China,5476,2280,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2020,China,3822,1613,Uncapped,2023,catchall_60_65,primary,2014
EB-5,2021,China,3396,1391,Uncapped,2023,catchall_60_65,primary,2014
