case,category,nationality,n_years,n_runs,observed_annual_mean,modeled_annual_mean,mean_residual_model_minus_dos,rmse_of_ensemble_mean,wape_of_ensemble_mean_pct
catchall_55_60,EB-1,China,16,1,6543.75,6409.5,-134.25,970.92082581434,11.908309455587393
catchall_55_60,EB-1,India,16,1,12567.75,12194.875,-372.875,2301.0061114651567,14.443715064351217
catchall_55_60,EB-1,ROW,16,1,24681.0625,25153.125,472.0625,2620.7549604074015,6.925096924008033
catchall_55_60,EB-2,China,16,1,4822.5,4277.5625,-544.9375,1407.2900154197073,18.55495075168481
catchall_55_60,EB-2,India,16,1,14628.1875,11140.6875,-3487.5,6519.2455660145215,23.841812254594085
catchall_55_60,EB-2,ROW,16,1,33641.125,36292.625,2651.5,5559.854337120712,9.945044941273515
catchall_55_60,EB-3,China,16,1,3692.125,3107.8125,-584.3125,966.7022227656249,17.813251176490503
catchall_55_60,EB-3,India,16,1,5759.5,4786.0,-973.5,2680.974286523465,33.3666116850421
catchall_55_60,EB-3,ROW,16,1,35663.0,38497.8125,2834.8125,3794.16944962926,7.94888960547346
catchall_55_60,EB-4,China,16,1,128.6875,133.875,5.1875,127.51691064325547,81.25303545410394
catchall_55_60,EB-4,India,16,1,702.9375,669.3125,-33.625,230.67292862405853,26.90495243175958
catchall_55_60,EB-4,ROW,16,1,9889.3125,9745.75,-143.5625,686.7196025307563,4.194553463650784
catchall_55_60,EB-5,China,16,1,5286.1875,4826.125,-460.0625,2525.7927839591275,37.15934215348964
catchall_55_60,EB-5,India,16,1,416.0625,571.375,155.3125,352.645625947636,57.75875018777227
catchall_55_60,EB-5,ROW,16,1,2267.375,2883.125,615.75,1941.6480113553023,61.69028061083853
catchall_60_65,EB-1,China,16,50,6543.75,6389.275,-154.47500000000002,1010.4393593877862,12.382349570200573
catchall_60_65,EB-1,India,16,50,12567.75,12179.51125,-388.23875,2349.9522362539624,14.474060591593561
catchall_60_65,EB-1,ROW,16,50,24681.0625,25198.871250000004,517.8087499999997,2731.159538204423,7.209064642172515
catchall_60_65,EB-2,China,16,50,4822.5,4283.835,-538.665,1429.7974896991532,18.911715914981855
catchall_60_65,EB-2,India,16,50,14628.1875,11103.06875,-3525.11875,6550.28603687465,24.09897842777856
catchall_60_65,EB-2,ROW,16,50,33641.125,36309.215000000004,2668.09,5553.853817193067,9.943209390292388
catchall_60_65,EB-3,China,16,50,3692.125,3107.8125,-584.3125,966.7022227656249,17.813251176490503
catchall_60_65,EB-3,India,16,50,5759.5,4782.33625,-977.1637499999999,2672.5625496001026,33.30299939230836
catchall_60_65,EB-3,ROW,16,50,35663.0,38497.8125,2834.8125,3794.16944962926,7.94888960547346
catchall_60_65,EB-4,China,16,50,128.6875,136.4425,7.755000000000003,128.21904538718107,82.57017969888295
catchall_60_65,EB-4,India,16,50,702.9375,662.10875,-40.82875,238.8720730328265,27.92975904685694
catchall_60_65,EB-4,ROW,16,50,9889.3125,9749.5725,-139.74000000000018,692.1585984440271,4.245492292816109
catchall_60_65,EB-5,China,16,50,5286.1875,4811.9275,-474.2600000000001,2525.0621492648456,37.54667234183427
catchall_60_65,EB-5,India,16,50,416.0625,571.1312499999999,155.06875,352.85085457598086,57.8545891542737
catchall_60_65,EB-5,ROW,16,50,2267.375,2906.6425,639.2674999999999,1945.5308525181501,62.592866199900755
catchall_65_70,EB-1,China,16,1,6543.75,6393.5,-150.25,969.8629413478999,12.063037249283667
catchall_65_70,EB-1,India,16,1,12567.75,12174.5,-393.25,2408.909945390238,14.759006186469335
catchall_65_70,EB-1,ROW,16,1,24681.0625,25189.5,508.4375,2726.8808761110195,7.072477126947026
catchall_65_70,EB-2,China,16,1,4822.5,4282.875,-539.625,1405.3736602768674,18.553654743390357
catchall_65_70,EB-2,India,16,1,14628.1875,11131.625,-3496.5625,6527.1421627309455,23.903764564133457
catchall_65_70,EB-2,ROW,16,1,33641.125,36296.375,2655.25,5557.150371368405,9.93389787053792
catchall_65_70,EB-3,China,16,1,3692.125,3107.8125,-584.3125,966.7022227656249,17.813251176490503
catchall_65_70,EB-3,India,16,1,5759.5,4786.0,-973.5,2680.974286523465,33.3666116850421
catchall_65_70,EB-3,ROW,16,1,35663.0,38497.8125,2834.8125,3794.16944962926,7.94888960547346
catchall_65_70,EB-4,China,16,1,128.6875,135.25,6.5625,132.84506953590713,83.19572608062167
catchall_65_70,EB-4,India,16,1,702.9375,670.25,-32.6875,230.5595096715813,26.771583533386682
catchall_65_70,EB-4,ROW,16,1,9889.3125,9743.4375,-145.875,687.8502744057023,4.210353348627622
catchall_65_70,EB-5,China,16,1,5286.1875,4824.9375,-461.25,2524.7123846093837,37.136877948426914
catchall_65_70,EB-5,India,16,1,416.0625,571.375,155.3125,352.645625947636,57.75875018777227
catchall_65_70,EB-5,ROW,16,1,2267.375,2884.3125,616.9375,1940.250322123411,61.63790727162468
historical_replay,EB-1,China,16,1,6543.75,6434.4375,-109.3125,321.6171054219598,1.670487106017192
historical_replay,EB-1,India,16,1,12567.75,12492.75,-75.0,262.64139049281624,0.5967655308229397
historical_replay,EB-1,ROW,16,1,24681.0625,24681.0625,0.0,0.0,0.0
historical_replay,EB-2,China,16,1,4822.5,4822.5,0.0,0.0,0.0
historical_replay,EB-2,India,16,1,14628.1875,14628.1875,0.0,0.0,0.0
historical_replay,EB-2,ROW,16,1,33641.125,33641.125,0.0,0.0,0.0
historical_replay,EB-3,China,16,1,3692.125,3692.125,0.0,0.0,0.0
historical_replay,EB-3,India,16,1,5759.5,5759.5,0.0,0.0,0.0
historical_replay,EB-3,ROW,16,1,35663.0,35663.0,0.0,0.0,0.0
historical_replay,EB-4,China,16,1,128.6875,113.25,-15.4375,32.3293597214668,11.996114618746965
historical_replay,EB-4,India,16,1,702.9375,670.875,-32.0625,91.24452038341809,4.561216324353161
historical_replay,EB-4,ROW,16,1,9889.3125,9889.3125,0.0,0.0,0.0
historical_replay,EB-5,China,16,1,5286.1875,5254.75,-31.4375,125.75,0.59471027087102
historical_replay,EB-5,India,16,1,416.0625,415.4375,-0.625,2.5,0.1502178158329578
historical_replay,EB-5,ROW,16,1,2267.375,2240.5,-26.875,107.5,1.1852913611555214
