dimension,group,quantity,policy,value,case,role,seed
overall,All,age21_events_2009_2024,Historical,23354.0,catchall_60_65,primary,2014
overall,All,principal_exits_2009_2024,Historical,239746.0,catchall_60_65,primary,2014
nationality,India,age21_events_2009_2024,Historical,14239.0,catchall_60_65,primary,2014
nationality,India,principal_exits_2009_2024,Historical,96415.0,catchall_60_65,primary,2014
nationality,China,age21_events_2009_2024,Historical,2108.0,catchall_60_65,primary,2014
nationality,China,principal_exits_2009_2024,Historical,32512.0,catchall_60_65,primary,2014
nationality,ROW,age21_events_2009_2024,Historical,7007.0,catchall_60_65,primary,2014
nationality,ROW,principal_exits_2009_2024,Historical,110819.0,catchall_60_65,primary,2014
category,EB-1,age21_events_2009_2024,Historical,0.0,catchall_60_65,primary,2014
category,EB-1,principal_exits_2009_2024,Historical,2318.0,catchall_60_65,primary,2014
category,EB-2,age21_events_2009_2024,Historical,6356.0,catchall_60_65,primary,2014
category,EB-2,principal_exits_2009_2024,Historical,68863.0,catchall_60_65,primary,2014
category,EB-3,age21_events_2009_2024,Historical,9677.0,catchall_60_65,primary,2014
category,EB-3,principal_exits_2009_2024,Historical,85079.0,catchall_60_65,primary,2014
category,EB-4,age21_events_2009_2024,Historical,7122.0,catchall_60_65,primary,2014
category,EB-4,principal_exits_2009_2024,Historical,81452.0,catchall_60_65,primary,2014
category,EB-5,age21_events_2009_2024,Historical,199.0,catchall_60_65,primary,2014
category,EB-5,principal_exits_2009_2024,Historical,2034.0,catchall_60_65,primary,2014
overall,All,principal_backlog_2024,Historical,1148502.0,catchall_60_65,primary,2014
nationality,India,principal_backlog_2024,Historical,592483.0,catchall_60_65,primary,2014
nationality,China,principal_backlog_2024,Historical,142619.0,catchall_60_65,primary,2014
nationality,ROW,principal_backlog_2024,Historical,413400.0,catchall_60_65,primary,2014
category,EB-1,principal_backlog_2024,Historical,31461.0,catchall_60_65,primary,2014
category,EB-2,principal_backlog_2024,Historical,507411.0,catchall_60_65,primary,2014
