case,role,seed,policy,value_india,value_total,value
catchall_60_65,primary,2014,Capped,193548.0,266481.0,72.63106938205726
catchall_60_65,primary,2014,Uncapped,73469.0,199802.0,36.77090319416222
catchall_60_65,primary,2015,Capped,193965.0,267097.0,72.61968498335811
catchall_60_65,primary,2015,Uncapped,73691.0,200127.0,36.82211795509851
catchall_60_65,primary,2016,Capped,193206.0,266067.0,72.61554420503106
catchall_60_65,primary,2016,Uncapped,73239.0,199354.0,36.73816427059402
catchall_60_65,primary,2017,Capped,193766.0,266727.0,72.64581388460861
catchall_60_65,primary,2017,Uncapped,73624.0,199504.0,36.903520731413906
catchall_60_65,primary,2018,Capped,194241.0,266944.0,72.7646997122992
catchall_60_65,primary,2018,Uncapped,74002.0,199658.0,37.06438008995382
catchall_60_65,primary,2019,Capped,192894.0,265612.0,72.62247187627065
catchall_60_65,primary,2019,Uncapped,73160.0,199199.0,36.72709200347391
catchall_60_65,primary,2020,Capped,193228.0,265969.0,72.65057205914975
catchall_60_65,primary,2020,Uncapped,73754.0,199735.0,36.925926853080334
catchall_60_65,primary,2021,Capped,193471.0,266891.0,72.49064224720954
catchall_60_65,primary,2021,Uncapped,73300.0,199903.0,36.66778387517946
catchall_60_65,primary,2022,Capped,193778.0,266725.0,72.65085762489456
catchall_60_65,primary,2022,Uncapped,73555.0,198802.0,36.9991247572962
catchall_60_65,primary,2023,Capped,192410.0,265741.0,72.40508615531664
catchall_60_65,primary,2023,Uncapped,72467.0,199186.0,36.38157300211862
catchall_60_65,primary,2024,Capped,192707.0,265093.0,72.69411112326617
catchall_60_65,primary,2024,Uncapped,73299.0,199010.0,36.83181749660821
catchall_60_65,primary,2025,Capped,192977.0,266413.0,72.43527905920507
catchall_60_65,primary,2025,Uncapped,73662.0,199670.0,36.891871588120395
catchall_60_65,primary,2026,Capped,193153.0,266648.0,72.43744562119349
catchall_60_65,primary,2026,Uncapped,73112.0,200664.0,36.43503568153729
catchall_60_65,primary,2027,Capped,193612.0,266447.0,72.66435726429647
catchall_60_65,primary,2027,Uncapped,73698.0,199671.0,36.90971648361555
