dimension,group,difference_backlog_start_2025,difference_new_principal_records,difference_principal_conversions,difference_principal_exits,difference_backlog_end_2040,accounting_residual,case,role,seed
overall,All,0,0,-3722,20700,-16978,0,catchall_60_65,primary,2014
nationality,India,0,0,-473802,147121,326681,0,catchall_60_65,primary,2014
nationality,China,0,0,-64232,9355,54877,0,catchall_60_65,primary,2014
nationality,ROW,0,0,534312,-135776,-398536,0,catchall_60_65,primary,2014
category,EB-1,0,0,-3451,-676,4127,0,catchall_60_65,primary,2014
category,EB-2,0,0,-7977,27172,-19195,0,catchall_60_65,primary,2014
category,EB-3,0,0,10414,-5304,-5110,0,catchall_60_65,primary,2014
category,EB-4,0,0,-2203,-840,3043,0,catchall_60_65,primary,2014
category,EB-5,0,0,-505,348,157,0,catchall_60_65,primary,2014
joint,EB-1 / India,0,0,-39462,3687,35775,0,catchall_60_65,primary,2014
joint,EB-1 / China,0,0,-28775,3986,24789,0,catchall_60_65,primary,2014
joint,EB-1 / ROW,0,0,64786,-8349,-56437,0,catchall_60_65,primary,2014
joint,EB-2 / India,0,0,-279656,93254,186402,0,catchall_60_65,primary,2014
joint,EB-2 / China,0,0,-13695,800,12895,0,catchall_60_65,primary,2014
joint,EB-2 / ROW,0,0,285374,-66882,-218492,0,catchall_60_65,primary,2014
joint,EB-3 / India,0,0,-156080,51283,104797,0,catchall_60_65,primary,2014
joint,EB-3 / China,0,0,-18666,4485,14181,0,catchall_60_65,primary,2014
joint,EB-3 / ROW,0,0,185160,-61072,-124088,0,catchall_60_65,primary,2014
joint,EB-4 / India,0,0,3457,-1312,-2145,0,catchall_60_65,primary,2014
joint,EB-4 / China,0,0,3346,-1050,-2296,0,catchall_60_65,primary,2014
joint,EB-4 / ROW,0,0,-9006,1522,7484,0,catchall_60_65,primary,2014
joint,EB-5 / India,0,0,-2061,209,1852,0,catchall_60_65,primary,2014
joint,EB-5 / China,0,0,-6442,1134,5308,0,catchall_60_65,primary,2014
joint,EB-5 / ROW,0,0,7998,-995,-7003,0,catchall_60_65,primary,2014
overall,All,0,0,-3407,21083,-17676,0,catchall_60_65,primary,2015
nationality,India,0,0,-474761,148113,326648,0,catchall_60_65,primary,2015
nationality,China,0,0,-63995,9305,54690,0,catchall_60_65,primary,2015
nationality,ROW,0,0,535349,-136335,-399014,0,catchall_60_65,primary,2015
category,EB-1,0,0,-3221,-781,4002,0,catchall_60_65,primary,2015
category,EB-2,0,0,-8334,26446,-18112,0,catchall_60_65,primary,2015
category,EB-3,0,0,10946,-4580,-6366,0,catchall_60_65,primary,2015
category,EB-4,0,0,-2269,-437,2706,0,catchall_60_65,primary,2015
category,EB-5,0,0,-529,435,94,0,catchall_60_65,primary,2015
joint,EB-1 / India,0,0,-39482,3836,35646,0,catchall_60_65,primary,2015
joint,EB-1 / China,0,0,-28650,3873,24777,0,catchall_60_65,primary,2015
joint,EB-1 / ROW,0,0,64911,-8490,-56421,0,catchall_60_65,primary,2015
joint,EB-2 / India,0,0,-280295,93162,187133,0,catchall_60_65,primary,2015
joint,EB-2 / China,0,0,-13701,564,13137,0,catchall_60_65,primary,2015
joint,EB-2 / ROW,0,0,285662,-67280,-218382,0,catchall_60_65,primary,2015
joint,EB-3 / India,0,0,-156421,51990,104431,0,catchall_60_65,primary,2015
joint,EB-3 / China,0,0,-18318,4708,13610,0,catchall_60_65,primary,2015
joint,EB-3 / ROW,0,0,185685,-61278,-124407,0,catchall_60_65,primary,2015
