dimension,group,quantity,policy,value,case,role,seed
overall,All,age21_events_2025_2040,Capped,266481.0,catchall_60_65,primary,2014
overall,All,age21_events_2025_2040,Uncapped,199802.0,catchall_60_65,primary,2014
overall,All,age21_events_2025_2040,Capped minus uncapped,66679.0,catchall_60_65,primary,2014
overall,All,principal_exits_2025_2040,Capped,1093292.0,catchall_60_65,primary,2014
overall,All,principal_exits_2025_2040,Uncapped,1072592.0,catchall_60_65,primary,2014
overall,All,principal_exits_2025_2040,Capped minus uncapped,20700.0,catchall_60_65,primary,2014
overall,All,principal_conversions_2025_2040,Capped,1263371.0,catchall_60_65,primary,2014
overall,All,principal_conversions_2025_2040,Uncapped,1267093.0,catchall_60_65,primary,2014
overall,All,principal_conversions_2025_2040,Capped minus uncapped,-3722.0,catchall_60_65,primary,2014
overall,All,principal_backlog_2040,Capped,2773647.0,catchall_60_65,primary,2014
overall,All,principal_backlog_2040,Uncapped,2790625.0,catchall_60_65,primary,2014
overall,All,principal_backlog_2040,Capped minus uncapped,-16978.0,catchall_60_65,primary,2014
nationality,India,age21_events_2025_2040,Capped,193548.0,catchall_60_65,primary,2014
nationality,India,age21_events_2025_2040,Uncapped,73469.0,catchall_60_65,primary,2014
nationality,India,age21_events_2025_2040,Capped minus uncapped,120079.0,catchall_60_65,primary,2014
nationality,India,principal_exits_2025_2040,Capped,334367.0,catchall_60_65,primary,2014
nationality,India,principal_exits_2025_2040,Uncapped,187246.0,catchall_60_65,primary,2014
nationality,India,principal_exits_2025_2040,Capped minus uncapped,147121.0,catchall_60_65,primary,2014
nationality,India,principal_backlog_2040,Capped,1076037.0,catchall_60_65,primary,2014
nationality,India,principal_backlog_2040,Uncapped,749356.0,catchall_60_65,primary,2014
nationality,India,principal_backlog_2040,Capped minus uncapped,326681.0,catchall_60_65,primary,2014
nationality,China,age21_events_2025_2040,Capped,18844.0,catchall_60_65,primary,2014
nationality,China,age21_events_2025_2040,Uncapped,14795.0,catchall_60_65,primary,2014
nationality,China,age21_events_2025_2040,Capped minus uncapped,4049.0,catchall_60_65,primary,2014
nationality,China,principal_exits_2025_2040,Capped,104784.0,catchall_60_65,primary,2014
nationality,China,principal_exits_2025_2040,Uncapped,95429.0,catchall_60_65,primary,2014
nationality,China,principal_exits_2025_2040,Capped minus uncapped,9355.0,catchall_60_65,primary,2014
nationality,China,principal_backlog_2040,Capped,341667.0,catchall_60_65,primary,2014
nationality,China,principal_backlog_2040,Uncapped,286790.0,catchall_60_65,primary,2014
nationality,China,principal_backlog_2040,Capped minus uncapped,54877.0,catchall_60_65,primary,2014
nationality,ROW,age21_events_2025_2040,Capped,54089.0,catchall_60_65,primary,2014
nationality,ROW,age21_events_2025_2040,Uncapped,111538.0,catchall_60_65,primary,2014
nationality,ROW,age21_events_2025_2040,Capped minus uncapped,-57449.0,catchall_60_65,primary,2014
nationality,ROW,principal_exits_2025_2040,Capped,654141.0,catchall_60_65,primary,2014
nationality,ROW,principal_exits_2025_2040,Uncapped,789917.0,catchall_60_65,primary,2014
nationality,ROW,principal_exits_2025_2040,Capped minus uncapped,-135776.0,catchall_60_65,primary,2014
nationality,ROW,principal_backlog_2040,Capped,1355943.0,catchall_60_65,primary,2014
nationality,ROW,principal_backlog_2040,Uncapped,1754479.0,catchall_60_65,primary,2014
nationality,ROW,principal_backlog_2040,Capped minus uncapped,-398536.0,catchall_60_65,primary,2014
category,EB-1,age21_events_2025_2040,Capped,2559.0,catchall_60_65,primary,2014
category,EB-1,age21_events_2025_2040,Uncapped,731.0,catchall_60_65,primary,2014
category,EB-1,age21_events_2025_2040,Capped minus uncapped,1828.0,catchall_60_65,primary,2014
category,EB-1,principal_exits_2025_2040,Capped,15797.0,catchall_60_65,primary,2014
category,EB-1,principal_exits_2025_2040,Uncapped,16473.0,catchall_60_65,primary,2014
category,EB-1,principal_exits_2025_2040,Capped minus uncapped,-676.0,catchall_60_65,primary,2014
category,EB-1,principal_backlog_2040,Capped,129256.0,catchall_60_65,primary,2014
category,EB-1,principal_backlog_2040,Uncapped,125129.0,catchall_60_65,primary,2014
category,EB-1,principal_backlog_2040,Capped minus uncapped,4127.0,catchall_60_65,primary,2014
category,EB-2,age21_events_2025_2040,Capped,149764.0,catchall_60_65,primary,2014
category,EB-2,age21_events_2025_2040,Uncapped,108625.0,catchall_60_65,primary,2014
category,EB-2,age21_events_2025_2040,Capped minus uncapped,41139.0,catchall_60_65,primary,2014
category,EB-2,principal_exits_2025_2040,Capped,309702.0,catchall_60_65,primary,2014
category,EB-2,principal_exits_2025_2040,Uncapped,282530.0,catchall_60_65,primary,2014
category,EB-2,principal_exits_2025_2040,Capped minus uncapped,27172.0,catchall_60_65,primary,2014
category,EB-2,principal_backlog_2040,Capped,1040816.0,catchall_60_65,primary,2014
category,EB-2,principal_backlog_2040,Uncapped,1060011.0,catchall_60_65,primary,2014
category,EB-2,principal_backlog_2040,Capped minus uncapped,-19195.0,catchall_60_65,primary,2014
category,EB-3,age21_events_2025_2040,Capped,63613.0,catchall_60_65,primary,2014
category,EB-3,age21_events_2025_2040,Uncapped,40151.0,catchall_60_65,primary,2014
category,EB-3,age21_events_2025_2040,Capped minus uncapped,23462.0,catchall_60_65,primary,2014
category,EB-3,principal_exits_2025_2040,Capped,244447.0,catchall_60_65,primary,2014
category,EB-3,principal_exits_2025_2040,Uncapped,249751.0,catchall_60_65,primary,2014
