case,role,dimension,group,quantity,policy,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_60_65,primary,overall,All,age21_events_2025_2040,Capped,50,266684.3,587.251858147728,83.04995423213178,266517.4048685304,266851.1951314696,50,0,0
catchall_60_65,primary,overall,All,age21_events_2025_2040,Uncapped,50,199826.34,492.952190006955,69.71396727093546,199686.24453769028,199966.43546230972,50,0,0
catchall_60_65,primary,overall,All,age21_events_2025_2040,Capped minus uncapped,50,66857.96,508.1552856024566,71.86400966905677,66713.54386572825,67002.37613427176,50,0,0
catchall_60_65,primary,overall,All,principal_exits_2025_2040,Capped,50,1092999.42,865.5788458409476,122.41133430915185,1092753.4252138282,1093245.4147861716,50,0,0
catchall_60_65,primary,overall,All,principal_exits_2025_2040,Uncapped,50,1071919.44,910.4727670786407,128.76029353739736,1071660.6865025817,1072178.1934974182,50,0,0
catchall_60_65,primary,overall,All,principal_exits_2025_2040,Capped minus uncapped,50,21079.98,627.520533528585,88.74480491837254,20901.640637612174,21258.319362387825,50,0,0
catchall_60_65,primary,overall,All,principal_conversions_2025_2040,Capped,50,1263126.32,556.8912047047888,78.75630944598039,1262968.0532707698,1263284.5867292304,50,0,0
catchall_60_65,primary,overall,All,principal_conversions_2025_2040,Uncapped,50,1266851.14,484.85436525848064,68.56876191243417,1266713.34591402,1266988.9340859798,50,0,0
catchall_60_65,primary,overall,All,principal_conversions_2025_2040,Capped minus uncapped,50,-3724.82,472.52658666157697,66.82535074386678,-3859.1105700673506,-3590.5294299326497,0,0,50
catchall_60_65,primary,overall,All,principal_backlog_2040,Capped,50,2774292.16,1139.203165124014,161.1076566416737,2773968.402042701,2774615.9179572994,50,0,0
catchall_60_65,primary,overall,All,principal_backlog_2040,Uncapped,50,2791647.32,1252.433996631506,177.1209144013415,2791291.3821964413,2792003.2578035584,50,0,0
