seed,dimension,group,quantity,policy,value_replay,value_baseline,value
2014,category,EB-1,age21_events_2025_2040,Capped,2590.0,2559.0,31.0
2014,category,EB-1,age21_events_2025_2040,Capped minus uncapped,1847.0,1828.0,19.0
2014,category,EB-1,age21_events_2025_2040,Uncapped,743.0,731.0,12.0
2014,category,EB-1,principal_backlog_2040,Capped,129775.0,129256.0,519.0
2014,category,EB-1,principal_backlog_2040,Capped minus uncapped,4181.0,4127.0,54.0
2014,category,EB-1,principal_backlog_2040,Uncapped,125594.0,125129.0,465.0
2014,category,EB-1,principal_exits_2025_2040,Capped,15920.0,15797.0,123.0
2014,category,EB-1,principal_exits_2025_2040,Capped minus uncapped,-748.0,-676.0,-72.0
2014,category,EB-1,principal_exits_2025_2040,Uncapped,16668.0,16473.0,195.0
2014,category,EB-2,age21_events_2025_2040,Capped,142494.0,149764.0,-7270.0
2014,category,EB-2,age21_events_2025_2040,Capped minus uncapped,37643.0,41139.0,-3496.0
2014,category,EB-2,age21_events_2025_2040,Uncapped,104851.0,108625.0,-3774.0
2014,category,EB-2,principal_backlog_2040,Capped,1039246.0,1040816.0,-1570.0
2014,category,EB-2,principal_backlog_2040,Capped minus uncapped,-13127.0,-19195.0,6068.0
2014,category,EB-2,principal_backlog_2040,Uncapped,1052373.0,1060011.0,-7638.0
2014,category,EB-2,principal_exits_2025_2040,Capped,301907.0,309702.0,-7795.0
2014,category,EB-2,principal_exits_2025_2040,Capped minus uncapped,20182.0,27172.0,-6990.0
2014,category,EB-2,principal_exits_2025_2040,Uncapped,281725.0,282530.0,-805.0
2014,category,EB-3,age21_events_2025_2040,Capped,62517.0,63613.0,-1096.0
2014,category,EB-3,age21_events_2025_2040,Capped minus uncapped,21490.0,23462.0,-1972.0
2014,category,EB-3,age21_events_2025_2040,Uncapped,41027.0,40151.0,876.0
2014,category,EB-3,principal_backlog_2040,Capped,557431.0,553261.0,4170.0
2014,category,EB-3,principal_backlog_2040,Capped minus uncapped,-4001.0,-5110.0,1109.0
2014,category,EB-3,principal_backlog_2040,Uncapped,561432.0,558371.0,3061.0
2014,category,EB-3,principal_exits_2025_2040,Capped,245352.0,244447.0,905.0
2014,category,EB-3,principal_exits_2025_2040,Capped minus uncapped,-7493.0,-5304.0,-2189.0
2014,category,EB-3,principal_exits_2025_2040,Uncapped,252845.0,249751.0,3094.0
2014,category,EB-4,age21_events_2025_2040,Capped,49401.0,49489.0,-88.0
2014,category,EB-4,age21_events_2025_2040,Capped minus uncapped,-103.0,-249.0,146.0
2014,category,EB-4,age21_events_2025_2040,Uncapped,49504.0,49738.0,-234.0
2014,category,EB-4,principal_backlog_2040,Capped,1022443.0,1023818.0,-1375.0
2014,category,EB-4,principal_backlog_2040,Capped minus uncapped,2215.0,3043.0,-828.0
2014,category,EB-4,principal_backlog_2040,Uncapped,1020228.0,1020775.0,-547.0
2014,category,EB-4,principal_exits_2025_2040,Capped,519699.0,519634.0,65.0
2014,category,EB-4,principal_exits_2025_2040,Capped minus uncapped,-114.0,-840.0,726.0
2014,category,EB-4,principal_exits_2025_2040,Uncapped,519813.0,520474.0,-661.0
2014,category,EB-5,age21_events_2025_2040,Capped,1597.0,1056.0,541.0
2014,category,EB-5,age21_events_2025_2040,Capped minus uncapped,919.0,499.0,420.0
2014,category,EB-5,age21_events_2025_2040,Uncapped,678.0,557.0,121.0
2014,category,EB-5,principal_backlog_2040,Capped,28062.0,26496.0,1566.0
2014,category,EB-5,principal_backlog_2040,Capped minus uncapped,-120.0,157.0,-277.0
2014,category,EB-5,principal_backlog_2040,Uncapped,28182.0,26339.0,1843.0
2014,category,EB-5,principal_exits_2025_2040,Capped,4271.0,3712.0,559.0
2014,category,EB-5,principal_exits_2025_2040,Capped minus uncapped,545.0,348.0,197.0
2014,category,EB-5,principal_exits_2025_2040,Uncapped,3726.0,3364.0,362.0
2014,joint,EB-1 / China,age21_events_2025_2040,Capped minus uncapped,940.0,927.0,13.0
2014,joint,EB-1 / India,age21_events_2025_2040,Capped minus uncapped,1475.0,1458.0,17.0
2014,joint,EB-1 / ROW,age21_events_2025_2040,Capped minus uncapped,-568.0,-557.0,-11.0
2014,joint,EB-2 / China,age21_events_2025_2040,Capped minus uncapped,466.0,514.0,-48.0
2014,joint,EB-2 / India,age21_events_2025_2040,Capped minus uncapped,73989.0,75311.0,-1322.0
2014,joint,EB-2 / ROW,age21_events_2025_2040,Capped minus uncapped,-36812.0,-34686.0,-2126.0
2014,joint,EB-3 / China,age21_events_2025_2040,Capped minus uncapped,1584.0,2160.0,-576.0
2014,joint,EB-3 / India,age21_events_2025_2040,Capped minus uncapped,42738.0,43847.0,-1109.0
2014,joint,EB-3 / ROW,age21_events_2025_2040,Capped minus uncapped,-22832.0,-22545.0,-287.0
2014,joint,EB-4 / China,age21_events_2025_2040,Capped minus uncapped,-122.0,-116.0,-6.0
2014,joint,EB-4 / India,age21_events_2025_2040,Capped minus uncapped,-816.0,-710.0,-106.0
2014,joint,EB-4 / ROW,age21_events_2025_2040,Capped minus uncapped,835.0,577.0,258.0
2014,joint,EB-5 / China,age21_events_2025_2040,Capped minus uncapped,1098.0,564.0,534.0
2014,joint,EB-5 / India,age21_events_2025_2040,Capped minus uncapped,205.0,173.0,32.0
2014,joint,EB-5 / ROW,age21_events_2025_2040,Capped minus uncapped,-384.0,-238.0,-146.0
2014,nationality,China,age21_events_2025_2040,Capped,17990.0,18844.0,-854.0
2014,nationality,China,age21_events_2025_2040,Capped minus uncapped,3966.0,4049.0,-83.0
2014,nationality,China,age21_events_2025_2040,Uncapped,14024.0,14795.0,-771.0
2014,nationality,China,principal_backlog_2040,Capped,338028.0,341667.0,-3639.0
2014,nationality,China,principal_backlog_2040,Capped minus uncapped,50729.0,54877.0,-4148.0
2014,nationality,China,principal_backlog_2040,Uncapped,287299.0,286790.0,509.0
2014,nationality,China,principal_exits_2025_2040,Capped,101881.0,104784.0,-2903.0
2014,nationality,China,principal_exits_2025_2040,Capped minus uncapped,7876.0,9355.0,-1479.0
2014,nationality,China,principal_exits_2025_2040,Uncapped,94005.0,95429.0,-1424.0
2014,nationality,India,age21_events_2025_2040,Capped,184869.0,193548.0,-8679.0
2014,nationality,India,age21_events_2025_2040,Capped minus uncapped,117591.0,120079.0,-2488.0
2014,nationality,India,age21_events_2025_2040,Uncapped,67278.0,73469.0,-6191.0
2014,nationality,India,principal_backlog_2040,Capped,1067420.0,1076037.0,-8617.0
2014,nationality,India,principal_backlog_2040,Capped minus uncapped,321142.0,326681.0,-5539.0
2014,nationality,India,principal_backlog_2040,Uncapped,746278.0,749356.0,-3078.0
2014,nationality,India,principal_exits_2025_2040,Capped,319167.0,334367.0,-15200.0
2014,nationality,India,principal_exits_2025_2040,Capped minus uncapped,137649.0,147121.0,-9472.0
2014,nationality,India,principal_exits_2025_2040,Uncapped,181518.0,187246.0,-5728.0
2014,nationality,ROW,age21_events_2025_2040,Capped,55740.0,54089.0,1651.0
2014,nationality,ROW,age21_events_2025_2040,Capped minus uncapped,-59761.0,-57449.0,-2312.0
2014,nationality,ROW,age21_events_2025_2040,Uncapped,115501.0,111538.0,3963.0
2014,nationality,ROW,principal_backlog_2040,Capped,1371509.0,1355943.0,15566.0
2014,nationality,ROW,principal_backlog_2040,Capped minus uncapped,-382723.0,-398536.0,15813.0
2014,nationality,ROW,principal_backlog_2040,Uncapped,1754232.0,1754479.0,-247.0
2014,nationality,ROW,principal_exits_2025_2040,Capped,666101.0,654141.0,11960.0
2014,nationality,ROW,principal_exits_2025_2040,Capped minus uncapped,-133153.0,-135776.0,2623.0
2014,nationality,ROW,principal_exits_2025_2040,Uncapped,799254.0,789917.0,9337.0
2014,overall,All,age21_events_2025_2040,Capped,258599.0,266481.0,-7882.0
2014,overall,All,age21_events_2025_2040,Capped minus uncapped,61796.0,66679.0,-4883.0
2014,overall,All,age21_events_2025_2040,Uncapped,196803.0,199802.0,-2999.0
2014,overall,All,principal_backlog_2040,Capped,2776957.0,2773647.0,3310.0
2014,overall,All,principal_backlog_2040,Capped minus uncapped,-10852.0,-16978.0,6126.0
2014,overall,All,principal_backlog_2040,Uncapped,2787809.0,2790625.0,-2816.0
2014,overall,All,principal_conversions_2025_2040,Capped,1263595.0,1263371.0,224.0
2014,overall,All,principal_conversions_2025_2040,Capped minus uncapped,-1520.0,-3722.0,2202.0
2014,overall,All,principal_conversions_2025_2040,Uncapped,1265115.0,1267093.0,-1978.0
2014,overall,All,principal_exits_2025_2040,Capped,1087149.0,1093292.0,-6143.0
2014,overall,All,principal_exits_2025_2040,Capped minus uncapped,12372.0,20700.0,-8328.0
2014,overall,All,principal_exits_2025_2040,Uncapped,1074777.0,1072592.0,2185.0
