category,nationality,target_visas,unfilled_target,used_visas,year,seed
EB-1,India,6672,1038,5634,2009,2014
EB-1,China,4999,624,4375,2009,2014
EB-1,ROW,29305,0,29305,2009,2014
EB-2,India,10106,0,10106,2009,2014
EB-2,China,3045,0,3045,2009,2014
EB-2,ROW,32865,0,32865,2009,2014
EB-3,India,2304,0,2304,2009,2014
EB-3,China,1077,0,1077,2009,2014
EB-3,ROW,36397,0,36397,2009,2014
EB-4,India,771,285,486,2009,2014
EB-4,China,91,51,40,2009,2014
EB-4,ROW,9137,0,9137,2009,2014
EB-5,India,72,10,62,2009,2014
EB-5,China,1979,503,1476,2009,2014
EB-5,ROW,2167,430,1737,2009,2014
EB-1,India,6741,162,6579,2010,2014
EB-1,China,6741,1125,5616,2010,2014
EB-1,ROW,27544,0,27544,2010,2014
EB-2,India,19961,0,19961,2010,2014
EB-2,China,6505,0,6505,2010,2014
EB-2,ROW,27406,0,27406,2010,2014
EB-3,India,3036,0,3036,2010,2014
EB-3,China,3676,0,3676,2010,2014
EB-3,ROW,35719,0,35719,2010,2014
EB-4,India,824,228,596,2010,2014
EB-4,China,98,87,11,2010,2014
EB-4,ROW,10126,0,10126,2010,2014
EB-5,India,62,0,62,2010,2014
EB-5,China,772,0,772,2010,2014
EB-5,ROW,1051,0,1051,2010,2014
EB-1,India,4563,0,4563,2011,2014
EB-1,China,3940,0,3940,2011,2014
EB-1,ROW,16726,0,16726,2011,2014
EB-2,India,23997,0,23997,2011,2014
EB-2,China,8257,0,8257,2011,2014
EB-2,ROW,34550,0,34550,2011,2014
EB-3,India,4002,0,4002,2011,2014
EB-3,China,2542,0,2542,2011,2014
EB-3,ROW,30881,0,30881,2011,2014
EB-4,India,444,0,444,2011,2014
EB-4,China,78,37,41,2011,2014
EB-4,ROW,5859,0,5859,2011,2014
EB-5,India,37,0,37,2011,2014
EB-5,China,2408,0,2408,2011,2014
EB-5,ROW,1018,0,1018,2011,2014
EB-1,India,9506,0,9506,2012,2014
EB-1,China,6183,0,6183,2012,2014
EB-1,ROW,23698,0,23698,2012,2014
EB-2,India,19726,0,19726,2012,2014
EB-2,China,5858,0,5858,2012,2014
EB-2,ROW,25009,0,25009,2012,2014
EB-3,India,2804,0,2804,2012,2014
EB-3,China,2827,0,2827,2012,2014
EB-3,ROW,33918,0,33918,2012,2014
EB-4,India,600,0,600,2012,2014
EB-4,China,117,72,45,2012,2014
EB-4,ROW,6761,0,6761,2012,2014
EB-5,India,76,0,76,2012,2014
EB-5,China,6124,0,6124,2012,2014
EB-5,ROW,1440,0,1440,2012,2014
EB-1,India,9640,0,9640,2013,2014
EB-1,China,6249,0,6249,2013,2014
EB-1,ROW,23169,0,23169,2013,2014
EB-2,India,17193,0,17193,2013,2014
EB-2,China,3627,0,3627,2013,2014
EB-2,ROW,42641,0,42641,2013,2014
EB-3,India,7816,0,7816,2013,2014
EB-3,China,3229,0,3229,2013,2014
EB-3,ROW,32695,0,32695,2013,2014
EB-4,India,562,0,562,2013,2014
EB-4,China,78,0,78,2013,2014
EB-4,ROW,5806,0,5806,2013,2014
EB-5,India,87,0,87,2013,2014
EB-5,China,6895,0,6895,2013,2014
EB-5,ROW,1582,0,1582,2013,2014
EB-1,India,12978,0,12978,2014,2014
EB-1,China,6167,0,6167,2014,2014
EB-1,ROW,21463,0,21463,2014,2014
EB-2,India,23527,0,23527,2014,2014
EB-2,China,3561,0,3561,2014,2014
EB-2,ROW,21983,0,21983,2014,2014
EB-3,India,3526,0,3526,2014,2014
EB-3,China,3676,0,3676,2014,2014
EB-3,ROW,35497,0,35497,2014,2014
EB-4,India,732,0,732,2014,2014
EB-4,China,109,0,109,2014,2014
EB-4,ROW,7448,0,7448,2014,2014
EB-5,India,96,0,96,2014,2014
EB-5,China,9128,0,9128,2014,2014
EB-5,ROW,1468,0,1468,2014,2014
EB-1,India,12253,0,12253,2015,2014
EB-1,China,6239,0,6239,2015,2014
EB-1,ROW,23498,0,23498,2015,2014
EB-2,India,7235,0,7235,2015,2014
EB-2,China,4202,0,4202,2015,2014
EB-2,ROW,33042,0,33042,2015,2014
EB-3,India,7026,0,7026,2015,2014
EB-3,China,3211,0,3211,2015,2014
EB-3,ROW,27213,0,27213,2015,2014
EB-4,India,709,0,709,2015,2014
EB-4,China,81,0,81,2015,2014
EB-4,ROW,9479,0,9479,2015,2014
EB-5,India,111,0,111,2015,2014
EB-5,China,8156,0,8156,2015,2014
EB-5,ROW,1497,0,1497,2015,2014
EB-1,India,10985,0,10985,2016,2014
EB-1,China,6711,0,6711,2016,2014
EB-1,ROW,26027,0,26027,2016,2014
EB-2,India,3930,0,3930,2016,2014
EB-2,China,2837,0,2837,2016,2014
EB-2,ROW,32344,0,32344,2016,2014
EB-3,India,4617,0,4617,2016,2014
EB-3,China,2815,0,2815,2016,2014
EB-3,ROW,30108,0,30108,2016,2014
EB-4,India,720,0,720,2016,2014
EB-4,China,107,0,107,2016,2014
EB-4,ROW,9202,0,9202,2016,2014
EB-5,India,149,0,149,2016,2014
EB-5,China,7516,0,7516,2016,2014
EB-5,ROW,2282,0,2282,2016,2014
EB-1,India,13082,0,13082,2017,2014
EB-1,China,6337,0,6337,2017,2014
EB-1,ROW,22409,0,22409,2017,2014
EB-2,India,2879,0,2879,2017,2014
EB-2,China,2559,0,2559,2017,2014
EB-2,ROW,34523,0,34523,2017,2014
EB-3,India,6641,0,6641,2017,2014
EB-3,China,2524,0,2524,2017,2014
EB-3,ROW,28605,0,28605,2017,2014
EB-4,India,790,0,790,2017,2014
EB-4,China,116,0,116,2017,2014
EB-4,ROW,9049,0,9049,2017,2014
EB-5,India,174,0,174,2017,2014
EB-5,China,7567,0,7567,2017,2014
EB-5,ROW,2349,0,2349,2017,2014
EB-1,India,10967,0,10967,2018,2014
EB-1,China,6582,0,6582,2018,2014
EB-1,ROW,21972,0,21972,2018,2014
EB-2,India,4096,0,4096,2018,2014
EB-2,China,2681,0,2681,2018,2014
EB-2,ROW,33864,0,33864,2018,2014
EB-3,India,6112,0,6112,2018,2014
EB-3,China,4392,0,4392,2018,2014
EB-3,ROW,29462,0,29462,2018,2014
EB-4,India,764,0,764,2018,2014
EB-4,China,158,0,158,2018,2014
EB-4,ROW,8831,0,8831,2018,2014
EB-5,India,585,0,585,2018,2014
EB-5,China,4642,0,4642,2018,2014
EB-5,ROW,4375,0,4375,2018,2014
EB-1,India,9008,0,9008,2019,2014
EB-1,China,5284,0,5284,2019,2014
EB-1,ROW,25800,0,25800,2019,2014
EB-2,India,2908,0,2908,2019,2014
EB-2,China,3369,0,3369,2019,2014
EB-2,ROW,33775,0,33775,2019,2014
EB-3,India,5083,0,5083,2019,2014
EB-3,China,3682,0,3682,2019,2014
EB-3,ROW,32111,0,32111,2019,2014
EB-4,India,659,0,659,2019,2014
EB-4,China,89,0,89,2019,2014
EB-4,ROW,9340,0,9340,2019,2014
EB-5,India,760,0,760,2019,2014
EB-5,China,4327,0,4327,2019,2014
EB-5,ROW,4391,0,4391,2019,2014
EB-1,India,17014,0,17014,2020,2014
EB-1,China,4766,0,4766,2020,2014
EB-1,ROW,25423,0,25423,2020,2014
EB-2,India,2599,0,2599,2020,2014
EB-2,China,3118,0,3118,2020,2014
EB-2,ROW,37410,0,37410,2020,2014
EB-3,India,3194,0,3194,2020,2014
EB-3,China,3499,0,3499,2020,2014
EB-3,ROW,36128,0,36128,2020,2014
EB-4,India,734,0,734,2020,2014
EB-4,China,256,0,256,2020,2014
EB-4,ROW,9416,0,9416,2020,2014
EB-5,India,613,0,613,2020,2014
EB-5,China,1564,0,1564,2020,2014
EB-5,ROW,1419,0,1419,2020,2014
EB-1,India,30825,0,30825,2021,2014
EB-1,China,9118,0,9118,2021,2014
EB-1,ROW,21553,0,21553,2021,2014
EB-2,India,28246,0,28246,2021,2014
EB-2,China,6091,0,6091,2021,2014
EB-2,ROW,25404,0,25404,2021,2014
EB-3,India,14954,0,14954,2021,2014
EB-3,China,5113,0,5113,2021,2014
EB-3,ROW,35173,0,35173,2021,2014
EB-4,India,569,0,569,2021,2014
EB-4,China,182,0,182,2021,2014
EB-4,ROW,15330,0,15330,2021,2014
EB-5,India,211,0,211,2021,2014
EB-5,China,1567,0,1567,2021,2014
EB-5,ROW,1171,0,1171,2021,2014
EB-1,India,21437,0,21437,2022,2014
EB-1,China,11425,0,11425,2022,2014
EB-1,ROW,21275,0,21275,2022,2014
EB-2,India,59431,0,59431,2022,2014
EB-2,China,8523,0,8523,2022,2014
EB-2,ROW,41355,0,41355,2022,2014
EB-3,India,12600,0,12600,2022,2014
EB-3,China,6452,0,6452,2022,2014
EB-3,ROW,61946,0,61946,2022,2014
EB-4,India,1232,0,1232,2022,2014
EB-4,China,280,0,280,2022,2014
