year,category,nationality,target_visas,used_visas,unfilled_target,n_paired_seeds
2009,EB-1,China,4999.0,4375.0,624.0,1
2009,EB-1,India,6672.0,5634.0,1038.0,1
2009,EB-1,ROW,29305.0,29305.0,0.0,1
2009,EB-2,China,3045.0,3045.0,0.0,1
2009,EB-2,India,10106.0,10106.0,0.0,1
2009,EB-2,ROW,32865.0,32865.0,0.0,1
2009,EB-3,China,1077.0,1077.0,0.0,1
2009,EB-3,India,2304.0,2304.0,0.0,1
2009,EB-3,ROW,36397.0,36397.0,0.0,1
2009,EB-4,China,91.0,40.0,51.0,1
2009,EB-4,India,771.0,486.0,285.0,1
2009,EB-4,ROW,9137.0,9137.0,0.0,1
2009,EB-5,China,1979.0,1476.0,503.0,1
2009,EB-5,India,72.0,62.0,10.0,1
2009,EB-5,ROW,2167.0,1737.0,430.0,1
2010,EB-1,China,6741.0,5616.0,1125.0,1
2010,EB-1,India,6741.0,6579.0,162.0,1
2010,EB-1,ROW,27544.0,27544.0,0.0,1
2010,EB-2,China,6505.0,6505.0,0.0,1
2010,EB-2,India,19961.0,19961.0,0.0,1
2010,EB-2,ROW,27406.0,27406.0,0.0,1
2010,EB-3,China,3676.0,3676.0,0.0,1
2010,EB-3,India,3036.0,3036.0,0.0,1
2010,EB-3,ROW,35719.0,35719.0,0.0,1
2010,EB-4,China,98.0,11.0,87.0,1
2010,EB-4,India,824.0,596.0,228.0,1
2010,EB-4,ROW,10126.0,10126.0,0.0,1
2010,EB-5,China,772.0,772.0,0.0,1
2010,EB-5,India,62.0,62.0,0.0,1
2010,EB-5,ROW,1051.0,1051.0,0.0,1
2011,EB-1,China,3940.0,3940.0,0.0,1
2011,EB-1,India,4563.0,4563.0,0.0,1
2011,EB-1,ROW,16726.0,16726.0,0.0,1
2011,EB-2,China,8257.0,8257.0,0.0,1
2011,EB-2,India,23997.0,23997.0,0.0,1
2011,EB-2,ROW,34550.0,34550.0,0.0,1
2011,EB-3,China,2542.0,2542.0,0.0,1
2011,EB-3,India,4002.0,4002.0,0.0,1
2011,EB-3,ROW,30881.0,30881.0,0.0,1
2011,EB-4,China,78.0,41.0,37.0,1
2011,EB-4,India,444.0,444.0,0.0,1
2011,EB-4,ROW,5859.0,5859.0,0.0,1
2011,EB-5,China,2408.0,2408.0,0.0,1
2011,EB-5,India,37.0,37.0,0.0,1
2011,EB-5,ROW,1018.0,1018.0,0.0,1
2012,EB-1,China,6183.0,6183.0,0.0,1
2012,EB-1,India,9506.0,9506.0,0.0,1
2012,EB-1,ROW,23698.0,23698.0,0.0,1
2012,EB-2,China,5858.0,5858.0,0.0,1
2012,EB-2,India,19726.0,19726.0,0.0,1
2012,EB-2,ROW,25009.0,25009.0,0.0,1
2012,EB-3,China,2827.0,2827.0,0.0,1
2012,EB-3,India,2804.0,2804.0,0.0,1
2012,EB-3,ROW,33918.0,33918.0,0.0,1
2012,EB-4,China,117.0,45.0,72.0,1
2012,EB-4,India,600.0,600.0,0.0,1
2012,EB-4,ROW,6761.0,6761.0,0.0,1
2012,EB-5,China,6124.0,6124.0,0.0,1
2012,EB-5,India,76.0,76.0,0.0,1
2012,EB-5,ROW,1440.0,1440.0,0.0,1
2013,EB-1,China,6249.0,6249.0,0.0,1
2013,EB-1,India,9640.0,9640.0,0.0,1
2013,EB-1,ROW,23169.0,23169.0,0.0,1
2013,EB-2,China,3627.0,3627.0,0.0,1
2013,EB-2,India,17193.0,17193.0,0.0,1
2013,EB-2,ROW,42641.0,42641.0,0.0,1
2013,EB-3,China,3229.0,3229.0,0.0,1
2013,EB-3,India,7816.0,7816.0,0.0,1
2013,EB-3,ROW,32695.0,32695.0,0.0,1
2013,EB-4,China,78.0,78.0,0.0,1
2013,EB-4,India,562.0,562.0,0.0,1
2013,EB-4,ROW,5806.0,5806.0,0.0,1
2013,EB-5,China,6895.0,6895.0,0.0,1
2013,EB-5,India,87.0,87.0,0.0,1
2013,EB-5,ROW,1582.0,1582.0,0.0,1
2014,EB-1,China,6167.0,6167.0,0.0,1
2014,EB-1,India,12978.0,12978.0,0.0,1
2014,EB-1,ROW,21463.0,21463.0,0.0,1
2014,EB-2,China,3561.0,3561.0,0.0,1
2014,EB-2,India,23527.0,23527.0,0.0,1
2014,EB-2,ROW,21983.0,21983.0,0.0,1
2014,EB-3,China,3676.0,3676.0,0.0,1
2014,EB-3,India,3526.0,3526.0,0.0,1
2014,EB-3,ROW,35497.0,35497.0,0.0,1
2014,EB-4,China,109.0,109.0,0.0,1
2014,EB-4,India,732.0,732.0,0.0,1
2014,EB-4,ROW,7448.0,7448.0,0.0,1
2014,EB-5,China,9128.0,9128.0,0.0,1
2014,EB-5,India,96.0,96.0,0.0,1
2014,EB-5,ROW,1468.0,1468.0,0.0,1
2015,EB-1,China,6239.0,6239.0,0.0,1
2015,EB-1,India,12253.0,12253.0,0.0,1
2015,EB-1,ROW,23498.0,23498.0,0.0,1
2015,EB-2,China,4202.0,4202.0,0.0,1
2015,EB-2,India,7235.0,7235.0,0.0,1
2015,EB-2,ROW,33042.0,33042.0,0.0,1
2015,EB-3,China,3211.0,3211.0,0.0,1
2015,EB-3,India,7026.0,7026.0,0.0,1
2015,EB-3,ROW,27213.0,27213.0,0.0,1
2015,EB-4,China,81.0,81.0,0.0,1
2015,EB-4,India,709.0,709.0,0.0,1
2015,EB-4,ROW,9479.0,9479.0,0.0,1
2015,EB-5,China,8156.0,8156.0,0.0,1
2015,EB-5,India,111.0,111.0,0.0,1
2015,EB-5,ROW,1497.0,1497.0,0.0,1
2016,EB-1,China,6711.0,6711.0,0.0,1
2016,EB-1,India,10985.0,10985.0,0.0,1
2016,EB-1,ROW,26027.0,26027.0,0.0,1
2016,EB-2,China,2837.0,2837.0,0.0,1
2016,EB-2,India,3930.0,3930.0,0.0,1
2016,EB-2,ROW,32344.0,32344.0,0.0,1
2016,EB-3,China,2815.0,2815.0,0.0,1
2016,EB-3,India,4617.0,4617.0,0.0,1
2016,EB-3,ROW,30108.0,30108.0,0.0,1
2016,EB-4,China,107.0,107.0,0.0,1
2016,EB-4,India,720.0,720.0,0.0,1
2016,EB-4,ROW,9202.0,9202.0,0.0,1
2016,EB-5,China,7516.0,7516.0,0.0,1
2016,EB-5,India,149.0,149.0,0.0,1
2016,EB-5,ROW,2282.0,2282.0,0.0,1
2017,EB-1,China,6337.0,6337.0,0.0,1
2017,EB-1,India,13082.0,13082.0,0.0,1
2017,EB-1,ROW,22409.0,22409.0,0.0,1
2017,EB-2,China,2559.0,2559.0,0.0,1
2017,EB-2,India,2879.0,2879.0,0.0,1
2017,EB-2,ROW,34523.0,34523.0,0.0,1
2017,EB-3,China,2524.0,2524.0,0.0,1
2017,EB-3,India,6641.0,6641.0,0.0,1
2017,EB-3,ROW,28605.0,28605.0,0.0,1
2017,EB-4,China,116.0,116.0,0.0,1
2017,EB-4,India,790.0,790.0,0.0,1
2017,EB-4,ROW,9049.0,9049.0,0.0,1
2017,EB-5,China,7567.0,7567.0,0.0,1
2017,EB-5,India,174.0,174.0,0.0,1
