scenario,entry_year,nationality,eb_category,observation_end_year,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
Uncapped,2009,India,EB-1,2061,total_created,2,1219.0,22.627416997969522,16.0,,,2,0,0
Uncapped,2009,India,EB-2,2061,total_created,2,7628.0,165.46298679765212,116.99999999999999,,,2,0,0
Uncapped,2009,India,EB-3,2061,total_created,2,39062.0,48.08326112068523,33.99999999999999,,,2,0,0
Uncapped,2009,India,EB-4,2061,total_created,2,165.0,4.242640687119285,2.9999999999999996,,,2,0,0
Uncapped,2009,India,EB-5,2061,total_created,2,17.0,2.8284271247461903,2.0,,,2,0,0
Uncapped,2009,China,EB-1,2061,total_created,2,639.0,22.627416997969522,16.0,,,2,0,0
Uncapped,2009,China,EB-2,2061,total_created,2,2580.0,45.254833995939045,32.0,,,2,0,0
Uncapped,2009,China,EB-3,2061,total_created,2,10156.5,156.27059864222701,110.5,,,2,0,0
Uncapped,2009,China,EB-4,2061,total_created,2,9.0,2.8284271247461903,2.0,,,2,0,0
Uncapped,2009,China,EB-5,2061,total_created,2,325.0,1.4142135623730951,1.0,,,2,0,0
Uncapped,2009,ROW,EB-1,2061,total_created,2,7914.5,150.61374439273462,106.49999999999999,,,2,0,0
Uncapped,2009,ROW,EB-2,2061,total_created,2,8036.0,45.254833995939045,32.0,,,2,0,0
Uncapped,2009,ROW,EB-3,2061,total_created,2,43309.0,178.19090885900997,125.99999999999999,,,2,0,0
Uncapped,2009,ROW,EB-4,2061,total_created,2,2691.5,19.091883092036785,13.5,,,2,0,0
Uncapped,2009,ROW,EB-5,2061,total_created,2,581.5,27.577164466275352,19.499999999999996,,,2,0,0
Uncapped,2010,India,EB-1,2061,total_created,2,1453.5,33.23401871576773,23.499999999999996,,,2,0,0
Uncapped,2010,India,EB-2,2061,total_created,2,7238.5,168.99852070358486,119.49999999999999,,,2,0,0
Uncapped,2010,India,EB-3,2061,total_created,2,3044.0,11.313708498984761,8.0,,,2,0,0
Uncapped,2010,India,EB-4,2061,total_created,2,179.5,26.16295090390226,18.5,,,2,0,0
Uncapped,2010,India,EB-5,2061,total_created,2,27.0,1.4142135623730951,1.0,,,2,0,0
