Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,Other,Overall,31
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,32
2012,Uncapped,China,Overall,35
2012,Uncapped,Other,Overall,72
2012,Uncapped,India,Overall,46
2012,Uncapped,Overall,EB-3,151
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,India,Overall,132
2013,Uncapped,China,Overall,55
2013,Uncapped,Other,Overall,54
2013,Uncapped,Overall,EB-3,227
2013,Uncapped,Overall,EB-2,4
2013,Uncapped,Overall,EB-4,10
2014,Uncapped,India,Overall,192
2014,Uncapped,China,Overall,56
2014,Uncapped,Other,Overall,34
2014,Uncapped,Overall,EB-3,223
2014,Uncapped,Overall,EB-2,26
2014,Uncapped,Overall,EB-4,33
2015,Uncapped,China,Overall,79
2015,Uncapped,India,Overall,186
2015,Uncapped,Other,Overall,79
2015,Uncapped,Overall,EB-3,187
2015,Uncapped,Overall,EB-2,76
2015,Uncapped,Overall,EB-4,81
2016,Uncapped,China,Overall,231
2016,Uncapped,India,Overall,344
2016,Uncapped,Other,Overall,166
2016,Uncapped,Overall,EB-3,450
2016,Uncapped,Overall,EB-2,114
2016,Uncapped,Overall,EB-4,177
2017,Uncapped,India,Overall,567
2017,Uncapped,China,Overall,153
2017,Uncapped,Other,Overall,241
2017,Uncapped,Overall,EB-3,525
2017,Uncapped,Overall,EB-2,176
2017,Uncapped,Overall,EB-4,260
2018,Uncapped,India,Overall,760
2018,Uncapped,China,Overall,46
2018,Uncapped,Other,Overall,369
2018,Uncapped,Overall,EB-3,520
2018,Uncapped,Overall,EB-2,261
2018,Uncapped,Overall,EB-4,394
2019,Uncapped,India,Overall,1184
2019,Uncapped,China,Overall,115
2019,Uncapped,Other,Overall,513
2019,Uncapped,Overall,EB-3,858
2019,Uncapped,Overall,EB-2,417
2019,Uncapped,Overall,EB-4,537
2020,Uncapped,India,Overall,1406
2020,Uncapped,China,Overall,124
2020,Uncapped,Other,Overall,601
2020,Uncapped,Overall,EB-3,837
2020,Uncapped,Overall,EB-2,659
2020,Uncapped,Overall,EB-4,633
2020,Uncapped,Overall,EB-1,2
2021,Uncapped,India,Overall,1563
2021,Uncapped,China,Overall,168
2021,Uncapped,Other,Overall,678
2021,Uncapped,Overall,EB-3,926
2021,Uncapped,Overall,EB-2,776
2021,Uncapped,Overall,EB-4,707
2022,Uncapped,India,Overall,1522
2022,Uncapped,China,Overall,111
2022,Uncapped,Other,Overall,658
2022,Uncapped,Overall,EB-3,897
2022,Uncapped,Overall,EB-2,709
2022,Uncapped,Overall,EB-4,684
2022,Uncapped,Overall,EB-5,1
2023,Uncapped,India,Overall,2138
2023,Uncapped,China,Overall,162
2023,Uncapped,Other,Overall,728
2023,Uncapped,Overall,EB-3,1177
2023,Uncapped,Overall,EB-2,1087
2023,Uncapped,Overall,EB-4,751
2023,Uncapped,Overall,EB-5,13
2024,Uncapped,India,Overall,2526
2024,Uncapped,China,Overall,320
2024,Uncapped,Other,Overall,935
2024,Uncapped,Overall,EB-3,1194
2024,Uncapped,Overall,EB-2,1542
2024,Uncapped,Overall,EB-4,955
2024,Uncapped,Overall,EB-5,90
2025,Uncapped,India,Overall,2319
2025,Uncapped,China,Overall,320
2025,Uncapped,Other,Overall,1073
2025,Uncapped,Overall,EB-3,831
2025,Uncapped,Overall,EB-2,1768
2025,Uncapped,Overall,EB-4,1071
2025,Uncapped,Overall,EB-5,42
2026,Uncapped,India,Overall,2112
2026,Uncapped,China,Overall,385
2026,Uncapped,Other,Overall,1415
2026,Uncapped,Overall,EB-2,2015
2026,Uncapped,Overall,EB-3,621
2026,Uncapped,Overall,EB-4,1267
2026,Uncapped,Overall,EB-5,2
2026,Uncapped,Overall,EB-1,7
2027,Uncapped,India,Overall,2225
2027,Uncapped,China,Overall,416
2027,Uncapped,Other,Overall,1711
2027,Uncapped,Overall,EB-2,2366
2027,Uncapped,Overall,EB-3,604
2027,Uncapped,Overall,EB-4,1369
2027,Uncapped,Overall,EB-5,2
2027,Uncapped,Overall,EB-1,11
2028,Uncapped,India,Overall,2359
2028,Uncapped,China,Overall,479
2028,Uncapped,Other,Overall,2267
2028,Uncapped,Overall,EB-2,2661
2028,Uncapped,Overall,EB-4,1567
2028,Uncapped,Overall,EB-3,861
2028,Uncapped,Overall,EB-5,2
2028,Uncapped,Overall,EB-1,14
2029,Uncapped,India,Overall,2596
2029,Uncapped,China,Overall,544
2029,Uncapped,Other,Overall,2740
2029,Uncapped,Overall,EB-2,3145
2029,Uncapped,Overall,EB-4,1677
2029,Uncapped,Overall,EB-3,1039
2029,Uncapped,Overall,EB-5,6
2029,Uncapped,Overall,EB-1,13
2030,Uncapped,India,Overall,2744
2030,Uncapped,China,Overall,550
2030,Uncapped,Other,Overall,3624
2030,Uncapped,Overall,EB-2,3592
2030,Uncapped,Overall,EB-4,1905
2030,Uncapped,Overall,EB-3,1392
2030,Uncapped,Overall,EB-5,11
2030,Uncapped,Overall,EB-1,18
2031,Uncapped,India,Overall,2855
2031,Uncapped,China,Overall,687
2031,Uncapped,Other,Overall,4255
2031,Uncapped,Overall,EB-2,4066
2031,Uncapped,Overall,EB-4,2005
2031,Uncapped,Overall,EB-3,1701
2031,Uncapped,Overall,EB-5,7
2031,Uncapped,Overall,EB-1,18
2032,Uncapped,India,Overall,3051
2032,Uncapped,China,Overall,718
2032,Uncapped,Other,Overall,5083
2032,Uncapped,Overall,EB-2,4571
2032,Uncapped,Overall,EB-4,2251
2032,Uncapped,Overall,EB-3,1996
2032,Uncapped,Overall,EB-5,11
2032,Uncapped,Overall,EB-1,23
2033,Uncapped,India,Overall,3269
2033,Uncapped,China,Overall,745
2033,Uncapped,Other,Overall,5620
2033,Uncapped,Overall,EB-2,5153
2033,Uncapped,Overall,EB-4,2353
2033,Uncapped,Overall,EB-3,2108
2033,Uncapped,Overall,EB-1,19
2033,Uncapped,Overall,EB-5,1
2034,Uncapped,India,Overall,3552
2034,Uncapped,China,Overall,841
2034,Uncapped,Other,Overall,6283
2034,Uncapped,Overall,EB-2,5996
2034,Uncapped,Overall,EB-4,2440
2034,Uncapped,Overall,EB-3,2215
2034,Uncapped,Overall,EB-1,20
