Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,Other,Overall,31
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,32
2012,Uncapped,China,Overall,35
2012,Uncapped,Other,Overall,72
2012,Uncapped,India,Overall,46
2012,Uncapped,Overall,EB-3,151
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,India,Overall,132
2013,Uncapped,China,Overall,55
2013,Uncapped,Other,Overall,54
2013,Uncapped,Overall,EB-3,227
2013,Uncapped,Overall,EB-2,4
2013,Uncapped,Overall,EB-4,10
2014,Uncapped,India,Overall,192
2014,Uncapped,China,Overall,56
2014,Uncapped,Other,Overall,34
2014,Uncapped,Overall,EB-3,223
2014,Uncapped,Overall,EB-2,26
2014,Uncapped,Overall,EB-4,33
2015,Uncapped,China,Overall,79
2015,Uncapped,India,Overall,186
2015,Uncapped,Other,Overall,79
2015,Uncapped,Overall,EB-3,187
2015,Uncapped,Overall,EB-2,76
2015,Uncapped,Overall,EB-4,81
2016,Uncapped,China,Overall,231
2016,Uncapped,India,Overall,344
2016,Uncapped,Other,Overall,166
2016,Uncapped,Overall,EB-3,450
2016,Uncapped,Overall,EB-2,114
2016,Uncapped,Overall,EB-4,177
2017,Uncapped,India,Overall,567
2017,Uncapped,China,Overall,153
2017,Uncapped,Other,Overall,241
2017,Uncapped,Overall,EB-3,525
2017,Uncapped,Overall,EB-2,176
2017,Uncapped,Overall,EB-4,260
2018,Uncapped,India,Overall,760
2018,Uncapped,China,Overall,46
2018,Uncapped,Other,Overall,369
2018,Uncapped,Overall,EB-3,520
2018,Uncapped,Overall,EB-2,261
2018,Uncapped,Overall,EB-4,394
2019,Uncapped,India,Overall,1184
2019,Uncapped,China,Overall,115
2019,Uncapped,Other,Overall,513
2019,Uncapped,Overall,EB-3,858
2019,Uncapped,Overall,EB-2,417
2019,Uncapped,Overall,EB-4,537
2020,Uncapped,India,Overall,1406
2020,Uncapped,China,Overall,124
2020,Uncapped,Other,Overall,601
2020,Uncapped,Overall,EB-3,837
2020,Uncapped,Overall,EB-2,659
2020,Uncapped,Overall,EB-4,633
2020,Uncapped,Overall,EB-1,2
2021,Uncapped,India,Overall,1563
2021,Uncapped,China,Overall,168
2021,Uncapped,Other,Overall,678
2021,Uncapped,Overall,EB-3,926
2021,Uncapped,Overall,EB-2,776
2021,Uncapped,Overall,EB-4,707
2022,Uncapped,India,Overall,1522
2022,Uncapped,China,Overall,111
2022,Uncapped,Other,Overall,658
2022,Uncapped,Overall,EB-3,897
2022,Uncapped,Overall,EB-2,709
2022,Uncapped,Overall,EB-4,684
2022,Uncapped,Overall,EB-5,1
2023,Uncapped,India,Overall,2138
2023,Uncapped,China,Overall,162
2023,Uncapped,Other,Overall,728
2023,Uncapped,Overall,EB-3,1177
2023,Uncapped,Overall,EB-2,1087
2023,Uncapped,Overall,EB-4,751
2023,Uncapped,Overall,EB-5,13
2024,Uncapped,India,Overall,2526
2024,Uncapped,China,Overall,320
2024,Uncapped,Other,Overall,935
2024,Uncapped,Overall,EB-3,1194
2024,Uncapped,Overall,EB-2,1542
2024,Uncapped,Overall,EB-4,955
2024,Uncapped,Overall,EB-5,90
2025,Uncapped,India,Overall,2105
2025,Uncapped,China,Overall,298
2025,Uncapped,Other,Overall,1085
2025,Uncapped,Overall,EB-3,708
2025,Uncapped,Overall,EB-2,1682
2025,Uncapped,Overall,EB-4,1077
2025,Uncapped,Overall,EB-5,21
2026,Uncapped,India,Overall,1917
2026,Uncapped,China,Overall,353
2026,Uncapped,Other,Overall,1334
2026,Uncapped,Overall,EB-2,1888
2026,Uncapped,Overall,EB-3,531
2026,Uncapped,Overall,EB-4,1182
2026,Uncapped,Overall,EB-1,1
2026,Uncapped,Overall,EB-5,2
2027,Uncapped,India,Overall,1954
2027,Uncapped,China,Overall,395
2027,Uncapped,Other,Overall,1682
2027,Uncapped,Overall,EB-2,2144
2027,Uncapped,Overall,EB-3,547
2027,Uncapped,Overall,EB-4,1333
2027,Uncapped,Overall,EB-5,1
2027,Uncapped,Overall,EB-1,6
2028,Uncapped,India,Overall,2038
2028,Uncapped,China,Overall,425
2028,Uncapped,Other,Overall,2185
2028,Uncapped,Overall,EB-2,2365
2028,Uncapped,Overall,EB-4,1514
2028,Uncapped,Overall,EB-3,761
2028,Uncapped,Overall,EB-5,2
2028,Uncapped,Overall,EB-1,6
2029,Uncapped,India,Overall,2152
2029,Uncapped,China,Overall,471
2029,Uncapped,Other,Overall,2701
2029,Uncapped,Overall,EB-2,2783
2029,Uncapped,Overall,EB-4,1621
2029,Uncapped,Overall,EB-3,911
2029,Uncapped,Overall,EB-5,3
2029,Uncapped,Overall,EB-1,6
2030,Uncapped,India,Overall,2296
2030,Uncapped,China,Overall,484
2030,Uncapped,Other,Overall,3512
2030,Uncapped,Overall,EB-2,3201
2030,Uncapped,Overall,EB-4,1849
2030,Uncapped,Overall,EB-3,1231
2030,Uncapped,Overall,EB-1,9
2030,Uncapped,Overall,EB-5,2
2031,Uncapped,India,Overall,2425
2031,Uncapped,China,Overall,584
2031,Uncapped,Other,Overall,4008
2031,Uncapped,Overall,EB-2,3600
2031,Uncapped,Overall,EB-4,2022
2031,Uncapped,Overall,EB-3,1384
2031,Uncapped,Overall,EB-1,9
2031,Uncapped,Overall,EB-5,2
2032,Uncapped,India,Overall,2554
2032,Uncapped,China,Overall,616
2032,Uncapped,Other,Overall,4719
2032,Uncapped,Overall,EB-2,4082
2032,Uncapped,Overall,EB-4,2192
2032,Uncapped,Overall,EB-3,1604
2032,Uncapped,Overall,EB-1,7
2032,Uncapped,Overall,EB-5,4
2033,Uncapped,India,Overall,2684
2033,Uncapped,China,Overall,680
2033,Uncapped,Other,Overall,5125
2033,Uncapped,Overall,EB-2,4591
2033,Uncapped,Overall,EB-4,2180
2033,Uncapped,Overall,EB-3,1713
2033,Uncapped,Overall,EB-1,5
2034,Uncapped,India,Overall,2893
2034,Uncapped,China,Overall,755
2034,Uncapped,Other,Overall,5628
2034,Uncapped,Overall,EB-2,5380
2034,Uncapped,Overall,EB-4,2139
2034,Uncapped,Overall,EB-3,1748
2034,Uncapped,Overall,EB-1,7
2034,Uncapped,Overall,EB-5,2
