Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,Other,Overall,31
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,32
2012,Uncapped,China,Overall,30
2012,Uncapped,Other,Overall,88
2012,Uncapped,India,Overall,40
2012,Uncapped,Overall,EB-3,156
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,India,Overall,126
2013,Uncapped,China,Overall,54
2013,Uncapped,Other,Overall,61
2013,Uncapped,Overall,EB-3,227
2013,Uncapped,Overall,EB-2,3
2013,Uncapped,Overall,EB-4,11
2014,Uncapped,India,Overall,190
2014,Uncapped,China,Overall,49
2014,Uncapped,Other,Overall,28
2014,Uncapped,Overall,EB-3,214
2014,Uncapped,Overall,EB-2,27
2014,Uncapped,Overall,EB-4,26
2015,Uncapped,India,Overall,177
2015,Uncapped,China,Overall,71
2015,Uncapped,Other,Overall,88
2015,Uncapped,Overall,EB-3,178
2015,Uncapped,Overall,EB-2,68
2015,Uncapped,Overall,EB-4,90
2016,Uncapped,India,Overall,321
2016,Uncapped,China,Overall,219
2016,Uncapped,Other,Overall,153
2016,Uncapped,Overall,EB-3,426
2016,Uncapped,Overall,EB-2,109
2016,Uncapped,Overall,EB-4,158
2017,Uncapped,China,Overall,145
2017,Uncapped,India,Overall,512
2017,Uncapped,Other,Overall,249
2017,Uncapped,Overall,EB-3,479
2017,Uncapped,Overall,EB-2,159
2017,Uncapped,Overall,EB-4,268
2018,Uncapped,India,Overall,733
2018,Uncapped,China,Overall,40
2018,Uncapped,Other,Overall,379
2018,Uncapped,Overall,EB-3,488
2018,Uncapped,Overall,EB-2,266
2018,Uncapped,Overall,EB-4,398
2019,Uncapped,India,Overall,1067
2019,Uncapped,China,Overall,113
2019,Uncapped,Other,Overall,518
2019,Uncapped,Overall,EB-3,792
2019,Uncapped,Overall,EB-2,362
2019,Uncapped,Overall,EB-4,542
2019,Uncapped,Overall,EB-1,2
2020,Uncapped,India,Overall,1323
2020,Uncapped,China,Overall,116
2020,Uncapped,Other,Overall,605
2020,Uncapped,Overall,EB-3,769
2020,Uncapped,Overall,EB-2,639
2020,Uncapped,Overall,EB-4,635
2020,Uncapped,Overall,EB-1,1
2021,Uncapped,India,Overall,1410
2021,Uncapped,China,Overall,161
2021,Uncapped,Other,Overall,647
2021,Uncapped,Overall,EB-3,839
2021,Uncapped,Overall,EB-2,710
2021,Uncapped,Overall,EB-4,669
2022,Uncapped,India,Overall,1285
2022,Uncapped,China,Overall,123
2022,Uncapped,Other,Overall,640
2022,Uncapped,Overall,EB-3,730
2022,Uncapped,Overall,EB-2,654
2022,Uncapped,Overall,EB-4,659
2022,Uncapped,Overall,EB-5,5
2023,Uncapped,India,Overall,1864
2023,Uncapped,China,Overall,162
2023,Uncapped,Other,Overall,742
2023,Uncapped,Overall,EB-3,978
2023,Uncapped,Overall,EB-2,1017
2023,Uncapped,Overall,EB-4,765
2023,Uncapped,Overall,EB-5,8
2024,Uncapped,India,Overall,2270
2024,Uncapped,China,Overall,299
2024,Uncapped,Other,Overall,900
2024,Uncapped,Overall,EB-3,1054
2024,Uncapped,Overall,EB-2,1415
2024,Uncapped,Overall,EB-4,916
2024,Uncapped,Overall,EB-5,84
2025,Uncapped,India,Overall,1925
2025,Uncapped,China,Overall,331
2025,Uncapped,Other,Overall,1068
2025,Uncapped,Overall,EB-3,650
2025,Uncapped,Overall,EB-2,1586
2025,Uncapped,Overall,EB-4,1045
2025,Uncapped,Overall,EB-5,43
2026,Uncapped,India,Overall,1844
2026,Uncapped,China,Overall,358
2026,Uncapped,Other,Overall,1392
2026,Uncapped,Overall,EB-2,1841
2026,Uncapped,Overall,EB-3,534
2026,Uncapped,Overall,EB-4,1212
2026,Uncapped,Overall,EB-5,2
2026,Uncapped,Overall,EB-1,5
2027,Uncapped,India,Overall,1964
2027,Uncapped,China,Overall,402
2027,Uncapped,Other,Overall,1720
2027,Uncapped,Overall,EB-2,2165
2027,Uncapped,Overall,EB-3,549
2027,Uncapped,Overall,EB-4,1359
2027,Uncapped,Overall,EB-5,3
2027,Uncapped,Overall,EB-1,10
2028,Uncapped,India,Overall,2049
2028,Uncapped,China,Overall,449
2028,Uncapped,Other,Overall,2271
2028,Uncapped,Overall,EB-2,2406
2028,Uncapped,Overall,EB-4,1588
2028,Uncapped,Overall,EB-3,759
2028,Uncapped,Overall,EB-5,2
2028,Uncapped,Overall,EB-1,14
2029,Uncapped,India,Overall,2231
2029,Uncapped,China,Overall,524
2029,Uncapped,Other,Overall,2813
2029,Uncapped,Overall,EB-2,2871
2029,Uncapped,Overall,EB-4,1701
2029,Uncapped,Overall,EB-3,970
2029,Uncapped,Overall,EB-5,6
2029,Uncapped,Overall,EB-1,20
2030,Uncapped,India,Overall,2396
2030,Uncapped,China,Overall,533
2030,Uncapped,Other,Overall,3611
2030,Uncapped,Overall,EB-2,3327
2030,Uncapped,Overall,EB-4,1901
2030,Uncapped,Overall,EB-3,1286
2030,Uncapped,Overall,EB-5,8
2030,Uncapped,Overall,EB-1,18
2031,Uncapped,India,Overall,2489
2031,Uncapped,China,Overall,630
2031,Uncapped,Other,Overall,4147
2031,Uncapped,Overall,EB-2,3707
2031,Uncapped,Overall,EB-4,2008
2031,Uncapped,Overall,EB-3,1522
2031,Uncapped,Overall,EB-5,7
2031,Uncapped,Overall,EB-1,22
2032,Uncapped,India,Overall,2716
2032,Uncapped,China,Overall,726
2032,Uncapped,Other,Overall,5007
2032,Uncapped,Overall,EB-2,4252
2032,Uncapped,Overall,EB-4,2295
2032,Uncapped,Overall,EB-3,1874
2032,Uncapped,Overall,EB-5,10
2032,Uncapped,Overall,EB-1,18
2033,Uncapped,India,Overall,2854
2033,Uncapped,China,Overall,711
2033,Uncapped,Other,Overall,5474
2033,Uncapped,Overall,EB-2,4739
2033,Uncapped,Overall,EB-4,2317
2033,Uncapped,Overall,EB-3,1963
2033,Uncapped,Overall,EB-5,2
2033,Uncapped,Overall,EB-1,18
2034,Uncapped,India,Overall,3139
2034,Uncapped,China,Overall,795
2034,Uncapped,Other,Overall,6093
2034,Uncapped,Overall,EB-2,5586
2034,Uncapped,Overall,EB-4,2397
2034,Uncapped,Overall,EB-3,2015
