Year,Scenario,Nationality,EB_Category,Count
2010,Uncapped,India,Overall,217
2010,Uncapped,China,Overall,139
2010,Uncapped,Other,Overall,377
2010,Uncapped,Overall,EB-2,35
2010,Uncapped,Overall,EB-3,698
2011,Uncapped,India,Overall,230
2011,Uncapped,Other,Overall,411
2011,Uncapped,China,Overall,78
2011,Uncapped,Overall,EB-2,47
2011,Uncapped,Overall,EB-3,672
2012,Uncapped,Other,Overall,361
2012,Uncapped,China,Overall,136
2012,Uncapped,India,Overall,236
2012,Uncapped,Overall,EB-3,572
2012,Uncapped,Overall,EB-2,121
2012,Uncapped,Overall,EB-4,40
2013,Uncapped,China,Overall,352
2013,Uncapped,India,Overall,383
2013,Uncapped,Other,Overall,399
2013,Uncapped,Overall,EB-3,770
2013,Uncapped,Overall,EB-2,137
2013,Uncapped,Overall,EB-4,227
2014,Uncapped,India,Overall,679
2014,Uncapped,China,Overall,257
2014,Uncapped,Other,Overall,637
2014,Uncapped,Overall,EB-3,742
2014,Uncapped,Overall,EB-2,222
2014,Uncapped,Overall,EB-4,609
2015,Uncapped,China,Overall,82
2015,Uncapped,India,Overall,397
2015,Uncapped,Other,Overall,726
2015,Uncapped,Overall,EB-3,121
2015,Uncapped,Overall,EB-2,318
2015,Uncapped,Overall,EB-4,766
2016,Uncapped,India,Overall,1042
2016,Uncapped,China,Overall,72
2016,Uncapped,Other,Overall,978
2016,Uncapped,Overall,EB-3,576
2016,Uncapped,Overall,EB-2,475
2016,Uncapped,Overall,EB-4,1041
2017,Uncapped,India,Overall,1477
2017,Uncapped,China,Overall,234
2017,Uncapped,Other,Overall,1207
2017,Uncapped,Overall,EB-3,1002
2017,Uncapped,Overall,EB-2,629
2017,Uncapped,Overall,EB-4,1280
2017,Uncapped,Overall,EB-1,7
2018,Uncapped,India,Overall,1658
2018,Uncapped,China,Overall,306
2018,Uncapped,Other,Overall,1228
2018,Uncapped,Overall,EB-3,1001
2018,Uncapped,Overall,EB-2,822
2018,Uncapped,Overall,EB-4,1292
2018,Uncapped,Overall,EB-5,49
2018,Uncapped,Overall,EB-1,28
2019,Uncapped,India,Overall,2216
2019,Uncapped,China,Overall,409
2019,Uncapped,Other,Overall,1212
2019,Uncapped,Overall,EB-3,1264
2019,Uncapped,Overall,EB-2,1176
2019,Uncapped,Overall,EB-4,1269
2019,Uncapped,Overall,EB-5,76
2019,Uncapped,Overall,EB-1,52
2020,Uncapped,India,Overall,2883
2020,Uncapped,China,Overall,582
2020,Uncapped,Other,Overall,1581
2020,Uncapped,Overall,EB-3,1486
2020,Uncapped,Overall,EB-2,1685
2020,Uncapped,Overall,EB-4,1595
2020,Uncapped,Overall,EB-5,235
2020,Uncapped,Overall,EB-1,45
2021,Uncapped,China,Overall,801
2021,Uncapped,India,Overall,2132
2021,Uncapped,Other,Overall,1576
2021,Uncapped,Overall,EB-3,646
2021,Uncapped,Overall,EB-2,1891
2021,Uncapped,Overall,EB-4,1486
2021,Uncapped,Overall,EB-5,467
2021,Uncapped,Overall,EB-1,19
2022,Uncapped,India,Overall,2908
2022,Uncapped,China,Overall,846
2022,Uncapped,Other,Overall,1507
2022,Uncapped,Overall,EB-3,1522
2022,Uncapped,Overall,EB-2,1844
2022,Uncapped,Overall,EB-4,1425
2022,Uncapped,Overall,EB-5,460
2022,Uncapped,Overall,EB-1,10
2023,Uncapped,India,Overall,3678
2023,Uncapped,China,Overall,717
2023,Uncapped,Other,Overall,1943
2023,Uncapped,Overall,EB-3,1646
2023,Uncapped,Overall,EB-2,2487
2023,Uncapped,Overall,EB-4,1863
