Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,India,Overall,2
2011,Uncapped,Other,Overall,53
2011,Uncapped,Overall,EB-2,1
2011,Uncapped,Overall,EB-3,54
2012,Uncapped,India,Overall,45
2012,Uncapped,China,Overall,54
2012,Uncapped,Other,Overall,103
2012,Uncapped,Overall,EB-2,5
2012,Uncapped,Overall,EB-3,195
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,India,Overall,173
2013,Uncapped,China,Overall,55
2013,Uncapped,Other,Overall,71
2013,Uncapped,Overall,EB-3,270
2013,Uncapped,Overall,EB-2,19
2013,Uncapped,Overall,EB-4,10
2014,Uncapped,India,Overall,196
2014,Uncapped,China,Overall,62
2014,Uncapped,Other,Overall,75
2014,Uncapped,Overall,EB-3,238
2014,Uncapped,Overall,EB-2,51
2014,Uncapped,Overall,EB-4,44
2015,Uncapped,India,Overall,266
2015,Uncapped,China,Overall,114
2015,Uncapped,Other,Overall,104
2015,Uncapped,Overall,EB-3,251
2015,Uncapped,Overall,EB-2,127
2015,Uncapped,Overall,EB-4,106
2016,Uncapped,China,Overall,277
2016,Uncapped,India,Overall,424
2016,Uncapped,Other,Overall,209
2016,Uncapped,Overall,EB-3,504
2016,Uncapped,Overall,EB-2,184
2016,Uncapped,Overall,EB-4,222
2017,Uncapped,India,Overall,725
2017,Uncapped,China,Overall,209
2017,Uncapped,Other,Overall,363
2017,Uncapped,Overall,EB-3,626
2017,Uncapped,Overall,EB-2,281
2017,Uncapped,Overall,EB-4,390
2018,Uncapped,India,Overall,1016
2018,Uncapped,China,Overall,59
2018,Uncapped,Other,Overall,547
2018,Uncapped,Overall,EB-3,625
2018,Uncapped,Overall,EB-2,420
2018,Uncapped,Overall,EB-4,577
2019,Uncapped,China,Overall,208
2019,Uncapped,India,Overall,1549
2019,Uncapped,Other,Overall,711
2019,Uncapped,Overall,EB-3,1070
2019,Uncapped,Overall,EB-2,653
2019,Uncapped,Overall,EB-4,744
2019,Uncapped,Overall,EB-1,1
2020,Uncapped,India,Overall,1775
2020,Uncapped,China,Overall,191
2020,Uncapped,Other,Overall,837
2020,Uncapped,Overall,EB-3,1048
2020,Uncapped,Overall,EB-2,887
2020,Uncapped,Overall,EB-4,864
2020,Uncapped,Overall,EB-1,4
2021,Uncapped,India,Overall,2112
2021,Uncapped,China,Overall,245
2021,Uncapped,Other,Overall,919
2021,Uncapped,Overall,EB-3,1152
2021,Uncapped,Overall,EB-2,1173
2021,Uncapped,Overall,EB-4,948
2021,Uncapped,Overall,EB-1,3
2022,Uncapped,India,Overall,2133
2022,Uncapped,China,Overall,242
2022,Uncapped,Other,Overall,869
2022,Uncapped,Overall,EB-3,1219
2022,Uncapped,Overall,EB-2,1131
2022,Uncapped,Overall,EB-4,875
2022,Uncapped,Overall,EB-5,19
2023,Uncapped,India,Overall,2804
2023,Uncapped,China,Overall,302
2023,Uncapped,Other,Overall,1002
2023,Uncapped,Overall,EB-3,1423
2023,Uncapped,Overall,EB-2,1586
2023,Uncapped,Overall,EB-4,1027
2023,Uncapped,Overall,EB-5,72
2024,Uncapped,India,Overall,3654
2024,Uncapped,China,Overall,459
2024,Uncapped,Other,Overall,1208
2024,Uncapped,Overall,EB-3,1659
2024,Uncapped,Overall,EB-2,2285
2024,Uncapped,Overall,EB-4,1221
2024,Uncapped,Overall,EB-5,148
2024,Uncapped,Overall,EB-1,8
2025,Uncapped,India,Overall,3245
2025,Uncapped,China,Overall,535
2025,Uncapped,Other,Overall,1476
2025,Uncapped,Overall,EB-3,1227
2025,Uncapped,Overall,EB-2,2499
2025,Uncapped,Overall,EB-4,1385
2025,Uncapped,Overall,EB-5,140
2025,Uncapped,Overall,EB-1,5
2026,Uncapped,India,Overall,2956
2026,Uncapped,China,Overall,560
2026,Uncapped,Other,Overall,1908
2026,Uncapped,Overall,EB-3,916
2026,Uncapped,Overall,EB-2,2856
2026,Uncapped,Overall,EB-4,1590
2026,Uncapped,Overall,EB-5,46
2026,Uncapped,Overall,EB-1,16
2027,Uncapped,India,Overall,3130
2027,Uncapped,China,Overall,587
2027,Uncapped,Other,Overall,2529
2027,Uncapped,Overall,EB-2,3414
2027,Uncapped,Overall,EB-3,955
2027,Uncapped,Overall,EB-4,1844
2027,Uncapped,Overall,EB-1,27
2027,Uncapped,Overall,EB-5,6
2028,Uncapped,India,Overall,3454
2028,Uncapped,China,Overall,644
2028,Uncapped,Other,Overall,3092
2028,Uncapped,Overall,EB-2,3998
2028,Uncapped,Overall,EB-3,1211
2028,Uncapped,Overall,EB-4,1947
2028,Uncapped,Overall,EB-5,6
2028,Uncapped,Overall,EB-1,28
2029,Uncapped,India,Overall,3672
2029,Uncapped,China,Overall,677
2029,Uncapped,Other,Overall,3929
2029,Uncapped,Overall,EB-2,4540
2029,Uncapped,Overall,EB-4,2113
2029,Uncapped,Overall,EB-3,1589
2029,Uncapped,Overall,EB-1,26
2029,Uncapped,Overall,EB-5,10
2030,Uncapped,India,Overall,3912
2030,Uncapped,China,Overall,710
2030,Uncapped,Other,Overall,4997
2030,Uncapped,Overall,EB-2,5123
2030,Uncapped,Overall,EB-4,2394
2030,Uncapped,Overall,EB-3,2050
2030,Uncapped,Overall,EB-1,40
2030,Uncapped,Overall,EB-5,12
2031,Uncapped,India,Overall,4056
2031,Uncapped,China,Overall,834
2031,Uncapped,Other,Overall,6113
2031,Uncapped,Overall,EB-2,5881
2031,Uncapped,Overall,EB-4,2604
2031,Uncapped,Overall,EB-3,2456
2031,Uncapped,Overall,EB-1,49
2031,Uncapped,Overall,EB-5,13
2032,Uncapped,India,Overall,4371
2032,Uncapped,China,Overall,938
2032,Uncapped,Other,Overall,6753
2032,Uncapped,Overall,EB-2,6536
2032,Uncapped,Overall,EB-4,2735
2032,Uncapped,Overall,EB-3,2716
2032,Uncapped,Overall,EB-5,9
2032,Uncapped,Overall,EB-1,66
2033,Uncapped,China,Overall,1029
2033,Uncapped,India,Overall,4664
2033,Uncapped,Other,Overall,7673
2033,Uncapped,Overall,EB-2,7406
2033,Uncapped,Overall,EB-4,2849
2033,Uncapped,Overall,EB-3,3034
2033,Uncapped,Overall,EB-1,67
2033,Uncapped,Overall,EB-5,10
2034,Uncapped,India,Overall,5033
2034,Uncapped,China,Overall,1059
2034,Uncapped,Other,Overall,8609
2034,Uncapped,Overall,EB-2,8182
2034,Uncapped,Overall,EB-4,3134
2034,Uncapped,Overall,EB-3,3272
2034,Uncapped,Overall,EB-1,96
2034,Uncapped,Overall,EB-5,17
2035,Uncapped,China,Overall,1162
2035,Uncapped,India,Overall,5331
2035,Uncapped,Other,Overall,9131
2035,Uncapped,Overall,EB-2,8847
2035,Uncapped,Overall,EB-4,3126
2035,Uncapped,Overall,EB-3,3491
2035,Uncapped,Overall,EB-1,142
2035,Uncapped,Overall,EB-5,18
2036,Uncapped,India,Overall,5593
2036,Uncapped,China,Overall,1212
2036,Uncapped,Other,Overall,9929
2036,Uncapped,Overall,EB-2,9566
2036,Uncapped,Overall,EB-4,3212
2036,Uncapped,Overall,EB-3,3758
2036,Uncapped,Overall,EB-1,174
2036,Uncapped,Overall,EB-5,24
2037,Uncapped,India,Overall,6052
2037,Uncapped,Other,Overall,10283
2037,Uncapped,China,Overall,1319
2037,Uncapped,Overall,EB-2,10288
2037,Uncapped,Overall,EB-4,3274
2037,Uncapped,Overall,EB-3,3866
2037,Uncapped,Overall,EB-1,202
2037,Uncapped,Overall,EB-5,24
2038,Uncapped,Other,Overall,11113
2038,Uncapped,India,Overall,6218
2038,Uncapped,China,Overall,1426
2038,Uncapped,Overall,EB-2,10830
2038,Uncapped,Overall,EB-4,3403
2038,Uncapped,Overall,EB-3,4268
2038,Uncapped,Overall,EB-1,230
2038,Uncapped,Overall,EB-5,26
2039,Uncapped,India,Overall,6700
2039,Uncapped,Other,Overall,11671
2039,Uncapped,China,Overall,1453
2039,Uncapped,Overall,EB-2,11479
2039,Uncapped,Overall,EB-4,3608
2039,Uncapped,Overall,EB-3,4432
2039,Uncapped,Overall,EB-1,288
2039,Uncapped,Overall,EB-5,17
2040,Uncapped,India,Overall,6982
2040,Uncapped,Other,Overall,12095
2040,Uncapped,China,Overall,1487
2040,Uncapped,Overall,EB-2,11727
2040,Uncapped,Overall,EB-4,3790
2040,Uncapped,Overall,EB-3,4728
2040,Uncapped,Overall,EB-1,295
2040,Uncapped,Overall,EB-5,24
2011,Capped,India,Overall,2
2011,Capped,Other,Overall,53
2011,Capped,Overall,EB-2,1
2011,Capped,Overall,EB-3,54
2012,Capped,India,Overall,45
2012,Capped,China,Overall,54
2012,Capped,Other,Overall,103
2012,Capped,Overall,EB-2,5
2012,Capped,Overall,EB-3,195
2012,Capped,Overall,EB-4,2
2013,Capped,India,Overall,173
2013,Capped,China,Overall,55
2013,Capped,Other,Overall,71
2013,Capped,Overall,EB-3,270
2013,Capped,Overall,EB-2,19
2013,Capped,Overall,EB-4,10
2014,Capped,India,Overall,196
2014,Capped,China,Overall,62
2014,Capped,Other,Overall,75
2014,Capped,Overall,EB-3,238
2014,Capped,Overall,EB-2,51
2014,Capped,Overall,EB-4,44
2015,Capped,India,Overall,266
2015,Capped,China,Overall,114
2015,Capped,Other,Overall,104
2015,Capped,Overall,EB-3,251
2015,Capped,Overall,EB-2,127
2015,Capped,Overall,EB-4,106
2016,Capped,China,Overall,277
2016,Capped,India,Overall,424
2016,Capped,Other,Overall,209
2016,Capped,Overall,EB-3,504
2016,Capped,Overall,EB-2,184
2016,Capped,Overall,EB-4,222
2017,Capped,India,Overall,725
2017,Capped,China,Overall,209
2017,Capped,Other,Overall,363
2017,Capped,Overall,EB-3,626
2017,Capped,Overall,EB-2,281
2017,Capped,Overall,EB-4,390
2018,Capped,India,Overall,1016
2018,Capped,China,Overall,59
2018,Capped,Other,Overall,547
2018,Capped,Overall,EB-3,625
2018,Capped,Overall,EB-2,420
2018,Capped,Overall,EB-4,577
2019,Capped,China,Overall,208
2019,Capped,India,Overall,1549
2019,Capped,Other,Overall,711
2019,Capped,Overall,EB-3,1070
2019,Capped,Overall,EB-2,653
2019,Capped,Overall,EB-4,744
2019,Capped,Overall,EB-1,1
2020,Capped,India,Overall,1775
2020,Capped,China,Overall,191
2020,Capped,Other,Overall,837
2020,Capped,Overall,EB-3,1048
2020,Capped,Overall,EB-2,887
2020,Capped,Overall,EB-4,864
2020,Capped,Overall,EB-1,4
2021,Capped,India,Overall,2112
2021,Capped,China,Overall,245
2021,Capped,Other,Overall,919
2021,Capped,Overall,EB-3,1152
2021,Capped,Overall,EB-2,1173
2021,Capped,Overall,EB-4,948
2021,Capped,Overall,EB-1,3
2022,Capped,India,Overall,2133
2022,Capped,China,Overall,242
2022,Capped,Other,Overall,869
2022,Capped,Overall,EB-3,1219
2022,Capped,Overall,EB-2,1131
2022,Capped,Overall,EB-4,875
2022,Capped,Overall,EB-5,19
2023,Capped,India,Overall,2804
2023,Capped,China,Overall,302
2023,Capped,Other,Overall,1002
2023,Capped,Overall,EB-3,1423
2023,Capped,Overall,EB-2,1586
2023,Capped,Overall,EB-4,1027
2023,Capped,Overall,EB-5,72
2024,Capped,India,Overall,3654
2024,Capped,China,Overall,459
2024,Capped,Other,Overall,1208
2024,Capped,Overall,EB-3,1659
2024,Capped,Overall,EB-2,2285
2024,Capped,Overall,EB-4,1221
2024,Capped,Overall,EB-5,148
2024,Capped,Overall,EB-1,8
2025,Capped,India,Overall,4453
2025,Capped,China,Overall,594
2025,Capped,Other,Overall,1404
2025,Capped,Overall,EB-3,1929
2025,Capped,Overall,EB-2,2879
2025,Capped,Overall,EB-4,1400
2025,Capped,Overall,EB-5,224
2025,Capped,Overall,EB-1,19
2026,Capped,India,Overall,4960
2026,Capped,China,Overall,618
2026,Capped,Other,Overall,1647
2026,Capped,Overall,EB-3,1929
