Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,Other,Overall,31
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,32
2012,Uncapped,China,Overall,35
2012,Uncapped,Other,Overall,72
2012,Uncapped,India,Overall,46
2012,Uncapped,Overall,EB-3,151
2012,Uncapped,Overall,EB-4,2
2013,Uncapped,India,Overall,132
2013,Uncapped,China,Overall,55
2013,Uncapped,Other,Overall,54
2013,Uncapped,Overall,EB-3,227
2013,Uncapped,Overall,EB-2,4
2013,Uncapped,Overall,EB-4,10
2014,Uncapped,India,Overall,192
2014,Uncapped,China,Overall,56
2014,Uncapped,Other,Overall,34
2014,Uncapped,Overall,EB-3,223
2014,Uncapped,Overall,EB-2,26
2014,Uncapped,Overall,EB-4,33
2015,Uncapped,China,Overall,79
2015,Uncapped,India,Overall,186
2015,Uncapped,Other,Overall,79
2015,Uncapped,Overall,EB-3,187
2015,Uncapped,Overall,EB-2,76
2015,Uncapped,Overall,EB-4,81
2016,Uncapped,China,Overall,231
2016,Uncapped,India,Overall,344
2016,Uncapped,Other,Overall,166
2016,Uncapped,Overall,EB-3,450
2016,Uncapped,Overall,EB-2,114
2016,Uncapped,Overall,EB-4,177
2017,Uncapped,India,Overall,567
2017,Uncapped,China,Overall,153
2017,Uncapped,Other,Overall,241
2017,Uncapped,Overall,EB-3,525
2017,Uncapped,Overall,EB-2,176
2017,Uncapped,Overall,EB-4,260
2018,Uncapped,India,Overall,760
2018,Uncapped,China,Overall,46
2018,Uncapped,Other,Overall,369
2018,Uncapped,Overall,EB-3,520
2018,Uncapped,Overall,EB-2,261
2018,Uncapped,Overall,EB-4,394
2019,Uncapped,India,Overall,1184
2019,Uncapped,China,Overall,115
2019,Uncapped,Other,Overall,513
2019,Uncapped,Overall,EB-3,858
2019,Uncapped,Overall,EB-2,417
2019,Uncapped,Overall,EB-4,537
2020,Uncapped,India,Overall,1406
2020,Uncapped,China,Overall,124
2020,Uncapped,Other,Overall,601
2020,Uncapped,Overall,EB-3,837
2020,Uncapped,Overall,EB-2,659
2020,Uncapped,Overall,EB-4,633
2020,Uncapped,Overall,EB-1,2
2021,Uncapped,India,Overall,1563
2021,Uncapped,China,Overall,168
2021,Uncapped,Other,Overall,678
2021,Uncapped,Overall,EB-3,926
2021,Uncapped,Overall,EB-2,776
2021,Uncapped,Overall,EB-4,707
2022,Uncapped,India,Overall,1522
2022,Uncapped,China,Overall,111
2022,Uncapped,Other,Overall,658
2022,Uncapped,Overall,EB-3,897
2022,Uncapped,Overall,EB-2,709
2022,Uncapped,Overall,EB-4,684
2022,Uncapped,Overall,EB-5,1
2023,Uncapped,India,Overall,2138
2023,Uncapped,China,Overall,162
2023,Uncapped,Other,Overall,728
2023,Uncapped,Overall,EB-3,1177
2023,Uncapped,Overall,EB-2,1087
2023,Uncapped,Overall,EB-4,751
2023,Uncapped,Overall,EB-5,13
2024,Uncapped,India,Overall,2526
2024,Uncapped,China,Overall,320
2024,Uncapped,Other,Overall,935
2024,Uncapped,Overall,EB-3,1194
2024,Uncapped,Overall,EB-2,1542
2024,Uncapped,Overall,EB-4,955
2024,Uncapped,Overall,EB-5,90
2025,Uncapped,India,Overall,2535
2025,Uncapped,China,Overall,352
2025,Uncapped,Other,Overall,1111
2025,Uncapped,Overall,EB-3,969
2025,Uncapped,Overall,EB-2,1850
2025,Uncapped,Overall,EB-4,1106
2025,Uncapped,Overall,EB-5,73
2026,Uncapped,India,Overall,2324
2026,Uncapped,China,Overall,389
2026,Uncapped,Other,Overall,1454
2026,Uncapped,Overall,EB-3,728
2026,Uncapped,Overall,EB-2,2123
2026,Uncapped,Overall,EB-4,1302
2026,Uncapped,Overall,EB-5,3
2026,Uncapped,Overall,EB-1,11
2027,Uncapped,India,Overall,2456
2027,Uncapped,China,Overall,441
2027,Uncapped,Other,Overall,1762
2027,Uncapped,Overall,EB-2,2523
2027,Uncapped,Overall,EB-3,701
2027,Uncapped,Overall,EB-4,1420
2027,Uncapped,Overall,EB-1,13
2027,Uncapped,Overall,EB-5,2
2028,Uncapped,India,Overall,2651
2028,Uncapped,China,Overall,516
2028,Uncapped,Other,Overall,2287
2028,Uncapped,Overall,EB-2,2884
2028,Uncapped,Overall,EB-3,949
2028,Uncapped,Overall,EB-4,1594
2028,Uncapped,Overall,EB-5,4
2028,Uncapped,Overall,EB-1,23
2029,Uncapped,India,Overall,2942
2029,Uncapped,China,Overall,601
2029,Uncapped,Other,Overall,2830
2029,Uncapped,Overall,EB-2,3442
2029,Uncapped,Overall,EB-4,1745
2029,Uncapped,Overall,EB-3,1155
2029,Uncapped,Overall,EB-5,9
2029,Uncapped,Overall,EB-1,22
2030,Uncapped,India,Overall,3209
2030,Uncapped,China,Overall,577
2030,Uncapped,Other,Overall,3629
2030,Uncapped,Overall,EB-2,3966
2030,Uncapped,Overall,EB-4,1911
2030,Uncapped,Overall,EB-3,1501
2030,Uncapped,Overall,EB-5,14
2030,Uncapped,Overall,EB-1,23
2031,Uncapped,China,Overall,683
2031,Uncapped,India,Overall,3384
2031,Uncapped,Other,Overall,4359
2031,Uncapped,Overall,EB-2,4448
2031,Uncapped,Overall,EB-4,2049
2031,Uncapped,Overall,EB-3,1877
2031,Uncapped,Overall,EB-5,15
2031,Uncapped,Overall,EB-1,37
2032,Uncapped,China,Overall,773
2032,Uncapped,India,Overall,3575
2032,Uncapped,Other,Overall,5466
2032,Uncapped,Overall,EB-2,5041
2032,Uncapped,Overall,EB-4,2363
2032,Uncapped,Overall,EB-3,2347
2032,Uncapped,Overall,EB-5,19
2032,Uncapped,Overall,EB-1,44
2033,Uncapped,India,Overall,3925
2033,Uncapped,China,Overall,829
2033,Uncapped,Other,Overall,6191
2033,Uncapped,Overall,EB-2,5736
2033,Uncapped,Overall,EB-4,2575
2033,Uncapped,Overall,EB-3,2559
2033,Uncapped,Overall,EB-1,55
2033,Uncapped,Overall,EB-5,20
2034,Uncapped,China,Overall,943
2034,Uncapped,India,Overall,4255
2034,Uncapped,Other,Overall,6743
2034,Uncapped,Overall,EB-2,6585
2034,Uncapped,Overall,EB-4,2558
2034,Uncapped,Overall,EB-3,2701
2034,Uncapped,Overall,EB-1,78
