Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,Other,Overall,36
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,37
2012,Uncapped,China,Overall,35
2012,Uncapped,India,Overall,45
2012,Uncapped,Other,Overall,68
2012,Uncapped,Overall,EB-3,147
2012,Uncapped,Overall,EB-4,1
2013,Uncapped,India,Overall,145
2013,Uncapped,China,Overall,56
2013,Uncapped,Other,Overall,55
2013,Uncapped,Overall,EB-3,240
2013,Uncapped,Overall,EB-2,3
2013,Uncapped,Overall,EB-4,13
2014,Uncapped,India,Overall,215
2014,Uncapped,China,Overall,43
2014,Uncapped,Other,Overall,29
2014,Uncapped,Overall,EB-3,230
2014,Uncapped,Overall,EB-2,26
2014,Uncapped,Overall,EB-4,31
2015,Uncapped,India,Overall,191
2015,Uncapped,China,Overall,87
2015,Uncapped,Other,Overall,87
2015,Uncapped,Overall,EB-3,198
2015,Uncapped,Overall,EB-2,78
2015,Uncapped,Overall,EB-4,89
2016,Uncapped,China,Overall,227
2016,Uncapped,India,Overall,355
2016,Uncapped,Other,Overall,165
2016,Uncapped,Overall,EB-3,463
2016,Uncapped,Overall,EB-2,114
2016,Uncapped,Overall,EB-4,170
2017,Uncapped,India,Overall,617
2017,Uncapped,China,Overall,154
2017,Uncapped,Other,Overall,245
2017,Uncapped,Overall,EB-3,569
2017,Uncapped,Overall,EB-2,180
2017,Uncapped,Overall,EB-4,267
2018,Uncapped,India,Overall,851
2018,Uncapped,China,Overall,41
2018,Uncapped,Other,Overall,375
2018,Uncapped,Overall,EB-3,588
2018,Uncapped,Overall,EB-2,280
2018,Uncapped,Overall,EB-4,399
2019,Uncapped,India,Overall,1308
2019,Uncapped,China,Overall,127
2019,Uncapped,Other,Overall,505
2019,Uncapped,Overall,EB-3,970
2019,Uncapped,Overall,EB-2,439
2019,Uncapped,Overall,EB-4,530
2019,Uncapped,Overall,EB-1,1
2020,Uncapped,India,Overall,1549
2020,Uncapped,China,Overall,111
2020,Uncapped,Other,Overall,636
2020,Uncapped,Overall,EB-3,903
2020,Uncapped,Overall,EB-2,723
2020,Uncapped,Overall,EB-4,668
2020,Uncapped,Overall,EB-1,2
2021,Uncapped,India,Overall,1713
2021,Uncapped,China,Overall,158
2021,Uncapped,Other,Overall,696
2021,Uncapped,Overall,EB-3,1024
2021,Uncapped,Overall,EB-2,817
2021,Uncapped,Overall,EB-4,726
2022,Uncapped,India,Overall,1712
2022,Uncapped,China,Overall,121
2022,Uncapped,Other,Overall,638
2022,Uncapped,Overall,EB-3,1023
2022,Uncapped,Overall,EB-2,778
2022,Uncapped,Overall,EB-4,667
2022,Uncapped,Overall,EB-5,3
2023,Uncapped,India,Overall,2400
2023,Uncapped,China,Overall,156
2023,Uncapped,Other,Overall,742
2023,Uncapped,Overall,EB-3,1302
2023,Uncapped,Overall,EB-2,1212
2023,Uncapped,Overall,EB-4,771
2023,Uncapped,Overall,EB-5,13
2024,Uncapped,India,Overall,2861
2024,Uncapped,China,Overall,317
2024,Uncapped,Other,Overall,902
2024,Uncapped,Overall,EB-3,1396
2024,Uncapped,Overall,EB-2,1658
2024,Uncapped,Overall,EB-4,930
2024,Uncapped,Overall,EB-5,96
2025,Uncapped,India,Overall,2719
2025,Uncapped,China,Overall,322
2025,Uncapped,Other,Overall,1114
2025,Uncapped,Overall,EB-3,1063
2025,Uncapped,Overall,EB-2,1936
2025,Uncapped,Overall,EB-4,1112
2025,Uncapped,Overall,EB-5,44
2026,Uncapped,India,Overall,2427
2026,Uncapped,China,Overall,377
2026,Uncapped,Other,Overall,1408
2026,Uncapped,Overall,EB-2,2202
2026,Uncapped,Overall,EB-3,740
2026,Uncapped,Overall,EB-4,1262
2026,Uncapped,Overall,EB-5,3
2026,Uncapped,Overall,EB-1,5
2027,Uncapped,India,Overall,2534
2027,Uncapped,China,Overall,431
2027,Uncapped,Other,Overall,1750
2027,Uncapped,Overall,EB-2,2609
2027,Uncapped,Overall,EB-3,697
2027,Uncapped,Overall,EB-4,1394
2027,Uncapped,Overall,EB-5,3
2027,Uncapped,Overall,EB-1,12
2028,Uncapped,India,Overall,2663
2028,Uncapped,China,Overall,504
2028,Uncapped,Other,Overall,2274
2028,Uncapped,Overall,EB-2,2934
2028,Uncapped,Overall,EB-3,908
2028,Uncapped,Overall,EB-4,1585
2028,Uncapped,Overall,EB-5,3
2028,Uncapped,Overall,EB-1,11
2029,Uncapped,India,Overall,2933
2029,Uncapped,China,Overall,572
2029,Uncapped,Other,Overall,2787
2029,Uncapped,Overall,EB-2,3418
2029,Uncapped,Overall,EB-4,1715
2029,Uncapped,Overall,EB-3,1134
2029,Uncapped,Overall,EB-5,5
2029,Uncapped,Overall,EB-1,20
2030,Uncapped,India,Overall,3192
2030,Uncapped,China,Overall,567
2030,Uncapped,Other,Overall,3547
2030,Uncapped,Overall,EB-2,3904
2030,Uncapped,Overall,EB-4,1913
2030,Uncapped,Overall,EB-3,1461
2030,Uncapped,Overall,EB-5,10
2030,Uncapped,Overall,EB-1,18
2031,Uncapped,India,Overall,3262
2031,Uncapped,China,Overall,676
2031,Uncapped,Other,Overall,4243
2031,Uncapped,Overall,EB-2,4343
2031,Uncapped,Overall,EB-4,2056
2031,Uncapped,Overall,EB-3,1749
2031,Uncapped,Overall,EB-5,7
2031,Uncapped,Overall,EB-1,26
2032,Uncapped,China,Overall,774
2032,Uncapped,India,Overall,3500
2032,Uncapped,Other,Overall,5283
2032,Uncapped,Overall,EB-2,5015
2032,Uncapped,Overall,EB-4,2300
2032,Uncapped,Overall,EB-3,2206
2032,Uncapped,Overall,EB-5,11
2032,Uncapped,Overall,EB-1,25
2033,Uncapped,China,Overall,760
2033,Uncapped,India,Overall,3722
2033,Uncapped,Other,Overall,5802
2033,Uncapped,Overall,EB-2,5526
2033,Uncapped,Overall,EB-4,2427
2033,Uncapped,Overall,EB-3,2309
2033,Uncapped,Overall,EB-5,3
2033,Uncapped,Overall,EB-1,19
2034,Uncapped,India,Overall,4002
2034,Uncapped,China,Overall,881
2034,Uncapped,Other,Overall,6452
2034,Uncapped,Overall,EB-2,6390
2034,Uncapped,Overall,EB-4,2482
2034,Uncapped,Overall,EB-3,2435
2034,Uncapped,Overall,EB-1,22
2034,Uncapped,Overall,EB-5,6
2035,Uncapped,India,Overall,4318
2035,Uncapped,China,Overall,913
2035,Uncapped,Other,Overall,7027
2035,Uncapped,Overall,EB-2,7005
2035,Uncapped,Overall,EB-4,2526
2035,Uncapped,Overall,EB-3,2682
2035,Uncapped,Overall,EB-1,38
2035,Uncapped,Overall,EB-5,7
2036,Uncapped,India,Overall,4623
2036,Uncapped,China,Overall,970
2036,Uncapped,Other,Overall,7576
2036,Uncapped,Overall,EB-2,7586
2036,Uncapped,Overall,EB-4,2696
2036,Uncapped,Overall,EB-3,2832
2036,Uncapped,Overall,EB-1,49
2036,Uncapped,Overall,EB-5,6
2037,Uncapped,India,Overall,4744
2037,Uncapped,China,Overall,976
2037,Uncapped,Other,Overall,8083
2037,Uncapped,Overall,EB-2,8066
2037,Uncapped,Overall,EB-4,2721
2037,Uncapped,Overall,EB-3,2967
2037,Uncapped,Overall,EB-1,38
2037,Uncapped,Overall,EB-5,11
2038,Uncapped,Other,Overall,8597
2038,Uncapped,India,Overall,5263
2038,Uncapped,China,Overall,1089
2038,Uncapped,Overall,EB-2,8803
2038,Uncapped,Overall,EB-4,2833
2038,Uncapped,Overall,EB-3,3255
2038,Uncapped,Overall,EB-1,50
2038,Uncapped,Overall,EB-5,8
2039,Uncapped,Other,Overall,8965
2039,Uncapped,India,Overall,5421
2039,Uncapped,China,Overall,1138
2039,Uncapped,Overall,EB-4,2875
2039,Uncapped,Overall,EB-2,9126
2039,Uncapped,Overall,EB-3,3450
2039,Uncapped,Overall,EB-1,69
