Year,Scenario,Nationality,EB_Category,Count
2016,Uncapped,India,Overall,152
2016,Uncapped,China,Overall,58
2016,Uncapped,Overall,EB-3,210
2017,Uncapped,India,Overall,153
2017,Uncapped,China,Overall,32
2017,Uncapped,Overall,EB-3,183
2017,Uncapped,Overall,EB-2,2
2018,Uncapped,China,Overall,41
2018,Uncapped,India,Overall,151
2018,Uncapped,Overall,EB-3,135
2018,Uncapped,Overall,EB-2,57
2019,Uncapped,India,Overall,265
2019,Uncapped,China,Overall,123
2019,Uncapped,Other,Overall,6
2019,Uncapped,Overall,EB-3,300
2019,Uncapped,Overall,EB-2,88
2019,Uncapped,Overall,EB-4,6
2020,Uncapped,India,Overall,848
2020,Uncapped,China,Overall,63
2020,Uncapped,Other,Overall,14
2020,Uncapped,Overall,EB-3,753
2020,Uncapped,Overall,EB-2,156
2020,Uncapped,Overall,EB-4,16
2021,Uncapped,India,Overall,724
2021,Uncapped,China,Overall,63
2021,Uncapped,Other,Overall,40
2021,Uncapped,Overall,EB-3,635
2021,Uncapped,Overall,EB-2,149
2021,Uncapped,Overall,EB-4,43
2022,Uncapped,India,Overall,627
2022,Uncapped,China,Overall,16
2022,Uncapped,Other,Overall,58
2022,Uncapped,Overall,EB-3,504
2022,Uncapped,Overall,EB-2,138
2022,Uncapped,Overall,EB-4,59
2023,Uncapped,India,Overall,891
2023,Uncapped,China,Overall,19
2023,Uncapped,Other,Overall,180
2023,Uncapped,Overall,EB-3,631
2023,Uncapped,Overall,EB-2,277
2023,Uncapped,Overall,EB-4,182
2024,Uncapped,India,Overall,1699
2024,Uncapped,China,Overall,24
2024,Uncapped,Other,Overall,246
2024,Uncapped,Overall,EB-3,1277
2024,Uncapped,Overall,EB-2,445
2024,Uncapped,Overall,EB-4,247
2025,Uncapped,India,Overall,869
2025,Uncapped,China,Overall,31
2025,Uncapped,Other,Overall,255
2025,Uncapped,Overall,EB-3,444
2025,Uncapped,Overall,EB-2,453
2025,Uncapped,Overall,EB-4,258
2026,Uncapped,India,Overall,644
2026,Uncapped,China,Overall,113
2026,Uncapped,Other,Overall,346
2026,Uncapped,Overall,EB-2,602
2026,Uncapped,Overall,EB-3,131
2026,Uncapped,Overall,EB-4,370
2027,Uncapped,India,Overall,852
2027,Uncapped,China,Overall,119
2027,Uncapped,Other,Overall,351
2027,Uncapped,Overall,EB-2,879
2027,Uncapped,Overall,EB-3,66
2027,Uncapped,Overall,EB-4,377
2028,Uncapped,China,Overall,192
2028,Uncapped,India,Overall,1104
2028,Uncapped,Other,Overall,521
2028,Uncapped,Overall,EB-2,1137
2028,Uncapped,Overall,EB-4,534
2028,Uncapped,Overall,EB-3,146
2029,Uncapped,India,Overall,1231
2029,Uncapped,China,Overall,234
2029,Uncapped,Other,Overall,716
2029,Uncapped,Overall,EB-2,1347
2029,Uncapped,Overall,EB-4,703
2029,Uncapped,Overall,EB-3,131
2030,Uncapped,India,Overall,1396
2030,Uncapped,China,Overall,247
2030,Uncapped,Other,Overall,1116
2030,Uncapped,Overall,EB-2,1655
2030,Uncapped,Overall,EB-4,822
2030,Uncapped,Overall,EB-3,282
2031,Uncapped,India,Overall,1434
2031,Uncapped,China,Overall,283
2031,Uncapped,Other,Overall,1663
2031,Uncapped,Overall,EB-2,1852
2031,Uncapped,Overall,EB-4,1070
2031,Uncapped,Overall,EB-3,458
2032,Uncapped,India,Overall,1608
2032,Uncapped,China,Overall,343
2032,Uncapped,Other,Overall,2144
2032,Uncapped,Overall,EB-2,2243
2032,Uncapped,Overall,EB-4,1334
2032,Uncapped,Overall,EB-3,518
2033,Uncapped,India,Overall,1877
2033,Uncapped,China,Overall,365
2033,Uncapped,Other,Overall,2660
2033,Uncapped,Overall,EB-2,2666
2033,Uncapped,Overall,EB-4,1630
