Year,Scenario,Nationality,EB_Category,Count
2011,Uncapped,Other,Overall,21
2011,Uncapped,India,Overall,1
2011,Uncapped,Overall,EB-3,22
2012,Uncapped,China,Overall,21
2012,Uncapped,India,Overall,42
2012,Uncapped,Other,Overall,38
2012,Uncapped,Overall,EB-3,101
2013,Uncapped,India,Overall,128
2013,Uncapped,China,Overall,31
2013,Uncapped,Other,Overall,19
2013,Uncapped,Overall,EB-3,169
2013,Uncapped,Overall,EB-4,9
2014,Uncapped,India,Overall,136
2014,Uncapped,China,Overall,34
2014,Uncapped,Other,Overall,20
2014,Uncapped,Overall,EB-3,165
2014,Uncapped,Overall,EB-2,3
2014,Uncapped,Overall,EB-4,22
2015,Uncapped,India,Overall,88
2015,Uncapped,China,Overall,72
2015,Uncapped,Other,Overall,55
2015,Uncapped,Overall,EB-3,150
2015,Uncapped,Overall,EB-2,9
2015,Uncapped,Overall,EB-4,56
2016,Uncapped,India,Overall,204
2016,Uncapped,China,Overall,154
2016,Uncapped,Other,Overall,107
2016,Uncapped,Overall,EB-3,323
2016,Uncapped,Overall,EB-2,31
2016,Uncapped,Overall,EB-4,111
2017,Uncapped,India,Overall,344
2017,Uncapped,China,Overall,103
2017,Uncapped,Other,Overall,183
2017,Uncapped,Overall,EB-3,364
2017,Uncapped,Overall,EB-2,74
2017,Uncapped,Overall,EB-4,192
2018,Uncapped,India,Overall,478
2018,Uncapped,China,Overall,30
2018,Uncapped,Other,Overall,278
2018,Uncapped,Overall,EB-3,380
2018,Uncapped,Overall,EB-2,114
2018,Uncapped,Overall,EB-4,292
2019,Uncapped,China,Overall,101
2019,Uncapped,India,Overall,758
2019,Uncapped,Other,Overall,373
2019,Uncapped,Overall,EB-3,625
2019,Uncapped,Overall,EB-2,213
2019,Uncapped,Overall,EB-4,394
2020,Uncapped,India,Overall,895
2020,Uncapped,China,Overall,90
2020,Uncapped,Other,Overall,463
2020,Uncapped,Overall,EB-3,639
2020,Uncapped,Overall,EB-2,322
2020,Uncapped,Overall,EB-4,487
2021,Uncapped,India,Overall,916
